날짜,제목,본문,링크
2025-12-04 23:02:00,"EU, 메타 반독점 조사 착수…""왓츠앱 이용 유럽 AI 독점 시도""","유럽연합(EU)이 미국 기술 기업 메타에 대한 조사에 착수했다. 메타가 소유한 메신저 '왓츠앱'을 통해 유럽 AI(인공지능) 시장 독점을 시도했다는 혐의 때문이다.  EU 집행위원회는 최근 메타가 새로 실시한 정책과 관련해 반독점 조사에 착수했다고 4일(현지시간) 밝혔다.  EU 집행위에 따르면 메타는 지난 10월부터 AI 서비스 기업들이 왓츠앱을 통해 소비자와 AI 서비스 관련 소통하는 것을 제한했다.  유럽 AI 기업들이 왓츠앱에 크게 의존한다는 점을 이용해 메타가 유럽 기업들을 억누르고 시장을 독점하려 했다는 게 집행위 판단이다. 집행위는 ""이 정책으로 인해 (왓츠앱을 사용하는) AI 서비스 기업들이 유럽경제지역(EEA)에서 왓츠앱을 통해 서비스 제공하는 것이 제한될 수 있다""고 했다. EEA는 27개 EU 회원국과 아이슬란드, 리히텐슈타인, 노르웨이 등 유럽자유무역연합(EFTA) 회원국 간 경제협력체를 가리킨다.  집행위는 이미 해당 사안을 조사 중인 이탈리아를 제외하고 EEA 회원국 전역에서 메타의 혐의를 조사할 것이라고 했다. 만약 혐의가 입증된다면 위원회는 메타의 전세계 매출액의 최대 10%까지 벌금을 부과할 수 있다.",https://n.news.naver.com/mnews/article/008/0005287669
2025-12-04 22:56:00,"'장경태 추행 의혹' 여성 비서관, 직접 입 열었다…""2차 가해 심해""","장경태 더불어민주당 의원을 준강제추행 혐의로 고소한 여성 비서관이 직접 방송에 출연해 심경을 밝혔다. 그는 지난해 10월 장 의원이 서울 여의도 한 식당에서 술자리 도중 자신을 추행했다고 주장 중이다.  4일 TV조선 뉴스9에는 장경태 의원을 준강제추행 혐의로 고소한 야당 의원실 소속 비서관 A씨가 출연해 인터뷰를 진행했다.  A씨는 신분 노출을 방지하기 위해 가림막 뒤에서 인터뷰했다. A씨는 ""국정감사 기간에 비서관들의 술자리가 있었는데 장경태 의원님이 오셨고, 제가 취해 있었을 때 신체 여러 곳을 추행했다""고 주장했다.  당시 신체 접촉이 분명히 있었다고 말한 A씨는 ""전 남자친구가 상황 목격 후 영상을 촬영했다""며 ""고소장을 제출하기 전 현장에 같이 있었던 동료 비서관님들에게도 확인받았다""고 했다.  사건 발생 1년이 지난 시점에 고소한 이유를 묻자, A씨는 ""발생 당시에는 남자친구 신상에 불이익을 주겠다고 해 고소를 못 했던 것""이라며 ""권력을 가진 국회의원 상대로 고소하는 게 부담되기도 했다""고 밝혔다.  최근 장 의원이 기자회견을 열고 ""이번 사건의 본질은 데이트 폭력""이라고 말한 것에 대해, A씨는 ""남자친구로부터 폭행 등을 당한 사실이 없다""며 ""사건을 무마하기 위해 현장에서 남자친구가 화를 낸 사실을 데이트 폭력이라고 주장하는 것 같다""고 했다.  A씨는 이번 사건 관련 여당 일부 의원의 발언이 '2차 가해'라고 말했다. A씨는 자신이 장 의원 어깨에 손을 올린 것에 대해 언급한 일부 의원에 대해 ""정말 참담했다""며 ""심지어 여성 의원님들이 그렇게 말하는 건 (분명한) 2차 가해라고 생각한다""고 말했다.  장 의원이 무고 혐의로 맞고소한 것에 대해서도 A씨는 ""전형적인 2차 가해 행태""라며 ""추행 사실이 없었다면 비서관인 제가 무엇을 얻겠다고 여당의 재선 의원을 상대로 고소했겠느냐""고 토로했다.  경찰 등에 따르면 A씨는 지난달 25일 준강제추행 혐의로 장경태 의원을 고소했다. 이후 장 의원은 성추행 의혹을 부인하며 A씨를 무고 혐의로 고소하고, A씨 전 남자친구를 상대로도 무고 및 폭행 혐의로 고소·고발장을 냈다.",https://n.news.naver.com/mnews/article/008/0005287667
2025-12-04 22:49:00,"미국 무역대표부 ""트럼프, 내년 USMCA 탈퇴 결정할 수도""","제이미슨 그리어 미국무역대표부(USTR) 대표가 도널드 트럼프 미국 대통령이 내년 USMCA(미국·캐나다·멕시코 간 원칙적 무관세 무역헙정) 탈퇴를 선언할 수도 있다고 3일(현지시간) 언론 인터뷰에서 밝혔다.  그리어 대표는 이날 공개된 다샤 번스 폴리티코 기자와 인터뷰에서 ""(USMCA 탈퇴에 관한) 시나리오는 항상 존재한다""며 이 같이 밝혔다.  그리어 대표는 ""트럼프 대통령은 좋은 거래만 원한다""며 ""USMCA에 공동 검토 기간을 둔 것은 필요한 경우 협정을 수정하거나 협정에서 탈퇴할 수 있어야 하기 때문""이라고 했다.  USMCA는 트럼프 1기 행정부 때인 2020년 북미자유무역협정(NAFTA)를 대체할 목적으로 USMCA를 발효시켰다. USMCA는 6년마다 미국, 캐나다, 멕시코 3개국이 공동 검토를 통해 연장 여부가 결정되며, 연장하지 않기로 3개국이 합의하면 2036년에 폐기된다.  트럼프 대통령은 멕시코와 캐나다가 USMCA를 이용, 미국과 무역을 통해 일방적으로 막대한 이득을 취했다고 주장했다.  트럼프 대통령은 전날 취재진과 만난 자리에서 USMCA에 관해 ""1년 뒤 만료되는데 만료되도록 내버려 둘 수도 있고 멕시코, 캐나다와 다른 협정을 맺을 수도 있다""며 ""멕시코와 캐나다는 다른 모든 나라들처럼 미국을 이용해 왔다""고 했다.  이날 그리어 대표도 트럼프 행정부가 멕시코, 캐나다와 따로 협상해 각각 협정을 체결할 가능성도 있다면서 이번주 트럼프 대통령과 이에 관한 대화를 나눴다고 말했다.",https://n.news.naver.com/mnews/article/008/0005287666
2025-12-04 22:38:00,"한미그룹 ""2030년 매출 5조원 목표…주주환원율 최대 30% 확대""","한미그룹이 '다시, 창조와 혁신'을 캐치프레이즈로 한 장기 비전을 공개했다. 2030년 계열사 합산 매출 5조원을 달성한다는 목표다. 올해 그룹 총 매출은 약 2조원 수준으로 예상된다. 한미사이언스, 한미약품, JVM(제이브이엠)의 2030년 영업이익률 목표는 각각 25% 이상, 20% 이상, 20% 이상이다.  한미그룹은 4일 최근 서울 송파구 방이동 본사 인근에 신축한 '한미 C&C 스퀘어'에서 주요 증권사 연구원과 투자자 대상의 기업설명회 '한미 비전 데이'를 열고, 비만과 안티에이징(항노화), 디지털헬스케어, 로보틱스 등 4가지 핵심 영역 중심의 '2030 성장 전략 로드맵'을 발표했다.  설명회에는 한미사이언스 대표이사 김재교 부회장과 한미약품 대표이사 박재현 사장, JVM 이동환 대표, 한미약품 R&D센터장 최인영 전무 등 전문경영인이 참석해 직접 발표했다. 한미그룹 임주현 부회장도 함께 참석해 무게감을 더했다.  한미그룹은 탄탄한 토대에 혁신을 더한 '듀얼 모멘텀 전략'을 기반으로 이전보다 더욱 가속화한 성장에 주력하겠다는 포부를 밝혔다.  한미사이언스는 기존 사업구조를 신약과 바이오 중심의 '한미약품'(북경한미·한미정밀화학)과 '한미약품 외 사업군(JVM·온라인팜·의료기기·컨슈머헬스케어)'으로 재편한 성장 전략을 제시했다.  한미그룹은 지주회사 한미사이언스 내에 그룹의 미래 사업 발굴과 전략적 성장 기회를 극대화하는 '기획전략본부'와 '이노베이션본부'를 신설했다. 두 본부는 김재교 부회장이 직접 구축한 조직으로, 그룹의 전략 실행 컨트롤타워 역할을 수행하고 있다.  한미약품은 2030년 국내 매출 1조9000억원, 해외 매출 1조원 등 총 2조9000억원의 목표 매출 달성을 다짐했다. 연 매출 100억원 이상의 가치를 지닌 한미를 대표할 수 있는 제품을 매년 1건 이상 출시하는 것이 목표다. 올해 출시한 3분의 1 저용량 항고혈압제 '아모프렐', 글루카곤 유사 펩티드-1(GLP-1) 계열 비만 치료제 '에페글레나타이드', '롤론티스 오토인젝터' 등 제품을 육성한다.  한미약품은 비만과 노화 간 공통 병리기전을 활용해 항노화 효과를 추가로 규명해 나갈 계획이다. '항노화·역노화 프로젝트'의 경우 치료의 가능성을 검증하는 툴로써 인크레틴 기반 약물이 주요한 역할을 할 것으로 내다봤다. 2030년경에는 항암, 비만 및 대사성 질환을 넘어 항노화·역노화 연구로의 확장이 한미약품의 새로운 도약 시기가 될 것으로 전망했다.  한미사이언스 계열사 JVM은 의약품 조제 자동화 장비 중심에서 로보틱스 기반의 신규 자동화 솔루션 영역으로 확장해 나간다. 올해 JVM 매출은 약 1700억원으로 예상되며, 2030년 5000억원까지 약 3배, 연평균으로는 24%의 성장 목표를 수립했다.  한미사이언스 의료기기 분야에서는 수술용 치료재료 외에도 기구와 기계 등으로 영역을 넓히면서 글로벌 유통망 확장에도 주력한다. 한미그룹 의약품 유통기업 온라인팜은 약국과 병원을 연계한 디지털 플랫폼 관련 신사업을 확대할 계획이다.  한미그룹은 해외 지역별 주요 거점을 구축해 글로벌 시장 진출에도 속도를 낼 방침이다. 미국을 최우선 진출 거점으로 확보하고, JVM 중국 생산법인을 설립한 이후 유럽과 중동·남미·동남아 등 글로벌 시장 공략을 가속화할 계획이다.  한미사이언스는 헬스케어 사업 확장에도 적극 나설 계획이다. 한미사이언스 주력 제품인 '완전두유'는 신소재가 적용된 기능성 무가당 두유로 제품군을 확대한다. 식품 분야에서는 어린이 영양제 등 어린이 제품군을 확장하며, 의료기기 사업 부문에서는 수술용 치료재료 품목 확과 치료기기 영역으로 진출해 나갈 계획이다.  향후에는 소비자 건강 영역으로 사업을 더욱 확장해 △새로운 화장품 브랜드 출시 △케어푸드 시장 진출 △건강기능식품 브랜드를 육성하며, 의료기기 분야에서는 체외진단, 최소침습 치료기기, 노인용 의료·보조기기 등 '의료기기 신규사업 진출' 등 차별화된 B2C(기업과 소비자 간 거래) 브랜드 기반의 신사업 진출을 가속화한다.  한미그룹은 주주친화 정책도 공개했다. 최소배당금제도를 우선 실시하고, 성장에 따른 이익을 주주들에게 환원하기 위해 최소총주주환원율 제도를 운영할 계획이다. 한미사이언스는 30%, 한미약품은 20%, JVM은 20% 이상의 총주주환원율을 계획하고 있다.  자사주 매입과 임직원 주식기반보상제도를 통해 임직원의 성과 보상과 업무에 대한 동기부여뿐 아니라, 우수한 인재가 한미그룹에서 성장할 수 있는 기반을 마련하고, 안정적인 주주환원 정책을 펼친다는 방침이다.  김재교 부회장은 ""이번 사업 포트폴리오 재편은 한미그룹 성장축을 다변화해 미래 경쟁력을 강화하기 위한 전략적 선택""이라며 ""핵심 사업인 신약·바이오 역량은 더욱 고도화하고, 약품 외 사업군은 새로운 성장동력을 창출해 그룹의 사업 연계 구조를 확장해 나가겠다""고 말했다.",https://n.news.naver.com/mnews/article/008/0005287665
2025-12-04 22:22:00,"""학교 갈 준비"" 동덕여대 칼부림 협박범 검거...마산 사는 10대 여성","남녀공학 전환이 결정된 동덕여대를 겨냥해 칼부림 예고 글을 올린 10대 여성이 경찰에 붙잡혔다.  4일 서울경찰청에 따르면 남대문경찰서는 이날 10대 여성 A씨를 특정하고 주거지인 마산 관할 경남경찰청과 공조를 통해 검거했다고 밝혔다.  A씨는 전날 자신의 SNS(소셜미디어)에 동덕여대를 겨냥해 '학교 갈 준비가 됐다'는 영어 문구와 함께 칼이 든 가방 사진을 첨부한 온라인 게시글을 게시한 혐의를 받는다.  경찰은 A씨의 주거지인 마산 관할 경찰서로 사건 이송해 구체적인 범행경위 등을 조사할 예정이다.  현재까지 서울경찰청에서 공중협박 혐의로 검거한 피의자는 총 47명이다. 경찰에 따르면 인터넷이나 SNS에 협박 게시글을 올린 피의자들은 대부분 자신의 행위가 단순한 장난 또는 불만 표시였을 뿐이라고 주장했다.  경찰은 ""실제 실행 의사와 관계없이 이러한 행위는 시민들에게 불안감을 조성하고 사회 안전망을 교란하는 명백한 범죄 행위""라며 ""앞으로도 경찰은 불특정 다수를 겨냥한 협박 행위에 대해 끝까지 추적해 법에 따라 엄정하게 처벌할 것""이라고 강조했다.  앞서 동덕여대에선 칼부림 예고 글이 올라오면서 이날 오후 2시에 예정돼 있던 교내 래커 제거 행사와 재학생 시위가 잠정 연기됐다. 학교 측은 홈페이지를 통해 ""최근 온라인상에 학교를 대상으로 한 위협성 글이 확인됐다""며 ""행사 참여 인원의 안전이 우려돼 부득이하게 일정을 연기한다""고 설명했다.  한편 경찰은 지난 3월 공중협박죄 신설 이후 불특정 다수를 상대로 한 폭발물·흉기난동 등 범죄에 대해 태스크포스(T/F)를 구성해 추적수사·검거 활동을 이어왔다.",https://n.news.naver.com/mnews/article/008/0005287663
2025-12-04 21:59:00,"김민석 총리, 태안 어선 전복사고에 ""자원 총동원해 인명구조"" 지시","김민석 국무총리가 충남 태안 천리포 해상에서 발생한 어선 전복 사고와 관련해 ""함정과 항공기 및 사고해역 주변을 운항 중인 어선과 상선 등 가용세력을 총동원해 최우선으로 인명을 구조하고 실종자 수색에 만전을 기하라""고 지시했다.  총리실은 4일 보도자료를 통해 김 총리가 해양수산부와 해양경찰청에 이 같은 내용으로 긴급 지시했다고 밝혔다.  김 총리는 행정안전부와 국방부, 충청남도, 태안군에 ""해상 구조에 동원 가능한 인력과 장비를 적극 지원해 현장 구조 활동이 원활히 이뤄질 수 있도록 협조하라""고 했다.  소방청엔 ""해상 구조 활동과 협조체계를 구축해 육상으로 이송되는 환자들에 대해 응급 구호 조치를 지원하라""고 당부했다.  또 김 총리는 ""현재 해상에 풍랑 특보가 발효돼 구조 작업에 위험성이 있는 만큼 구조 대원의 안전에도 만전을 기하라""고 강조했다.  앞서 이날 오후 6시 20분께 태안 천리포 인근 해상에서 승선원 7명이 탄 9.77t 규모 어선이 전복됐다. 현재까지 승선원 7명 중 3명은 구조된 것으로 알려졌으며, 해경은 나머지 인명을 수색 중이다.  앞서 이날 오후 6시20분쯤 충남 태안 해역 천리포 북서방 약 2.5㎞ 떨어진 해상에서 연안자망 어선(9.77톤, 인천 선적)이 전복됐다.  현재까지 어선에 타고 있던 승선원 7명 중 3명을 구조됐다. 이후 나머지 4명에 대한 수색 중 1명이 심정지 상태로 구조돼 병원으로 이송 중인 것으로 확인됐다. 해경은 경비함정 4척과 연안 구조정 2척 등을 동원해 구조작업을 계속하고 있다.",https://n.news.naver.com/mnews/article/008/0005287662
2025-12-04 21:53:00,태안 해상서 어선 전복...구조한 4명 중 1명은 심정지,"충남 태안 천리포 인근 해상에서 어선이 전복돼 승선원 7명 중 3명이 실종된 가운데, 해경이 비상 대응 체제로 전환해 집중 수색에 나섰다.  4일 뉴스1에 따르면 이날 오후 6시20분쯤 충남 태안 해역 천리포 북서방 약 2.5㎞ 떨어진 해상에서 연안자망 어선(9.77톤, 인천 선적)이 전복됐다.  신고를 접수한 태안 해경은 어선에 타고 있던 승선원 7명 중 3명을 구조했다. 이후 나머지 4명에 대한 수색 중 1명이 심정지 상태로 구조돼 병원으로 이송 중인 것으로 확인됐다.  해경 관계자에 따르면 구조된 3명은 현재 천리포항으로 옮겨졌고 곧 인근 병원으로 이송된다. 이들은 저체온증을 호소하고 있으나 생명에는 지장이 없는 것으로 알려졌다.  해경은 경비함정 4척과 연안 구조정 2척 등을 동원해 구조작업을 계속하고 있다. 해경 관계자는 ""현재 실종 선원 3명에 대해서는 전복된 어선과 그 주변에서 계속 수색 중""이라고 말했다.",https://n.news.naver.com/mnews/article/008/0005287661
2025-12-04 21:49:00,30년간 '두 집 살림' 남성…두 번째 아내는 유부남인 것 알고 만나,"약 30년 동안 두 가정을 오가며 이중생활을 한 싱가포르의 남성이 '중혼죄'로 징역형을 선고받았다.  싱가포르 매체 CNA는 지난 3일(현지시간) ""67세 남성 응모씨가 전날 법원에서 중혼 혐의로 징역 1년5개월을 선고받았다""고 보도했다.  응씨의 두 집 살림은 한 제보자가 싱가포르 이민검문국(ICA)에 이메일을 보내 폭로하면서 밝혀진 것으로 전해졌다.  보도에 따르면 응씨는 첫 번째 아내 A씨(66)와 10대 때 만나 1980년 싱가포르에서 결혼해 두 자녀를 뒀다.  이후 응씨는 1985~1995년 사업을 위해 말레이시아에 자주 방문했고, 이 과정에서 또 다른 여성 B씨를 만나 교제하기 시작했다.  응씨는 B씨에게 주거지를 마련해 주고 말레이시아에 갈 때마다 함께 지냈다. B씨는 응씨가 기혼자라는 사실을 알고 있었다.  1995년 당시 37세였던 응씨는 B씨 부모 집에서 전통 혼례를 치렀다. 다만 두 사람은 말레이시아 당국이 싱가포르에 관련 사실을 조회할 수 있다는 우려 때문에 혼인신고를 하진 않았다.  이후 응씨는 B씨와의 사이에서도 두 자녀를 뒀다. 제보자 폭로 후 응씨가 조사받는 과정에서 첫 번째 아내 A씨가 '두 번째 가족'의 존재를 알게 됐고, A씨는 응씨를 상대로 이혼 소송을 진행 중이다.  법정에서 검찰은 응씨에 대해 징역 2년을 구형했지만, 재판부는 징역 1년5개월을 선고했다. 판사는 ""응씨가 두 번째 아내 B씨를 기만하지 않은 점을 고려해 형을 정했다""고 밝혔다.  싱가포르는 법적으로 혼인 상태인 사람이 또 다른 결혼을 시도하면 중혼죄를 저지른 것으로 본다. 이 경우 최대 7년의 징역형에 처할 수 있다.",https://n.news.naver.com/mnews/article/008/0005287659
2025-12-04 21:42:00,"[속보]김민석 총리, 태안 어선 전복사고에 ""자원 총동원해 인명 구조""","김민석 국무총리가 4일 충남 태안군 모항항 북방 해상에서 발생한 어선 전복사고와 관련해 ""해양수산부, 해양경찰청은 함정과 항공기 및 사고해역 주변 운항 중인 어선과 상선 등 가용세력을 총동원해 최우선적으로 인명을 구조하고, 실종자 수색에 만전을 기하라""고 지시했다.",https://n.news.naver.com/mnews/article/008/0005287658
2025-12-04 21:37:00,"윤호중 행안장관, 태안 어선 전복 사고에 ""선원 구조에 총력""","윤호중 행정안전부 장관은 4일 오후 6시20분쯤 충남 태안 해상에서 발생한 어선 전복사고와 관련해 신속한 구조를 지시했다.  윤 장관은 "" 해양수산부, 해양경찰청, 충청남도, 태안군 등 관계기관은 가용한 모든 선박과 장비를 즉시 투입해 선원을 신속하고 안전하게 구조하라""며 ""사고 해역에 기상·해상 상태를 면밀히 점검해 2차 사고가 발생하지 않도록 철저히 관리해달라""고 긴급 지시했다.  윤 장관은 현장의 신속한 대응수습을 위해 행안부 현장상황관리관도 급파했다.  태안해양경찰서에 따르면 이날 충남 태안 천리포 북서쪽 2.5㎞ 바다에서 9.77t 어선이 전복돼 해경이 구조에 나섰다. 배에는 선원 7명이 탄 것으로 확인됐다.",https://n.news.naver.com/mnews/article/008/0005287657
