제목,본문,날짜,링크
남산 케이블카 '64년 독점' 안 깨졌다…공공 곤돌라 사업 '불투명',"명동역에서 남산 정상까지 5분 만에 갈 수 있는 '남산 곤돌라' 사업 추진이 불투명해졌다. 법원이 남산 곤돌라 운영을 위해 서울시가 결정한 대상지 용도구역 변경을 취소하면서다. 서울시는 관련 법 개정을 통해 남산 곤돌라 사업을 지속하겠다는 방침이지만, 실제 사업이 재개되기까지는 상당한 시간이 걸릴 것으로 전망된다.  19일 서울시와 법조계에 따르면 서울행정법원 행정6부(나진이 부장판사)는 이날 기존 남산 케이블카 운영사인 '한국삭도공업' 등이 서울시를 상대로 낸 도시관리계획결정 처분 취소 소송에서 원고 승소로 판결했다. 앞서 삭도공업은 지난해 9월 서울시가 곤돌라 사업을 위해 도시자연공원구역 해지 기준에 어긋나는 용도구역 변경 결정을 했다며 이를 취소해달라는 소송을 냈다. 이들은 또 곤돌라가 설치되면 케이블카 이용객이 감소해 재산상 상당한 피해를 볼 것이라고 주장했다.  재판부는 삭도공업 등 원고의 주장을 받아들여 서울시의 용도구역 변경이 절차를 위반했다고 판단했다. 도시자연공원구역을 변경·해제하려면 녹지가 훼손돼 자연환경 보전 기능이 현저히 떨어졌거나 도시민의 여가·휴식 공간으로서 기능을 상실한 경우에만 가능한데, 서울시가 이러한 요건을 충족하지 못한 상태에서 곤돌라 설치를 목적으로 도시자연공원구역을 해제했다고 판시했다.  이어 ""도시자연공원구역을 시설공원으로 변경할 필요가 있더라도 이는 기본적으로 쟁점조항의 개정을 통해 입법적으로 해결할 문제""라며 ""피고(서울시)가 주장하는 사정들을 근거로 쟁점조항의 해석을 달리할 수 없다""고 설명했다.  남산 곤돌라는 남산에서 역에서 남산 정상까지 '5분 컷'을 가능하게 하는 공공 이동시설로, 오세훈 서울시장이 64년간 이어진 남산 케이블카의 독점 구조를 해소하고 일대를 활성화하기 위해 추진한 사업이다. 5대의 곤돌라가 시간당 최대 2000명을 태우고, 명동역에서 200ｍ 떨어진 예장공원 하부승강장과 남산 정상부까지 804ｍ 구간을 오간다. 남산공원 기본조례에 따라 곤돌라 운영 수익 전부를 생태환경 보전 사업이나 시민 여가 활동을 위해 사용된다. 그러나 이번 판결로 남산 곤돌라 사업은 장기간 표류하게 됐다. 곤돌라 공사는 지난해 하부 승차장이 들어설 이회영기념관의 철거공사에서 이미 1년 이상 중단됐다. 공정률은 15%대에 멈췄다. 서울시는 서울행정법원의 남산 곤돌라 도시관리계획 변경 결정 처분 취소 판결에 대해 공익성이 배제된 판결이라며 즉시 항소하겠다는 입장이다. 또 관련 공원녹지법 시행령 개정을 통해 곤돌라 사업을 계속 추진할 방침이다. 김창규 서울시 균형발전본부장은 ""법원의 이번 1심 판결은 서울시가 '남산의 공공성 회복'이라는 원칙에 따라 추진해 온 정책적 판단을 충분히 반영하지 못한 결정""이라며 ""해당 도시관리계획 변경 결정 처분은 도시자연공원구역 변경 요건을 갖춘 행정조치""라는 강조했다.  이어 ""남산 곤돌라는 이동약자·노약자 등 그동안 남산 접근이 쉽지 않았던 교통약자의 접근성을 보장하고, 특정 민간 중심으로 운영돼 온 구조를 바로잡기 위한 서울시의 핵심 정책""이라며 ""항소심에서 도시관리계획 변경의 적법성, 정책적 필요성, 공익성을 명확히 입증할 것""이라고 덧붙였다.  한편 현재 유일한 관광 이동 수단으로 운영 중인 남산 케이블카에 대한 비판의 목소리는 끊이지 않고 있다. 국가적 관광·환경자원을 특정 개인이 60여년 넘게 독점하면서 사익을 취하고 있다는 지적이다. 앞서 이재명 대통령은 이달 16일 국무회의에서 ""남산 케이블카는 60년 동안 땅 짚고 헤엄치기를 하고 있다""며 ""왜 특정 개인이 수십 년간 특혜를 누리느냐""고 지적했다.  이 같은 남산 케이블카 독점 구조를 해결하기 위한 입법도 나온 상황이다. 국회 국토교통위원회는 전날(17일) 전체회의를 열고 케이블카 등 '궤도사업' 허가 유효기간을 최장 20년으로 제한하고, 기간 만료 이후 재허가받도록 하는 '궤도운송법' 개정안을 통과시켰다. 해당 법안이 국회를 통과한다면 한국삭도공업 역시 2년 안에 재허가를 받아야 한다.  현재 남산 케이블카는 1961년 사업 허가를 받은 한국삭도공업이 3대째 가족기업 형태로 세습, 64년간 독점 운영하고 있다. 대한제분 사장이었던 한석진 씨가 설립한 이후 한광수·이기선 공동대표를 포함해 일가족 6명이 지분을 나눠 보유 중이다. 지난해 남산 케이블카 이용객은 126만 명으로, 삭도공업의 매출은 220억원 이상으로 추산된다. 2021년부터는 남산 관광버스 진입이 통제되면서 유일한 교통수단이 됐다.  케이블카 서비스 품질에 대한 불만도 나온다. 남산이 주요 무대로 등장한 넷플릭스 애니메이션 '케이팝데몬헌터스' 방영 이후 관광객 수요가 늘어나면서다. 기존 48인승 케이블카 2대로는 정상적인 서비스가 불가능하다고 것이다. 남산 관광객은 연간 1100만 명에 달해 케이블카를 타려면 최소 1~2시간 기다려야 하는 등 불편이 지속되고 있다.",2025.12.19. 오후 3:37,https://n.news.naver.com/mnews/article/008/0005294392
"기부는 정체, 물가는 급등…'먹거리 안전망' 푸드뱅크 이중고","불경기 속 푸드뱅크를 향한 기부 모금이 정체 국면에 빠졌다. 물가가 가파르게 오르고 취약계층은 늘어나며 같은 재원으로 더 많은 수요를 감당해야 하는 상황이 이어지면서 취약계층의 식탁을 떠받치는 현장에 부담이 쌓이고 있다.  지난 18일 오후 조모씨(63)는 스쿠터를 타고 서울 강남구의 한 푸드지원센터를 방문했다. 입구에서 신원을 확인받고 진열대에 가지런히 놓여있는 식료품과 생필품을 3분 정도 둘러본 그는 고민 끝에 섬유유연제 1통, 빵 3개, 3분 짜장카레 1개를 골랐다. 모두 기부로 마련된 물건들이어서 조씨는 값을 치르지 않고 가져갈 수 있었다.  푸드지원센터를 약 1년간 이용했다는 조씨는 ""한 끼가 아쉬운데 이렇게라도 받을 수 있으니 얼마나 좋냐""며 ""품목이 조금 더 다양했으면 좋겠다는 바람도 있다""고 말했다.  조씨가 찾은 푸드지원센터는 민간 기부를 바탕으로 취약계층에 식품과 생활용품을 지원하는 곳이다. 기업·개인 기부 물품을 복지시설에 배분하는 푸드뱅크와, 이용자가 직접 물품을 고르는 푸드마켓 기능을 통합해 운영된다. 전국푸드뱅크 홈페이지에 따르면 서울에 31곳, 전국에 441곳 푸드뱅크 사업장이 지역 '먹거리 안전망' 역할을 하고 있다.   ""직원 급여 줄여 먹거리 산다""…고물가·기부금 정체에 허덕이는 푸드뱅크   이같은 푸드지원센터에 모이는 기부금은 최근 정체 국면에 접어든 모습이다. 서울시에 따르면 서울푸드뱅크 전체 모금액은 2023년 436억7000만원에서 지난해 421억7000만원으로 3.4% 줄었다. 올해는 10월까지 362억6000만원이 모금됐다. 연말 기부 시즌을 감안하더라도 2023년 수준을 크게 웃돌기는 어려울 것으로 보인다. 기부 규모가 일정 수준에서 멈춰 섰다는 해석이 나온다.  기부금 예산은 정체된 반면 식품 물가는 치솟고 있다는 점도 푸드지원센터 운영을 더욱 버겁게 만드는 요인이다. 국가통계포털(KOSIS)에 따르면 지난달 전국의 '식료품 및 비주류음료' 물가지수는 127.1로, 기준연도인 2020년(100) 대비 27.1% 상승했다.  같은 기간 전체 소비자물가지수 상승률은 17.2%에 그쳤다. 푸드뱅크와 푸드마켓이 주로 다루는 쌀·빵·가공식품·생활용품 등 필수 품목 가격이 전체 물가보다 더 가파르게 오른 셈이다.  반면 푸드뱅크 수요는 줄지 않았다. 고물가 상황이 장기화하면서 푸드지원센터를 찾는 취약계층은 오히려 늘어나는 추세다. 강남구의 경우 푸드마켓 이용 대상자가 꾸준히 늘어 현재 약 3000명까지 증가했다.  직원 급여를 줄여 먹거리를 마련하는 곳도 있다. 대전 지역의 한 푸드마켓 관계자 A씨는 ""고물가에 특히 식품류가 비싸졌고 취약계층 먹거리 수요도 늘어나고 있는데 기부금마저 정체라 위험한 상황""이라며 ""우리도 여기저기서 후원금을 충당하고 있는데 (먹거리를 사느라) 사업비에 돈을 쏟게 되면 인건비가 줄어서 일부 직원은 급여를 전부 못 받는 경우도 생겼다""고 말했다.  현장 관계자들은 체감 경기를 가장 큰 원인으로 꼽는다. 기업의 사회공헌(CSR) 예산 축소와 개인 기부 여력 감소가 동시에 나타나고 있다는 설명이다.  서울시내 한 푸드지원센터 관계자 A씨는 ""구에 있는 기업들을 대상으로 기부·후원 홍보를 하고 있지만 예전만큼 쉽지 않다""며 ""거동이 불편한 가구에 주 1회씩 식료품 꾸러미를 배달해주던 외부 대행업체가 최근 폐업하면서 지원 방식에도 차질이 생겼다""고 말했다.",2025.12.19. 오후 3:36,https://n.news.naver.com/mnews/article/008/0005294391
[스팟]코스닥 13.94포인트(1.55%) 오른 915.27 마감,19일 코스닥 마감.,2025.12.19. 오후 3:33,https://n.news.naver.com/mnews/article/008/0005294390
"서울시 '남산 곤돌라 사업' 제동…법원 ""용도구역 변경 취소""","남산 곤돌라 사업을 진행하는 서울시가 남산 케이블카 업체와의 소송에서 패소해 곤돌라 사업에 제동이 걸리게 됐다.  서울행정법원 행정6부(부장판사 나진이)는 19일 오후 한국삭도공업 등이 서울시를 상대로 제기한 도시관리계획결정 처분 취소 청구 선고공판을 열고 ""서울시의 남산 용도구역 변경을 취소한다""고 밝혔다.  재판부는 해당 결정이 국민의 권리·의무에 직접적인 영향을 미치는 행정처분에 해당한다고 보고, 남산타워 반경 2㎞ 이내 거주자와 해당 범위 내 학교 재학생과 남산 케이블카 운영회사의 원고적격을 인정했다. 다만 이미 졸업한 대학생의 경우 원고적격은 인정하지 않았다.  서울시는 남산 곤돌라 설치계획을 수립하고 지난해 2월 도시계획시설결정 선행결정을 내렸다. 설치계획 등에 따르면 곤돌라 지지를 위해 지주(철탑) 5개가 시공되고 그중 높이 45~50m의 지주 2개가 남산도시자연공원구역에 속하는 부분에 설치될 예정이었다. 그러자 서울시는 해당 구역을 근린공원으로 편입하는 도시관리계획결정을 내렸다.  그러나 재판부는 도시자연공원구역을 변경·해제하려면 도시공원 및 녹지 등에 관한 법률 시행령이 정한 요건을 충족해야 한다고 판단했다. 현행 규정은 녹지가 훼손돼 자연환경 보전 기능이 현저히 떨어졌거나 도시민의 여가·휴식 공간으로서 기능을 상실한 경우에만 변경 또는 해제가 가능한데, 재판부는 쟁점 구역이 이러한 요건을 충족하지 못한 상태에서 곤돌라 설치를 목적으로 도시자연공원구역에서 해제된 점을 문제 삼았다.  서울시는 지난해 9월 남산 곤돌라 착공식을 열었으나 한국삭도공업은 도시관리계획 변경이 위법하다며 취소소송과 집행정지를 제기했다. 한국삭도공업은 서울시가 도시자연공원구역을 '도시계획시설(공원)'로 변경한 조치가 공원녹지법상 해제 기준을 충족하지 못해 위법하다고 주장했다. 인근 대학 재학생, 환경단체 등도 반발해 소송을 제기했다.  한국삭도공업은 케이블카 이용객 감소로 인한 재산 피해 우려 등을 주장했고, 대학 재학생과 환경단체 등은 인근 학교 학습권 침해와 자연환경 훼손 우려를 주장했다. 서울시는 중간 지주 설치 등 사업 특성상 용도구역 변경이 불가피했다는 입장이다.  공사는 지난해 법원이 남산케이블카 운영사인 한국삭도공업의 집행정지 신청을 받아들인 이후부터 쭉 중단된 상태였다. 서울시는 기존부터 1심 결과 상관없이 도시자연공원구역 높이 제한을 완화하는 공원녹지법 시행령 개정안을 통해 사업을 이어갈 수 있다는 입장이다.",2025.12.19. 오후 3:33,https://n.news.naver.com/mnews/article/008/0005294389
"중국, 미 국채 보유규모 '17년 최소'…""달러 함정에 빠지지 않게""","중국이 미국 국채 보유 규모를 17년 만에 최저 수준으로 줄였다. 미국 재정의 재정 지속 가능성에 대한 우려가 커지며 달러 자산에 대한 신뢰가 약화된 결과다. 중국 내에선 미국을 중심으로 한 외부 시장 의존도를 낮춰 중국이 달러 함정에 빠질 가능성을 최소화해야 한다는 의견이 힘을 받는다.  19일 홍콩 사우스차이나모닝포스트(SCMP)는 미국 재무부 자료를 인용해 중국의 미국 국채 보유액이 10월 말 기준 6887억 달러로, 9월 7005억 달러에서 1.7% 감소했다고 보도했다. 10월 수치는 2008년 11월 이후 가장 낮은 수준이다. 중국 금융 데이터 제공업체 윈드에 따르면 국채 보유액 정점이던 2013년 11월 1조3200억 달러 대비 47% 급감한 결과다.  일본에 이어 미국 국채를 가장 많이 보유했던 중국은 지난 3월 영국에 밀려 보유량 순위 3위로 내려앉았다. 도널드 트럼프 미국 대통령 1기 집권 시기부터 시작된 보유 규모 축소 흐름이 이어진 결과다. 이 같은 추세는 올해도 계속됐다. 특히 미국 재정 지속 가능성에 대한 우려가 커졌고, 백악관이 금리 인하를 압박하면서 연방준비제도의 독립성에 대한 불안도 확산됐다.  중국사회과학원 선임 경제학자이자 전 인민은행 고문 위융딩은 달러 자산 위험이 커지고 있다며 ""중국의 부상은 미국의 국제수지 체제를 무너뜨릴 수 있다""며 ""중국은 가능한 한 빨리 경상수지 균형을 이루고 특히 미국을 중심으로 한 외부시장 의존도를 낮추는 동시에 달러 함정에 빠질 위험을 최소화해야 한다""고 지적했다.  중국은 미국 국채 보유를 줄이는 한편, 금 매입을 이어갔다. 중국은 11월까지 13개월 연속 금 보유량을 늘렸으며 11월에만 3만 온스를 추가 매입해 총 보유량을 7412만 온스로 늘렸다. 이는 3106억 달러에 해당하는 규모다.  한편, 10월 기준 외국인의 미국 국채 총보유액은 9조2430억 달러로, 9월의 9조2480억 달러에서 소폭 감소했다. 최대 보유국인 일본은 10월 보유액을 1조1890억달러에서 1조2000억 달러로 늘렸고 영국 역시 10월 보유액을 기존 8674억달러에서 8779억 달러로 확대했다. 다섯 번째로 미국 국채를 많이 보유한 캐나다는 10월 보유액을 크게 줄였다. 캐나다의 보유 규모는 9월 4758억 달러에서 10월 4191억 달러로 감소했다.",2025.12.19. 오후 3:33,https://n.news.naver.com/mnews/article/008/0005294388
[스팟]코스피 26.04포인트(0.65%) 오른 4020.55 마감,19일 코스피 마감,2025.12.19. 오후 3:33,https://n.news.naver.com/mnews/article/008/0005294387
"이재명 대통령, 공정위에 ""조사 불응 기업에 경제제재 장치 마련하라""","이재명 대통령이 일부 기업의 불공정행위와 관련해 ""(공정거래위원회 조사에) 불응하면 경제 제재를 가해야 한다""며 ""최대한 장치를 마련해달라""고 주문했다.  이 대통령은 19일 서울 종로구 정부서울청사에서 진행된 금융위원회·공정거래위원회의 업무보고에서 주병기 공정거래위원회 위원장에게 이같이 말했다.  이 대통령은 ""(업무보고 내용 중) 불공정행위 제재의 실효성 제고 항목에 조사 실효성 제고를 위한 강제조사권 도입이 있다. 현재 불공정행위에 대한 강제조사권은 불가능한가""라고 물었다. 이에 주 위원장은 ""지금 강제조사권은 없다""며 ""고발은 할 수 있다. 고발하면 검찰에서 형벌을 (가한다)""고 했다.  이 대통령이 ""(공정위가) 강제조사권을 갖지 못할 합리적 이유가 있느냐""고 하자 주 위원장은 ""만약에 영장 청구로 (조사를) 하면 단점이 있다""며 ""영장을 발급받아야 하는데 (상당한) 범죄 혐의가 있어야 한다""고 했다.  이 대통령은 ""범죄 수사의 일환으로 강제수사를 하는 것과 강제조사에 응할 의무를 부여하는 것은 다른 문제""라며 ""(자료) 제출 의무, 조사에 응할 의무를 부과하는 것과 범죄를 밝히기 위해 수사하는 것은 다르지 않느냐""고 말했다.  주 위원장은 ""일본은 (공정위가) 판사에게서 영장을 발급받아 영장을 통해 압수수색을 할 수 있다""며 ""EU(유럽연합)에서는 상당히 강한 과징금을 부여할 수 있다""고 했고 이 대통령은 ""과징금이 좋겠다""고 밝혔다.  이 대통령은 ""공정위는 시장의 질서를 합리적 유지하기 위해 있는 것""이라며 ""시장질서를 어지럽히는 것은 소수의 강자들""이라고 말했다. 이어 ""강자들은 원래 힘을 세고 영향력이 많다""며 ""무슨 법을 하나 만들거나 조사하거나 처분·최종결론을 내려고 해도 방해하고 흐지부지하게 만드는 힘이 있지 않느냐""고 했다.  이 대통령은 주 위원장에게 ""각오를 세게 하고 똑바로 제대로 잘해야 한다는 것""이라고 당부했다.",2025.12.19. 오후 3:31,https://n.news.naver.com/mnews/article/008/0005294386
"원/달러 환율 종가, 2원 내린 1476.3원",19일 서울 외환시장. 원/달러 환율 오후 3시30분 종가.,2025.12.19. 오후 3:30,https://n.news.naver.com/mnews/article/008/0005294385
대기업 총수일가 부당내부거래 과징금 상향…정액과징금 40억→100억,"공정거래위원회가 대기업 총수일가의 부당내부거래에 대한 과징금을 강화한다. 부당이득에 비례하는 수준으로 과징금이 부과될 수 있도록 정률과징금 부과 기준을 변경한다. 거래 규모 파악이 어려울 때 부과되는 정액과징금 수준은 40억원에서 100억원으로 늘린다.  공정위는 19일 오후 정부서울청사에서 열린 대통령 업무보고에서 이같은 내용 등이 담긴 '대기업 집단 규율과 혁신 인센티브' 방안을 발표했다.  공정위는 부당내부거래 등에 대한 제재 기준을 정비키로 했다.  이를 위해 자연인(총수일가)에 대한 정률과징금 부과 등 부당이득에 비례하는 과징금 부과가 가능하도록 과징금 산정방식 등을 개선한다.  예컨대 부당한 사업 기회 제공에도 정률과징금을 부과할 수 있도록 과징금 부과 기준을 관련매출액에서 거래제공규모로 변경한다. 또 정확한 거래 규모를 파악하기 어려울 때 부과되는 정액과징금도 현재 40억원에서 100억원 수준으로 높이기로 했다.  또 독점규제 및 공정거래에 관한법(공정거래법)을 개정해 대기업집단 규율을 회피하기 위한 탈법 행위(상호·순환출자 금지, 계열사 간 채무보증 금지 등)에 대해서도 과징금을 부과한다.  사익편취 규제 회피 방지 방안도 마련했다. 사익편취 규제 대상 지분율을 판단할 때 자사주는 제외하는 방식이다.  아울러 부당내부거래 및 계열사 누락 행위에 대한 감시는 강화한다. 총수일가 승계 및 지배력 확대 과정에서의 일감몰아주기, 우회적 자금지원 행위를 엄정 제재하고 금융·민생밀접 분야에 대해선 집중 감시를 실시한다.  시장의 자율적 감시 기반도 확대한다. 이를 위해 기업집단정보 원스톱 서비스를 제공하고, 계열사 간 부동산 등 투자자산 거래 정보까지 체계적으로 드러나도록 공시 양식을 재편한다.",2025.12.19. 오후 3:30,https://n.news.naver.com/mnews/article/008/0005294384
"공정위, 식품·교육·건설·에너지 등 4대분야 가격담합 집중점검","공정거래위원회가 식품, 교육, 건설, 에너지 등 민생밀접 4대 분야에 대한 담합 집중 점검을 실시한다.  공정위는 19일 정부서울청사에서 열린 대통령 업무보고에서 이같은 내용 등이 담긴 '민생 회복 지원, 국민 부담 완화' 방안을 보고했다.  공정위는 △식품 △교육 △건설 △에너지 등 생활밀접 4대 분야에 대한 가격 담합에 대한 집중 점검을 실시키로 했다. 주요 사건에 대해선 사건처리 전담팀을 운영해 신속 조사에 나설 방침이다.  구체적으로 식품은 설탕, 밀가루, 계란 등이 대상이다. 교육은 학습기기, 교육시설, 인쇄용지 등이 집중 점검 대상이다. 건설 분야에선 공공주택 신축공사 및 가스배관, 신축아파트 도배 등을 집중적으로 들여다볼 예정이다. 에너지 분야에선 바이오연료, 윤활유 등이 점검 대상에 올랐다.  특히 장기간 관행화된 가격 담합에 대해선 과징금 부과 외 가격 재결정 명령 부과 등도 적극 검토할 계획이다.  불공정거래를 실효성 있게 억지할 수 있도록 과징금·과태료 등 경제적 제재도 강화한다. 특히 이재명 대통령이 법제처에 지시한 공정위의 강제조사권 권한 부여 등도 검토할 예정이다.  가격 경쟁이 제한돼 있는 독과점 시장의 경쟁제한적 규제 개선에도 착수한다. 농산물 유통 및 주정 유통 시장이 대표적이다.  공정위는 출하자의 거래방식 선택권 및 시장 운영 효율성을 저해하는 도매시장법인 및 경매제 중심의 독과점적 유통거래구조를 개선할 방침이다. 또 주류제조사의 주정 구입 자율성과 주정제조사 간 경쟁을 제한하는 주정도매업자 중심의 유통구조도 들여다볼 계획이다.",2025.12.19. 오후 3:30,https://n.news.naver.com/mnews/article/008/0005294383
