날짜,제목,본문,링크
2025-12-19 22:51:00,선수촌 사격 실탄 2만발 … 아시안게임 금메달리스트 실업팀 감독이 몰래 빼돌려,진천선수촌에서 사격 실탄이 무단으로 유출된 사실이 확인된 가운데 실탄을 빼돌린 인물이 아시안게임 금메달리스트 출신으로 드러났다.  19일 경기북부경찰청에 따르면 한 광역시체육회 소속 사격팀 감독 A씨는 진천선수촌 탄약고에 선수 훈련용 실탄 22구경 10만발을 반입하는 과정에서 2만발 이상을 몰래 빼돌렸다.  진천선수촌 무기고는 출입이 엄격히 통제되고 있는데 선수가 실탄을 사용할 때마다 장부를 작성해야 하며 외부 반출 시 경찰 허가가 필요하다.  A씨는 아시안게임에서 2회 연속 금메달을 수상한 국가대표 출신으로 알려졌으며 실업팀 지도자로 활동해온 것으로 조사됐다. A씨는 현재 구속 상태로 경찰 조사를 받고 있다.  한편 이번에 유출된 22구경 실탄은 개조된 사제총기와 함께 사냥용으로 주로 사용되며 암시장에서는 정가의 10배가 넘는 가격으로 거래되는 것으로 알려졌다.  [이대현 기자],https://n.news.naver.com/mnews/article/009/0005609207
2025-12-19 22:49:00,“동의율 75% 말도 안돼”...재개발 조합 설립 기준 70%로 완화 ‘속도’,민주 천준호의원 대표발의 국힘 이어 규제완화 동참 서울 2만가구 재개발 촉진   더불어민주당이 재개발사업 추진위원회의 조합설립 동의율 조건을 75% 이상에서 70% 이상으로 완화하는 법안을 발의했다. 야당인 국민의힘에 이어 여당에서도 같은 법안이 나오면서 재개발사업의 걸림돌로 작용해온 높은 동의율이 하향 조정될 가능성이 커졌다.  19일 국회에 따르면 천준호 민주당 의원은 이 같은 내용을 담은 ‘도시 및 주거환경정비법 일부개정안’을 대표발의했다. 법안은 재개발사업 추진위가 조합설립인가를 받으려는 경우 토지 등 소유자의 동의율을 현행 75% 이상에서 70% 이상으로 하향 조정하는 것이 핵심이다.  개정안이 통과되면 재개발사업의 초기 문턱이 낮아져 사업 추진에 속도가 붙을 전망이다. 이렇게 되면 동의율 문제로 장기간 정체됐던 재개발 추진 구역의 병목이 해소돼 주택 공급이 더욱 원활해질 것으로 기대된다.  재개발사업과 달리 재건축사업은 최근 법 개정으로 조합 설립에 필요한 동의율이 이미 70%로 완화된 상황이다. 이에 재건축사업과의 형평성 측면에서도 규제 완화가 필요하다는 지적이 계속 제기돼 왔다.  엄태영 국민의힘 의원도 같은 내용으로 개정안을 발의한 만큼 법안이 통과될 가능성이 높다는 관측이 나온다. 엄 의원은 추가로 공급할 수 있는 용지가 거의 없는 서울에 주택 공급을 확대하기 위해서는 재개발·재건축 활성화가 반드시 필요하다는 입장이다.  당정이 준비 중인 세부 주택 공급 대책에도 신규 용지를 확보해 주택을 공급하는 방안과 함께 재개발·재건축 활성화 방안이 담길 예정이다. 현재 단계별로 인허가를 받는 재개발·재건축 절차를 한 번에 처리하는 절차 간소화 방안과 함께 재개발 동의율 하향 조정도 대책에 담길 가능성이 있다.  오세훈 서울시장도 지난 12일 재개발 현장을 방문해 동의율 70~75% 사이를 ‘깔딱고개’라고 언급하며 정부에 기준 완화를 요구하기도 했다. 그만큼 75%를 채우는 것이 어렵기 때문에 동의율 요건이 70%로 완화되면 재개발사업에 탄력을 받는 지역이 나올 것으로 보인다.  국회 국토교통위원회 검토보고서에 따르면 국토교통부도 “재개발사업의 조합설립 동의율 완화는 동의율 확보에 소요되는 기간이 단축돼 신속한 사업 추진을 지원할 수 있다는 장점이 있다”는 의견을 밝혔다.  다만 국회 국토위는 재개발사업이 재건축사업과 달리 토지 등을 수용하는 방식으로 시행돼 소유자 재산권에 대한 제한 강도가 크다는 점을 종합적으로 고려해 개정 여부를 결정할 필요가 있다고 지적했다.  천 의원은 “재개발사업의 조합설립 동의율 하향 조정으로 정비사업의 효율을 제고해 주택 공급 속도를 높일 것”이라고 말했다.,https://n.news.naver.com/mnews/article/009/0005609206
2025-12-19 22:48:00,"李 ""교통범칙금, 재력가에겐 효과 없어 … 더 내게 해야""","법무부·대검찰청·성평등가족부 업무보고 처벌가치 낮은 사건 기소 자제 촉법소년 연령 하향 논의 주문    이재명 대통령이 교통범칙금을 재력에 따라 차등 부과하는 방안을 검토해보라고 주문했다.  이 대통령은 대통령선거 공약으로 내세웠던 정책을 점검하기 위해 19일 정부서울청사에서 법무부·대검찰청·성평등가족부로부터 업무보고를 받는 자리에서 이같이 밝혔다. 이 대통령은 ""교통범칙금은 5만~10만원이면 서민에겐 제재 효과가 있지만, 일정한 재력이 있는 사람들은 10장을 받아도 아무 상관이 없어 계속 위반하는 것 아니냐""고 말했다.  촉법소년 연령 기준에 대한 관심도 드러냈다. 이 대통령은 ""촉법소년 연령을 낮추자는 주장이 있었는데 내부 검토가 있느냐""고 정성호 법무부 장관에게 물었다. 정 장관이 아직까지 정리된 입장이 없다고 답하자 이 대통령은 ""국무회의에서 논의해보자""고 했다.  이 대통령은 경제형벌 합리화 등에도 관심을 보이며 수사권이 남용되지 않도록 하는 것이 중요하다고 말했다. 특히 이 대통령은 ""법무부는 국가의 공인된 폭력을 제도적으로 행사하는 곳""이라며 ""절차적으로 정당해야 하고 결과도 정당해야 한다""고 강조했다. 이 대통령은 업무보고 시작에 앞서 검찰을 향해 ""국민에게 신체적 구속을 가하거나 인생을 재단할 수 있는 엄청난 권한을 갖고 있다""면서 ""권한이 공정하고 투명하며 객관적으로 행사될 수 있도록 각별히 신경 쓰라""고 당부했다.  업무보고 이후 이어진 질의응답 시간에는 검찰의 기계적인 항소·상고를 지적했다. 이 대통령은 ""당하는 쪽에서는 엄청 괴로운 일""이라며 ""공권력 행사에는 절차적·실체적 정당성이 반드시 확보돼야 한다""고 말했다.  무죄 선고가 나왔던 '초코파이 절도 사건'도 언급했다. 이 대통령은 ""경미하고 처벌 가치가 없는 것은 (기소를) 안 하는 제도를 만들어야 하지 않겠느냐""고 지적했다.  [성승훈 기자 / 김민소 기자]",https://n.news.naver.com/mnews/article/009/0005609205
2025-12-19 22:44:00,"주사이모, 박나래·키 저격?…“분칠한 것들 아낀 나만 XXX” SNS 글 논란","코미디언 박나래 매니저의 폭로로 ‘주사이모’ 논란이 불거진 가운데, 해당 인물이 연예인들을 저격하는 듯한 글을 올려 이목을 끈다.  19일 연예인들의 거주지에서 불법으로 주사 약물을 투약했단 의혹을 받고 있는 이른바 주사이모 A씨는 자신의 사회관계망서비스(SNS)를 통해 “분칠하는 것들과는 친하게 지내지 말라고 충고했었다. 내가 믿고 아끼는 사랑하는 동생들이라고 했는데 나만 XXX이네”라는 의미심장한 글을 남겼다.  이에 대해 일각에서는 박나래, 키, 입짧은햇님 등 ‘주사이모’ 논란에 연루된 사람들이 모두 “A씨가 의사인 줄 알았다”며 자신에게 책임을 돌린 것에 배신감을 느낀 게 아니냐는 추측이 나오고 있다.  앞서 전날 샤이니 키에 이어 유튜버 입짧은햇님까지 A씨에게 재택 진료를 받은 사실을 인정하며 활동 중단을 선언했다. 키와 입짧은햇님 두 사람 모두 지인의 소개로 강남구 소재의 병원에 방문했기에 A씨를 의사로 알았다는 입장이다.  이에 A씨는 “2014∼2019년 내몽고 의과대학 교수였던 거 맞다”며 “단지 2019년 코로나로 인해 내몽고에 갈 수 없었고 코로나 경제난에 힘들었다는 것과 2021년 7월 ‘과학기술대학’으로 바뀌었다는 소식을 난 늦게 통보를 받았다”며 자신이 의료인이라고 재차 주장했다.   이는 “12∼13년 전 내몽고라는 곳을 오가며 힘들게 공부를 했고, 내몽고 포강의과대학병원에서 외·내국인 최초로 최연소교수까지 역임했다”는 A씨의 주장에 지난 7일 공정한사회를바라는의사들의모임이 “박나래 주사이모가 나온 포강의대의 실체는 유령 의대다. 포강의과대학은 존재하지 않는다”고 지적한 것에 대한 반박으로도 풀이된다.  지난 18일 디스패치는 A씨가 입짧은햇님에게도 다이어트약을 처방해주고 링거를 놔주는 등 불법 의료 시술을 했다는 의혹을 제기했다.  입짧은햇님이 박나래 매니저에게 의약품을 전달해주는 ‘전달책’ 역할을 했다는 주장도 했다.  이날 공개된 메시지에 따르면 A씨가 박나래 매니저에게 “햇님이 내 약을 먹고 30㎏을 뺐다”며 다이어트 효능을 강조하기도 한다.  이에 입짧은햇님은 “A씨와 강남구 한 병원에서 처음 만났기 때문에 의심의 여지 없이 의사라고 믿고 진료받았다”고 해명했다.  그는 “현재 제기된 논란과 의혹에 대해서는 스스로 돌아보면서 정리하고 있으며 잘못된 부분이 있다면 인정하고, 변명하거나 책임을 회피하지 않겠다”며 활동 중단을 선언했다.  한편 서울 강남경찰서는 A씨가 근무했던 곳으로 알려진 서울 강남구 소재 병원을 의료법·보건범죄 단속에 관한 특별조치법 위반 등 혐의로 수사해달라는 고발사건을 접수하고 수사팀을 배당해 수사 중이다.",https://n.news.naver.com/mnews/article/009/0005609204
2025-12-19 22:37:00,"“22일 오전 7시 결과 나온다”…MLB 도전 송성문, 5개팀 관심 있다는데","포스팅을 통해 미국프로야구 메이저리그(MLB) 진출을 노리는 송성문(29·키움 히어로즈)이 19일 오후 미국행 비행기에 올랐다.  송성문은 미국 현지에서 에이전시 인디펜던트 스포츠 & 엔터테인먼트(ISE)가 MLB 구단과 협상한 내용을 확인하고, 계약 여부를 결정한다.  MLB 구단과 합의하면, 메디컬 테스트를 거쳐 계약이 확정된다.  미국(동부 시간 기준) 11월 22일 오전 8시부터 포스팅 절차에 들어간 송성문은 30일의 협상 기간 내에 MLB 팀과 계약을 마쳐야 한다. 마감 시간은 한국시간으로 22일 오전 7시다.  송성문의 KBO리그 통산 성적은 824경기, 타율 0.283, 80홈런, 454타점, OPS(출루율＋장타율) 0.778이다.  그는 2024년 타율 0.340, 19홈런, 21도루, OPS 0.927을 기록하며 KBO리그 정상급 내야수로 부상했고, 올해에도 타율 0.315, 26홈런, 90타점, OPS 0.917로 활약했다.  미국 스포츠 전문 매체 ESPN의 호르헤 카스티요 기자는 13일 자신의 소셜네트워크서비스(SNS)에 “송성문에게 관심을 보이는 팀이 최소 5개에 이른다”고 현지 분위기를 전했다.",https://n.news.naver.com/mnews/article/009/0005609203
2025-12-19 22:33:00,백악관 “물가 잡았다” 큰소리…블프 할인보고 ‘설레발 통계’ 냈나,"11월 CPI 4년만에 최저치 美정부 “역사적 경제 호황” 외신 “셧다운에 통계 왜곡”   미국의 11월 소비자물가지수(CPI)가 예상치를 대폭 밑돌면서 백악관이 트럼프 경제의 성과라고 자평했지만 통계 왜곡 가능성이 제기되며 논란이 일고 있다.  18일(현지시간) 캐럴라인 레빗 백악관 대변인은 “인플레이션이 시장 예상보다 훨씬 낮게 나타났음을 보여준다”며 “인플레이션은 계속 하락하고 임금이 오르면서 미국은 역사적 경제 호황을 향해 가고 있다”고 밝혔다.  앞서 미 노동통계국(BLS)에 따르면 11월 CPI는 전년 동월 대비 2.7% 상승하며 예상치(3.1%)를 밑돌았고, 근원 CPI도 2.6% 오르는 데 그쳐 2021년 3월(1.6%) 이후 최저치를 기록했다.  하지만 월스트리트저널(WSJ)·블룸버그 등 외신들은 연방정부 셧다운 여파로 인플레이션 수치가 왜곡됐을 수 있다며 12월 CPI를 봐야 한다고 지적했다. 10월 CPI를 발표하지 못했을 정도로 데이터가 수집되지 않았고 11월 중하순 진행된 블랙프라이데이 당시 할인 가격이 과대 집계됐을 가능성이 크다는 것이다.  이날 뉴욕 증시는 상승률이 꺾인 CPI에 일제히 반등했지만 시카고상품거래소(CME) 페드워치에서는 내년 1월 연방공개시장위원회(FOMC)에서 금리를 동결할 확률이 전날과 비슷한 72.3%를 기록했다.  한편 이날 도널드 트럼프 미국 대통령은 차기 연준 의장 후보로 3~4명을 염두에 두고 있다며 “몇 주 내 발표할 것”이라고 밝혔다. 그는 전날 면접을 치른 크리스토퍼 월러 연준 이사에 대해 “오랫동안 연준에 있었고 그의 경력에 내가 깊이 관여한 사람이다. 정말 훌륭한 사람”이라고 치켜세웠다. 또 다른 후보인 미셸 보먼 연준 이사와 관련해서도 “훌륭하다”고 평가했다.  현재로서는 케빈 해싯 국가경제위원회(NEC) 위원장과 케빈 워시 전 연준 이사, 월러 이사 등이 유력한 후보로 꼽히고 있다.",https://n.news.naver.com/mnews/article/009/0005609202
2025-12-19 22:16:00,"전동킥보드 타다 도로 하자로 ‘쿵’…법원 “지자체, 배상 책임 있어”","전동킥보드를 타고 횡단보도를 건너다가 도로 하자로 인해 다쳤다면 지자체에도 배상 책임이 있다는 법원 판단이 나왔다.  19일 법조계에 따르면 청주지법 민사6단독 이주현 부장판사는 고교생 A군 측이 청주시를 상대로 낸 손해배상 소송에서 원고 일부 승소 판결을 했다.  판결에 따라 청주시는 A군 측에게 470여 만원을 지급해야 한다.  A군은 지난해 8월 10일 오후 6시께 전동킥보드를 타고 서원구 분평동의 한 횡단보도를 건너다가 도로 노면 훼손으로 생긴 3cm 높이의 턱에 걸려 넘어지면서 골절상을 입었다.  A군 측은 이에 도로 하자로 인한 사고라며 청주시를 상대로 총 2500여만원의 손해배상 소송을 제기했다.  청주시는 “횡단보도에서 전동킥보드의 통행까지 예견해 안전성을 갖출 의무는 없다”고 주장했지만, 재판부는 A군 측의 손을 들어줬다.  이 부장판사는 “비록 횡단보도를 건널 때는 전동킥보드에서 내려서 끌거나 들고 보행해야 하지만, 경험칙상 전동킥보드를 타고 횡단보도를 통행하는 사람들이 많은 것이 현실”이라며 “피고에게는 이들의 안전을 위해 도로 관리를 해야 할 방호조치 의무가 있었다고 봄이 마땅하다”고 판시했다.  이어 “만약 피고가 도로를 수시로 점검했다면 사고를 예방할 수 있었을 것으로 보인다”고도 했다.  다만 “청주시가 도로 관리 책임을 이행했더라도 현실적으로 모든 도로의 하자를 보수하는 것에는 한계가 있는 점, A군이 전동킥보드를 타고 횡단보도를 건너다가 사고를 당한 점 등을 고려해 배상 책임을 30%로 제한한다”고 밝혔다.",https://n.news.naver.com/mnews/article/009/0005609198
2025-12-19 22:13:00,1년 동안 군 후임 14명 성추행했다…‘범죄사실만 30회’ 상습범에 징역 2년,"군복무 시절 상습적으로 후임들을 성추행했던 20대가 징역형에 처해졌다.  19일 법조계에 따르면, 서울고법 형사9-2부(민지현 이재혁 공도일 부장판사)는 군인등강제추행 혐의로 기소된 A씨에 대해 1심과 같이 징역 2년을 선고하고 성폭력 치료프로그램 40시간 이수, 취업제한 3년을 명령했다.  2022년부터 2023년까지 충북의 한 부대에서 군복무를 한 A씨는 약 1년 동안 후임들을 성추행한 혐의로 재판에 넘겨졌다. 피해자만 14명에 달하고 기소된 범죄사실만 30회 가까이가 됐다.  1심은 “약 1년 동안 군대 내 상급자로서 하급자인 피해자들을 여러 차례 강제추행한 것으로 죄질이 불량하다”며 “추행 정도가 가볍지 않고 피해자들이 상당한 불쾌감과 성적 수치심을 느꼈을 것으로 보인다. 피해자들로부터 용서받지 못했다”고 양형 이유를 설명했다.  이어 “군 내 성범죄는 국가방위와 국민의 보호를 사명으로 하는 군인 사이의 단결을 심각하게 저해하고 군의 기강을 훼손할 우려가 크다는 점에서 엄중한 처벌이 불가피하다”고 질타했다.  A씨는 1심 판결에 대해 “형이 너무 무거워 부당하다”며 항소했다. 하지만 2심 재판부도 “원심의 양형이 재량의 합리적 범위를 벗어났다고 볼 정도로 무거워서 부당하다고 판단되지 않는다”고 A씨 항소를 받아들이지 않았다.",https://n.news.naver.com/mnews/article/009/0005609197
2025-12-19 22:12:00,“다들 주식하는데 나도”…맘 급해진 은행 ‘연금리 20%’ 적금도 내놨다,"불장에 예탁금·CMA 사상 최대 요구불예금 빠지며 수신 기반 흔들 은행권, 고금리 파킹·특판으로 맞불 정기예금 금리도 올라 3% 육박   코스피가 4000 선을 넘어 사상 최고치 흐름을 이어가면서 은행 예금이 증시로 이동하는 이른바 ‘머니무브’가 본격화하고 있다. 주식·상장지수펀드(ETF)·투자자 예탁금으로 시중 자금이 빠르게 옮겨가자, 은행권은 고금리 파킹통장과 특판 적금을 전면에 내세우며 수신 방어에 나서는 모습이다.  19일 증권업계에 따르면 코스피는 지난달 4일 장중 4226선, 종가 기준 4221선을 기록하며 사상 최고치를 경신했다. 연초 대비 상승률은 70% 안팎에 달한다. 앞서 전일인 지난달 3일에는 4221.87로 마감하며 종가 기준 역대 최고치를 경신하기도 했다.  최근 들어서는 외국인과 기관의 동반 매도 공세에 밀리며 지난 16일엔 10거래일 만에 4000선 아래로 후퇴한 상황이다. 외국인 투자자의 순매도에 더해 인공지능(AI) 거품론, 미국 고용지표 발표를 두고 주식시장 변동성이 커진 것으로 풀이된다.  다만 증권가는 이번 조정을 일시적인 흐름으로 보고 있다. 실적과 유동성 여건을 감안할 때 증시의 추세를 근본적으로 훼손할 만한 악재는 아니라는 평가가 많다. 김동원 KB증권 연구원은 “1985년 이후 40년 만에 강세장에 진입했다고 판단한다”며 내년 코스피 목표치를 5000포인트로 전망했다.  이 같은 낙관론이 확산되면서 증시 대기 자금도 빠르게 늘고 있다. 금융투자협회에 따르면 지난달 5일 기준 증권사 투자자예탁금은 88조2708억원으로 사상 최대치를 기록했다. 석 달 전과 비교하면 21조원 넘게 늘어난 규모다. 종합자산관리계좌(CMA) 잔액도 12일 기준 94조9681억원으로 한 달 새 6.3% 늘었다.  반면 은행권 요구불예금은 큰 폭으로 감소했다. 금융권에 따르면 5대 은행(KB국민·신한·하나·우리·NH농협)의 수시입출금식예금(MMDA)을 포함한 요구불예금은 지난달 1일 647조8564억원으로, 9월 말(669조7238억원)과 비교해 21조8674억원 감소했다.  요구불예금은 아직 뚜렷한 용도나 투자처를 찾지 못하고 대기 중인 시중자금으로, 최근 유출된 예금 가운데 상당 부분이 부동산이나 증시로 흘러든 것으로 추정된다. 금융권에서는 이 중 상당 부분이 은행 요구불예금과 정기예금에서 이동한 자금으로 보고 있다. 또한 머니무브가 뚜렷해지자 은행권은 고금리 파킹통장과 특판 적금을 앞세운 ‘투트랙 방어전’에 나섰다.  우리은행의 ‘삼성월렛머니 우리통장’은 삼성월렛 머니를 연동하면 1년간 200만원 한도 내에서 최고 연 3.5% 금리를 제공한다. KB국민은행의 ‘모니모 KB 매일이자 통장’도 앱 전용 입출금 통장으로, 각종 제휴와 우대 조건을 충족하면 200만원 한도에서 최대 연 4% 금리를 받을 수 있다. 최근에는 판매 계좌 수 한도를 확대하기도 했다.  이들 파킹통장은 고금리를 전면에 내세우되 적용 한도를 제한해 순이자마진(NIM) 훼손을 최소화한 것이 특징이다. 동시에 플랫폼 연계를 통해 고객 접점을 넓히고, 증권사 CMA나 MMF로 넘어가기 전 단기 대기자금을 은행 안에 묶어두려는 전략으로 풀이된다.  특판 적금 경쟁도 다시 불붙고 있다. 신한은행은 연 최고 20% 금리를 제공하는 ‘오락실 적금’을 출시하기도 했다. 8주 만기 자유적립식 상품으로, 기본금리 연 2%에 게임 성적에 따라 최대 연 18%포인트 우대금리가 붙는다. NH농협은행도 월 최대 30만원까지 납입 가능한 ‘NH대박7적금’을 출시해 최고 연 7.1% 금리를 제시했다.  은행권에서는 이 같은 상품들을 두고 “불장 국면에서 예적금 만기 자금이 주식시장으로 한꺼번에 이동하는 것을 최대한 늦추기 위한 방어선”이라는 평가가 나온다.  이와 함께 정기예금 금리도 다시 오름세를 보이고 있다. 시중은행과 지방은행이 연 3%대 금리를 내건 정기예금을 잇달아 내놓으면서 자금 조달을 둘러싼 은행권 경쟁이 다시 격화하는 분위기다. 은행채 금리 상승으로 조달 비용이 높아진 데다, 증권사 종합투자계좌(IMA) 등 대체 상품과의 자금 유치 경쟁까지 겹치며 은행권 전반에 예금 금리 인상 압력이 확산되고 있다는 분석이 나온다.  금융권에 따르면 최근 일부 시중은행은 1년 만기 정기예금 금리를 연 3%대까지 끌어올렸다. 은행별로 보면 SC제일은행의 ‘e-그린세이브예금’은 1년 만기 기준 기본금리 연 2.9%에 우대 조건 충족 시 0.3%포인트를 더해 최고 연 3.2% 금리를 제공하고 있다.  다른 시중은행 정기예금 상품들도 3%대에 육박하고 있다. 신한은행은 지난달 ‘신한My플러스 정기예금’ 최고 금리를 기존 연 2.8%에서 3.1%로 0.3%포인트 인상했다. 하나은행이 판매하는 ‘하나의 정기예금’ 금리도 지난 7월 2.45%를 기록했다가 현재 2.85%로 올라 3%대를 바라보고 있다.  증권사 상품과의 자금 유치 경쟁도 변수로 작용한다. 증권사 IMA 등은 연 4~8% 수준의 목표수익률을 제시하며 예금의 대체 상품으로 부상하고 있다. 이에 따라 시중 자금이 증권시장으로 이동하는 ‘머니무브’를 차단하기 위해 은행들이 예금 금리를 방어적으로 끌어올리고 있다는 해석이 나온다.  은행권 관계자는 “부동산 규제와 맞물려 자금 흐름이 증시 중심으로 재편되는 국면”이라며 “은행권에서는 대기성 자금 유출 압력이 커지면서 예금금리 조정 등 수신 방어 전략이 강화될 것으로 보인다”고 말했다.",https://n.news.naver.com/mnews/article/009/0005609196
2025-12-19 21:58:00,"“설탕은 죄없죠, 많이 먹는 당신 잘못이지”…갑자기 급소때린 이 남자","최낙언 식품연구가 ‘단맛을 위한 변명’ 설탕은 안전한 감미료, 유해론은 오해 과잉섭취가 문제…단맛 죄악시 안돼   음식에 설탕을 넣는 게 죄악시되는 시대다. 과잉 축적된 당이 각종 질병의 원인으로 지목되자 사람들은 설탕에 문제가 있는 듯 여기기 시작했다. 먹어도 먹어도 맛있게 느껴지는 단맛을 피할 수 있는 방법은 그것뿐이라는 듯.  그러나 해태제과·서울향료 등을 거친 식품연구가 최낙언 편한식품정보 대표(61)는 “전체적인 먹는 양을 줄여야지, 특정 성분이나 물질의 문제로 왜곡하는 것으로 우리 몸이 건강해지진 않는다”고 일침을 놓는다.  서울대와 동 대학원에서 식품공학을 전공한 최 대표는 2021년부터 신맛, 짠맛, 감칠맛, 단맛, 쓴맛 등 다섯 가지 맛을 주제로 ‘오미 시리즈’를 집필 중이다. 맛에 덧씌워진 오해를 벗기고 과학적으로 접근하려는 시도다. 네 번째 책 ‘단맛’(헬스레터)을 공동 저작한 그는 “요즘은 설탕 유해론을 넘어 탄수화물 유해론까지 유행이라 책을 쓰는 데까지 시간이 오래 걸렸다”고 돌아봤다.  “유행하는 건강 정보에는 맹점이 있어요. 지난 50년 동안 인류가 많이 먹어서 비만과 성인병이 생긴 건데, 특정 성분의 잘못이라고 호도하니 불안만 커졌죠. 이제는 달콤한 것이 몸에 해롭다는 식으로 감각의 의미마저 훼손시키고 있습니다.”  최 대표에 따르면 인간은 생존을 위해 단맛을 느끼는 미각을 발달시켰다. 갓난아이조차 단맛은 본능적으로 좋아한다. 뇌가 포도당을 주 에너지원으로 쓰기 때문이다.  그는 “다른 맛 성분은 1% 이하여도 충분히 시고 짠데, 단맛은 10% 이상 돼야 적당히 ‘달다’고 느낀다”며 “인체의 정직한 욕망”이라고 표현했다.  물론 영양 과잉 시대에 설탕 섭취를 줄이기는 생각보다 쉽지 않다. 단순히 단맛뿐 아니라 잡내를 줄이는 역할 등으로 음식에 들어간 설탕을 간접 섭취하는 경우도 많다.  우리나라 국민 1인당 연간 설탕 섭취량은 30㎏에 달하고, 설탕의 주원료인 사탕수수 생산량은 세계적으로 20억t으로 추산된다. 그런데 실제로 설탕 섭취량과 유병률 간 상관관계가 밝혀진 바는 없다고 한다.  최 대표는 “설탕을 많이 먹는 순서대로 당뇨가 더 많지도 않고, 덜 먹는 순서대로 건강하다는 연구도 없다”면서 “사실 설탕은 다른 어떤 감미료보다 안전하고 안정적이며 경제적”이라고 설명했다.  최근 식품 업계에 ‘제로 열풍’이 불며 주목받는 대체당은 어떨까.  무설탕 식품 개발은 최 대표가 해태제과에서 아이스크림을 만들던 1990년대에도 이미 주목받고 있었다. 그러나 번번이 대중화에는 실패했다. 다이어트 콜라 정도를 제외하면 “아무리 시장에 내놔도 3개월을 못 버텼다”는 게 그의 증언이다.  최 대표는 그 이유로 “먹는 것으로는 우리 몸을 속일 수 없다”고 단언한다.  그는 “맛은 혀로만 보는 게 아니라 뇌, 장, 지방세포로도 본다”며 “단맛인 줄 알고 먹었다가 장이 필요로 하는 포도당을 충분히 섭취하지 못하면 귀신같이 진짜 당을 함유한 음식을 다시 찾게 된다”고 설명했다.  현재 시장에서 제로 음료가 잘 팔리는 건 “물을 대체하는 입가심용으로 바뀌었기 때문”이라고도 덧붙였다.  또 다른 유행 중 ‘저탄수 다이어트’에 대해서도 최 대표는 비판적이다. “결핍을 유도하는 식습관보다는 골고루 먹되 적당히 먹는 것이 맞다”는 조언이다.  그는 “현대인은 싸고 맛있으면 많이 먹고, 많이 먹은 후 살이 찌면 그 음식을 욕한다”고 꼬집었다.  “왜 우리는 자꾸 음식을 좋은 것과 나쁜 것으로 나누려 할까요? 괜히 불안해하고 욕하면서 먹는 것보다는 행복하게 적당히 먹는 게 몸에도 좋습니다.”",https://n.news.naver.com/mnews/article/009/0005609194
