날짜,제목,본문,링크
2025-12-03 23:18:00,“출근했더니 가게가 엉망이에요”…위스키 마시고 실신한 난봉꾼 정체,"미국의 바틀숍에 침입해 술병을 깨뜨리고 가게를 더럽히며 난장판을 만든 범인이 라쿤으로 밝혀졌다. 라쿤은 만취해 화장실에서 쓰러진 모습으로 발견됐다. 라쿤은 건강 상태를 회복한 후 야생으로 돌아갔다.  2일(현지시간) AP통신에 따르면 지난달 29일 아침 미국 버지니아주 애슐랜드지역 소재 주류 판매점 직원은 여느 때처럼 출근했다가 깜짝 놀랐다. 매대가 무너지고 바닥에는 깨진 술병이 나뒹구는 등 매장이 엉망이었다. 조심스럽게 화장실에 들어가 보니 변기 옆에서 라쿤 한 마리가 엎드려 자고 있었다.  직원의 신고 전화를 받고 현장에 출동한 해노버카운티 동물보호소 관계자는 라쿤이 가게 천장 타일을 뚫고 침입해 술병을 보관하던 선반을 뒤진 것으로 파악했다. 보호소 관계자는 라쿤을 보호소로 데리고 가 술이 깰 때까지 보살폈다.  보호소 관계자는 “라쿤은 웃긴 동물”이라며 “라쿤은 몇 시간 동안 잠을 자고 일어났고, 부상의 흔적은 보이지 않았다”고 덧붙였다. 버지니아주 야생동물자원부에 따르면 라쿤은 숲이나 공원을 비롯한 도시 곳곳에서 자주 목격되고 있다.",https://n.news.naver.com/mnews/article/009/0005600614
2025-12-03 23:11:00,"""훈식 형·현지 누나에 추천"" … 김남국 인사청탁 문자 논란","용산, 金비서관에 ""엄중 경고"" 국힘 ""현지형통 공화국 입증""  문진석 더불어민주당 원내운영수석부대표가 지난 2일 국회 본회의장에서 김남국 대통령실 디지털소통비서관에게 문자 메시지로 인사 청탁을 하는 장면이 포착됐다.  언론 카메라에 포착된 휴대전화 문자 메시지를 보면 문 수석부대표는 중앙대 출신인 홍성범 전 한국자동차산업협회 본부장을 한국자동차산업협회장에 추천해달라고 부탁했다. 문 수석부대표와 김 비서관은 모두 중앙대 출신으로 여권 내 이 대통령 측근 그룹인 7인회 멤버들이다.  문 수석부대표는 ""내가 추천하면 강훈식 실장이 반대할 테니 아우가 추천해달라""고 했고, 김 비서관은 ""훈식이 형이랑 현지 누나한테 추천할게요""라고 답했다.  김 비서관의 답은 이 같은 인사 청탁을 강 비서실장과 김현지 제1부속실장에게 전달하겠다는 의미라 논란이 제기됐다. 한국자동차산업협회는 기관장 인사에 정부가 간여하는 공공기관이 아닌 민간기관이라는 점도 논란을 키웠다. 자동차산업협회는 현대차, 기아, 한국GM 등 국내 주요 완성차 기업들의 이익을 대변하는 기관으로, 1988년 창립됐다. 회장직 연봉은 2억원대 중반으로 알려졌다.  박성훈 국민의힘 수석대변인은 ""국정 곳곳에서 '김현지를 통하면 다 된다'는 '만사현지, 현지형통 공화국'이라는 조롱이 왜 나오는지 적나라하게 입증됐다""며 ""민간협회 회장직까지 김 실장이 좌지우지한다는 것은 명백한 사적 청탁이자 직권 남용으로 범죄 행위""라고 지적했다.  국민의힘은 문 수석부대표와 강 실장, 김 비서관, 김 실장을 직권남용 혐의로 고발하는 방안을 검토 중인 것으로 알려졌다. 대통령실은 이날 공지를 통해 ""부정확한 정보를 부적절하게 전달한 내부 직원에 대해 공직 기강 차원에서 엄중 경고 조치했음을 알린다""며 김 비서관에게 '엄중 경고'했다고 밝혔다.  [오수현 기자]",https://n.news.naver.com/mnews/article/009/0005600613
2025-12-03 23:11:00,반도체 전략산업 금산분리 완화 … 증손회사 통해 자금수혈 쉽게,"지분율 100%서 50%로 낮춰  정부가 반도체 첨단전략산업에 한해 금산분리 규제를 완화할 예정이다. 3일 관계 당국에 따르면, 기획재정부·산업통상부·금융위원회·공정거래위원회 등 관계 부처는 지난 29일 저녁 정부서울청사에서 금산분리 규제 완화안에 합의했다. 금산분리 규제란 산업자본이 금융자본을 지배해 사금고화하거나 계열사 자금줄로 악용되는 것을 막기 위한 장치다. 현재 지주회사 체계에서는 손자회사가 증손회사를 100% 보유해야 한다  이번 규제 완화안의 핵심은 증손회사 지분율 제한을 현행 100%에서 50%로 줄이고, 지주회사도 금융 리스를 보유할 수 있도록 허용하는 것이다. 이는 지주회사-자회사-손자회사의 3단계만 허용하는 현행 대기업 출자 단계 규제가, 지주회사-자회사-손자회사-증손회사의 4단계까지 확장됨을 의미한다. 이 경우 대기업은 여러 증손회사를 통해 외부 자금을 수혈하며 사업을 확장할 수 있다.  또 현행 공정거래법상 금산분리 원칙에 따라 지주회사들은 금융업을 하는 회사의 주식을 가질 수 없도록 하고 있지만, 정부는 지주회사도 금융리스 회사를 보유할 수 있도록 규제를 풀 방침이다.  다만 모든 대기업이 금산분리 규제 완화 혜택을 받는 건 아니다. 반도체 등 첨단전략산업으로 선정되어야 하고, 투자 프로젝트를 사전에 정부로부터 심사·승인받아야 하며, 지방 투자 요건을 충족해야 한다.  정부가 이같이 나서는 이유는 '금산분리 원칙'을 훼손하지는 않으면서, 기업이 투자 자금을 더 쉽게 조달할 수 있도록 돕는 방안을 모색하겠다는 취지다. 정부는 이런 내용을 담은 규제완화 방안을 조만간 발표할 예정으로 알려졌다.  정부 고위 관계자는 ""4개 부처 모두 총론에서 합의를 봤다""며 ""세부안을 다듬는 중""이라고 말했다.  업계에선 SK그룹이 최대 수혜를 볼 것으로 기대하고 있다. SK의 손자회사인 SK하이닉스가 앞으로 증손회사를 세우며 사업을 확장할 수 있기 때문이다.  [나현준 기자]",https://n.news.naver.com/mnews/article/009/0005600612
2025-12-03 23:06:00,삼성 HBM4 양산채비 마쳤다…엔비디아에 납품 초읽기,최종 생산준비승인 통과   삼성전자가 6세대 고대역폭메모리(HBM4)의 내부 품질 테스트를 마무리하고 본격적인 양산 준비에 돌입한다.  3일 반도체 업계에 따르면 삼성전자는 전날 HBM4에 대한 생산준비승인(PRA)을 마쳤다. PRA는 내부 양산 허가를 위한 마지막 관문으로 불린다.  삼성전자는 최근 6세대 D램의 완성도를 높이는 작업에 착수했다. 4나노미터(㎚) 파운드리 공정을 활용해 ‘로직 다이(두뇌 역할을 하는 부품)’ 성능을 개선하면서 동작 속도를 초당 11기가비트(Gb) 이상으로 끌어올렸다.  삼성전자는 현재 엔비디아를 포함한 주요 고객사에 HBM4 샘플을 보내 품질 테스트를 받고 있는 것으로 알려졌다. 업계에서는 이르면 이달 중 최종 테스트를 통과할 것이라는 전망이 나오고 있다.  삼성전자가 HBM4 양산 준비에 돌입하면서 차세대 반도체 패권을 놓고 SK하이닉스와 경쟁은 더욱 치열해질 전망이다. 엔비디아가 차세대 그래픽처리장치(GPU)인 ‘루빈’을 내년 하반기 양산하겠다고 밝힌 데 이어 구글도 텐서처리장치(TPU)용 물량 확보에 나서면서 HBM 수요는 급증하고 있다.,https://n.news.naver.com/mnews/article/009/0005600611
2025-12-03 23:06:00,이대통령 “내란척결은 암 수술”…내년 지방선거까지 청산정국 끌고 간다,"李대통령 12·3 특별성명, 내란 엄벌 천명 “우리국민 노벨평화상 자격 12월 3일 국민주권의날로” “몸속 곪아터진 곳 도려내야” 계엄수사·재판 장기화 시사 전담재판부 설치에 힘 싣고 특검 연장 가능성도 내비쳐 李대통령, 5부요인과 오찬 조희대 “사법개혁 속도조절”   이재명 대통령이 12·3 비상계엄 1년을 맞아 내놓은 대국민 특별성명에서 “내란사태는 현재도 진행 중”이라며 내란 가담자에 대한 철저한 진상 규명과 엄벌 의지를 거듭 밝혔다.  이 대통령이 현재의 사정 국면을 ‘치명적인 암 수술’에 비유하며 관련 수사와 재판이 단기간에 끝나지 않을 것임을 시사하면서 ‘내란 청산 국면’이 내년 6월 지방선거까지 이어질 가능성이 커졌다.  3일 이 대통령은 용산 대통령실에서 발표한 ‘빛의 혁명 1주년, 대통령 대국민 특별성명’과 기자간담회에서 계엄 사태 단죄에 대한 의지를 여러 차례 드러냈다.  그는 “개혁의 과정은 아픈 곳 또는 곪아 터진 곳을 도려내야 한다. 수술 과정을 거치지 않을 수는 없다”며 “몸속 깊숙이 박힌 치명적인 암을 제거하는 것이다. 암을 치료하는 것은 그렇게 쉽게 끝나지 않는다”고 말했다.  이어 “반성하고 재발의 여지가 없다면 용서하고 화합하고 포용해야 하지만 숨겨놓고 적당히 넘어갈 수는 없다”며 계엄 옹호 세력과 타협할 가능성이 없다는 점도 분명히 했다.  여당 중심으로 추진 중인 내란전담재판부 설치와 2차 종합특검 추진에 대해서도 우회적 지지 의사를 드러냈다.  이 대통령은 “국회는 국회가, 행정부는 행정부가 할 일이 있다. 사법부 역시 사법부가 할 일이 있다”면서도 “국민 여론에 따라 헌법이 부여한 권한을 입법부가 잘 행사할 것이라고 생각한다”고 말했다.  더불어민주당이 추진하는 내란전담재판부 설치법은 3대 특검(김건희·채해병·내란 특검) 사건에 대한 1·2심을 전담하는 재판부를 만드는 특별법이다. 또 전담 영장판사를 두고, 피고인의 구속 기간도 1년(현행 6개월)으로 늘리는 내용을 포함한다.  이 대통령은 3대 특검 연장 가능성도 시사했다.  그는 “현재도 밝혀지지 않은 게 너무 많아 보인다”며 “특별수사본부든 무엇이든 꾸려서 계속 수사해야 할 텐데 정부가 하는 게 바람직할까”라고 언급했다. 국회가 특검을 주도해야 한다는 취지로 읽힌다. 민주당은 3대 특검 수사 종료를 앞두고 ‘2차 종합 특검’ 검토를 공식화한 상황이다.  이 같은 ‘내란 청산 국면’이 시간의 구애를 받지 않을 것이란 점도 강조했다.  이 대통령은 내란 가담자 심판 마무리 시점을 묻는 질문에 “(내란은) 지난 일을 파헤치는 게 아니라 현재 진행 중인 사안을 진압하고 있다”며 “끝날 때까지 끝내야 한다”고 밝혔다. 그러면서 “제가 독단적으로 할 수 있는 일은 아니고 독립적 기구인 특검 또는 고위공직자범죄수사처, 국회의 역할이 더 중요하다”고 말했다.  이 대통령은 이날 계엄을 막은 국민을 향한 찬사도 아끼지 않았다.  그는 “(국민이) 평화적인 수단으로 헌법과 법률이 정한 절차에 따라 불법 계엄을 물리치고 불의한 권력을 몰아낸 점은 세계 민주주의 역사에 길이 남을 일대 사건”이라면서 “대한국민이 민주주의를 살리고 평화를 회복하며 온 세계에 민주주의의 위대함을 알린 공로로 노벨평화상을 받는다면 갈등과 분열로 흔들리는 모든 국가들에 크나큰 전환점이 될 것”이라고 했다. 이  어 “세계사에 유례없는 민주주의 위기를 평화적인 방식으로 극복해낸 대한국민들이야말로 노벨평화상을 수상할 충분한 자격이 있다고 확신한다”고 덧붙였다.  이와 관련해 매년 12월 3일을 ‘국민주권의 날’이란 법정공휴일로 지정하겠다고도 했다.  이 대통령은 “빛의 혁명으로 탄생한 국민주권정부는 우리 국민의 위대한 용기와 행동을 기리기 위해 12월 3일을 ‘국민주권의 날’로 정할 것”이라며 “법정공휴일로 정해 국민이 1년에 한 번쯤 이날을 회상할 수 있도록 하는 게 중요하다”고 언급했다.  한편 이날 대통령은 오후 5부 요인을 초청해 오찬을 가졌다. 이 자리에는 여권에서 퇴진 압박을 받고 있는 조희대 대법원장도 참석하며 관심을 모았다. 조 대법원장은 지난 대선 당시 이 대통령의 공직선거법 위반 사건을 대법원 상고심에서 2심 무죄 판결을 뒤집고 ‘유죄 취지’로 파기환송했다.  조 대법원장은 12·3 비상계엄 재판과 관련해 “사법부는 지난해 12월 3일 비상계엄 직후 그것이 반헌법적 행위임을 분명히 했다”며 “개별 재판부가 오직 헌법과 법률에 따라 신속하고 공정하게 재판할 것이라 믿고 있다”고 밝혔다. 또 “저를 비롯한 모든 사법부 구성원도 법치주의의 근간을 지키면서 신속하고 공정한 재판을 통해 국민의 권리를 보호하는 헌법적 사명을 다하고자 끊임없이 노력하고 있다”고 말했다.  다만 조 대법원장은 여당발 ‘사법개혁’에 대해서 “충분한 논의가 필요하다”고 우려를 표했다. 여당은 법원행정처 폐지·대법관 증원 등 법원 고위직과 사무조직 힘빼기에 초점을 맞춘 개혁법안을 연내 통과시키겠다는 입장이다.",https://n.news.naver.com/mnews/article/009/0005600610
2025-12-03 22:56:00,"G마켓, 도용 의심 사고 피해고객에 선제적 보상","정보보안 강화해 재발 방지 총력   G마켓이 도용 의심 사고로 피해를 본 고객의 불편을 최소화하는 차원에서 선제적 보상에 나섰다.  G마켓은 지난달 29일 발생한 도용 의심 사고 관련, 피해 고객 전원에게 피해금액에 대한 전액 환불 보상을 결정했다고 3일 밝혔다.  또한 G마켓은 수사기관과의 협조를 통해 원인 규명 등 철저한 조사도 함께 진행할 계획이다.  보상은 피해 고객 전원이 대상이다. G마켓은 무단 결제 정황이 확인된 고객 전원에게 보상 방법을 안내하고, 수사기관 신고도 적극 지원할 계획이다.  피해 고객에게는 고객 보호를 위해 도의적 차원의 선제적 보상을 진행하면서, 적극적인 신고를 권유해 도용범죄 근절에 나설 예정이다.  G마켓은 이번 사고를 외부에서 불법 수집한 개인정보를 활용해 로그인한 뒤 결제한 수법으로, 여러 사이트에서 동일한 계정을 사용하는 관행을 악용한 전형적인 ‘도용범죄’로 추정하고 있다.  G마켓은 추가적인 피해를 막기 위해 선제적인 보안 강화 대응책도 마련했다.  우선 최근 한 달 이내 비밀번호를 변경하지 않은 고객 전원을 대상으로 비밀번호 변경 권고 캠페인을 진행 중이다. 로그인 화면 내 개별 안내 메시지와 고객센터 공지를 통해 비밀번호를 최신 상태로 유지하도록 안내하고, 안전한 비밀번호 생성 방식도 함께 제공한다.  추가 인증 절차도 확대한다. 로그인 시 아이디, 패스워드 외에 2단계 인증을 설정할 수 있도록 권고하는 팝업을 노출한다. 환금성 상품권 등 민감도가 높은 일부 상품군에는 강화된 본인확인 절차가 도입된다.  G마켓 관계자는 “고객의 안전한 쇼핑 환경 보장을 최우선으로 삼고, 도용·피싱 등 2차 피해가 재발하지 않도록 보안 강화에 더욱 만전을 기울이겠다”고 말했다.",https://n.news.naver.com/mnews/article/009/0005600609
2025-12-03 22:47:00,스위스도 아파트 열풍?…알프스에 ‘65층 마천루’ 짓겠다는데,"스위스 알프스의 최고봉 가운데 하나인 마테호른에 초고층 빌딩을 짓겠다는 계획이 발표됐다.  지역사회는 즉각 반대 의견을 내놨다. 개발 명분은 주거난 해결이지만, 자연 훼손과 관광 과밀 현상에 대한 우려가 제기됐다.  3일 연합뉴스에 따르면 스위스 체르마트 출신의 건축가 하인츠 율렌은 최근 알프스 마테호른에 높이 260m의 고층 빌딩을 건설하는 ‘리나 피크(Lena Peak) 프로젝트’를 발표했다. 이 프로젝트에는 총 5억유로(약 8500억원)가 투입될 전망이다.  지상 32층까지는 지역 주민을 위한 저가 오피스텔로, 지상 33층부터 65층까지는 자산가를 겨냥한 고급 아파트로 구성된다. 지하에는 차량 1000대가 들어가는 주차장이 마련된다. 콘서트홀, 스포츠센터, 보육원, 레스토랑 등 편의시설도 갖춘다.  체르마트는 알프스 계곡을 따라 펼쳐진 절경지다. 정면에는 마테호른의 봉우리가, 반대쪽에는 고르너그라트의 산등성이가 펼쳐진다. 상주 인구는 약 5800명에 불과하지만, 겨울철에는 관광객이 몰리면서 4만명으로 급증한다. 그 탓에 평균 주택 가격은 ㎡당 2만 스위스프랑(약 3600만원)으로 유럽에서도 비싼 축에 속한다.  이에 율렌은 리나 피크 프로젝트를 대안으로 내세웠다. 율렌은 “주택난이 심각한 문제”라며 “지역 주민들을 위한 공간이 없어 많은 사람이 이사를 떠나고 있다”고 말했다. 율렌은 현재 마을 아래 계곡 농지를 확보한 상태로 알려졌다.  하지만 주민들은 대체로 반대 입장이다. 관광객 밀집 문제가 심화할 수 있고, 아름다운 경관을 잃을 수 있다는 이유에서다. 지금까지 스위스에서 난개발로 실패한 프로젝트가 적지 않은 만큼 토지 용도 변경에 신중해야 한다는 조언이 이어지고 있다.  온라인에서도 “이런 생각은 누가 하는 것이냐”, “차라리 마테호른을 파내서 그 안에 아파트를 지어라”, “마테호른이 보이지 않을 정도로 높게 지으면 관광객도 줄고 집값도 내려가긴 하겠다”, “그냥 엘리베이터 타고 알프스 등반하자” 등 다양한 반응이 나왔다.",https://n.news.naver.com/mnews/article/009/0005600607
2025-12-03 22:45:00,"“4만명 증가라더니”…ADP, 미국 11월 민간고용 3만2000명 감소",11월 미국의 고용이 예상외로 전월 대비 감소했다는 민간 조사업체 지표가 나왔다.  미 고용정보업체 오토매틱데이터프로세싱(ADP)은 11월 미국의 민간기업 고용이 전월 대비 3만2000명 감소했다고 3일(현지시간) 밝혔다.  다우존스가 집계한 전문가 전망치는 11월 중 고용 4만명 증가였다.  연방정부 셧다운(일시적 업무정지) 사태 여파로 10월 정부 공식 고용보고서는 발표되지 않았다. 11월 고용보고서도 당초 스케줄보다 지연돼 발표될 예정인 가운데 월가에서는 고용시장 동향을 가늠하기 위해 ADP 민간지표에 촉각을 곤두세워왔다.,https://n.news.naver.com/mnews/article/009/0005600606
2025-12-03 22:37:00,"하루만에 끝난 계엄, 1년동안 한국을 찢어놨다…찬탄·반탄시위 재충돌","12·3 계엄 1년, 여전히 갈라진 광장 서울·대구·부산 전국각지 맞불집회 반복되는 집회에 시민들 피로감도   “계엄 관련자들에게 마땅한 처벌을 내려달라.”  “계엄은 더불어민주당의 폭주를 저지하기 위한 선택이었다.”  12·3 비상계엄 사태로부터 꼭 1년이 흐른 3일, 전국 곳곳 거리의 민심은 여전히 둘로 갈라져 있었다. 지난해 12월부터 대립하던 진보·보수 단체들은 이날도 전국에서 동시에 집회를 열고 각각 ‘내란 완전 청산’과 ‘이재명 재판 재개’ 등 상반되는 구호를 외쳤다.  이날 오후 2시 서울 여의도 국회 인근에서 신자유연대가 주축이 된 시위대가 이재명 정부 규탄 집회를 열었다. 집회에는 경찰 비공식 추산 200여 명이 참여해 태극기와 성조기를 함께 흔들며 “계엄은 정당했다” “민주당 규탄” 등의 구호를 외쳤다. 강서구에 거주하는 양 모씨(68)는 “나라의 위기는 대부분 민주당에서 만들었다. 윤석열 전 대통령은 이를 막으려 했을 뿐”이라고 말했다.  오후 3시부터는 국민의힘 당사 앞에서 자유대학이 비상계엄에 대해 사과한 국민의힘 의원들을 규탄하는 집회를 열었다. 이날 집회에 참여한 대학생 김 모씨(22)는 “윤 전 대통령의 계엄은 정당했다”며 “이에 대해 사과하고 반성해야 한다는 의원들은 즉시 발언을 철회해야 한다”고 말했다.  진보 성향 단체들도 같은 장소에서 각자 목소리를 높였다. 오후 4시 서울지하철 9호선 국회의사당역 5번 출구 앞에서는 민주노총이 계엄 1년을 맞아 대규모 결의대회를 열었다. 이들은 성명문을 통해 “12·3 내란 후 정권이 바뀌었지만 노동자 현실은 여전히 참혹하다”며 “정부와 국회는 이러한 문제 해결은 외면하고 시간만 허비하고 있다”고 밝혔다. 오후 7시부터는 국회 인근에서 비상행동기록위원회 주최로 ‘계엄 저지 1주년’ 행사가 열렸다.  전국 각지에서도 계엄 1년을 맞아 진보·보수 성향 단체들의 집회가 열렸다. 진보 성향 시민단체들은 이날 부산, 광주, 대전 등에서 기자회견을 열고 “내란세력을 완전히 청산하는 것이 사회를 개혁하는 일”이라고 주장했다. 보수 성향 단체들도 부산, 대구 등에서 계엄의 정당성을 주장하는 집회를 열었다. 부산과 대구에서는 양측의 집회 장소가 가까워 경찰이 추가 경력을 배치하는 등 긴장감이 조성됐다.  온라인에서도 계엄을 둘러싼 여론은 여전히 팽팽히 맞서고 있었다. 네티즌은 정치권 책임론과 특검 수사를 둘러싸고 “여전히 내란은 완전히 종결되지 않았다” “내란특검의 정당성은 이미 사라졌다” 등 다양한 의견을 쏟아냈다.  일부 네티즌은 계엄 책임자에 대한 신속한 재판과 엄정한 처벌을 요구했다. 한 네티즌은 “아직도 1년 전 그날이 눈앞에 생생하다. 그런데도 제대로 처벌받은 사람이 없다니 씁쓸하다”며 “다시는 이런 일이 반복되지 않길 바란다”고 말했다. 자신을 직장인이라고 밝힌 문 모씨(29)는 “비상계엄과 관련한 잘못이 낱낱이 밝혀지고 마땅한 처벌이 뒤따라야 한다”며 “또다시 민주주의가 위협받는 일이 있어서는 안 된다”고 말했다.  내란특검의 수사 과정을 향한 불신의 목소리도 나왔다. 한 네티즌은 “추경호 전 국민의힘 원내대표의 영장 기각으로 특검은 정당성을 잃었다”며 “윤 전 대통령은 결국 무죄로 석방될 것”이라고 밝혔다. 한 시민은 “특검도 결국 권력에 휘둘리고 있음을 보여주고 있다. 정부가 수사의 독립성을 보장하지 않는다면 국민 화합은 어려울 것 같다”고 말했다.  반복되는 집회에 대한 피로감과 정치권 전반에 실망감을 드러내는 이들도 있었다. 김 모씨(25)는 “집회에서 나오는 이야기들이 1년 전과 비교해 달라진 게 없다”며 “양극화와 교통 혼잡만 심해지는 것 같다”고 말했다. 주부 장 모씨(64)는 “정권이 바뀌었지만 여야의 극한 대립은 여전하다”며 “정치권의 끝없는 갈등으로 인해 한국 정치의 미래가 위태롭게 느껴진다. 국민은 불안함을 느낄 수밖에 없다”고 밝혔다.  전문가들은 집회의 무의미한 반복을 막으려면 정치권의 쇄신이 필요하다고 조언한다. 박원호 서울대 정치외교학부 교수는 “집회 양상이 점차 소모적으로 흘러가고 있다”며 “각 정당이 명확한 방향성을 제시하지 못하니 지지자들도 구체적인 요구나 생산적인 논의 없이 상대 진영에 대한 증오만 키우고 있다. 대화에 기초한 강한 리더십이 필요한 때”라고 말했다.",https://n.news.naver.com/mnews/article/009/0005600605
2025-12-03 22:18:00,생산적금융이라 쓰고 ‘비생산적’이라 읽는다…중기 대출금리 역주행,"시장선 대출금리 오르는데 중기금리 1년새 1%P 하락 대출잔액 증가폭은 급감   시장금리는 오르고 있지만 은행권의 중소기업 대출 금리는 오히려 내려가는 이례적 현상이 나타나고 있다. 정부의 ‘생산적 금융’ 기조에 부응해야 하는 은행들이 시장 상황에 맞지 않게 중소기업에 낮은 대출 금리를 부여한 것이다.  하지만 연말 건전성 관리가 발등의 불로 떨어지면서 은행권은 마냥 대출을 늘릴 수도 없는 ‘딜레마’에 빠져 있다.  3일 은행연합회에 따르면 올해 3분기 말 기준 5대 시중은행(KB국민·신한·우리·하나·NH농협은행)의 중기 대출 금리는 평균 3.90%로 집계됐다. 이는 지난해 4분기(4.88%) 대비 0.98%포인트 급락한 수치다.  반면 시장 지표가 되는 국채 금리는 반대 행보를 보이고 있다. 거래량이 가장 많은 한국 국채 10년물 금리는 지난 5월 2.58%로 저점을 찍은 뒤 최근 3.4%대까지 반등했다. 시장금리 상승세 속에서 유독 중기 대출 금리만 역주행하고 있는 것이다.  은행의 수익성 지표인 예대금리차(예대마진)는 더욱 축소됐다. 1년 만기 정기예금과의 금리 차이는 지난 2분기 1.53%포인트에서 3분기 1.38%포인트로 좁혀지며 순이자마진(NIM) 하방 압력을 키우고 있다.  금융권에서는 현 정부가 강조하는 생산적 금융 정책에 부응하기 위해 은행들이 출혈경쟁을 감수하고 공격적으로 영업에 나선 결과로 해석한다. 김영도 한국금융연구원 은행연구실장은 “생산적 금융을 공격적으로 확대할 경우 적정 연체율과 자본비율 등 재무안정성도 동시에 확보해야 하는 어려운 과제에 직면하게 될 것”이라고 지적했다.  실제로 은행권의 기업 대출 증가세는 최근 둔화하고 있다. 5대 은행의 중기 대출 잔액 증가폭은 지난 8월 3조2763억원, 9월 2조1254억원에서 10월 4조7494억원으로 정점을 찍은 뒤 11월에는 1조4909억원으로 급감했다. 심지어 이달 첫 영업일에는 하루 만에 중기 대출 잔액이 7000억원, 전체 기업 대출은 1조원이나 줄어든 것으로 나타났다.  연말 결산을 앞두고 건전성과 재무비율 관리에 들어간 은행들이 숨 고르기에 나선 영향으로 풀이된다. 상환 능력이 상대적으로 취약한 중기 대출 비중이 커지면 연체율 상승과 대손충당금 적립 부담으로 이어져 결국 비용 증가와 수익성 악화를 동시에 초래할 수 있기 때문이다.",https://n.news.naver.com/mnews/article/009/0005600596
