제목,본문,날짜,링크
"“브리지는 미래 교육 역량의 핵심""…교육부 장관 첫 참석 '공교육 가능성 열리나'","[파이낸셜뉴스] 미래 교육을 견인할 새로운 두뇌 스포츠로 브리지가 주목받고 있다. 지난 11월 29일 세종특별자치시 연양초등학교 새빛관에서는 ‘2025 세종특별자치시협회장배 브리지 대회’가 성황리에 열렸다.  한국브리지협회와 세종특별자치시브리지협회에 따르면 이날 대회에는 세종을 넘어 전국 각지에서 모인 학생과 동호인 70페어(총 140명)가 참가해 국내에서 높아지는 브리지 열기를 실감케 했다. 첫 회였던 2023년 20명에 불과했던 참가자는 2024년 70명, 올해는 160여 명으로 늘며 불과 3년 만에 규모가 폭발적으로 확대됐다. 참가 연령대는 8세부터 82세까지로 폭넓었고, 그중에서도 학생 선수 비율이 해마다 눈에 띄게 증가한 점이 특히 주목을 받았다. 특히 최교진 교육부 장관이 공식 브리지 대회에 처음 참석하면서, 브리지를 공교육에서 활용하기 위한 논의가 본격적으로 수면 위로 떠올랐다.  브리지는 이미 유럽과 미국, 중국 등 해외에서는 학교 정규수업과 방과후 프로그램으로 자리 잡은 대표적 마인드 스포츠다. 52장의 카드를 사용해 두 명이 한 팀을 이뤄 전략을 겨루는 게임으로, 세계지능스포츠연맹(IMSA)이 인정한 국제 지능 스포츠이자 전 세계 130여 개국 4000만명 이상이 즐기고 있다.  최교진 교육부 장관 ""학교 현장 활용 가능성 검토""  이날 현장에는 최 장관을 비롯해 오영철 세종시체육회 회장, 이승원 세종특별자치시 경제부시장, 김혜영 한국브리지협회 회장, 오혜민 서울브리지협회 회장 등이 참석했다.  현장을 찾은 최 장관은 학생 선수들의 경기 장면을 꼼꼼히 지켜보며 브리지의 교육적 가치에 깊은 관심을 보였다. 그는 “브리지는 학생들의 논리적 사고력뿐 아니라 감정 조절과 사회성을 기르는 교육 도구""라며 “학교 현장에서의 활용 가능성을 면밀히 검토하겠다”고 밝혔다.  행사를 주관한 김혜영 회장도 학교 현장에서의 브리지 교육 도입 필요성을 거듭 강조했다. 그는 “브리지는 미래 교육 역량의 핵심을 이끄는 대표적 두뇌스포츠”라며 “학교 교육과 스포츠클럽에서 브리지를 경험하는 것이 창의적이고 협력적인 인재를 키우는 데 큰 도움이 될 것”이라고 설명했다. 그는 앞으로 학교 스포츠클럽을 중심으로 한 단계적 도입과 전국 시·도교육청과의 협력을 통한 프로그램 확장을 적극 추진하겠다는 의지도 밝혔다.  한편 한국브리지협회는 이번 대회를 기점으로 교육부와 세종시, 그리고 전국 교육청과 협력해 학교 기반 브리지 프로그램을 전국적으로 확대해나갈 계획이다.",2025.12.01. 오후 10:27,https://n.news.naver.com/mnews/article/014/0005442625
"여야, 법정기한 2일에 예산 담판 짓는다","[파이낸셜뉴스] 여야 원내지도부는 내년도 예산안 법정 처리기한인 오는 2일에 예산협상 담판을 짓는다. 1일 회동했지만 끝내 합의를 이루지 못해 2일 국회 본회의가 열리기 전에 결론을 내기로 한 것이다.  김병기 더불어민주당·송언석 국민의힘 원내대표를 비롯한 여야 원내지도부는 이날 국회에서 회동해 감액 예산 쟁점 협상을 벌였지만 합의에 이르지 못했다. 대신 2일 오전에 다시 만나 마지막 협의를 가지기로 했다.  여야는 지난달 30일 예산안과 부수법안 합의를 도출한다는 계획이었지만 의견차를 좁히지 못했고, 국회법에 따라 예산은 정부안이 본회의에 자동부의됐다. 세제개편 등 부수법안은 여야가 뜻을 모으지 못한 법인세와 교육세가 정부안이 오르게 됐다. 정부안은 법인세와 교육세를 각기 1%포인트와 0.5%포인트 올리는 안이다.  여야는 2일 막판협상에서 극적인 타결을 볼 가능성이 크다. 민주당이 과반 이상 의석을 차지하고 있어 단독처리가 가능한 상황이라, 국민의힘으로선 끝까지 합의하지 않으면 그간 협의한 사항들이 아예 배제될 수 있어서다. 실제로 올해 예산의 경우 지난해 윤석열 전 대통령 비상계엄 사태 여파로 민주당 주도로 처리되면서 국민의힘의 의견은 일체 반영되지 않았다.  예산안과 함께 협상테이블에 오른 국정조사도 중지를 모을지 주목된다. 검찰의 대장동 비리 1심 항소 포기를 두고 여야 모두 요구한 국정조사이다. 민주당은 검찰의 조작기소 의혹에, 국민의힘은 이재명 정권이 검찰에 항소 포기 압력을 넣었다는 의혹에 초점을 맞추고 있다. 두 의혹을 모두 조사 대상으로 삼을 것으로 보인다.",2025.12.01. 오후 9:43,https://n.news.naver.com/mnews/article/014/0005442624
"6·25 참전', 故 최규옥 하사 ""70여년 만에 유족에 무공훈장 전수""","[파이낸셜뉴스] 70여년만에 6·25전쟁 당시 공을 세운 고(故) 최규옥 하사에게 수여된 무성화랑 무공훈장과 훈장증을 고인의 유족인 아들 재홍 씨에게 전수했다.  1일 울산시 북구에 따르면 국방부와 육군본부가 지난 2019년부터 추진한 '6·25전쟁 무공훈장 주인공 찾기 캠페인'을 통해 그 유가족에게 훈장을 전할 수 있게 됐다.  이날 유족에게 훈장과 훈장증을 전달한 박천동 북구청장은 ""국가를 위해 헌신한 호국영령의 희생과 그 정신에 깊은 감사와 존경을 표한다""며 ""국가유공자의 명예를 높이고 예우를 강화하기 위해 노력하겠다""고 말했다.  부친을 대신해 훈장을 받은 재홍 씨는 ""고인의 숭고한 희생과 헌신을 잊지 않고 명예를 드높여 줘 감사드린다""며 ""어머니가 살아 계실 때 훈장을 받게 돼 더욱 뜻깊다""고 소감을 전했다.  고인은 6·25전쟁 발발 직후인 1950년 10월 입대해 제5육군병원에 발령됐다. 그는 1954년 무공훈장 수여가 결정됐으나, 실물 훈장을 받지 못한 채 1978년 별세했다.",2025.12.01. 오후 9:26,https://n.news.naver.com/mnews/article/014/0005442623
"우에다 日銀 총재, 12월 금리인상 가능성 시사","【파이낸셜뉴스 도쿄=서혜진 특파원】 우에다 가즈오 일본은행 총재가 1일 ""이달 금융정책결정회의에서 금리 인상 여부에 대해 적절히 판단하겠다""고 밝혔다. 우에다 총재가 미국 관세 영향이 제한적이고 내년 춘투(봄 임금인상) 움직임도 순조롭다고 언급하자 시장에서는 12월 기준금리 인상 기대감이 커지고 있다.  니혼게이자이신문(닛케이)과 요미우리신문에 따르면 우에다 총재는 이날 아이치현 나고야시에서 열린 금융경제 간담회에서 강연을 통해 이같이 말했다.  일본은행은 오는 18∼19일 금융정책결정회의를 개최한다. 일본은행은 지난 1월 금융정책결정회의에서 단기 정책금리를 '0.25% 정도'에서 '0.5% 정도'로 인상한 뒤 6회 연속 금리를 동결했다. 이번 회의에서 기준금리를 인상한다면 '0.75%'가 될 전망이다. 이는 1995년 이후 약 30년 만의 높은 수준 금리이다. 다만 물가변동을 반영한 실질금리는 여전히 낮은 상태다.  우에다 총재는 현재 0.5% 수준의 정책금리가 경기·물가에 중립적인 수준을 크게 밑돌고 있다며 ""정책금리를 올린다고 해도 경기에 브레이크를 거는 것이 아니라 안정적 경제·물가 실현을 향해 액셀을 잘 조절해 늦추는 것""이라고 강조했다.  그는 미국 관세정책 영향에 대해 ""미국 국내에서 부정적인 영향이 크게 나타나지 않고 있으며 일본 기업 실적에 대한 영향도 제한적이라는 견해가 늘고 있다. 향후 불확실성은 점차 줄어들고 있다""고 말했다.  지난 10월 회의에서 추가 금리 인상 조건으로 언급한 내년 춘투 움직임에 대해서도 긍정적인 반응을 보였다. 우에다 총재는 ""춘투의 재원이 되는 기업실적이 전체적으로 높은 수준을 유지할 전망""이라고 내다봤다. 또한 노동조합이 목표 임금인상률을 지난해와 같은 '5% 이상'으로 제시하고 게이단렌(일본경제단체연합회)도 임금 인상의 '추가적 정착'이라는 방침을 내놓고 있다고 소개했다.  우에다 총재 발언이 공개되면서 12월 금리 인상설이 힘을 받자 도쿄 외환시장에서 엔 매수세가 확산되며 엔 강세가 나타났다. 엔화 환율은 이날 달러당 155엔대 중반을 기록했다. 도쿄 채권시장에서는 10년 만기 일본 국채 수익률이 상승했다. 한때 전 거래일 대비 0.045%p 높은 1.850%를 기록했는데 이는 2008년 6월 이후 약 17년반 만에 높은 수준이다.",2025.12.01. 오후 9:20,https://n.news.naver.com/mnews/article/014/0005442622
"인권위 ""양평공무원에 진술 강요 있었다""…특검 수사관 고발","[파이낸셜뉴스] 국가인권위원회가 '양평군 공무원 사망 사건'과 관련해 민중기 특검팀 관계자를 직권남용 혐의로 고발하기로 했다.  인권위는 1일 오후 제22차 전원위원회에서 이같은 내용이 담긴 82쪽 분량의 양평군 공무원 사망 사건 직권조사 결과 보고서를 의결했다고 밝혔다.  인권위는 특검팀에 파견됐던 수사관 1명을 고발하고 3명을 수사 의뢰하기로 했다.  인권위는 고인의 21장 분량의 일기 형식 유서를 확보해 확인한 결과 특검 측의 인권 침해 정황이 확인됐으며, 고발 대상 수사관의 이름도 적혀 있었다고 밝혔다.  조형석 인권위 조사총괄과장은 ""고인의 유서를 바탕으로 진술 강요가 있었다고 판단되는 수사관을 고발하고 나머지 수사관 2명과 책임자 팀장은 수사 의뢰한 것""이라고 설명했다.  50대 양평군청 공무원 A씨는 윤석열 전 대통령의 부인 김건희 씨 관련 의혹을 수사하는 민중기 특검의 조사를 받은 뒤 지난달 10일 자택에서 숨진 채 발견됐다. A씨의 자필 메모 등엔 특검 수사 과정에서 회유와 강압이 있어 힘들다는 내용이 적힌 것으로 파악됐다.  조 과장은 ""유서에서 발견된 '안했다 했는데 계속 했다고 해라, 누가 시켰다고 해라, 책임을 떠넘긴다, 다그친다, 반말로 얘기한다, 회유와 강압에 너무 힘들다'는 등의 표현을 합쳐 직권남용으로 봤다""고 말했다.  다만 고발 당사자는 혐의를 부인했다고 인권위는 전했다.  인권위는 이와 함께 민중기 특검에게도 향후 조사 시 인권 침해가 발생하지 않도록 하라고 당부했다.  또 양평경찰서장에게 고인 부검을 한 경찰에 대해 교육을 실시할 것을, 국회의장에게는 향후 특검법 제정 시 인권보호 조항을 포함할 것을 권고했다.",2025.12.01. 오후 9:18,https://n.news.naver.com/mnews/article/014/0005442621
"내란전담재판부 법안, 與 주도로 법사 소위 통과","국회 법제사법위원회 법안심사 1소위는 1일 내란전담재판부 설치법안을 의결했다. 국민의힘 소속 위원들이 항의하며 퇴장한 가운데 범여권 주도로 이뤄졌다. 국민의힘은 헌법소원을 검토한다는 방침이다.  법안소위는 이날 오전부터 이어진 마라톤 회의를 거쳐 '윤석열·김건희 등의 국정농단 사건 진상규명을 위한 전담재판부 설치법'과 판·검사 처벌 근거인 법 왜곡죄를 도입하는 내용의 형법 개정안, 고위공직자범죄수사처(공수처) 수사 범위를 확대하는 공수처법 개정안 등을 처리했다.  우선 내란전담재판부 설치법안은 윤석열 전 대통령의 비상계엄 사태를 비롯한 내란·외환 사건을 맡는 1·2심 재판부를 설치하고 영장전담판사 2명을 임명하는 내용이 골자이다.  내란전담재판부 판사를 추천할 후보추천위원회도 구성한다. 헌법재판소장과 법무부 장관, 판사회의에서 각 3명씩 총 9명의 추천위를 꾸려 2배수를 추천하면 대법원장이 재판부를 구성하고 영장전담판사를 지정한다. 여기에 내란·외환 관련자들의 구속 기간을 1년까지 연장할 수 있는 근거도 담았다. 내년 1월 18일로 만료될 예정인 윤 전 대통령의 구속기간을 더 늘리도록 한 것이다.  법사위 더불어민주당 간사이자 소위원장인 김용민 의원은 회의를 마친 후 기자들과 만나 우선 내란전담재판부 설치법안에 대해 ""지금의 내란재판에 대해 국민들이 불신하고 있고 불공정한 재판에 국민의 분노가 높은 상태""라며 ""하루빨리 불법 비상계엄, 내란사태를 종결시키기 위한 법""이라고 배경을 밝혔다.  국민의힘은 내란전담재판부 자체가 위헌이라며 소위 회의 도중 퇴장했다. 나경원 의원은 '나치 재판부'에 비유하며 ""대한민국 헌법질서, 삼권분립을 파괴하는 내란전담재판부에 우리는 강력히 반대한다""면서 ""위헌법률심판을 제청하는 것 등을 검토할 것""이라고 밝혔다.  이 밖에 민주당이 사법개혁 중 하나로 추진해온 법 왜곡죄 도입 형법 개정안도 소위 문턱을 넘었다. 판·검사가 증거를 조작하거나 사실관계를 왜곡해 판결할 경우 법 왜곡죄를 물어 처벌할 수 있는 근거를 마련한 것이다. 공수처 수사 범위를 넓히는 공수처법 개정안도 처리됐다.",2025.12.01. 오후 9:18,https://n.news.naver.com/mnews/article/014/0005442620
2일 출근길 영하권 추위.. 밤부터 남부 중심 눈·비,"2일 강원 대관령의 최저기온이 -5도까지 떨어지는 등 영하권 추위가 찾아올 전망이다.  1일 기상청에 따르면 2일 아침 기온은 -5∼5도, 낮 최고기온은 1∼13도로 예보됐다. 북쪽에서 찬 공기가 남하하면서 낮 기온도 5도 안팎으로 낮겠고 바람도 강하게 불어 체감온도는 더욱 낮을 것으로 예상된다.  전국에는 구름이 많이 낀 가운데 밤부터 남부지방을 중심으로 눈이나 비가 내려 3일 중부 내륙 등으로 확대될 것으로 관측된다. 2일부터 이틀간 예상 강수량은 울릉도·독도, 제주도 5∼10㎜, 충남 서해안, 전북 서해안·남부 내륙·광주·전남 서해안·중부 내륙 5㎜ 안팎, 서해 5도 5㎜ 미만, 세종·충남 북부 내륙, 전북(서해안·남부 내륙 제외) 1㎜ 안팎이다.  같은 기간 예상 적설량은 울릉도·독도, 제주도 3∼10㎝, 충남 서해안, 전북 서해안·전남 북부 서해안 3∼8㎝, 서해 5도, 전북 남부 내륙·전남 서해안(북부 제외) 1∼5㎝, 세종·충남 북부 내륙, 전북(서해안·남부 내륙 제외)·광주·전남 중부 내륙, 제주도 중산간 1㎝ 안팎이다.  미세먼지는 전 권역에서 '좋음'∼'보통' 수준일 것으로 전망된다. 동해안을 중심으로는 대기가 매우 건조할 예정이어서 화재 예방에 각별히 유의해야 한다고 기상청은 당부했다.  바다 물결은 동해·남해 앞바다에서 0.5∼2.0m, 서해 앞바다에서 0.5∼2.5m로 일 것으로 예상된다. 안쪽 먼바다(해안선에서 약 200㎞ 내의 먼바다)의 파고는 동해 1.0∼4.0m, 서해·남해 1.0∼3.0m로 관측된다.",2025.12.01. 오후 8:50,https://n.news.naver.com/mnews/article/014/0005442619
"정부, '괴물 폭우' 덮친 베트남 중부에 50만弗 인도적 지원 결정","【하노이(베트남)=김준석 특파원】정부가 최근 연이어 발생한 태풍, 집중호우, 홍수로 피해를 입은 베트남 중부지역을 지원하기 위해 베트남 정부에 50만달러(약 7억3475만원) 규모의 인도적 지원을 제공하기로 결정했다.  1일 주베트남 한국대사관은 ""이번 중부지역에 대한 인도적 지원은 재난 대응을 총괄하고 있는 베트남 농업환경부와의 협의를 통해 우선적으로 도움이 필요한 지역과 주민을 대상으로 신속히 제공될 예정""이라면서 ""최근 베트남에서 잇따라 발생하고 있는 자연재해로부터의 조속한 복구와 주민들의 안전 확보, 일상 회복에 도움이 되기를 기대한다""고 밝혔다.  정부가 베트남의 태풍, 집중호우, 홍수 피해에 인도적 지원을 제공한 것은 이번이 처음이 아니다.  앞서 정부는 지난해 태풍 야기 피해에 200만달러(약 29억3900만원)를 공여해 긴급구호 및 가옥 수리·복구를 지원한 바 있다. 또, 지난 10월 북부지역 태풍 피해에 대해서도 100만달러(약 14억6950만원) 규모의 인도적 지원을 진행하고 있다.",2025.12.01. 오후 8:32,https://n.news.naver.com/mnews/article/014/0005442618
"장동혁, 쿠팡 사태에 ""개인정보 처리하는 모든 사람에 대한 전수조사 필요""","[파이낸셜뉴스] 장동혁 국민의힘 대표는 1일 쿠팡 개인정보 유출 사태와 관련해 ""이제는 개인정보 유출을 기업의 자정 작용에만 맡겨둘 수 없다""며 ""우리 국민의 소중한 개인정보를 믿고 맡길 수 있는지 개인정보를 처리하는 위치에 있는 모든 사람에 대한 전수조사가 필요하다""고 주장했다.  장 대표는 이날 사회관계망서비스(SNS)를 통해 ""쿠팡에서 3370만명의 개인정보가 유출되는 초유의 사태가 발생했다. 더 큰 문제는 유출 사건이 전직 중국인 직원의 소행으로 알려지고 있는 것""이라며 이같이 밝혔다.  장 대표는 ""개인정보는 더 이상 단순한 데이터가 아니다. 국가 안보와 민생에 직결되는 마스터키""라며 ""대규모 개인정보 유출사태는 보이스피싱이나 스미싱 등의 민생 범죄를 넘어 통상무역 문제로 비화될 수 있는 엄중한 사안""이라고 강조했다.  이어 ""국민의힘은 이미 보안 사고가 발생했던 국가기관과 공공기관을 시작으로 민간 기업과 보안 관련 전담 업체에서 일하는 외국인 현황에 대한 자료를 요구하고 분석에 착수하겠다""며 ""우리 국민의 개인정보를 보호하고 국가 안보를 지키는 것보다 중요한 것은 없다""고 덧붙였다.",2025.12.01. 오후 8:00,https://n.news.naver.com/mnews/article/014/0005442617
"금감원, 삼성생명 '일탈회계' 중단 결론","[파이낸셜뉴스] 금융감독원이 삼성생명 등 국내 생명보험업계의 '일탈회계'를 더는 허용하지 않겠다는 결론을 내렸다.  금감원은 1일 회계기준원과 함께 '한국채택국제회계기준(K-IFRS) 질의회신 연석회의'를 열고 '유배당 보험 계약 관련 배당금 지급 의무와 관련해 일탈회계를 지속할 수 있느냐'는 생명보험협회 질의에 ""더 이상 적용할 수 없다""고 답변했다.  그간 국내 생명보험사는 유배당보험계약자에게 지급해야 할 배당금액에 대해 '계약자지분조정'이라는 별도 부채 항목으로 처리(일탈회계) 해왔는데, 더는 이러한 항목을 표시할 수 없게 된 것이다.  지난 2023년 새 국제회계기준(IFRS17) 도입 직전 2022년 말 금감원 판단에 따라 지금까지 허용된 회계 방식이었지만, 국제기준에 맞지 않는다는 논란이 지속돼왔다.  금감원은 ""K-IFRS17이 계도 기간을 지나 안정화되는 상황에서 일탈회계 유지로 인해 제기되는 불필요한 논란을 해소할 필요성과 국내 생명보험사가 일탈회계를 계속 적용하는 경우 한국을 IFRS 전면 도입 국가로 보기 어려울 수 있다는 일부 의견 등을 고려했다""고 일탈회계 중단 필요성을 설명했다.  이에 생명보험사는 앞으로 유배당보험계약을 다른 보험계약과 구분해 재무제표에 표시하고 이를 주석으로 명확하게 기재해야 한다.  금감원은 일탈회계 중단은 회계정책의 변경에 해당하므로, 회계처리 변경에 따른 정보이용자의 혼란을 최소화하기 위해 비교 표시되는 전기 재무제표를 재작성하도록 하겠다고 밝혔다.",2025.12.01. 오후 7:54,https://n.news.naver.com/mnews/article/014/0005442616
