날짜,제목,본문,링크
2025-12-20 21:15:00,"710억 걷어차니 벌어진 일... 애틀랜타 시내 한복판 '한국어' 도배, 실화냐?","[파이낸셜뉴스] 미국 조지아주 애틀랜타의 거리를 걷다 보면 눈을 의심하게 만드는 장면이 펼쳐진다. 화려한 빌보드 전광판 사이로 낯익은 한글이 큼지막하게 박혀 있기 때문이다.  ""김하성, 돌아왔습니다."" 합성 사진이 아니다. 메이저리그 명문 구단 애틀랜타 브레이브스가 오직 한 명, '코리안 몬스터' 김하성(30)을 위해 띄운 공식 환영 메시지다. 지난 9월 그가 처음 팀에 합류했을 때 내걸었던 ""김하성님을 환영합니다""에 이은 두 번째 '한글 이벤트'다. 메이저리그 구단이 특정 선수를 위해 도시 전역에 모국어 광고를, 그것도 두 번이나 게재하는 것은 극히 이례적인 '특급 대우'다.  도대체 김하성이 어떤 선택을 했길래 애틀랜타는 이토록 그에게 진심인 걸까.  지난 15일, 김하성은 애틀랜타와 1년 총액 2천만 달러(약 294억 원)에 도장을 찍었다. 사실 그에게는 더 안정적인 선택지가 있었다. 북미 스포츠 매체 '디애슬레틱'에 따르면, 오클랜드 애슬레틱스로부터 4년 4천800만 달러(약 710억 원)라는 거액의 장기 계약을 제안받았던 것. 하지만 김하성은 눈앞의 710억 원을 과감히 걷어찼다. 대신 자신의 실력을 증명하고 1년 뒤 더 큰 가치를 인정받겠다는 '상남자'다운 배짱 승부수를 던졌다.   그의 자신감에는 근거가 있다. 지난 9월 탬파베이에서 방출되는 아픔을 겪었지만, 애틀랜타 유니폼을 입자마자 거짓말처럼 부활했다. 이적 후 24경기에서 타율 0.253, 3홈런, 12타점을 기록하며 알토란 같은 활약을 펼쳤다. 애틀랜타 구단 역시 짧은 기간 그가 보여준 투지와 잠재력을 믿었고, 도시 전체에 한글 광고를 내걸며 그 믿음을 '리스펙트'로 화답한 것이다.  현재 김하성은 한국에 머물며 조용히, 하지만 치열하게 몸을 만들고 있다.   2026시즌이 끝난 후 다시 한번 FA 시장을 뒤흔들 준비를 하는 것이다. 애틀랜타의 뜨거운 구애와 김하성의 뜨거운 야망이 만난 2026년, 과연 그는 메이저리그 바닥에 또 한 번의 '잭팟'을 터뜨릴 수 있을까.  애틀랜타의 빌보드는 이미 그 답을 알고 있는지도 모른다.",https://n.news.naver.com/mnews/article/014/0005451846
2025-12-20 20:49:00,"""난 부축했을 뿐, 억울해서 잠도 못 자... '중징계' 김완기 마라톤 감독, 결국 재심 신청","[파이낸셜뉴스] '인천국제마라톤 결승선 논란'으로 중징계를 받은 김완기 삼척시청 육상팀 감독이 징계 처분에 불복, 결국 재심을 신청했다. 쏟아지는 비난 여론과 체육회의 결정에 억울함을 호소하며 정식으로 이의를 제기한 것이다.  18일 체육계에 따르면 김 감독은 전날 법률 대리인을 통해 강원도체육회에 재심 신청서를 제출했다. 지난 10일 삼척시체육회 스포츠공정위원회로부터 자격정지 1년 6개월이라는 중징계를 통보받은 지 일주일 만의 대응이다.  사건의 발단은 지난달 23일 열린 '2025 인천국제마라톤'이었다. 여자 국내부 우승을 차지한 소속팀 이수민 선수가 결승선을 통과한 직후, 김 감독이 그를 부축하는 과정에서 발생한 신체 접촉이 중계 화면에 잡히며 성추행 의혹이 불거졌다.  그러나 김 감독 측은 이번 징계 과정에 강한 아쉬움을 드러내고 있는 것으로 알려졌다.  실제로 선수들이 제출한 진정서에는 논란이 된 '결승선 신체 접촉' 내용은 포함되지 않았기 때문이다. 선수들은 김 감독의 평소 언행과 불성실한 대회 준비 과정 등을 문제 삼았고, 삼척시체육회 역시 직무태만, 직권남용, 인권침해 등을 징계 사유로 들었다.  김 감독은 일부 언론을 통해 ""넘어지는 선수를 보호하려던 것일 뿐""이라며 오해에 대한 억울함을 토로한 바 있다. 그는 이번 재심을 통해 자신을 둘러싼 과도한 해석과 징계 수위의 부당함을 적극 소명할 계획이다.  공은 강원도체육회로 넘어갔다. 규정에 따라 체육회는 60일 이내에 스포츠공정위원회를 열어 최종 판단을 내려야 한다. 다만 연말 일정 등을 고려할 때, 김 감독의 명예 회복 여부가 걸린 최종 결론은 해를 넘겨 나올 전망이다.",https://n.news.naver.com/mnews/article/014/0005451843
2025-12-20 20:36:00,부산보건대 호텔제과제빵과 '제3회 2026 해외취업·해외인턴십 파견식',"[파이낸셜뉴스] 부산보건대학교 호텔제과제빵과는 지난 18일 '제3회 2026 해외취업 및 해외인턴십 파견식'을 개최했다고 밝혔다.  이날 행사에는 정학영 부산보건대학교 총장, 신남식 교무부총장, 정규명 대외부총장을 비롯해 각 부서 처·부처장, 우희섭 호텔제과제빵과 학과장, 김정계 해외취업 담당교수를 포함한 호텔제과제빵과 교수진, 해외취업·해외인턴십 대상자 19명, 학부모 등 100여명이 참석했다.  파견식은 인사말을 시작으로 선서식, 해외취업 소감 발표, 해외취업 인증서 수여와 뱃지 증정, 꽃다발 전달, 후배들의 기념 선물 증정 순으로 진행됐다.  참석자들은 해외취업을 목표로 준비해온 지난 1년간의 과정을 되돌아보며 학생들의 도전과 성장을 함께 응원했다.  해외취업자 대표로 소감을 전한 하연우·강미소 학생은 ""지난 1년간의 준비과정은 쉽지 않았지만 그 시간들이 이 자리에 설 수 있는 힘이 됐다""며 ""부산보건대학교에서 배운 기술과 책임감을 바탕으로 해외현장에서도 당당한 제과·제빵사가 되겠다""고 말했다.  부산보건대학교 호텔제과제빵과는 실무중심 교육과 해외 산업체 연계를 바탕으로 글로벌 제과·제빵 인재를 양성하고 있다. 이번 파견을 통해 학생들은 2026년부터 해외 현지 산업체에서 실무 경험을 쌓게 된다.  특히 해당 학과는 해외취업 성과를 3년 연속 이어오며 안정적인 글로벌 취업 시스템을 구축해 왔고, 올해는 전국 대학 가운데 가장 많은 해외취업 성공 사례를 기록한 것으로 알려졌다.  이 같은 성과를 바탕으로 부산보건대학교 호텔제과제빵과는 전국 최고 수준의 제과·제빵 특성화 학과로 자리매김하고 있다.  부산보건대학교 호텔제과제빵과는 2026학년도 신입생을 모집 중이다. 주간과정 80명과 야간 성인학습자 과정 20명 등 총 100명을 선발한다.",https://n.news.naver.com/mnews/article/014/0005451842
2025-12-20 20:10:00,"""진로 경험담 선배에게 듣는다""..창원 경상고 '잡학다식' 행사 큰 호응","[파이낸셜뉴스] 올해로 개교 51주년을 맞은 '명문 사학' 경상고등학교가 각계각층에서 활동 중인 동문 선배들을 초청해 재학생들에게 생생한 진로 이야기를 들려주는 의미있는 행사를 열어 큰 호응을 얻었다.  경상고등학교는 20일 ""경제계, 법조계, 학계, 언론계 등에서 모교를 빛내고 있는 자랑스러운 졸업생 25명을 초청해 '동문에게 듣는 진로 이야기, 잡(JOB)학다식' 행사를 개최했다""고 밝혔다.  학교재단 청송학원과 교직원, 총동창회 등이 한마음으로 마련한 이번 행사는 동문 선배들의 진로체험담을 1~3학년 재학생들에게 생생하게 들려주는 매우 유익한 프로그램으로 진행됐다.  전국의 일선 고등학교에서 처음 시도된 경상고만의 이같은 특색있는 프로그램은 학생들에게 학습과 연계한 자기주도적 진로설계 역량을 강화하고 학교 구성원과 동문 간 교육적 연대도 높여주는 기대효과를 낳고 있다.  이혜정 학교재단 청송학원 이사장은 ""이번 행사가 단순한 강연을 넘어 선배와 후배가 경험과 꿈을 나누는 소중한 만남의 장이 됐다""면서 ""각자의 자리에서 최선을 다해 살아온 동문선배들의 이야기가 재학생들이 진로를 개척하는데 큰 힘을 되길 기대한다""고 강조했다.  김미경 경상고등학교 교장은 ""학생들의 진로활동에 도움을 줄 수 있는 전문가를 찾는 도중에 2년전 우연찮게 경상고 재경 동창회 체육대회를 인사차 방문한 자리에서 '졸업생이 각계 요직에 많이 포진돼 있는데 달리 찾을 것이 뭐 있느냐'며 모교를 위해 흔쾌히 돕겠다는 즉답을 받아내 전국에서도 유일하게 이같은 프로그램을 진행하게 됐다""고 전했다.  김 교장은 ""내년에는 7월 기말고사 마친 이후 '잡학다식' 행사는 가져 학생들이 진로를 결정하는데 더욱 도움이 될 수 있도록 할 계획""이라고 밝혔다.    이날 특강에도 직접 나선 이유한 경상고등학교 총동창회장은 ""'잡학다식' 프로그램이 선배와 후배를 연결해주는 좋은 고리역할이 되고 있는 만큼 총동창회에서 내년에 출범시킬 장학재단과도 연계해 학업성적 향상과 진로 개척, 모교 발전에 새로운 동력이 될 수 있도록 전략을 세워나갈 것""이라고 말했다.",https://n.news.naver.com/mnews/article/014/0005451840
2025-12-20 19:21:00,"나경원 ""북한, 남쪽이 북침할까 걱정? 심각한 역사 망각""","[파이낸셜뉴스] 국민의힘 나경원 의원이 이재명 대통령의 '북한은 혹시 남쪽이 북침하지 않을까 걱정한다'라고 한 발언에 대해 ""역사에 대한 심각한 망각이며, 자유대한민국에 대한 배신""이라고 지적했다.  나 의원은 20일 자신의 사회관계망서비스(SNS)를 통해 ""'북한이 남한의 북침을 걱정하고 있다?', '대북 제재 완화 추진하겠다?' 대한민국 대통령의 입에서 나와선 안 되는 말""이라며 이같이 전했다.  이어 ""1950년 한반도를 불바다로 만든 침략자 북한은 아직까지 전쟁에 대해 사과 한마디 한 적이 없는 전범 집단""이라며 ""한국군과 유엔군 70만명 이상의 사상자를 냈고, 약 200만의 민간인이 희생됐다. 600만명이 넘는 피난민들의 고통은 아직 가시지 않았다""고 했다.  또 ""청와대 습격, 아웅산 테러, KAL기 폭파, 서해 도발, 천안함 폭침, 연평도 포격, 국민 납치 등 무수한 공격과 폭력을 일삼아 왔고, 지금 이 순간에도 핵무기로 우리 국민의 생명을 위협하고 있다""며 ""그런 북한을 두고, 북한이 남한의 북침을 걱정하고 있다니, 진짜 원수가 돼 가는 것 같다니, 그렇다면 지금까지는 북한이 우리의 '친구'였다는 말인가""라고 지적했다.  나 의원은 북한 노동신문과 관련해서도 ""노동신문 개방? 국가안보 정신 무장해제""라며 ""노동신문을 언론이라 생각하나. 김정은 독재 체제를 찬양하고 대남 적화통일을 선동하는 선전 도구""라고 주장했다.  그러면서 ""이를 국민에게 무방비로 노출하겠다는 것은 북한의 체제 선전과 대남 선동을 일상으로 들이밀어, 국민 여론과 안보 인식을 서서히 좀먹겠다는 위험한 시도""라고 했다.  대북 제재 완화 언급과 관련해서도 ""안보현실과 국제사회 합의에 정면으로 위배되는 발언""이라며 ""미국은 지난달에도 독자 대북제재를 추가 발표했다. 미국과 유엔은 북한의 핵 개발에 대응해 추가 제재를 모색 중이다. 이런 상황에서 한국의 독자적인 규제 완화는 유엔 제재 의무 위반이자 자유우방국과 국제사회에 잘못된 시그널을 줄 수 있다""고 했다.  나 의원은 ""대통령이 왜 전 부처를 돌아다니면서 망언과 헛소리 콘서트를 계속하는지 제대로 직시해야 한다""며 ""환율·물가 경제위기에 부동산·민생 폭망, 무너져가는 외교안보 책임을 가리고 국민의 분노와 관심을 돌리려는 비겁한 연막 작전쇼""라고 날을 세웠다.",https://n.news.naver.com/mnews/article/014/0005451839
2025-12-20 18:35:00,"“남북 의료협력 희귀 모델”..그린닥터스, 개성병원 개원 20주년 유공자 표창","[파이낸셜뉴스] 북한 개성공단 내에서 개성남북협력병원을 운영해온 국제의료봉사단체 재단법인 그린닥터스가 올해로 개원 20주년을 맞아 유공자들을 표창하고 남북관계가 개선되면 재개원을 추진하기로 했다.  그린닥터스재단(이사장 정근·온병원그룹 원장)은 20일 오후 부산 부산진구 온병원 15층 ON홀에서 재단 관계자와 의료진, 자원봉사자 등 300여명이 참석한 가운데 ‘2025년 봉사자의 날’ 기념식을 열고 개성병원 유공자들을 표창하고 격려했다.  그린닥터스재단은 이날 정근 이사장을 비롯해 임영문(부산 평화교회 딤임목사)·김승희(재단 부이사장)·임종수(온병원 행정원장) 등 재단이사, 이한평 그린닥터스개성병원 재추진위원(전 부산교통방송 대표) 등 개성병원 유공자들에게 공로상을 수여했다. 또 지난 1년간의 봉사실적이 뛰어난 유스·주니어·대학부 회원 100여명이 환경부장관과 부산시장 등으로부터 표창장을 받았다.    정근 이사장은 그린닥터스가 통일부로부터 개성공단 내 대북사업자로 지정된 2004년부터 개성병원 개원을 주도했고, 2012년 12월 철수할 때까지 공단 내 남북근로자 무료 진료지원과 남북 의료교류 등 사실상 개성병원 운영을 도맡아왔다. 이한평 위원은 2005년1월부터 2012년 12월말까지 8년간 개성병원 기록을 정리한 ‘그린닥터스 개성 남북협력병원 백서-인술로 이룬 작은 통일’를 펴낸 공로를 인정받았다.  ‘그린닥터스 개성 남북협력병원 백서-인술로 이룬 작은 통일’에 따르면 그린닥터스재단은 지난 2005년 1월부터 2012년 12월말까지 8년간 개성공단 내 개성병원을 운영하며 남북한 근로자들에게 무료 의료서비스를 제공했고, 60억여 원어치의 의약품도 지원했다. 이 기간 동안 35만여 명의 근로자가 이 병원을 이용했으며, 외과·내과·산부인과·치과 등 필수 진료과를 중심으로 한 종합 진료체계가 안정적으로 갖춰졌다.    그린닥터스 개성병원은 남북이 공동으로 상시 운영한 사실상 유일한 민간 종합병원으로 평가된다. 보건의료 협력이 극히 제한적이던 시기에도 남측 의료진이 북측 환자를 직접 치료하는 구조가 유지되었으며, 의료 기반이 취약한 북측 지역의 의료 접근성을 실질적으로 높였다는 점에서 높은 평가를 받았다. 근로자 간의 일상적인 접촉과 협력이 자연스럽게 이뤄졌다는 점, 정치적 상황과 무관하게 인도적 협력을 지속할 수 있었다는 점 또한 전문가들이 꼽는 주요 성과다.  당시 그린닥터스 개성병원 의료진이 기억하는 현장의 모습은 이 같은 평가를 뒷받침한다는 시각도 있다. 지난 2006년 어느 날 개성공단 작업장에서 기계 사고로 손을 다친 북측 근로자가 병원으로 실려 왔다. 평소 각각 남쪽과 북쪽 근로자들을 나눠서 진료해오던 남북의료진은 즉각 공동으로 응급처치를 진행됐다. 환자는 큰 후유증 없이 회복했고, 북측 관리자가 “이날의 협력은 말보다 행동으로 확인된 동포애”라고 전한 일화는 그린닥터스 개성병원의 특수성을 상징하는 사례로 지금도 회자된다.    최근 남북관계는 장기간 정체 국면에 머무르며 의료·인도 분야의 소통창구조차 사실상 끊긴 상태다. 그럼에도 전문가들은 의료협력이 국제 제재와 충돌하지 않으면서 정치적 부담이 가장 적은 분야인데다, 상호 신뢰를 쌓는 데 적합한 영역이라는 점을 근거로 다시 주목해야 한다고 지적한다.  그린닥터스 개성병원이 남긴 8년의 기록은 향후 남북 협력 모델을 재설계할 때 활용할 수 있는 실제적 데이터와 운영 경험을 포함하고 있어 재가동이나 새로운 협력 플랫폼 구축을 위한 기반 자산으로 평가되고 있다는데 전문가들 사이에 이론이 없다.  그린닥터스재단은 지난 11월 20일 오후 국회의원회관 6간담회실에서 이학영 국회부의장(더불어민주당), 김남중 통일부 차관, 유성옥 국가안보전략연구원 이사장과 정근 이사장 등 그린닥터스 관계자 30여명이 참석한 가운데 ‘개성공단 재개 전망과 남북의료 협력방안 모색’ 세미나를 열기도 했다.  대한의사협회, 개성공단기업협회, 온병원그룹 등의 후원으로 마련된 이날 세미나는 지난 2016년 개성공단 가동 중단 이후 사실상 10년 가까이 멈춰선 남북 경제·의료 교류의 돌파구를 찾기 위한 자리였다는 평가다.  그린닥터스재단 정근 이사장은 개성병원 개원 20주년 기념행사에서 “개성병원에서 흘렸던 땀과 생명을 살린 노력은 남북 모두의 소중한 자산”이라며 “정치적 상황은 언제든 변할 수 있는 만큼, 의료협력의 문이 다시 열릴 날을 기대한다”고 밝히며 ‘개성병원 재추진’ 의사를 분명히 했다.",https://n.news.naver.com/mnews/article/014/0005451838
2025-12-20 18:28:00,'비상계엄 시국선언' 용인외대부고 학생회장 하버드대 합격,"[파이낸셜뉴스] 경기 용인 한국외국어대학교 부설 고등학교(용인외대부고)는 지난해 윤석열 전 대통령의 비상계엄 선포 당시 시국선언을 한 이 학교 학생회장이 하버드대학교에 합격했다고 20일 밝혔다.  용인외대부고에 따르면 황준호 군은 2026학년도 미국 대학 조기결정 전형(Early Decision)에서 하버드대 합격 통보를 받았다.  황 군은 지난해 12월 12일 비상계엄 선포에 반대하는 시국선언문을 작성하고 학생 577명의 서명을 끌어냈다.  당시 그는 ""어른들만 정치에 참여하는 것 같지만 역사를 보면 학생 선배들이 민주주의 수호에 나선 경우가 많다""며 ""그 모습, 노력을 보고 우리도 시국선언이라는 행동으로 옮겼다""고 말했다.  용인외대부고는 황 군이 뛰어난 학업 역량 외에도 학생 주도 온라인 교육 플랫폼을 만들어 7개국 30명의 멘토와 함께 소외계층 학생 1천여명에게 국어, 수학, 영어, 과학 등 170시간의 무료 수업을 제공하기도 했다고 전했다.  아울러 토론, 창업, 사회참여 활동 등 다양한 분야에서 이룬 성과로 교육부장관상, 외교부장관상, 서울특별시장상 등을 받았으며 용인외대부고 토론동아리 부장으로 하버드, 옥스퍼드, 케임브리지대 토론대회 등에 국가대표로 참가해 우승했다고 설명했다.",https://n.news.naver.com/mnews/article/014/0005451837
2025-12-20 18:27:00,"우진선박, 부산서 케미칼 탱커선 '클레이턴호' 취항식","[파이낸셜뉴스] 'K해운업'을 선도하는 우진선박(회장 정지원)은 20일 오후 5시 부산 중구 영주동 코모도호텔에서 500여명이 참석한 가운데 신조선 '클레이턴호' 취항기념식과 김경희 시집 출판기념회를 가졌다.  이날 행사는 클레이턴호 취항기념식, 출판기념회, 작은음악회 순으로 만찬과 함께 2시간 동안 진행됐다.  이날 취항한 클레이턴호는 1만3000t급 SUS 316L 스테인레스 스틸로 건조, 특수화학제품과 인화성,폭발성 제품 등을 해상으로 수송하기 위해 특수하게 제작 건조된 선박으로 아시아과 유럽으로 특수화물을 운송하게 된다.  정지원 우진선박 회장은 “이번 클레이턴호 취항을 계기로 국내외 주요 산업에 필요한 화학 원자재 및 제품을 안전하게 운송, 국가 기간산업의 공급망 안정화에 최선을 다하겠다”고 다짐했다.    부산화물자동차운송조합 신한춘 이사장은 축사를 통해 “우진선박은 국내외 화학제품 운송이라는 특수시장에서 케미칼 탱커를 운항하며 국가 산업발전에 필수적인 공급역할을 수행하는 전문 해운기업으로 ‘K해운업’을 선도하고 있다”며 “클레이턴호 취항을 계기로 더 큰 발전을 기원한다”고 말했다.  일반 컨테이너선이나 벌크선과 달리 위험물 또는 특수화학제품을 운송하는 케미칼 탱커 분야를 전문으로 지난 1987년 설립된 우진선박(주)은 38년 외길을 고집하며 11척의 선박으로 ‘K해운업’을 이끌고 있다.  이 회사의 선박들은 주로 SUS 316L 재질의 재화중량톤수(D/W) 4000t부터 2만t급 규모를 포함, 화학제품 운송에 특화된 고 사양 선박들로 선단을 구성한 것이 특징이다.    우진선박 대표를 역임한 김경희 시인은 이날 자신의 다섯 번째 시집 ‘머무르고 싶은 순간들’ 출판기념회와 ‘작은음악회’를 개최했다.  김경희 시인은 시를 쓰는 해양CEO는 물론 음악가로서 부일여성합창단장을 역임하고. 국제로타리를 통한 봉사활동과 부산문인협회장 등으로 지역 문화예술발전에도 크게 기여했다.  고교 시절부터 시를 써 온 그는 대학 졸업후 부산MBC에서 작가활동을 하다 결혼 후 본격 등단, 작품활동을 꾸준히 해왔다.  김 시인은 “이번에 출간한 시집의 경우 출생 이후 대학까지의 지난 시간의 회환과 부모님에 대한 그리움 등이 주제”라고 말했다.  김 시인은 이날 부산에서 활동하는 시인 정명진, 이분엽, 김정숙씨 등과 함께 시낭송회도 가졌다.    작은음악회에서는 음악학 박사로 성악을 전공한 김 시인이 비제의 ‘사랑하는 아버지에게’를, 이어 성악가 이민희(소프라노), 우원석(테너), 김성(테너) 등이 열창했다.",https://n.news.naver.com/mnews/article/014/0005451836
2025-12-20 17:34:00,"GS건설, 성북1구역 시공사 선정...올해 누적 6조 돌파","[파이낸셜뉴스] GS건설이 성북1구역 공공재개발 사업에서 시공사로 선정, 올해 도시정비사업 누적 수주액이 6조3000억원을 돌파했다.  GS건설은 올해 도시정비사업 총 10개 단지를 수주해 누적 수주액 총 6조3461억원을 달성했다고 20일 밝혔다. 지난 2022년 이후 3년 만에 6조원대를 넘어선 성과다.  올해 주요 수주 단지로는 지난 7월 시공사로 선정된 잠실우성아파트 재건축사업(1조6427억원), 봉천14구역 재개발사업(6275억원), 성북1구역 공공재개발 사업(9278억원) 등이다.  구체적으로 올해 도시정비사업 수주는 재개발 8개 단지(총 1만2524세대), 재건축 2개 단지(총 3456세대)로 구성된다. 서울이 7개 단지로 가장 큰 비중을 차지했으며, 부산·창원 등 주요 도시에서도 수주를 이어갔다.  GS건설이 이날 시공사로 선정된 성북1구역 공공재개발은 서울특별시 성북구 성북동 179-68번지 일원에 지하 6층~지상 30층, 27개 동, 2086세대 규모로 조성되는 사업이다. 2004년 정비예정구역 지정 이후 장기간 표류했던 사업이 한국토지주택공사(LH)의 공공재개발 참여로 본궤도에 오른 사례다.  GS건설은 성과의 배경으로 브랜드 ‘자이'(Xi)가 축적해온 기술·상품 노하우를 꼽았다. LH 품질시험에서 1등급 성능을 받은 층간소음 저감 바닥구조, 특화 조명 시스템인 ‘히든 라이팅 시스템’, 인공지능(AI) 사운드 시스템 ‘자이 사운드스케이프’ 등이 포함된다.  자이는 부동산R114가 발표한 ‘2025 베스트 아파트 브랜드’ 조사에서 종합 1위를 차지했다. GS건설 관계자는 “올해 정비사업 강자로서 시장 선택을 다시 확인한 만큼, 내년에도 성수전략1구역 재개발, 서초진흥아파트 재건축, 압구정 재건축, 성산시영아파트 재건축 등 주요 도시정비사업에서 최선을 다하겠다”고 말했다.",https://n.news.naver.com/mnews/article/014/0005451835
2025-12-20 17:22:00,한국계 미 국방부 인·태 차관보 존 노 인준안 상원 통과,"[파이낸셜뉴스] 한국계 미국인 존 노 미국 국방부(전쟁부) 인도·태평양 안보 담당 차관보 후보자의 인준안이 미 연방 상원을 통과했다 미 연방 상원은 지난 18일(현지시간) 전체회의에서 노 후보자의 인준안을 표결에 부쳐 찬성 53표, 반대 43표로 가결했다.  이에 따라 노 후보자는 조만간 인·태 담당 차관보로 정식 취임하게 됐다.  국방부 동아시아 담당 부차관보를 맡고 있던 노 후보자는 지난 6월 도널드 트럼프 대통령에 의해 차관보 후보자로 지명됐다.  인·태 차관보는 한국과 북한, 중국, 대만, 일본, 호주, 뉴질랜드, 인도 등 국가를 관할하며 이 지역 안보 정책과 전략을 담당한다.  스탠퍼드대 로스쿨 출신인 노 후보자는 변호사와 연방 검사로 근무했으며, 미 육군 장교로 아프가니스탄에서 보병 부대를 이끌었다. 국방부에 몸담기 전에는 미국 하원의 중국특위에서 근무했다.  노 후보자는 지난 10월 7일 열린 상원 군사위원회 청문회에서는 인·태 지역 안보에 대한 최대 위협으로 중국을 지목하면서 이를 억제하기 위한 한국·일본 등 동맹국의 역할을 강조한 바 있다.  그는 한국에 대해 국방 지출의 대폭 증액을 언급하기도 했다. 노 후보자는 ""주로 한미동맹의 대북 재래식 억제에 집중해야 하지만, 많은 역량이 중국 억제에도 기여할 수 있다. (한국군의) 장거리 화력, 통합 방공 및 미사일 방어, 우주전, 전자전과 같은 역량은 (중국·북한) 두 위협 모두에 맞서 지역 내 억제를 강화하는 데 의미 있는 영향을 제공할 수 있다""고 말했다.  또 중국이 서해 잠정조치수역(PMZ)에 무단으로 구조물을 설치한 것에 대해선 ""한국을 위협하려는 데 목적이 있는 것으로 보인다""며 ""인준된다면 이러한 활동을 검토하고 적절한 대응을 제안하기 위해 미 정부의 동료들 및 한국 측 카운터파트들과 협력하겠다""고 했다.  그는 주한미군의 역할·규모와 관련, ""현 안보 환경에 적절히 초점을 맞추도록 한국 정부와 협력하겠다""며 ""현 지역 안보 환경을 고려해 한반도에서의 미군 태세를 조정""하는 방안을 권고하기 위해 인도ㆍ태평양 사령관 및 주한미군 사령관과 긴밀히 협력하겠다고 밝혔다.",https://n.news.naver.com/mnews/article/014/0005451834
