날짜,제목,본문,링크
2025-12-02 23:45:00,"'727.9조' 이재명 정부 첫 예산안, 국회 본회의 통과","727조9000억원(총지출 기준) 규모의 2026년도 예산안이 2일 밤 국회 본회의에서 가결됐다.  2026년도 예산안은 2020년 이후 5년 만에 헌법이 정한 법정 처리 시한(12월 2일 밤 12시)을 지켜 처리됐다. '예산안 자동부의' 제도가 도입된 이후 3번째로 시한을 지킨 사례이기도 하다.  이날 국회를 통과한 내년도 예산안은 정부 원안의 총액 규모(728조원)보다 약 1000억원 감액됐다. 국회 심사 과정에서 9조3000억원을 감액하고, 9조2000억원을 증액한 결과다.  이는 여야가 합의한 증감액 규모에다 조직개편에 따른 단순 이관 액수 등을 포함한 금액이다.  이번 예산안은 이재명 정부의 첫 본예산으로, 적극 재정 기조 속에서 전임 윤석열 정부가 편성한 올해 본예산(673조3000억원)보다 8.1% 늘어났다.  이보배 한경닷컴 객원기자 newsinfo@hankyung.com",https://n.news.naver.com/mnews/article/015/0005219204
2025-12-02 23:29:00,"딥시크, 새 AI모델 공개…""제미나이3 프로와 유사""","중국의 생성형 인공지능(AI) 스타트업 딥시크가 구글의 제미나이3 프로와 비슷한 성능의 새 AI 모델을 공개했다.  2일 홍콩 사우스차이나모닝포스트(SCMP)에 따르면 딥시크는 차세대 모델 ‘딥시크 V3.2’와 고연산 특화 버전 ‘V3.2-스페치알레’를 공식 발표했다. 딥시크는 기본 모델인 V3.2가 오픈AI의 GPT-5와 비견할 수 있는 수준에 도달했다고 설명했다. 고성능 버전인 V3.2-스페치알레는 구글 딥마인드의 제미나이3 프로와 비슷한 추론 능력을 확보했으며, 일부 영역에서는 GPT-5를 능가한다고 주장했다. GPT-5는 지난 8월, 제미나이3 프로는 지난달 출시됐다.  딥시크는 또 V3.2-스페치알레가 올해 국제수학올림피아드와 국제정보올림피아드 문제 풀이에서 ‘금메달 수준’의 성적을 달성했다고 강조했다. 지금까지는 오픈AI와 구글 딥마인드의 비공개 내부 모델만 달성했던 기록이다.  가격 경쟁력은 더욱 두드러진다는 평가다. V3.2-스페치알레의 응용프로그램인터페이스(API) 이용료는 입력 토큰 100만 개당 0.28달러, 출력 토큰 100만 개당 0.42달러다. 제미나이3 프로가 입력 토큰 100만 개당 최대 4달러, 출력 토큰 100만 개당 최대 18달러를 부과하는 데 비해 크게 낮은 수준이다.  미국의 대중국 수출 통제로 고성능 그래픽처리장치(GPU) 확보가 어려운 상황에서 나온 성과라는 점도 주목받는다. 기술 보고서에 따르면 딥시크는 미국 기업 대비 훨씬 적은 ‘훈련 FLOPs(부동소수점 연산량)’로 모델을 구축했다.  다만 딥시크는 토큰 효율성 측면에서는 제미나이3 프로에 뒤처진다고 인정했다. 동일한 작업을 수행하는 데 더 많은 토큰이 필요해 실제 서비스 비용과 처리 효율성에서 차이가 발생할 수 있다는 의미다.",https://n.news.naver.com/mnews/article/015/0005219203
2025-12-02 23:28:00,"디지털자산 외면해온 뱅가드, 비트코인 ETF 판매 시작","이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다.    세계에서 두 번째로 큰 자산운용회사인 뱅가드 그룹이 암호화폐를 취급하지 않는 오랜 입장을 뒤집고 암호화폐에 투자하는 상장지수펀드(ETF)와 뮤추얼펀드를 팔기로 했다.  2일(현지시간) 뱅가드 그룹은 이 날부터 비트코인, 이더리움, 리플(XRP), 솔라나 등을 보유한 ETF와 뮤추얼펀드를 자사 플랫폼에서 판매를 시작한다고 밝혔다.  뱅가드는 디지털 자산은 포트폴리오에 넣기에는 변동성과 투기성이 너무 크다며 지난 해 비트코인 현물에 투자하는 ETF도 내놓지 않았다. 뱅가드의 경쟁사이며 세계 최대 자산운용사인 블랙록은 비트코인에 투자하는 ETF(IBIT) 규모만 현재 약 7백억달러에 달한다. 10월초 약 1천억달러에 달했던 데서 감소한 수치다.  그러나 개인 및 기관 투자자 수요가 늘면서 뱅가드도 방향을 전환하게 됐다. 최근 비트코인의 하락에도 불구하고 암호화폐에 투자하는 ETF는 미국 펀드 역사상 가장 빠르게 성장한 부문중 하나이다. 암호화폐 강세론자들은 뱅가드의 암호화폐 투자펀드 판매를 기존 금융권이 더 이상 디지털 자산의 중요성을 무시할 수 없다는 신호로 받아들이고 있다.  뱅가드의 중개 및 투자 부문 책임자인 앤드류 카제스키는 ""암호화폐 ETF와 뮤추얼펀드가 시장 변동성 속에서도 유동성을 유지하면서 설계대로 운영되는 성숙한 모습을 보여왔다”고 말했다.  이번 변화는 블랙록의 전 임원이자 오랜 블록체인 옹호자인 살림 램지가 뱅가드 CEO로 취임한 지 1년여 만에 이뤄졌다.  그러나 뱅가드는 당분간 자체 디지털 자산 투자 펀드를 만들지는 않을 방침이다.또 미국 증권거래위원회(SEC)의 지침대로 밈코인에 연계된 펀드는 계속 취급하지 않을 계획이다.",https://n.news.naver.com/mnews/article/015/0005219202
2025-12-02 23:26:00,G마켓서 60여명 무단결제,"쿠팡이 3370만여 명의 개인 정보가 유출됐다고 밝힌 지난달 29일 신세계그룹 e커머스 계열사인 G마켓에서도 무단 결제 피해가 발생한 것으로 확인됐다. 업체 측은 대규모 해킹보다 명의도용 사고로 판단하고 있다.  금융당국과 유통업계에 따르면 G마켓 이용자 60여 명이 같은 날 무단 결제 사고를 당했다며 금융감독원에 신고했다. G마켓 간편 결제 서비스인 스마일페이에 등록된 카드로 상품권이 결제되면서 사고가 발생한 것으로 알려졌다. 개인별 피해액은 3만~20만원이다.  G마켓은 사고 발생 당일 고객센터에 결제 취소를 문의하는 글이 잇달아 올라오자 사실관계 파악에 나섰다. 당시 고객센터에는 ‘해킹으로 반품 요청’ ‘제가 구매한 게 아닌데 결제가 됐네요’ 등 글이 이어졌다. G마켓에 입점한 스타벅스의 모바일 교환권(e카드) 결제를 취소해달라는 내용이 대부분이었다. 무단 결제에 사용한 카드와 계정 정보 등이 어디에서, 어떤 경로로 유출됐는지는 파악되지 않았다. G마켓 관계자는 “해킹 흔적이 없어 대규모 해킹 사고는 아닌 것으로 보고 있다”며 “명의도용 사고로 추정된다”고 했다.  G마켓은 확인 직후 금융감독원 등 관계기관에 신고했다. 홈페이지에 ‘개인정보 보호 강화 대책’ 공지를 띄우고 “최근 1개월간 비밀번호를 바꾸지 않았다면 즉시 변경해달라”고 권고했다. 기프트 상품권 등 환금성 상품을 구매할 때 본인 확인 절차를 강화했다.",https://n.news.naver.com/mnews/article/015/0005219201
2025-12-02 23:19:00,[속보] 내년부터 법인세 전 구간 1%p 인상…예산부수법안 국회 통과,"내년부터 법인세 세율이 모든 과세표준(과표) 구간에 걸쳐 1%포인트씩 일괄 인상된다.  윤석열 정부가 2022년 세제개편으로 일괄 1%포인트씩 인하했던 법인세를 이전 수준으로 되돌린 조치다.  국회는 2일 내년도 예산안 처리를 위한 심야 본회의를 열고, 이 같은 내용을 골자로 한 법인세법 개정안 등 예산부수법안 16건을 의결했다.  현행 법인세는 4개 과표구간에 따라 2억원 이하 9%, 2억원 초과∼200억원 이하 19%, 200억원 초과∼3천억원 이하 21%, 3천억원 초과 24% 누진세율을 적용 중이다.  이날 개정안이 통과됨에 따라 내년 사업소득부터 이들 4개 구간의 세율은 △2억원 이하 10% △2억원 초과∼200억원 이하 20% △200억원 초과∼3000억원 이하 22% △3000억원 초과 25% 등으로 1%포인트씩 일괄 인상된다.  법인세수 증가 효과는 2027년부터 나타나게 된다.  이날 본회의에서는 내년부터 고배당 상장 기업에 투자해 받는 주식 배당소득의 분리과세에서 50억원 초과 구간을 신설하고, 이 구간에 대한 최고 세율을 30%로 적용하는 조세특례제한법(조특법) 개정안도 처리됐다.  여야 합의로 처리된 개정안에 따르면 배당소득 과표 구간은 △2000만원 이하 14% △2000만원 초과∼3억원 이하 20% △3억원 초과∼50억원 이하 25% △50억원 초과 30%다.  당초 정부안은 배당소득 분리과세 과표 구간의 최상단을 '3억원 초과(35%)'로 설정했지만, 이후 여야가 수정안에 합의해 '3억원 초과∼50억원 이하(25%)', '50억원 초과(30%)'로 쪼갰다.  이에 따라 35%였던 세율은 각각 25%, 30%로 조정됐다.  배당소득 분리과세는 2026년 사업분에 대해 내년 배당부터 적용되며, 2028년까지 3년간 한시 적용된다.  배당소득 분리과세 대상 기업은 배당 성향 40% 이상 또는 배당 성향 25% 및 전년도 대비 10% 이상 증가한 경우 적용하기로 했다.  이날 본회의에서는 또 수익 1조원 이상인 금융·보험업을 대상으로 한 교육세를 기존 0.5%에서 1.0%로 올리는 교육세 개정안도 처리됐다.  이보배 한경닷컴 객원기자 newsinfo@hankyung.com",https://n.news.naver.com/mnews/article/015/0005219200
2025-12-02 23:06:00,[속보] '배당 분리과세 50억 초과구간 신설·최고 30%세율' 법안 통과,'배당 분리과세 50억 초과구간 신설·최고 30%세율' 법안 통과  이보배 한경닷컴 객원기자 newsinfo@hankyung.com,https://n.news.naver.com/mnews/article/015/0005219199
2025-12-02 23:01:00,의대 학비 지원받고 '10년 지방 근무' 의무화…지역의사법 국회 통과,"대학입시에서 '지역 의사 선발 전형'으로 합격하면 등록금과 기숙사비 전액을 지원받고, 의사 면허를 딴 뒤에는 해당 지역에서 10년간 의무적으로 근무하도록 하는 법안이 국회 본회의를 통과했다.  여야는 2일 국회 본회의를 열고 이 같은 내용을 골자로 한 '지역 의사의 양성 및 지원 등에 관한 법률(지역의사법)'을 처리했다.  지역의사법은 의대 정원의 일정 비율을 '지역 의사 선발 전형'으로 뽑는 내용을 담았다.  국가와 지방자치단체는 이 전형으로 선발된 학생에게 입학금과 수업료, 교재비, 기숙사비 등을 대통령령에 정한 비용으로 지원하고, 의사 면허를 취득한 뒤에는 '복무형 지역 의사'로 10년간 해당 지역에서 의무 근무하는 규정도 명문화했다.  보건복지부 장관 또는 시도지사는 지역 의사가 의무복무 기간을 채우지 않으면 시정명령을 내릴 수 있다.  또 지역 의사가 시정명령을 이행하지 않으면 복지부 장관이 면허 자격을 정지시킬 수 있고, 면허 자격 정지를 3회 이상 받거나 복무를 이행하지 않으면 면허를 취소할 수도 있도록 했다.  비대면 진료의 법적 근거를 마련한 '의료법 개정안'도 이날 본회의를 통과했다.  이에 따라 복지부 장관의 관리·감독하에 온라인 플랫폼을 통한 비대면 진료 중개가 허용되고, 비대면 진료의 대상·요건·절차와 함께 의약품 처방 제한, 정부 전자정보시스템 구축 등의 안전장치도 개정안에 마련됐다.  '전공의의 수련환경 개선 및 지위 향상을 위한 법률 개정안'도 국회 문턱을 넘었다.  개정안은 만성적인 과로에 시달리는 전공의의 수련 환경을 개선하기 위해 전공의의 '연속 수련 시간 상한'을 36시간에서 24시간으로 단축하고, 전공의의 휴게·휴일·연장 및 야간 근로 등의 조건을 근로기준법에 따르도록 했다.  이보배 한경닷컴 객원기자 newsinfo@hankyung.com",https://n.news.naver.com/mnews/article/015/0005219198
2025-12-02 22:41:00,보이스피싱 3900만원 돌려받은 20대…경찰에 감사 편지 '훈훈',"보이스피싱 사기 일당들의 협박에 속아 '셀프 감금'한 뒤 수천만 원의 피해를 본 20대 피해자가 경찰의 끈질긴 수사 끝에 피해금을 전액 돌려받은 뒤 감사 편지를 보낸 사실이 뒤늦게 알려졌다.  2일 대전경찰청에 따르면 피해자 A씨는 지난달 대전경찰청 누리집 '청장과의 대화'에 ""대전경찰청 및 형사기동대에 깊은 신뢰와 감사의 마음을 전합니다""라는 장문의 글을 올렸다.  A씨는 ""최근 보이스피싱 피해를 보았고 그 과정에서 한 형사님께 정말 큰 도움을 받았다""면서 ""단순히 업무로서가 아니라 한 사람을 진심으로 도와주려는 태도가 느껴져서 오래 기억에 남을 것 같다""고 감사 인사를 전했다.  앞서 A씨는 지난 5월 28일 ""법원에서 등기가 왔다""는 연락과 함께 문자로 '성매매업소에서 A씨 명의의 대포통장이 발견돼 구속영장이 발부됐다'는 허위 내용의 사건 서류를 받게 됐다.  검사를 사칭한 피의자 20대 B씨는 A씨에게 전화해 ""보호관찰이 필요하니 반차 내고 숙박업소에서 대기하라""고 지시했다.  B씨는 유성구 봉명동 한 모텔에 고립된 A씨에게 며칠간 텔레그램을 통해 일거수일투족을 보고하게 했고, 가스라이팅을 당한 A씨는 결국 ""네 계좌에 입금된 돈을 추적해야 하니 돈을 송금하라""는 말에 속아 B씨에게 3900만원을 송금했다.  다행히 의구심을 품던 A씨는 가지고 있던 다른 휴대전화로 자신이 처한 상황을 검색한 뒤 보이스피싱 범죄를 당했다는 사실을 깨닫고 경찰에 신고했다.  형사기동대 피싱반 소속 장예익 경장은 약 3개월간 B씨 계좌와 행적을 추적해 지난 9월 B씨를 검거하는 데 성공했고, 끈질긴 수사 끝에 자금세탁책인 B씨 명의 가상화폐거래소에 남아있던 피해금도 확보해 전액 A씨에게 반환했다.  이보배 한경닷컴 객원기자 newsinfo@hankyung.com",https://n.news.naver.com/mnews/article/015/0005219197
2025-12-02 22:33:00,"마이클 델, 미국 아동 위한 계좌 프로젝트에 9조원 기부","이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다.    델 테크놀로지스의 창업자 마이클 델 부부가 미국의 10세 이하 아동 2,500만명에게 인당 1천달러(약 147만원)를 지원하기 위해 62억 5,000만 달러(약 9조 1,800억원)를 기부한다.  이는 올해초 트럼프 대통령이 시작한 ‘트럼프 계좌’로 알려진 ‘인베스트 인 아메리카’ 이니셔티브를 기반으로 한 것이다. 트럼프 대통령은 지난 6월 마이클 델이 자신에게 이 아이디어를 줬다고 밝힌 바 있다.  2일(현지시간) 외신들에 따르면, 델 부부의 기부금은 미재무부에 전달돼 10세 이하 아동 2,500만 명을 위한 추가 계좌에 사용될 예정이다. 델 부부는 가구 중간 소득이 15만 달러(약 2억 2천만원) 미만인 지역을 대상으로 지원금을 지급할 예정이라고 밝혔다. 이와 함께 해당 연령대 미국 아동의 80%에게 지원금이 제공될 것으로 예상한다고 덧붙였다.  델은 CNBC와의 인터뷰에서 ""모든 아이들이 저축할 가치가 있는 미래를 꿈꿀 수 있다면, 계좌를 넘어 훨씬 위대한 무언가를 만들어낼 것이라고 믿는다”고 말했다. 그는 “아이들이 이런 계좌를 가지면 고등학교나 대학교를 졸업하고, 집을 마련하고, 사업을 시작할 가능성이 훨씬 높아지고, 수감될 가능성도 낮아진다는 것을 알고 있다""고 덧붙였다.  델은 2021년경 헤지펀드 매니저 브래드 거스트너로부터 아이디어를 듣고 어린이를 위한 투자 계좌 시딩에 관심을 갖게 되었다고 말했다.  블룸버그 억만장자 지수 에 따르면 델은 1,480억 달러(약 217조원)의 재산으로 세계에서 11번째로 부유하다.  영국 등 유럽의 차일드펀드와 유사한 이 제도는 미국에서 2026년 7월 4일부터 시행된다. 이 제도에 따라 미국의 부모는 2025년부터 2028년사이에 출생한 자녀를 위해 계좌를 개설하고 연간 최대 5,000달러까지 납입할 수 있다. 고용주는 근로자에게 연간 2,500달러를 지원할 수 있다.  이 자금은 분산 투자된 저비용 인덱스 펀드에 투자되며, 자녀가 18세가 될 때까지는 인출할 수 없다. 18세가 되면 대학 학자금, 주택 담보 대출, 창업 비용 등의 용도로 인출할 수 있다. 이 계좌의 자산은 비과세이지만 인출시 수혜자는 이익에 대해 세금을 납부해야 한다.  실리콘 밸리의 벤처 캐피털인 알티미터 설립자인 브래드 거스트너는 지난 2023년에 미국 어린이들에게 돈을 지원해 빈부 격차를 줄이고 금융 지식 수준을 높이자는 이니셔티브로 ‘인베스트 아메리카’를 설립했다.  거스트너는 인터뷰에서 ""미국의 빈부 격차가 확대됐지만 우리는 이를 해결할 구체적 방안을 찾지 못했다”면서 어린이들에 대한 이 같은 지원이 “소외되고 뒤처진 사람들의 운명을 극적으로 바꿀 것”이라고 밝혔다. 그는 또 이 계좌를 통해 “정부, 기업, 델과 같은 개인과 지역 사회가 어린이들의 미래에 투자할 수 있는 새로운 플랫폼이 되기를 바란다”고 말했다. 길이 열리기를 바란다”고 말했다.  델은 링크드인에 있는 자신의 프로필에 “1984년 텍사스 대학교 1학년 기숙사 방에서 1천달러로 ‘델’을 시작했다”고 밝혔다.  델 테크놀로지는 현재 시가총액이 약 900억 달러에 달하는 컴퓨팅 거대 기업으로 성장했다.  블룸버그에 따르면 델과 그의 아내는 델 테크놀로지스의 지분 약 40%를 소유하고 있다. 그는 또 2023년 델 테크놀로지스에서 분사된 VM웨어를 인수하면서 브로드컴의 지분을 상당 부분 확보했다. 브로드컴의 주가는 이후 AI 붐에 힘입어 약 300% 상승했다.  부부가 재단에 기부한 금액은 2020년부터 2022년까지 연평균 약 5,700만 달러였다. 2023년에는 브로드컴 주식 17억 달러를 포함해 약 36억 달러, 2024년에는 총 14억5천만달러를 기부했다.  마이클&수잔 델 재단 웹사이트에 따르면, 재단은 장학금, 차터스쿨 확장, 오스틴에 위치한 델 어린이 의료센터 설립 등 어린이들을 주요 지원 대상으로 삼아왔다.",https://n.news.naver.com/mnews/article/015/0005219196
2025-12-02 22:18:00,"검찰, '홈플러스 사태' 김광일 대표 소환조사","검찰이 '홈플러스 사태'와 관련해 김광일 홈플러스 대표(MBK파트너스 부회장)을 2일 소환 조사했다. 홈플러스 관련 수사에도 속도가 붙을 전망이다.  이날 법조계에 따르면 서울중앙지검 반부패수사3부(직무대리 부장검사 김봉진)는 특정경제가중처벌법 위반(사기), 자본시장법 위반 등 혐의를 받는 김 대표를 피의자 신분으로 불러 조사했다.  홈플러스 경영진과 최대주주인 MBK파트너스는 홈플러스의 신용등급 하락 가능성을 알고도 유동화 전자단기사채(ABSTB)를 대규모로 발행해 투자자에게 손실을 끼쳤다는 혐의로 수사를 받는 중이다. 검찰은 홈플러스 회생 신청까지 계획하고 숨겼을 가능성도 의심한다.  검찰은 홈플러스 사건을 지난 4월 금융감독원에서 이첩받고 홈플러스와 MBK파트너스 본사를 압수수색했다. 검찰은 롯데카드로 결제된 홈플러스의 매출 채권과 관련해서도 7월 롯데카드를 압수수색하기도 했다.",https://n.news.naver.com/mnews/article/015/0005219195
