날짜,제목,본문,링크
2025-12-08 23:52:00,"대구시, 연구개발특구 14년만에 변경 지정","대구연구개발특구 변경 지정 위치도.[대구시 제공]   [헤럴드경제(대구)=김병진 기자]대구시는 과학기술정보통신부의 심의를 거쳐 ‘대구연구개발특구(이하 대구특구) 변경 지정’이 최종 확정·고시됐다고 8일 밝혔다.  이번 변경은 2011년 대구특구 최초 지정 이후 14년 만에 이뤄진 개편으로 급변하는 산업 환경에 대응해 디지털 융복합 산업을 육성하고 글로벌 기술사업화를 뒷받침할 혁신 거점 확보에 중점을 뒀다.  지정 변경의 주요 내용은 핵심 산업 거점의 전략적 확장이다.  이번 고시를 통해 총 5개 지구(테크노폴리스지구, 융합R&D지구, 지식서비스R&D지구, 성서첨단산업지구, 의료R&D지구)로 지정된 대구특구의 면적은 331㎢ 확대됐으며 테크노폴리스지구, 융합R&D지구, 지식서비스R&D지구 내 10개 지역이 추가·확장됐다.  대구연구개발특구는 영남권 R&D 허브로서 첨단 융복합 사업의 글로벌 혁신 클러스터로 육성하기 위해 설계됐으며 수도권에 집중된 지식기반산업을 대전-대구-광주 내륙삼각벨트로 확장해 국토 균형발전을 도모하고자 대덕특구에 이어 두 번째로 지정됐다.  지정 이후 대구특구는 입주기관 수가 314개에서 1090개로 3.5배 증가했으며 기술이전 건수는 92건에서 571건으로 6.2배, 특허등록은 3741건에서 1만6845건으로 4.5배 늘어났다.  또 특구 내 연구소기업·첨단기술기업의 법인세·소득세 3년간 면제(추가 2년간 50% 감면), 취득세 면제 등 세제 지원과 신기술 실증 규제 특례 등 다양한 지원 제도가 운영돼 확대된 특구의 신산업 R&D 역량과 산업 경쟁력이 한층 더 강화될 것으로 기대된다.  최운백 대구시 미래혁신성장실장은 “이번 연구개발특구 지정 변경은 대구와 경북이 유기적으로 연결된 단일 혁신 경제권으로 도약할 중요한 전환점”이라며 “확장된 인프라를 바탕으로 산·학·연 협력을 더욱 강화해 글로벌 수준의 미래산업 경쟁력을 확보하겠다”고 말했다.",https://n.news.naver.com/mnews/article/016/0002569032
2025-12-08 23:47:00,[속보]日아오모리현 앞바다서 규모 7.2 지진…쓰나미 경보,속보,https://n.news.naver.com/mnews/article/016/0002569031
2025-12-08 23:45:00,주호영 국회부의장 “대구시장 출마 여부는 내년 초 결심,주호영 국회 부의장.[연합]   [헤럴드경제(대구)=김병진 기자]국민의힘 주호영(대구 수성구 갑) 국회부의장은 8일 내년 전국동시지방선거 대구시장 출마와 관련해 “대구시장에 필요한 준비를 어느 정도 해온 것도 사실”이라며 “연말·연초 여론조사와 당내 논의를 거쳐 빠른 시일 안에 결심하겠다””고 말했다.  주 부의장은 이날 대구 남구 대구아트파크에서 열린 대구·경북 언론인 모임인 아시아포럼21 정책토론회에서 “당이 혼미한 상황에서 제가 먼저 뜻을 밝히는 것은 예의가 아니다“며 ”대구 (국회)의원들과 당 지도부 의견도 들어야 한다”며 이같이 밝혔다.  그는 공천 방식과 관련해서는 “당헌·당규상 누군가 도전하겠다고 하면 경선하는 것이 원칙이고 추대는 도전자가 없을 때만 가능한 예외”라며 “공직 선거에서 당원 비율을 지나치게 높이는 것은 민심과 어긋나는 길”이라고 주장했다.  주호영 부의장은 12.3 비상계엄에 대한 질문에는 “계엄 요건에도 맞지 않는 명백한 잘못”이라며 “윤 대통령의 경우 탄핵 사유도 충분하다고 생각한다”고 했다.  계엄을 강행한 배경으로는 “한동훈 대표가 김건희 여사 특검법에 대해 찬성으로 돌아설 기미를 보인 것이 결정적인 영향을 미친 것이 아닌가 짐작만 할 뿐”이라며 “행정부 탄핵소추를 29차례나 남발한 당시 민주당의 행태도 어느 정도 원인이 됐을 것”이라고 덧붙였다.,https://n.news.naver.com/mnews/article/016/0002569030
2025-12-08 23:23:00,"모성은 포항지진범시민대책본부 의장, 포항시장 출마 선언",[모성은 포항지진범시민대책본부 의장]   [헤럴드경제(포항)=김병진 기자]경북 포항지진범시민대책본부 모성은 의장(61)이 내년 6.3 지방선거 포항시장 출마를 선언했다.  모성은 의장은 8일 포항시청에서 기자회견을 열고 “촉발지진으로 빼앗긴 포항시민의 권익회복과 도산위기에 빠진 지역경제를 살리기 위해 포항시장에 출마한다”고 밝혔다.  모 의장은 이날 포항시청을 포항시민청으로 간판을 바꾸고 시장실을 1층으로 내리는 등 시민 접근성을 높이고 △포항·영덕·청송·영천 등 4개 시·군 통합으로 인구소멸 및 주택 문제 해결하겠다고 공약했다.  또 △의대 분원 유치 및 의료 서비스 질 제고 △K-스틸법 및 일자리 대책 등을 제시했다.  모성은 의장은 “포스코 용광로 불이 꺼져가고 포항경제가 아사 직전에 있다”며 “중병을 앓는 환자에게 전문의가 필요하듯 위기에 포항경제를 살리는데 지방경제 전문가 필요하다”고 말했다.,https://n.news.naver.com/mnews/article/016/0002569028
2025-12-08 23:13:00,광진구 기획예산과 김애덕 4급·지역경제과 김미녀 5급 승진,광진구청   [헤럴드경제=박종일 선임기자]광진구 2026년 상반기 5급 이상 인사발령(2026.1.1일자)  ◆서울 광진구 (5급 → 4급 승진)△기획예산과 김애덕 △세무1과 박진영 △자양제3동 한미라  (6급 → 5급 승진)△행정지원과 한중식 △재무과 안경숙 △스마트정보과 차연주 △기획예산과 최정신 △지역경제과 김미녀 △어르신복지과 오연희 △교통행정과 안미경 △교통지도과 강경애 △자양제4동 이춘희,https://n.news.naver.com/mnews/article/016/0002569027
2025-12-08 23:12:00,12세 소녀와 성관계 맺고 불법 촬영한 40대 변호사…법정서 한 말이,"사진은 기사와 무관. [게티이미지뱅크]   [헤럴드경제=최원혁 기자] 10대 소녀와 성관계를 가지고 200장이 넘는 불법 촬영물을 제작한 홍콩의 한 변호사가 실형을 선고받았다.  최근 홍콩 매체 사우스차이나모닝포스트(SCMP)에 따르면 홍콩 지방법원은 변호사 켈빈 럭 킨팅(40)에게 징역 3년7개월을 선고했다.  보도에 따르면 켈빈은 데이팅 앱을 통해 한 여성과 교류했다. 켈빈은 자신의 나이를 20대 후반이라고 속였고 여성은 자신을 중학생이라고 소개했다.  두 사람은 지난해 3월 실제로 만났고 켈빈과 대면한 여성은 앱에서 소개한 나이보다 더 어린 12세 소녀였다. 하지만 켈빈은 소녀를 아파트에 데려가 성관계를 가졌다.  두 번째 만남에서도 성관계가 있었고 이 과정에서 그는 204장의 사진과 9개의 영상을 불법 촬영했다.  켈빈의 범죄는 2개월 후 세상에 드러났다. 켈빈이 자신의 나체 사진을 소녀에게 보냈는데, 이를 소녀의 아버지가 본 뒤 경찰에 신고했다.  수사 당국은 켈빈을 13세 미만 대상과 불법 성관계, 아동 포르노 제작, 16세 미만 대상 포르노 제작 등 혐의로 재판에 넘겼다.  법정서 켈빈의 변호인은 “소녀가 먼저 성관계를 원했다”며 “감정적으로 교감한 사랑의 관계였다”고 주장했다. 하지만 재판부는 켈빈 측 주장을 받아들이지 않았다.  재판부는 “둘의 대화 내용을 보면 피고인이 성적 대화를 계속 유도하고 직접 만나려는 시도를 반복했다”며 “대화 내용도 안정적인 연인 관계에서 나눌 법한 이야기가 아니었다”고 지적했다.  그러면서 “교육 수준이 높은 변호사가 인생 경험과 사회 경험이 거의 없는 12세 소녀에게 성관계를 제안한 것은 더욱 실망스러운 일”이라고 비판했다.",https://n.news.naver.com/mnews/article/016/0002569026
2025-12-08 23:01:00,"‘이틀간 4명 성폭행’ 한 40대…출소 후 전자발찌 끊고 도주, 또 ‘실형’","[헤럴드DB]   [헤럴드경제=장연주 기자] 이틀 간 여성 4명에게 성범죄를 저질러 철창 신세를 진 뒤 출소한 40대가 위치추적 전자장치(전자발찌)를 끊고 달아났다가 또 다시 징역을 선고 받았다.  8일 법조계에 따르면, 청주지법 형사5단독(강건우 부장판사)은 전날 전자장치 부착 등에 관한 법률 위반 혐의로 구속기소 된 A(46)씨에게 징역 1년 8개월을 선고했다.  A씨는 지난 8월 22일 저녁 충북 청주시 서원구 소재의 한 상가 지하에서 공업용 그라인더와 절단기 등을 이용해 자신의 발목에 부착된 전자발찌를 훼손한 뒤 도망간 혐의를 받는다.  그는 전자발찌를 끊은 직후 대중교통을 이용해 진주·김해를 들렀다 부산으로 향했다. 하지만 도주 17시간 만에 검거됐다.  그는 지난 2012년 경남지역의 한 대학교 기숙사에 무단으로 들어가 다수의 여대생을 상대로 성폭행을 시도했다. 또 편의점 직원을 흉기로 위협하고 성폭행을 저질렀다. 당시 A씨는 이틀간 4명의 여성을 상대로 성범죄를 저지른 것으로 파악됐다.  검거된 A씨는 재판에 넘겨져 징역 12년에 전자장치 부착 명령 10년을 선고받고 수감된 뒤 지난해 출소해 전자발찌를 착용하고 있었다.  재판부는 “출소 이후 1년 남짓 만에 위치추적 전자장치를 절단하고 도주에 이르렀고, 사전에 범행을 계획까지 한 점을 감안하면 실형 선고가 불가피하다”며 “다만 성폭력 범죄 등 재범을 목적으로 범행을 저지르지는 않은 것으로 보이고, 잘못을 인정하는 점 등을 고려해 형을 정했다”고 밝혔다.",https://n.news.naver.com/mnews/article/016/0002569025
2025-12-08 22:47:00,"수성대 안경광학과, 한국안광학회 창립 30주년 기념학술대회 ‘포스터 발표 최우수상’ 수상","최우수상을 수상한 학생들이 정지원학과장(오른쪽)과 박형민 지도교수(왼쪽)와 함께 기념촬영을 하고 있다.[수성대 제공]   [헤럴드경제(대구)=김병진 기자]수성대 안경광학과 전공심화과정 학생들이 지난 5일부터 6일까지 대전 호텔선샤인 컨벤션홀에서 열린 한국안광학회 창립 30주년 기념학술대회에서 포스터 발표 부문 최우수상을 수상했다.  안경광학과 연구팀은 ‘가입도 처방 최적화를 위한 주시방향에 따른 조절력 비교 연구’로, 연구팀은 상·하·정면 주시방향에 따라 달라지는 조절력과 폭주근점 변화를 분석해 임상 현장에서 활용할 수 있는 최적 가입도 처방 기준을 제시해 좋은 평가를 받았다.  정지원 안경광학과 학과장은 “학생들이 연구 설계부터 실험, 분석, 포스터 제작, 발표까지 전 과정을 주도적으로 수행하며 이룬 값진 성과”라며 “수성대 안경광학과 전공심화과정이 이론과 실무를 균형 있게 갖춘 교육의 결실을 학계에서 공식적으로 인정받은 자리”라고 소감을 밝혔다.  수상한 하소라 학생은 “전공 지식을 실제 연구로 확장할 수 있는 뜻깊은 경험이었으며, 앞으로도 전문성과 연구 역량을 갖춘 안경사로 성장하고 싶다”고 말했다.  한편 수성대 안경광학과는 전공심화 교육과정, 시기능훈련 전문가 양성 트랙, 임상 중심 실무교육 등 학생 중심의 특성화된 교육을 운영하며 ‘현장에서 경쟁력 있는 안경사 양성’을 목표로 하고 있다.",https://n.news.naver.com/mnews/article/016/0002569024
2025-12-08 22:35:00,"경북보건대, K-U시티 인재양성을 위한 전문가 릴레이 15차 특강 ‘성료’","[경북보건대 제공]   [헤럴드경제(김천)=김병진 기자]경북보건대는 지난 4일 지역 물류 생태계의 혁신 가능성과 국가 물류 경쟁력의 미래 전략을 조망하는 릴레이 기획 ‘김천! 스마트물류가 답이다’ 제15차 특강을 성공적으로 마무리했다고 8일 밝혔다.  이번 특강은 조직의 본질을 짚어낸 직장 생존 특강, 리더십 통찰 돋보였으며 단순한 직장 조언을 넘어 기업이 지속 가능한 성장을 이루기 위해 어떤 조직문화와 일하는 방식을 구축해야 하는지에 대한 깊이 있는 통찰을 제시했다는 점에서 학생들의 관심을 모았다.  이날 강연을 진행한 이웅규 영진약품 부사장은 ‘슬기로운 직장생활을 위한 작은 이야기’를 주제로 실제 기업 운영 경험과 조직이론을 접목한 특강을 선보였다.  그는 “조직을 바라보는 관점이 성과를 좌우한다”며 “기업 중심 관점에서 조직생활과 조직활동을 이해하는 사고 전환이 필요하다”고 강조했다.  이 부사장은 강연을 통해 △기업 조직의 구조와 의사결정 체계 △구성원의 역할과 행동 패턴이 형성하는 조직문화 △외부 환경 변화 속에서의 직업적 정체성 등을 유기적으로 설명했다.  그는 리더에게는 조직을 효율적으로 이끄는 방향성을, 구성원에게는 미래 역량을 키우는 성장 전략을 제시하며 조직 구성원 모두에게 의미 있는 메시지를 전달했다.  경북보건대 이은직 총장은 “경북보건대는 학생들이 산업 현장에서 요구하는 실질적 역량을 갖출 수 있도록 일의 의미와 전문성을 설계하는 대학이 되겠다”며 “교육과 기업 현장을 잇는 실천적 인재양성 체계를 강화하겠다”고 말했다.",https://n.news.naver.com/mnews/article/016/0002569023
2025-12-08 22:31:00,[포토뉴스]코프트(COFT) ‘그리밋(GREEMEET)’ 크리스마스 트리 판매,롯데백화점 대구점 1층 코프트(COFT) 매장에서 직원이 ‘그리밋’ 크리스마스 트리를 선보이고 있다.[롯데백화점 제공]   [헤럴드경제(대구)=김병진 기자]롯데백화점 대구점은 1층 ‘코프트(COFT)’에서 자연스러움이 돋보이는 ‘그리밋(GREEMEET)’ 크리스마스 트리를 선보인다. ‘그리밋’은 ‘녹색(Green)’과 ‘만나다(Meet)’의 합성어로 생화처럼 자연스러운 인조식물을 의미한다. 전문 플로리스트와 가드너가 제작에 참여해 실제 나무의 질감 색감 등을 섬세하게 구현한 것이 특징이다. 높이는 약 77cm이며 가격은 7만 7000원에 판매된다. 또 선물용으로 좋은 스노우볼도 2만 9000원에 함께 만나볼 수 있다.,https://n.news.naver.com/mnews/article/016/0002569022
