날짜,제목,본문,링크
2025-12-17 22:44:00,"시드니 총격범 중 父, 인도 출신 이민자…아들, 살인 등 59건 혐의로 기소","15명의 목숨을 앗아간 호주 시드니 유대인 축제 총기 난사 사건의 범인 부자(父子) 중 현장에서 사망한 아버지가 인도 출신 이민자로 확인됐다. 현장에서 체포돼 현재 병원에 입원 중인 아들 범인은 살인·테러 등 59건의 혐의로 기소됐다. 이들 부자는 지난 14일(현지시간) 시드니 본다이 해변에서 열린 유대인 명절 하누카 행사장에 참석한 사람들에게 총격을 가했다. 이 총격으로 어린이 등 15명이 사망하고 40명가량이 다쳤다. 아버지인 사지드 아크람(50)은 사건 현장에서 경찰에 사살됐고, 나비드(24)는 총상을 입고 경찰에 체포됐다.  17일 로이터통신 등에 따르면 인도 남부 텔랑가나주 경찰은 전날 성명을 통해 총격 사건의 범인인 사지드가 텔랑가나주 하이데바라드 출신의 인도 시민이라고 밝혔다. 인도 경찰에 따르면 사지드는 텔랑가나주 주도이자 기술·제약 허브 도시인 하이데바라드에서 무역학 학위를 취득했다. 이후 그는 1998년 11월 일자리를 찾기 위해 호주로 이주했고, 유럽계 여성과 결혼해 슬하에 1남 1녀를 뒀다.  경찰은 성명에서 ""인도에 있는 그의 친척들에 따르면 사지드는 부모님 방문 등 가족 관련 이유로 (호주 이주 후) 인도를 6차례 방문했지만, 아버지가 사망했을 때는 귀국하지 않았다""며 ""인도에 사는 동안 어떠한 범죄 기록도 없었다""고 전했다. 이어 ""사지드 친척들은 그의 급진적인 사고방식이나 활동, 또는 극단주의에 빠지게 된 과정에 대해 전혀 아는 바가 없다고 진술했다""며 ""사지드나 공범인 아들 나비드가 극단주의에 빠지게 된 것은 인도나 텔랑가나 지역의 어떤 영향력과는 관련이 없는 것으로 보인다""고 설명했다. 나비드는 호주에서 태어난 호주 시민권자다.   시드니 뉴사우스웨일스(NSW) 경찰은 이날 성명을 통해 ""나비드 아크람으로 신원이 확인된 총격범은 현재 병원에서 경찰의 감시하에 있다""며 ""그를 살인, 테러를 포함한 59건의 혐의를 적용해 기소했다""고 발표했다. 나비드에게 적용된 혐의는 살인 15건, 살인 의도를 가진 중상해죄 40건, 테러 등이 포함됐다.  호주 당국은 사건 현장에 있던 이들의 차량에서 극단주의 무장단체 이슬람국가(IS) 깃발 2개를 발견했고, 나비드가 2019년 호주에서 적발된 IS 테러 계획 관련 조사를 받았다며 이들이 IS의 영향을 받아 테러를 저지른 것으로 추정했다. 경찰은 성명에서 ""초기 정황상 이번 사건은 호주에서 테러 조직으로 지정된 IS의 영향을 받은 테러 공격으로 보인다""며 총격범들이 종교적 목적을 달성하고 지역사회에 공포를 조성하기 위해 범행에 나섰다고 봤다.  한편 아크람 부자는 범행 전인 지난달 1일 필리핀 남부 민다나오섬을 방문한 뒤 같은 달 28일 호주로 귀국한 것으로 확인됐다. 민다나오섬은 2010년대에 IS 활동이 활발했던 곳이다. 호주 경찰에 따르면 사지드는 필리핀 입국 당시 인도 여권을, 나비드는 호주 여권을 사용했다고 한다. 경찰은 현재 이들의 여행 목적을 조사 중이다. 다만 이들이 특정 테러 단체와 연계됐는지, 필리핀에서 관련 훈련을 받았는지는 아직 확인되지 않았다.  이와 관련 필리핀 정부는 ""필리핀이 테러리스트 훈련에 이용됐다는 주장을 뒷받침하는 증거는 없다""며 ""본다이 해변 사건에 연루된 이들이 필리핀에서 어떤 형태의 훈련을 받았다는 검증된 보고나 확인된 사실은 없다""고 했다.",https://n.news.naver.com/mnews/article/008/0005293466
2025-12-17 22:31:00,"종이봉투에 신생아 유기해 사망...""도망 염려"" 20대 베트남 유학생 구속","신생아를 낳고 유기한 20대 베트남 유학생에 대한 구속 영장이 발부됐다.  이정재 서울중앙지법 영장 전담 부장판사는 17일 신생아를 유기한 베트남인 20대 산모 A씨에 대한 구속 영장실질심사를 진행한 뒤 이같이 결정했다. 이 부장판사는 ""도망할 염려가 있다""며 구속이 필요하다고 판단했다.  A씨의 출산을 도운 같은 국적의 여성 B씨는 구속을 피했다. 이 부장판사는 △피의자 및 관련자의 진술·문자메시지 내역 등에 비춰 볼 때 피의자의 사전 공모 및 범죄 고의에 관한 소명이 부족한 점 △사안이 중한 만큼 피의자가 불구속 상태에서 방어권을 충분히 행사할 수 있도록 할 필요성이 있는 점 △증거자료 대부분 수집돼 피의자가 정당한 방어권 행사의 범위를 넘어 증거를 인멸할 우려가 있다고 보기 어려운 점 등을 들어 ""피의자를 구속해야 할 사유와 상당성을 인정하기 어렵다""고 설명했다.  A씨는 지난 14일 오후 6시30분쯤 서울 중구 동국대학교 인근 건물에서 아기를 유기한 혐의(아동학대처벌법상 아동학대 살해)를 받는다. A씨의 출산을 도운 B씨도 같은 혐의를 받는다.  당시 경찰은 ""종이봉투에 신생아가 버려져 있다""는 신고를 접수한 뒤 현장에 출동했으나 아기는 끝내 숨졌다.  경찰은 정확한 사망 원인 파악을 위해 아기의 시신을 부검해 분석 중이다.  서울경찰청 여성청소년범죄수사계는 지난 15일 두 사람에 대한 구속영장을 서울중앙지법에 신청했다.",https://n.news.naver.com/mnews/article/008/0005293465
2025-12-17 22:09:00,3m 하굿둑 위로 '붕'… 소형차 들이받고 그냥 가버린 대형 화물차,"차선을 변경하다 소형차를 들이받고도 아무런 조치 없이 떠난 대형 화물차 운전자가 입건됐다.  17일 SNS(소셜미디어)에는 지난 12일 전남 목포시 하당동 한 도로 위에서 발생한 사고 블랙박스 영상이 올라왔다. 작성자 A씨는 ""김장하러 가는 길 눈 앞에서 난 사고""라며 당시 바로 앞에서 벌어진 사고 영상을 공개했다.  영상에 따르면 소형차와 나란히 달리던 대형 화물차가 방향 지시등을 켜더니 우측으로 차선 변경을 시도했다. 그러다 주행하고 있던 소형차를 들이받았다.  이 소형차는 충격을 받고 휘청거리다 도로에서 튕겨져 나갔다. 소형차는 3m 높이의 하굿둑 위에 올라간 채 멈춰섰다. 둑 너머 아파트 단지를 지나서는 바다가 있어 아찔한 상황이었다.  사고 목격자 A씨는 ""바로 내려서 (피해) 운전자 내리게 하고 신고했는데 운전자가 엄마뻘이라 가슴 아팠다. 손을 벌벌 떨고 계시더라""며 ""자나 깨나 방어운전 해야한다""고 했다.  다행히 피해 소형차 운전자는 생명에 지장은 없는 상태다. 병원에서 치료받고 있는 것으로 알려졌다.  전남 목포경찰은 화물차 운전자 신원을 특정하고 입건했으며 조만간 운전자를 불러 사고가 난 걸 알고도 가버린 건지 등 고의성 여부를 조사할 계획이다.",https://n.news.naver.com/mnews/article/008/0005293463
2025-12-17 21:44:00,"""트럼프, 푸틴 '종전안 거부' 대비해 '그림자 선단' 추가 제재 준비""","도널드 트럼프 미국 행정부가 러시아가 우크라이나와의 평화 협정을 거부할 것을 대비해 러시아 에너지 부문에 대한 새로운 제재 패키지를 준비하고 있는 것으로 알려졌다.  17일 블룸버그통신은 익명의 소식통을 인용해 ""미국 정부가 러시아산 석유 수송에 사용되는 이른바 '그림자 선단' 유조선과 관련 거래를 중개하는 상인들을 제재하는 방안 등을 검토하고 있다""며 ""신규 제재는 이르면 이번 주에 공개될 수 있다""고 보도했다. 소식통에 따르면 스콧 베선트 미국 재무장관은 유럽 대사단과 만난 자리에서 러시아에 대한 추가 제재 계획을 논의했다고 한다.  베선트 장관은 전날 미국 주재 27개국 EU(유럽연합) 대사들과 만나 러시아-우크라이나 전쟁 종식 등에 대해 논의했다. 그는 EU 대사들과 회동 후 SNS(소셜미디어) X에 ""트럼프 대통령은 평화의 대통령이며, 그의 지도 아래 미국은 우크라이나 전쟁 종식을 최우선 과제로 계속 삼을 것임을 다시 한번 강조했다""고 전했다.  트럼프 대통령은 2기 행정부 출범 이후 러시아의 종전 협상 참여를 위해 러시아에 대한 제재에 신중한 태도를 보였었다. 하지만 푸틴 대통령이 미국 주도의 평화 협상에 계속 비협조적인 모습을 보이자 미국은 결국 지난 10월 트럼프 2기의 첫 대러시아 제재에 나섰다. 당시 미국은 러시아 대표 에너지업체인 루코일과 로스네프트 관련 기업과 인물을 제재 대상에 올렸다. 베선트 장관은 당시 성명에서 ""푸틴 대통령은 정직하고 성실하게 협상에 임하지 않았고, 트럼프 대통령은 이 상황에 실망하고 있다""고 제재 배경을 설명했다.  러시아는 미국의 추가 신규 제재 가능성에 반발했다. 드미트리 페스코프 러시아 크렘린궁 대변인은 이날 브리핑에서 ""미국 관리 일부가 러시아에 대한 새로운 제재 도입을 검토하고 있다는 것을 인지하고 있다. 어떤 제재든 관계 회복에 해롭다는 것은 분명하다""고 말했다.  한편 미국의 대러시아 추가 제재 논의 소식은 트럼프 대통령이 '우크라이나 종전안 합의 임박'을 시사한 상황에서 전해졌다. 트럼프 대통령은 전날 백악관에서 기자들과 만난 자리에서 우크라이나 전쟁을 끝내기 위한 합의가 ""그 어느 때보다 가까워졌다""며 종전 기대를 키웠다. 하지만 유럽 당국자들은 우크라이나 영토 문제가 아직 해결되지 않았다고 지적했다.",https://n.news.naver.com/mnews/article/008/0005293462
2025-12-17 21:43:00,"사회면 나오면 안 된다더니...'주사 이모 인정' 키에 팬들 ""배신감""","샤이니 키가 박나래 '주사 이모'에게 진료받은 사실을 인정하고 사과한 가운데 그의 과거 발언이 재조명되면서 팬들이 실망감을 감추지 못하고 있다.  17일 온라인 커뮤니티에선 키가 지난 9월 한 유튜브에서 했던 발언이 재조명됐다.  당시 키는 ""제가 생각하는 아이돌은 어떤 기준도 없다. 지킬 거 지키고 실망만 시켜드리지 말자는 거다. 사회면에 나오면 안 된다. 좋은 일로만 사회면에 나와야 한다""고 말했다.  그는 ""저도 사람인지라 결백하게 살지 못할 수도 있다. 그러니까 그런 걸 최대한 어떤 일에도 휘말리지 않게끔 지키면서 살자는 것""이라고 설명했다.  해당 발언은 자기관리를 철저히 하기로 유명했던 키의 직업의식에 대한 생각을 엿볼 수 있는 장면이었지만 이번 논란과 맞물리며 다시 화제가 됐다. 누리꾼들은 ""키라서 더 실망"" ""배신감 든다"" ""기만했다"" 등 반응을 보였다.  키는 지난 6일 박나래 '주사 이모'와 10년 넘게 친분을 유지해 왔다는 의혹에 휩싸였다. 키 팬들과 MBC 예능 '나 혼자 산다' 팬덤은 키에게 해명을 요구했지만 키와 소속사 SM엔터테인먼트는 열흘 넘게 묵묵부답으로 일관했다.  공식 입장은 의혹 제기 11일 만에 나왔다. 소속사는 17일 ""키가 지인 추천으로 방문한 강남구 병원에서 이모씨(주사이모)와 처음 만났다""며 ""최근 병원 방문이 어려운 상황엔 집에서 몇 차례 진료받은 적 있다""고 밝혔다.  소속사는 ""키가 이모씨를 의사로 알고 있어 집에서 진료받는 것이 문제가 되리라 생각하지 못했다""며 ""최근 이모씨가 의사가 아니란 사실을 처음 알게 돼 매우 혼란스러워하고 있으며 무지함을 깊이 반성하고 있다""고 전했다.  키도 같은 날 SNS(소셜미디어)를 통해 ""저 역시도 새롭게 알게 된 사실들에 혼란스럽고 당황스러워 좀 더 빠르게 입장을 정리하고 앞으로 어떻게 할지 하루빨리 밝히지 못한 점 죄송하다""고 했다.  이어 ""스스로 이런 일들과는 멀리할 수 있을 거라 자부해왔는데 그런 생각이 더욱 현명하게 주변을 돌아보지 못하게 한 것 같아 저를 믿고 응원해 준 많은 분들께 너무나 죄송하고 부끄러운 마음""이라고 덧붙였다.  그러나 키가 지난 15일까지 미국에서 솔로 콘서트 투어를 진행하고 현지 팬사인회까지 참석한 사실이 알려지며 누리꾼들은 사과문 진정성에 의문을 제기하고 있다. 또 키 어머니가 대학병원 간호사였는데 무면허 의료 행위를 몰랐던 게 말이 되느냐는 목소리도 나오고 있다.  키는 이번 논란으로 고정 출연 중이거나 출연을 앞둔 프로그램에서 모두 하차했다.",https://n.news.naver.com/mnews/article/008/0005293461
2025-12-17 21:21:00,'김건희 집사 게이트' 조영탁 IMS 대표 구속 유지…구속적부심 기각,"김건희 여사와 친분을 내세워 투자를 받았단 이른바 '집사 게이트' 의혹에 연루된 조영탁 IMS 모빌리티 대표가 구속적부심사 기각 결정을 받으며 구속 상태를 유지한다.  서울중앙지법 형사항소1-3부(부장판사 조정래)는 17일 조 대표가 자신의 구속이 부당하다며 청구한 구속적부심사 심문을 열고 기각 결정을 내렸다.  조 대표는 지난 6일 특정경제범죄가중처벌법 위반(배임), 업무상 횡령, 주식회사 등의 외부감사에 관한 법률(외부감사법) 위반, 증거은닉교사, 배임증재 혐의에 대한 구속영장이 발부됐다. 이에 조 대표는 15일 구속적부심을 청구했다.  구속적부심사는 수사 단계에서 구속이 적법한지 또는 구속을 유지할 필요성이 있는지 법원이 심사해 판단하는 절차다.  '김건희 특검팀'(특별검사 민중기)은 지난 2일 조 대표가 IMS모빌리티를 경영하면서 부정한 투자를 유치하는 데 관여했다 보고 구속영장을 청구했다. 조사 결과 조 대표는 IMS 모빌리티가 2023년 여러 기업으로부터 투자받고 투자금 일부로 자사 구주를 사는 과정에서 35억원을 횡령하고 32억원의 배임 행위를 한 것으로 파악됐다.  또 경제지 기자에게 수천만원을 주고 자신의 회사에 우호적인 기사를 요청한 혐의(배임증재)도 있다.  '집사 게이트'는 IMS 모빌리티가 2023년 6월 회계 기준상 자본잠식 상태인데도 사모펀드인 오아시스에쿼티파트너스를 통해 카카오모빌리티, HS효성 등 대기업과 금융·증권사 9곳으로부터 184억 원대 투자를 받았다는 의혹이다.  IMS모빌리티는 김 여사 일가의 집사로 지목된 김예성씨가 설립에 참여하고 지분까지 가진 업체로 알려졌다.  특검팀은 기업들의 투자가 이뤄진 배경에 김 여사와 김 씨 친분이 있었다고 보고 보험 성격 또는 대가를 기대한 투자가 이뤄졌는지를 살펴보고 있다.  한편 김씨는 조 대표와 함께 24억3000만원을 횡령한 혐의로 지난 8월 구속기소 됐다. 김씨에 대한 1심 변론 종결은 오는 22일 예정됐다.",https://n.news.naver.com/mnews/article/008/0005293460
2025-12-17 20:58:00,"""박나래, 처벌 안 받을 것""…왕진 전문의가 본 '주사이모' 논란","일명 '주사 이모'로 불리는 무면허자에게 불법 의료 시술을 받아 논란이 된 방송인 박나래가 처벌받을 가능성이 작다는 전문가 소견이 나왔다.  왕진 전문 의료인인 기승국 대한예방의학과의사회 회장은 지난 16일 YTN라디오 '슬기로운 라디오생활'과 전화 인터뷰에서 박나래 처벌 가능성을 묻는 말에 ""환자는 원칙적으로 처벌받지 않는다""고 답했다.  그는 ""실제로 제가 돌아다니다 보면 주사 아줌마나 주사 이모 이런 분들이 꽤 많이 있다고 들었다""며 ""수많은 사람들이 이런 걸 이용하고 있지만 처벌받았다는 얘기는 들어본 적 없는 것 같다""고 했다.  다만 기 회장은 ""환자가 단순 수혜를 넘어 무면허 의료행위를 적극적으로 돕거나 요청한 경우에 한해 방조범이나 교사범으로 성립할 수 있다는 게 법적 논의의 핵심 쟁점""이라고 짚었다.  그러면서도 ""이 주사 이모나 링거 이모는 박나래씨가 아니더라도 불법 의료행위를 이미 하고 돌아다닌 분들이기 때문에 이 정도라면 박나래씨가 방조나 교사에 이르렀다고 보기는 어렵지 않을까 생각한다""고 덧붙였다.  기 회장은 박나래가 주사 이모, 링거 이모를 자택 또는 호텔로 불러 수액을 맞은 점에 의문을 표했다. 그는 ""예방의학적 관점에서 보면 (수액은) 영양결핍자가 아니면 효과가 거의 없다""며 ""그것만을 전문으로 왕진·방문 진료를 하고 있다면 과연 정상적인 의료인일까 의심이 든다""고 했다.  기 회장은 왕진 요건도 설명했다. 의료인이 의료기관을 개설해 그 안에서만 의료 행위를 해야 한다는 것. 다만 장소는 응급환자 진료, 환자·보호자 요청, 지방자치단체장 요청 등에 따라 예외가 폭넓게 규정돼 있다고 부연했다. 박나래도 환자·보호자 요청에 따른 왕진이었을 거라고 기 회장은 추측했다.  그는 ""방문 진료 자체는 합법이다. 의사가 수액 배달하는 역할을 하면 저도 주사 아저씨가 되는 것""이라며 ""박나래씨 같은 경우 '수액 놓으러 올 의사가 있었으면 좋겠다'고 생각했을 때 그런 수요에 대응하는 공급이 없다면 불법적인 부분에서 유혹이 오는 것""이라고 설명했다.  박나래 '주사 이모'가 중국 내몽고 포강의대를 나왔다고 주장한 데 대해선 ""외국에서 취득한 면허는 원칙적으로 그 나라에서만 효과가 있고 대한민국 내에서는 효력을 인정받지 못한다""며 ""결국 주사이모가 의료인인지가 이 사건의 핵심""이라고 했다.",https://n.news.naver.com/mnews/article/008/0005293459
2025-12-17 20:57:00,"""여성 더듬다 공안에 끌려가""...'태극기 티셔츠' 男 공항서 오열","한국인 추정 남성이 기내에서 베트남 공안에 체포되는 모습이 담긴 영상이 온라인 상에 퍼지고 있다.  17일 SNS(소셜미디어)에 ""한국 남성이 비행기 안에서 베트남 여성을 희롱했다""는 글과 함께 관련 영상이 공유됐다.  사건은 지난 14일 호찌민발 부산행 비엣젯항공에서 발생했다. 기내에서 촬영된 영상에는 공안 두 명이 앉아 있던 한국인 남성을 일으켜 세운 뒤 내리게 하는 모습이 담겼다. 남성은 저항하며 몸에 힘을 주는 듯한 모습을 보였으나 결국 공안에 의해 끌려 나왔다.  이후 촬영된 것으로 보이는 영상도 함께 올라왔는데, 이 남성은 입국장 앞에서 무릎 꿇고 기도하는 자세로 오열했다. 이때 남성은 태극기가 새겨진 흰색 반팔 티셔츠를 입고 있었다.  현지 누리꾼들은 ""한국 남성이 비행기에서 베트남 여성 승객에게 성희롱해서 하차당했다"", ""남성이 옆에 앉은 여성을 더듬었다"", ""비행기에서 여자를 놀리다가 공안에게 끌려갔다"" 등 당시 상황을 설명하는 댓글을 달았다.  해당 비행기에 타고 있었다는 한국인 누리꾼은 ""처음엔 (피해 승객이) 애인인 줄 알았는데 표정이 너무 당황스러워 보이더라""며 ""창피함은 우리 몫이다. 태극기 단 게 제일 부끄럽다. 처벌받아야 한다""고 했다. 이 일로 비행기 출발이 1시간 이상 지연됐다고 덧붙였다.  실제로 항공정보포털시스템에 따르면 호찌민을 출발해 14일 오전 6시 55분 김해공항에 도착 예정이던 비엣젯항공 VJ868편은 8시 20분쯤 지연 도착했다. 지연 원인은 따로 알려지지 않았다.",https://n.news.naver.com/mnews/article/008/0005293458
2025-12-17 20:43:00,"루브르 박물관 노조 파업 연장…""별도 공지 나올 때까지 문 닫는다""","지난 10월 보석 도난 사고로 관리 부실 논란에 휩싸인 프랑스 파리 루브르 박물관이 무기한 폐관한다.  17일(이하 현지시간) 로이터·AFP통신 등에 따르면 루브르 박물관 노동조합(노조)은 이날 지난 15일부터 돌입한 파업을 연장하는 것에 대한 투표를 진행했고, 노조원들은 만장일치로 찬성표를 던졌다. 이날 투표 결과에 따라 루브르 박물관은 별도 공지가 있을 때까지 폐관하게 된다.  루브르 박물관은 지난 15일부터 임금과 근무 환경 개선을 요구하는 노조의 파업으로 운영이 중단된 상태다. 전날은 정기 휴관일(매주 화요일)이었다.  루브르 박물관 내 노동총동맹(CGT), 프랑스민주노동연맹(CFDT), 연대·단결·민주(SUD) 등 3개 노조는 지난 8일 직원 200명이 참여한 총회에서 만장일치로 파업을 결의했고, 15일 파업에 돌입했다. 노조는 라시다 다티 프랑스 문화부 장관에게 보낸 파업 통지서에서 박물관 직원들이 과도한 업무에 시달리고 있다며 인력 충원과 임금 인상, 예산 지출안 재조정을 요구했다. 이들은 특히 내년 1월 중순부터 시행하는 비EU(유럽연합) 관광객 대상 입장료 45% 인상 계획에도 반대했다. 엘리스 뮐러 SUD 문화노조 전국사무국장은 ""우리는 루브르 박물관 방문이 어떤 이에게는 평생 잊지 못할 여행이라는 것을 잘 알고 있다. 그래서 (박물관) 방문객에게 불이익을 주고 싶지 않다""고 말했다.  AP통신에 따르면 프랑스 문화부 관계자들은 파업 첫날 노조와 위기 대응 회의를 열고, 내년에 시행할 예정이던 670만달러(약 99억원) 규모의 예산 삭감 계획을 철회하는 방안과 전시관 경비 및 관람객 서비스 인력에 대한 신규 채용, 직원 보상 확대 등을 제안했다. 하지만 노조 측은 이런 조치가 충분하지 않다는 입장을 전했고, 17일 오전 투표를 통해 파업 연장을 결정했다.   외신은 박물관 노조의 이번 파업은 지난 10월에 발생한 8800만유로(약 1525억원) 상당의 보석 도난 사건과 최근 박물관 내 누수로 인한 고대 이집트 서적 훼손 등 연이은 박물관 관리 부실 사건에 따른 것이라고 짚었다. 로이터는 ""해당 사건들로 루브르 박물관의 노후화와 심각한 보안 취약점이 여실히 드러났고, 이는 노조의 불만을 증폭시켰다""고 전했다.  다만 박물관 측은 노조 파업에도 부분적으로 문을 열 것이라며 '모나리자', '사모트라케의 니케' 등 박물관 대표 작품 관람은 가능하다고 설명했다.  한편 로랑스 데 카르 루브르 박물관장은 이날 오후 프랑스 상원 문화위원회에 출석해 보석 도난 사건 등 박물과의 보안 문제 관련 질의에 답변할 예정이다. 상워 문화위원회는 앞서 보석 도난 사건 조사 보고서를 통해 ""범행 지점 인근의 감시 카메라 2대 중 한 대만 작동하고 있었고, 관제실은 실시간 모니터링을 충분히 수행할 수 있는 장비를 갖추지 못한 상태였다""고 밝혔다. 아울러 2019년 보안 검사에서 이번 도난 사건에 활용된 '강변 발코니'가 사다리만으로 접근이 가능하다는 등의 취약성이 드러났음에도 데 카르 관장은 이를 전혀 인지하지 못하고 있었다고 지적했다.",https://n.news.naver.com/mnews/article/008/0005293457
2025-12-17 20:16:00,"'음주 뺑소니' 김호중, 성탄절 가석방 불발…심사 '부적격'","음주운전으로 교통사고를 낸 후 도주한 혐의로 복역 중인 트로트 가수 김호중씨(34)가 성탄절 특사 가석방 심사에서 부적격 판단을 받았다.  17일 뉴시스에 따르면 법무부 산하 가석방심사위원회는 이날 김씨를 포함한 가석방 대상 수용자들에 대한 적격 여부를 검토한 뒤 김씨에 대해 가석방이 부적격하다고 판단했다. 적격 판단을 받은 수용자들은 오는 24일 오전 10시 전국 55개 교정시설에서 출소한다.  형법상 유기징역을 선고받고 형기의 3분의 1을 채운 이들은 가석방될 수 있다. 위원회는 김씨가 교통사고를 내고 도주한 데 더해 매니저를 대리 자수하게끔 한 죄질이 불량하다는 점 등을 감안해 부적격 결정을 내린 것으로 보인다.  위원회 운영지침에 따르면 가석방 대상자에게는 적격·부적격·심사보류 등 판단을 내릴 수 있다. 적격 판단을 받으면 법무부 장관의 최종 결재를 거쳐 가석방된다.  부적격 판단을 받는 경우 차기 가석방 심사 대상에서 제외된다. 심사보류 판단은 차기 위원회에서 재심사가 필요할 때 이뤄진다.  위원회에는 이진수 법무부 차관과 성상헌 검찰국장, 이홍연 교정본부장, 이영면 범죄예방정책국장 등 내부 위원 4명과 성수제 서울고법 부장판사, 오경식 강릉원주대 법학과 교수, 주현경 충남대 법학전문대학원 교수, 엄욱 대한법률구조공단 변호사, 김혜경 계명대 경찰행정학과 교수 등 외부 위원 5명이 참여한다.  김씨는 지난해 5월9일 밤 음주 상태로 운전하다 서울 강남구 압구정동 한 도로에서 중앙선을 넘어 반대편 도로에 있는 택시를 들이받는 사고를 내고 달아난 혐의로 재판에 넘겨졌다. 김씨는 음주운전을 한 사실이 없다고 혐의를 부인했으나 관련 정황이 드러나자 10여일만에 음주 사실을 인정했다. 법원은 같은 달 24일 ""증거인멸 우려가 있다""고 판단해 구속영장을 발부했다.  김씨는 지난해 11월 1심 재판에서 징역 2년6개월을 선고받았다. 김씨는 이에 불복해 상고장을 제출했다가 상고를 포기하겠다는 의사를 밝히고 복역해왔다.",https://n.news.naver.com/mnews/article/008/0005293456
