날짜,제목,본문,링크
2025-12-06 23:12:00,수능 끝난 고3 교실 “학교에 애들이 없어요” [톡톡에듀],"경제금융 교육 등 대체교육 시도 수시·정시 일정 변화 등 목소리도   대학수학능력시험(수능)이 끝난 뒤 고등학교 3학년 교실이 텅 비는 문제가 반복되고 있다. 보다 의미있는 수능 후 교육과정을 만들기 위한 노력이 이어지고 있지만 고3 2학기 출결과 내신 성적이 대입에 반영되지 않는 근본적인 원인부터 바꿔야 한다는 목소리가 나온다.  2026학년도 대학수학능력시험 성적표 배부일인 5일 서울 시내 한 고등학교는 한산했다. 교육 당국은 올해도 수능 전후로 학사 운영 내실화 방안을 발표하며 학년말 수업을 운영하는 일선 학교에 출결 관리를 철저히 할 것을 주문했지만 강제적인 사안이 아니라서 큰 의미는 없었다.  작년까지 고3 담임을 맡았던 한 교사는 “등교를 제대로 하는 아이들도 있지만, 얼굴만 보이고 사라지는 아이들, 아예 나오지도 않는 아이들도 있게 마련”이라며 “수능이 끝났으니 학교에 오고 싶지 않을 수도 있지만, 이렇게 시간을 흘려보내는 게 아깝게 느껴지기도 한다”고 말했다.  또 다른 강남의 한 고교 교사는 “논술과 면접 등 수시 전형 대학별 고사를 치르거나 정시 전형 지원 전략을 짜는 데 집중한다고 하면 안 보내줄 이유도 없다”고 말했다. 이같은 상황은 수능보다 대학별 실기평가가 더욱 중요해지는 예체능 계열로 넘어가면 더욱 심해진다. 음악중점학교로 선정된 한 고등학교 교사는 “음대 진학하려는 아이들은 실기 연습을 이유로 학교에 제대로 등교하지 않는다. 미인정 결석이 되더라도 상관없다는 입장”이라며 “예고 등지에서는 더 자연스러운 일일 것”이라 말했다.  그러다보니 현장 고등학교들은 오전 출석만 하고 아이들을 보내거나 전시 체험, 대학 탐방 등으로 채우는 중이다. 상당수 학생들은 그간 쓰지 않고 모아둔 가정학습(교외체험학습)을 이 시기에 사용하기도 한다. 통상 연간 20일까지 쓸 수 있는 만큼 수능 이후 학교를 벗어나기에는 충분한 기간이다.  이 기간이 입시와 직접적인 관련이 없더라도 학생 개인의 삶에 유의미한 교육으로 채우기 위한 고민도 이어진다. 서울시교육청에 따르면 각 고등학교에서는 환경 교육, 개인형이동장치(PM)안전 교육, 대입면접준비 및 입시상담, 학자금지원제도와 학자금대출금융교육, 마약·도박 등에 대한 예방 교육, 대학공개강의(KOCW)를 활용한 나의 대학전공수업맛보기 등이 운영되고 있다.  그러나 이는 근본적 처방이 아니라 일종의 대증 요법에 불과하다는 비판도 나온다. 대학 편의에 맞춘 입시 일정이 이어지다보니 고3 후반부가 무의미하게 쓰인다는 것이다. 고3 2학기 출결과 내신 성적을 대입에 반영하면 이같은 현상을 줄일 수 있지만, 대학들은 이를 원치 않는 상황이다.",https://n.news.naver.com/mnews/article/009/0005601953
2025-12-06 23:11:00,“요즘 새 아파트에 이건 필수죠”…무인세탁함·집청소 서비스 빠르게 확산,"아파트 입주민 편의 높이는 서비스 무인세탁·하우스키핑·수납 등 확산   최근 신축 아파트를 중심으로 입주민의 생활 편의를 높이는 ‘생활밀착형 주거 서비스’가 빠르게 확산되고 있다. 세탁, 택배, 청소, 정리수납 등 일상의 번거로운 일을 대신해 주는 다양한 서비스들이 비대면·자동화 시스템과 결합하며, 아파트 단지 안에서 대부분의 생활 루틴을 해결할 수 있을 만큼 진화하고 있다.  눈에 띄는 변화는 아파트 단지 내 지하주차장이나 공용공간에 설치되는 무인세탁함 서비스의 확산이다. 무인세탁함은 24시간 비대면으로 운영돼 세탁소 영업시간에 맞춰 방문할 필요가 없는 것이 가장 큰 장점이다. 출퇴근이 바쁜 맞벌이 부부나 1~2인 가구의 생활 동선을 단축시키고, 일상의 효율을 높이는 주거 편의시설로 자리잡고 있다.  세탁 전문기업 베터라이프의 세탁 플랫폼 ‘탑크리닝업박스’가 대표적인 사례다. 이 서비스는 사용자가 키오스크에서 세탁물을 접수하면 주문 정보가 온라인 시스템으로 전송되고, 전문 세탁공장에서 세탁·건조 과정을 거친 뒤 세탁 완료 문자를 받아 다시 찾아가는 O2O(Online to Offline) 기반 서비스다. 입주민은 단지 내에서 간편하게 세탁물을 맡기고 찾을 수 있어 세탁의 전 과정을 오프라인 이동 없이 해결할 수 있다.  이러한 비대면 세탁 시스템은 입주민 편의성과 운영 효율성을 높이며, 아파트 단지 내 필수 주거 서비스로 자리 잡고 있다. 베터라이프는 2022년 10월 롯데건설과 업무협약(MOU)을 체결하며 본격적인 무인 세탁 서비스를 개시한 이후, 세탁 수요가 많은 서울·경기 지역 대단지 신축 아파트를 중심으로 설치 범위를 확대하고 있다. 최근에는 전년 동기 대비 설치량이 70% 이상 증가하며 빠른 성장세를 이어가고 있다.  무인세탁함 외에도 입주민의 라이프스타일에 맞춘 다양한 생활 서비스가 주거 공간으로 들어오고 있다. 최근 포스코이앤씨, GS건설 등은 세대 내 청소, 쓰레기 배출, 분리수거를 지원하는 ‘하우스키핑 서비스’, 전문가가 집안을 정리해 주는 ‘정리수납 서비스’, 단지 방문으로 이뤄지는 ‘방문 세차 서비스’ 등 입주민 맞춤형 서비스 도입을 확대하고 있다.  베터라이프 관계자는 “생활밀착형 주거 서비스들은 입주민의 실제 생활 패턴을 기반으로 기획된다는 점에서 기존의 단순 편의 시설과 차별화된다”며 “이러한 흐름은 단순한 편의 시설의 확장을 넘어, 향후 아파트 브랜드의 경쟁력을 결정짓는 핵심 요소가 될 것”이라고 덧붙였다.",https://n.news.naver.com/mnews/article/009/0005601952
2025-12-06 22:56:00,“학생 3~4명이 불장난”…인천 어린이공원 방화 10대 용의자들 추적,인천 어린이공원서 방화 추정 화재가 발생해 경찰이 10대 용의자들을 추적하고 있다.  6일 인천소방본부와 경찰에 따르면 전날 오전 5시 41분쯤 “학생들 3∼4명이 불장난을 하고 있다”는 신고가 119에 접수됐다.  경찰이 신고를 받고 현장에 도착했을 때 용의자들은 이미 도주한 상태였다  소방 당국은 소방관 11명과 펌프차 등 장비 4대를 현장에 투입해 신속하게 불을 껐다. 이 화재로 공원 내 탁자와 의자 등이 불에 탄 것으로 파악됐다.  경찰은 목격자 진술 등을 토대로 10대로 추정되는 학생들이 불을 지른 뒤 도주한 것으로 보고 용의자들을 추적 중이다.,https://n.news.naver.com/mnews/article/009/0005601950
2025-12-06 22:26:00,"영덕 축산항 해상서 70대 통발어선 선장 실종…해경, 수색 중","경북 영덕 해상에서 선원 1명이 실종돼 해경이 수색 작업을 벌이고 있다.  울진해양경찰서는 6일 오후 4시 40분쯤 경북 영덕군 축산항 북동쪽 370m 해상에서 70대 통발어선 선장 A 씨 연락이 끊겼다는 가족의 신고를 접수하고 수색에 나섰다.  해경은 A 씨가 혼자 통발을 끌어올리는 양망 작업 중 해상으로 추락한 것으로 보고, 연안구조정과 헬기 등을 동원해 수색하고 있다.  A 씨가 타고 나갔던 1.95t 연안 통발 어선은 축산항 인근 약 400m 지점에서 발견됐다.",https://n.news.naver.com/mnews/article/009/0005601947
2025-12-06 22:23:00,도자기 작가 예진옥 뉴욕서 ‘숨결의 울림’ 전시회,"12월 10~17일 케이트 오 갤러리서 달항아리 등 약 50점 최초 단독 전시 “수익금 기부, 누군가의 희망되기를”   미국에서 활동하는 도자기 작가 예진옥(Jin Ok Ye) 씨가 오는 12월 10~17일 뉴욕 ‘케이트 오 갤러리(Kate Oh Gallery)’에서 처음으로 단독 전시회를 연다.  ‘숨결의 울림(The Resonance of Breath)’이라는 주제로 열리는 이번 전시회에서 예 씨는 여러 가지 형태와 크기, 색감을 담은 도자기 약 50점을 선보인다.  익숙한 주전자 형태에서부터 이른바 달항아리까지 도자기 용기가 표현할 수 있는 곡선의 아름다움과 멋스러운 이미지를 함께 구현했다. 특히, 전통적인 백옥색 도자기를 기본으로 하되 암회색의 검은색과 금빛 문양까지 도자기에 입혀 현대적으로 재창조했다는 평가다.  아울러 도자기가 지난 소박하면서도 은은한 절제미와 함께 바라볼수록 깊게 빠져드는 고급스러운 매력이 압권이다. 달 같은 항아리는 그저 동그란 모양이지만 멀리 떨어진 달만큼 깊은 내면의 아름다움을 뿜어낸다.  예 씨는 “그동안 열심히 정성들여 만든 작품을 이번에 일반 대중에 공개하는 의미가 있다”면서 “특히 연말을 맞아 수익금을 기부해 한해를 더 의미 있게 마무리하려는 뜻도 있다”고 밝혔다. 그는 이어 “정성을 다해 빚은 시간들이 또 다른 누군가의 희망으로 이어진다면, 그보다 큰 완성은 없을 것 같다”고 덧붙였다.  이번 전시회의 수액금은 미국 뉴저지주 잉글우드 소재 ‘잉글우드 병원’에 기부될 예정이다.  케이트 오 갤러리 주소는 미국 뉴욕주 뉴욕시 72번가 31E이다. 전화번호는 +1-646-286-4575.",https://n.news.naver.com/mnews/article/009/0005601946
2025-12-06 22:16:00,"“겨울도 안심할 수 없어”…8개월간 230명 사상, 일본 곰습격 피해 역대 최다","일본에서 최근 8개월 동안 무려 230명이 곰의 습격으로 인해 다치거나 숨진 것으로 조사됐다.  6일 니혼게이자이신문에 따르면, 일본 환경성은 올해 4~11월 곰의 공격으로 인한 사상자를 총 230명으로 집계했다.  환경성 집계 기준으로 지난 2023년 연간 피해자 219명을 이미 넘어선 수치로 급등세에 있음을 알 수 있다. 사망자도 13명으로 최다였던 2023년 6명의 2배를 이미 넘어섰다.  도호쿠 지방 북서쪽에 위치한 아키타현에서 66명이 피해를 입어 정도가 가장 심했다. 이와테현 37명, 후쿠시마현 24명 등으로 뒤를 이었다.  환경성은 “개체 수가 늘고 주민 생활권에서 먹이를 찾는 경험을 쌓은 곰도 증가했을 가능성이 있다”며 “곰이 12월에도 계속해 출몰할 우려가 있다”고 경고했다. 더욱이 먹이가 부족한 상황에서는 곰들의 동면이 평년보다 늦어질 수도 있어 곰 피해는 겨울에도 이어질 가능성이 있다.  일본 정부는 아키타현에 자위대를 파견하며 곰 포획에 나섰고, 경찰관은 도심에 출몰한 곰을 총으로 직접 사살할 수 있도록 규정을 개정했다. 곰 대책 명목으로 34억엔(약 323억원)을 올해 추경예산에 반영할 계획으로 전해졌다.  한편, 일본에서는 사람들의 생활권에 출몰하는 곰의 수가 증가하면서 사살되는 곰의 수도 늘고 있다. 환경성에 따르면, 지난 4~9월 제거된 곰의 수는 5983마리로, 지난해 1년간 사살된 5136마리를 이미 넘어섰다.",https://n.news.naver.com/mnews/article/009/0005601944
2025-12-06 22:14:00,“이러니 다들 강남 강남하지”…강남으로 터전 옮기는 뷰티 기업들,"마녀공장·조선미녀도 강남시대 마케팅 인프라 구축돼 있어 효율성 증진·인재 영입 유리   국내 화장품 기업들이 강남으로 터전을 옮기며 강남이 ‘K뷰티’의 메카로 떠오르고 있다. 2030세대의 젊은 직원들이 강남에서 근무하는 것을 선호하면서 사무실이 강남에 있어야 인재 확보가 유리해서다. 최근 2~3년 새 급성장한 화장품 기업들이 대체로 핵심 고객이 2030세대인 까닭에 젊은 직원 중심으로 조직을 구성하려는 경향이 강하다. 또 강남에 주요 마케팅 회사, 영상 제작 스튜디오 업체 등이 포진해 있어 마케팅 등 업무 효율성 향상에도 본사가 강남에 있는 게 유리하다는 분석이다.  6일 화장품 업계에 따르면 ‘조선미녀’ ‘티르티르’ ‘스킨1004’ ‘스킨푸드’ 등 여러 화장품 브랜드를 갖고 있는 구다이글로벌도 내년 초 강남으로 본사를 이전하기 위한 임대차 계약을 지난달 완료한 것으로 확인됐다. 강남구 언주로에 위치한 연면적 1만3256㎡(4009평) 규모에 달하는 11층짜리 건물을 통째로 사용하는 조건이다.  구다이글로벌 관계자는 “화장품 브랜드별로 영등포(조선미녀), 마포(티르티르), 강남(크레이버·스킨푸드) 등 여러 지역에 분산돼 운영되던 조직을 한 곳으로 모아 업무 효율성과 협업 속도를 높이기 위해 사옥 이전을 검토하다가 강남을 선택했다”고 밝혔다. 그러면서 그는 “강남에는 마케팅·인플루언서(유명인) 관계자들도 많아 관련 인재 수급에 유리한 데다 뷰티·패션·라이프스타일 산업 생태계도 구축돼 있기 때문”이라고 설명했다.  ‘클렌징오일’ 시장에서 강자인 마녀공장도 얼마 전 본사를 서울 강서구에서 강남구 테헤란로로 옮겼다. 마녀공장 관계자는 강남으로 사옥을 이전한 배경에 대해 “회사가 급성장하면서 인재 확보가 중요해졌다”며 “서울에서 강남이 교통이 좋아 인재 확보에 유리한 데다 뷰티 학회·박람회 등 행사가 주로 삼성동 코엑스에서 개최되는데, 이런 행사에 참석하기도 용이한 데다 협업 회사들도 강남에 많아 강남으로 옮겼다”고 밝혔다.  강남구에는 일본에서 큰 인기를 끌고 있는 기초화장품 브랜드 ‘아누아’ 운영사 더파운더즈, 세럼으로 유명한 토리든, 마스크팩이 주력 제품인 코스알엑스, 파운데이션 등 메이크업 브랜드 ‘바닐라코’를 갖고 있는 에프앤코 등 여러 화장품 회사의 본사가 있다. 건물 중개 전문기업 리얼티코리아에 따르면 지난달 기준 사무실 소재지를 강남구로 등록된 화장품 업체는 2638개에 달한다.  김창경 리얼티코리아 이사는 “온라인을 통해 최근에 부쩍 뜬 화장품 브랜드를 갖고 있는 회사들이 최근에 강남으로 본사를 이전하거나 강남에 아예 사옥을 매입하고 싶다며 매물을 찾아달라는 문의가 많아졌다”며 “내년에도 화장품 기업들의 강남 이전 행보는 계속될 것”이라고 전망했다.",https://n.news.naver.com/mnews/article/009/0005601943
2025-12-06 22:12:00,한강뷰 다이닝에 한정판 뷔페까지…연말 눈여겨볼 만한 호텔,"송년회부터 데이트까지, 달력이 약속으로 빼곡히 차는 시즌이다. 특별한 날, 분위기와 맛을 모두 잡은 장소를 찾기란 쉽지 않다면 이곳을 주목하자. 탁 트인 전망과 수준 높은 미식으로 오감을 만족시킬 호텔 두 곳을 소개한다.  풀만 이스트폴 엠버스 풀만 앰배서더 서울 이스트폴의 대표 오픈 파이어 그릴 레스토랑 ‘엠버스’가 12월 한 달간 특별한 페스티브 쉐어링 메뉴 프로모션을 선보인다.  이번 메뉴는 가족, 친구, 연인 등 소중한 사람들과 함께 나누는 다이닝 경험을 강조하며 올겨울 도심 속 미식의 즐거움을 한층 풍성하게 만들어줄 예정이다.  엠버스는 불을 주제로 한 오픈 파이어 그릴 레스토랑이다. 30일 이상 숙성한 드라이 에이징 스테이크, 참숯으로 구워 깊은 풍미를 살린 한우 안심과 꽃등심 등 정교하게 준비한 메뉴로 미식가들의 사랑을 받고 있다.  조리 전 과정을 오픈 키친에서 보여주며 셰프의 섬세한 큐레이션과 전문 기술을 더한 미식 퍼포먼스를 경험할 수 있다. 이번 시즌 엠버스에서 선보이는 쉐어링 메뉴는 3인용과 5인용으로 나뉜다.  식사는 웰컴 드링크 ‘렘버스 로제’와 갓 구운 따뜻한 하우스 브레드로 시작해 참치 크림을 얹은 쇠고기 플랫 피자, 숯 향이 은은하게 배어 풍미를 살린 생선 요리와 캐비어, 그리고 셰프가 매일 새롭게 선보이는 오늘의 에피타이저를 차례로 제공한다.  메인 직전에는 신선한 재료로 매일 바뀌는 오늘의 파스타와 깊은 해산물 풍미가 살아 있는 프랑스식 스튜 부야베스가 이어진다. 메인 요리로는 드라이 에이징 스테이크, 참숯에 구운 한우 안심과 꽃등심을 준비한다.  디저트는 엠버스 스페셜 디저트 2종, 제철 재료로 만든 시즌 아이스크림 3종, 그리고 섬세하게 블렌딩한 커피 또는 풀만 시그니처 티로 구성한다. 여기에 원하는 나이프 선택 서비스까지 있어 페스티브 시즌 다이닝을 더욱 우아하고 특별하게 즐길 수 있다.  엠버스에서의 다이닝은 한강과 도심이 한눈에 펼쳐져 맛뿐 아니라 시각적 즐거움까지 더한다.  더블트리 판교 데메테르 더블트리 바이 힐튼 서울 판교의 올데이 다이닝 레스토랑 데메테르는 연말 시즌 한정 ‘페스티브 뷔페’를 오는 20일부터 31일까지 선보인다.  페스티브 뷔페 이용 시 샴페인 1잔을 함께 제공해 설렘을 더한다. 뷔페의 중심에는 육즙 가득한 그릴 토마호크 스테이크와 촉촉하게 구워낸 랍스터 그릴, 크리스마스의 상징적인 로스트 터키, 그리고 셰프가 눈앞에서 선보이는 한우 라이브 스테이션이 자리한다.  한우 등심, 안심, 부채살을 비롯해 다양한 육류와 해산물, 클래식 홀리데이 요리를 균형 있게 구성해 여러 취향을 만족시키며 연말 모임과 회식, 가족 모임 장소로도 제격이다.  연말 분위기를 고려해 글로벌 요리 구성도 한층 강화했다. 한식 코너에서는 갈비찜, 해산물찜, 코다리 강정, 꼬막 무침 등 제철 메뉴를 선보이며 중식 섹션에서는 동파육, 딤섬, 마라샹궈 등 현지의 맛을 그대로 담아낸 요리를 맛볼 수 있다.  일식 코너에서는 참치·연어·대방어 등 계절 생선회와 초밥, 후토마끼뿐 아니라 우니·이쿠라 카이센동 등 프리미엄 메뉴를 갖췄고 씨푸드 스테이션에서는 대게, 홍합, 전복, 뿔소라, 가리비 등 신선한 해산물을 다양하게 맛볼 수 있다.  피자와 파스타 스테이션에서는 바질 마스카포네 피자, 라따뚜이 피자와 함께 연어 크림 파스타, 단호박 크림 뇨끼, 볼로네제 등 계절 재료의 깊은 맛을 담아낸 메뉴를 준비했다.  연말의 분위기를 달콤하게 마무리하는 디저트 섹션도 더욱 강화했다. 페스티브 기간 동안 디저트 코너는 특별히 ‘딸기 뷔페’로 운영하며 매년 큰 인기를 얻는 대형 딸기 타워를 비롯해 다양한 겨울 한정 딸기 디저트를 구성했다.  오는 23일부터 25일까지는 크리스마스 시즌을 상징하는 구겔호프와 부쉬드노엘을 함께 제공해 연말의 따뜻한 설렘을 한층 더한다.  특히 페스티브 뷔페 이용 시 딸기 뷔페까지 함께 즐길 수 있어 한 번의 방문으로 두 가지 미식을 모두 경험하는 일석이조의 즐거움을 선사한다.  가족 고객이 많이 찾는 24일과 25일, 31일에는 키즈 스테이션을 운영해 미니 핫도그, 미니 붕어빵, 토마토 미트볼, 치킨 강정 등 어린이들이 좋아하는 메뉴를 특별 구성한다.  또 12월 24일과 25일에는 풍선아트와 페이스페인팅 등 어린이 고객을 위한 키즈 액티비티도 진행한다.  풍성한 미식과 따뜻한 연말 분위기를 모두 담아낸 데메테르의 페스티브 뷔페는 한 해의 마지막을 더욱 특별하게 완성해줄 홀리데이 다이닝으로 많은 기대를 모은다.",https://n.news.naver.com/mnews/article/009/0005601942
2025-12-06 22:05:00,"“화가 나네요. 징역 8년 사실?”…‘강도 피해’ 나나, 성폭행범 형량에 분노","가수 겸 배우 나나가 법원 판결 기사에 분노를 터뜨렸다.  나나는 6일 자신의 사회관계망서비스(SNS)에 한 신문의 기사를 캡처해 올리며 자신의 소견을 글로 적었다.  기사는 9살 여아를 성폭행한 60대에게 징역 8년이 선고됐으나 전자발찌는 기각됐다는 내용이었다. 이 기사에 나나는 “화가 나네요. 징역 8년? 정말입니까? 8년이요?”라며 거듭 묻는 문장을 남겼다.  한편, 나나는 최근 자택에 침입한 강도와 몸싸움 끝에 경찰에 넘기는 사건으로 화제가 된 바 있다.",https://n.news.naver.com/mnews/article/009/0005601941
2025-12-06 21:53:00,"“고객님 계좌서 출금됐습니다”…과도한 불안 조장 아냐, 당장 해야 할일은 ‘이것’","쿠팡발 정보 유출 사고…문자·전화 피싱 활개 우려 웹사이트 비밀번호 변경, 카드·계좌 연동 해제해야 배송·보상 관련 문자·카톡 링크 받았다면 클릭금지   쿠팡에서 초유의 개인정보 유출 사태가 발생했다. 무려 3370만개 계정에 저장된 데이터가 중국인 퇴직자에 의해서 빠져나갔다. 사실상 우리나라 국민 절반이 신상정보와 구매정보를 빼앗긴 만큼 불안감이 확산하는 분위기다. 이에 후속 피해 방지를 위한 대책 마련의 필요성이 대두되고 있다.  6일 보안업계에 따르면 지난주 쿠팡에서 이용자의 이름·생년월일·전화번호·주소·이메일·공용현관비밀번호·주문내역 등이 유출됐다. 정보의 구성이 다양한 사기 범죄에 악용하기 용이한 항목들인 만큼 피해자가 늘어날 것이라는 우려가 나온다. 그렇다면 후속 피해를 막기 위해 무엇을 해야 할까?  보안업계는 가장 먼저 쿠팡과 동일한 아이디·비밀번호를 사용 중인 웹사이트의 비밀번호를 바꿔야 한다고 조언했다. 네이버·카카오·구글 등 포털과 인스타그램·페이스북 등 사회관계망서비스(SNS), G마켓·SSG닷컴·컬리 등 쇼핑몰, 학교·직장 등 인트라넷, 당근·번개장터·커뮤니티 등 플랫폼에 로그인을 시도해 본다. 이용자들이 편의상 웹사이트 아이디와 비밀번호를 통일하기 때문이다.  사전에 허용한 기기로만 로그인할 수 있는 권한을 부여하고, 지문·얼굴을 비롯한 생체 인식이 가능한 추가 인증을 생활화하면 계정 도용·스팸 전송과 같은 범죄 피해를 예방하는 데 도움이 된다. 쿠팡은 결제정보 유출 정황은 파악되지 않았다고 주장했지만, 만약에 대비해 간편결제도 해지하라고 강조했다.  보안업계에서 주시 중인 범죄는 스미싱과 피싱이다. 특히 공공·금융기관을 사칭한 범죄가 활개칠 수 있어서 주의가 요구된다. 안랩이 발간한 피싱 문자 보고서를 참고하면 지난 3분기 기준 스미싱 피해 사례 가운데 정부·공공기관(30.99%) 사칭이 가장 많았다. 그 뒤를 금융기관(7.62%)과 물류업체(3.04%)가 이었다.  카드번호나 은행계좌처럼 직접적으로 금전을 탈취할 수 있는 정보는 아니지만, 실생활과 밀접해 타깃을 손쉽게 속일 수 있다. 예컨대 택배 정보가 정확하지 않으니 추가 정보를 입력하라는 링크를 발송하거나, 해외직구 상품과 관련해 세금을 납부해야 통관 패스를 시켜 준다거나, 경찰·검찰에서 등기 서류를 보냈으니 확인하라는 식이다. 보상·환불 절차 안내를 미끼로 금융정보 입력을 유도할 가능성도 존재한다.  스미싱 범죄를 당하지 않으려면 ‘구매 물품 오배송’, ‘배송 주소 불일치’, ‘주소 확인’, ‘반품 주소 입력’ 등의 키워드와 인터넷주소(URL)·애플리케이션 다운로드 경로가 첨부된 휴대전화 메시지(SMS)나 카카오톡 메시지를 열어서는 안 된다. 번거롭더라도 공식 채널·고객센터로 연락해 진위 여부를 확인하는 습관을 들여야 한다.  휴대전화가 악성 앱에 감염돼 모바일 무단결제 피해가 발생했다면 통신사에서 소액결제확인서를 발급해 준다. 이 확인서를 지참해 관할 경찰서 사이버수사대에 신고하고, 공인인증서·공동인증서를 포함한 본인 인증 수단을 일괄 폐기해야 한다.  안전한 금융·통신환경을 지원하는 서비스를 활용하는 것도 방법이다. 비대면 계좌개설, 비대면 대출실행, 오픈뱅킹 이용 시 비정상적인 접근을 차단해 주는 ‘안심차단서비스’에 가입하면 명의도용 금융사기 피해를 방지할 수 있다. 이동통신회사들도 인공지능(AI)을 접목한 SMS 보안 기능과 의심 번호 차단 기능 등을 제공한다.  스미싱 여부 판별은 카카오톡 ‘보호나라’ 채널과 보이스피싱통합신고대응센터 ‘스미싱 메시지 차단 신고’에서 가능하다. 휴대전화 보안 수준을 높일 수도 있다. 안드로이드 단말기 사용자는 ‘설정’의 ‘보안 및 개인정보보호’ 메뉴에서 ‘보안 위험 자동 차단’ 기능을 활성화하면 출처를 알 수 없는 앱 설치를 막아 준다.  관세청은 해외직구에 필수적인 개인통관고유번호 변경을 추천했다. 최대 직구 성수기인 블랙프라이데이를 앞둔 상황에서, 통관번호 재발급 건수는 지난달 30일부터 지난 4일까지 113만1355건으로 집계됐다. 닷새간 재발급된 통관번호 개수가 올해 1월부터 10월까지 발급된 통관번호 개수의 10배에 달한다.  복수의 보안업계 관계자는 “과거 해외에서도 계정 일부가 노출된 사고가 부가적인 피해를 낳았다. 아마존에서 배송이 지연됐다는 스미싱이, DHL에서는 배송에 실패했다는 스미싱이 기승을 부려 사회 문제가 됐다”라며 “물품 배송 관련 연락은 대체로 의심하지 않기에 범죄 성공률이 올라간다”고 설명했다.  금융당국과 통신당국도 피싱 경보를 내리고 온라인 모니터링 강화에 나섰다. 먼저 금융위원회·금융감독원이 소비자경보 ‘주의’를 발령했다. 개인정보보호위원회는 앞으로 석 달 동안 다크웹을 포함한 인터넷상 개인정보 유·노출 및 불법유통 모니터링 강화 기간을 운영한다. 과학기술정보통신부는 자세한 사건 경위 및 피해 규모를 파악하고 보안 수준과 대응 방침을 점검하는 동시에 피해 예방 교육과 캠페인을 전개하기로 했다.  금융위·금감원 관계자는 “정부기관과 금융회사는 절대 전화나 문자로 앱 설치를 요구하지 않는다”라며 “발신자가 불분명한 문자메시지의 URL는 절대 클릭하지 말고 관계기관에 신고한 뒤 메시지를 삭제해 달라”고 당부했다.  한편, 쿠팡은 지난 2일 국회 과학기술정보방송통신위원회 현안질의에서 미온적인 태도를 보여 빈축을 샀다. 과방위는 홈페이지 로그인 비밀번호 변경과 쿠팡페이 결제카드 삭제 및 결제카드 비밀번호 교체를 권고했다.  그러자 박대준 쿠팡 대표이사는 “현재 이야기한 (결제용 카드번호 및 비밀번호) 정보가 노출됐다고 확인된 바는 아직 없다”라며 “과잉해서 안내를 하게 될 경우 불안감을 증폭시킬 수 있다”고 반박했다. 이번 사고를 노출이 아닌 유출로 표현해야 한다는 지적을 묵살하고 사과문도 내렸다.  김승주 고려대 정보보호대학원 교수는 “과거 통신사 개인정보 유출 사태에서도 최악의 경우를 상정해 유심 교체를 진행했다”라며 “전수 조사를 하면 피해가 확산될 수 있기에 최악의 상황을 가정하고 대책을 강구해야 한다”고 지적했다.",https://n.news.naver.com/mnews/article/009/0005601940
