날짜,제목,본문,링크
2025-12-13 23:35:00,"""애들 시험기간마다 먹는 건데""…'이 음료' 8캔씩 마신 남성, 병원 갔다가 결국","[서울경제]  하루 8캔씩 에너지 음료를 마시던 영국의 50대 남성이 뇌졸중으로 쓰러진 뒤 신체 일부 감각을 잃는 등 후유증을 겪게 됐다는 사례가 보고됐다.  영국 일간 가디언에 따르면, 최근 영국의학저널 사례보고(BMJ Case Reports)에 평소 건강하던 50대 남성 A씨가 에너지 음료를 과다 섭취한 뒤 뇌졸중을 앓은 사례가 실렸다.  영국 노팅엄대학병원 의사들이 작성한 이 보고서에 따르면, 하루 평균 8캔의 에너지 음료를 섭취하던 A씨는 감각 인지와 운동을 담당하는 뇌 영역인 시상(視床) 부위에 뇌졸중이 발생했다. 증상은 왼쪽 신체의 힘 빠짐과 감각 저하, 균형·보행·삼킴·말하기 어려움 등이었다.  A씨가 통증을 호소하며 병원을 찾았을 당시 그의 혈압은 254/150mmHg로 극히 높았다. 원인을 찾던 의료진은 그가 하루 평균 8캔의 에너지 음료를 섭취한다는 사실을 확인했다. 각 캔에는 160㎎의 카페인이 들어 있어, 하루 약 1300㎎을 섭취한 셈이었다. 이는 권장 최대치인 400㎎의 3배를 넘는 수준이다.  의사들은 그에게 에너지 음료 섭취를 중단할 것을 권고했고, 이후 혈압은 정상으로 돌아왔다. 그러나 음료를 끊고 나서도 A씨의 왼쪽 신체 감각은 완전히 돌아오지 않았다. A씨는 “8년이 지난 지금도 왼손과 왼발에 감각이 없다”며 “에너지 음료를 마시는 것이 이렇게 위험한지 몰랐다”고 털어놨다.  보고에서 의사들은 “에너지 음료를 과다하게 또는 만성적으로 섭취하면 심혈관질환과 뇌졸증 위험을 증가시킬 수 있다”고 경고했다. 이어 “술과 흡연이 건강에 미치는 악영향에 대해선 꾸준히 홍보되고 있지만, 점차 널리 소비되고 있는 에너지 음료에 대해선 거의 언급되지 않는다”며 “에너지 음료 판매와 광고에 대한 규제를 강화하는 것이 장차 우리의 뇌혈관 및 심혈관 건강에 도움이 될 수 있다고 생각한다”고 덧붙였다.",https://n.news.naver.com/mnews/article/011/0004566956
2025-12-13 23:10:00,"""삼성 신제품, 400만원입니다"" 그래도 팔린다…웃돈 붙은 핸드폰 정체","[서울경제]  삼성전자가 출시한 두 번 접는 형태의 폴더블 스마트폰 '갤럭시 Z 트라이폴드'가 국내 판매 첫날 완판되자, 온라인 중고시장에서 ‘리셀(되팔기) 대란’이 벌어지고 있다.  13일 중고거래 플랫폼 ‘당근’, ‘번개장터’ 등을 보면 갤럭시 Z 트라이폴드 제품 판매 글이 여럿 게시돼 있다. 해당 제품의 출고가는 359만원이지만, 중고시장에서는 400만원 전후로 판매되고 있었다. 420만원짜리 매물도 ‘예약 중’이었다. 출시 첫날에는 1000만원 매물도 나왔던 것으로 전해졌다.    12일 삼성전자는 삼성닷컴과 삼성전자 강남 매장 등 전국 20개 매장에서 갤럭시 Z 트라이폴드 판매를 시작했다. 온라인에서는 판매 개시 5분만에 모든 제품이 팔렸다. 매장에서도 준비된 물량이 개점 직후 모두 판매됐다. 영하권 날씨에도 삼성 강남, 홍대 등 주요 매장 앞에는 수십 명 대기 줄이 늘어서는 진풍경이 펼쳐졌다.  트라이폴드는 기존 양면 접이식 '폴드' 시리즈에서 한 단계 진화한 모델로, 화면을 두 번 접을 수 있는 구조로 설계됐다. 완전히 펼치면 253㎜(10인치) 대화면이, 접으면 폴드7과 동일한 164.8㎜(6.5인치) 바 타입 화면이 된다. 접었을 때 두께는 12.9㎜, 펼쳤을 때 가장 얇은 부분은 3.9㎜로 폴드 시리즈 중 가장 얇다.    이 제품은 통신사 연계가 아닌 완전 자급제로만 판매된다. 판매처도 전국 20개 매장과 삼성닷컴으로 한정돼 희소성이 높은 상황이다. 추가 물량은 다음 주 중 입고될 것으로 추정된다.",https://n.news.naver.com/mnews/article/011/0004566955
2025-12-13 22:34:00,'농사짓는 척' 10억어치 대마 키워…직접 말리고 피기까지 한 두 남성의 최후,[서울경제]  강원도 깊은 산속에 지어진 비닐하우스에서 평범한 농작물처럼 위장해 수년간 대마를 키워온 남성 2명이 결국 구속됐다.  서울경찰청 광역수사단 마약범죄수사대는 마약류관리법 위반 혐의로 60대 A씨와 50대 B씨를 체포해 최근 검찰에 송치했다고 11일 밝혔다. 이들은 차량과 주거지 등에서 시가 약 9억 4500만 원 규모의 대마 6.3kg을 보관해온 것으로 파악됐다.  조사 결과 A씨는 지난 10월 29일 춘천시 외곽 산지에 설치한 비닐하우스에서 재배한 대마 1.7kg을 인근 도로에서 B씨에게 넘긴 것으로 드러났다. 그 외에도 차량과 집에 4.6kg의 대마를 따로 숨겨두고 있었다. B씨는 전달받은 대마를 판매하려고 자신의 차량에 실어두고 있었던 것으로 확인됐다.  A씨는 주변 주민의 눈길과 단속을 피하기 위해 약 231㎡ 규모의 비닐하우스를 외딴 산속에 세운 뒤 그 안에서 대마를 기르고 건조까지 한 것으로 밝혀졌다. 해당 비닐하우스는 춘천 시내에서 차로 약 1시간 20분을 더 들어가야 하는 춘천·양구 경계 지역 깊숙한 곳에 위치해 있었다.  경찰은 ‘대량 대마 유통’ 첩보를 입수한 뒤 10월 28일 B씨와의 샘플 거래를 통해 실제 대마를 확보하고 본격 수사에 착수했다. 이어 대마 구매를 가장한 함정수사로 춘천의 한 주차장에서 B씨를 긴급 체포했고 공급처를 추적해 결국 산속 비닐하우스에서 A씨까지 검거했다.  비닐하우스를 수색한 경찰은 높이 3m에 달하는 대마 1그루와 이미 재배해 수확한 뒤 건조 중이던 대마를 다수 발견했다. 두 사람은 이곳에서 기른 대마를 직접 말려 흡연까지 한 것으로 전해졌다.  경찰 관계자는 “마약류 집중 단속 체계를 강화해 필로폰 등 향정신성의약품뿐 아니라 대마 유통 사범에 대해서도 강력한 단속을 이어가겠다”고 밝혔다.,https://n.news.naver.com/mnews/article/011/0004566953
2025-12-13 22:34:00,요즘 개고기 대신 '이 음식' 찾는 사람 많다던데…식약처에 딱 걸렸다,"[서울경제]  개고기 식용 금지 이후 염소고기에 대한 관심이 높아지는 가운데, 위생 관련 영업자 준수사항 및 건강진단을 미실시한 염소고기 가공업체 등 9곳이 적발됐다.  식품의약품안전처는 염소 관련 제품을 생산하는 업체를 대상으로 지난달 10일부터 28일까지 17개 지방자치단체와 함께 특별 점검을 실시한 결과 '축산물 위생관리법', '식품위생법' 등을 위반한 9곳을 적발해 관할 관청에 행정처분 등 조치를 요청했다고 12일 밝혔다.  식약처는 보양식 시장에서 염소고기에 대한 소비자의 관심이 높아질 것으로 예상됨에 따라 선제적 안전관리를 위해 건강원 등 총 1035곳을 대상으로 집중 점검했다.  주요 위반 내용은 △종업원 위생복, 위생모 미착용 등 영업자 준수사항 위반(3곳) △소비기한 미표시 등 표시기준 위반(2곳) △건강진단 미실시(2곳) △자가품질검사 일부 미실시(1곳) △품목제조보고 변경보고 미실시(1곳)다.  식약처 관계자는 ""앞으로도 염소 관련 제품의 소비 증가에 대비해 안전관리를 지속적으로 강화하고 안전한 먹거리 환경을 조성하기 위해 최선을 다할 계획""이라고 말했다.    식약처는 축산물 위생관리법 위반사항에 대해 신고 또는 고발하거나 검거에 협조한 사람에게 포상금을 지급하는 제도를 운영하고 있다. 불량식품 신고전화 1399나, 식품안전정보 필수앱 '내손안' 앱을 이용해 신고 가능하다.",https://n.news.naver.com/mnews/article/011/0004566952
2025-12-13 22:26:00,"수원시, 블랙아이스 우려에 도로에 제설제 살포","[서울경제]  13일 오후 경기 남부지역에 비와 함께 눈발이 날리면서 블랙아이스(도로결빙) 우려가 커지자 수원시가 도로에 제설제를 살포했다.  수원시는 이날 오후 7시부터 9시까지 제설 장비 111대, 인력 241명을 투입해 관내 도로에 제설제 총 302t을 살포했다. 이날 오후 9시 기준 수원 지역 적설량은 0.5㎝이다.  수원시는 이후에도 도로상황을 살핀 뒤 14일 0시 이후 제설제 추가 살포를 검토할 예정이다.  수원시는 폭설 시 신속한 차량 우회·통제가 이뤄지도록 경찰과 협의를 완료했고, 고가차도 등 제설 취약 구간에는 제설제 살포 횟수를 늘렸다. 또한 결빙·정체 구간이 발생해 제설차 진입이 어려워지면 경찰과 협조해 역방향으로 진입하기로 했다.  지자체 경계 도로에서도 신속하게 제설 작업이 이뤄질 수 있도록, 인근 지자체에 제설 협조 공문을 보내고, 제설 작업 구간을 협의했다.  수원시 관계자는 “시민들이 불편을 겪지 않도록, 신속하게 제설 작업을 하겠다”며 “시민들께서는 내 집·점포 앞 눈 쓸기에 적극적으로 동참해 주시길 바란다”고 부탁했다.",https://n.news.naver.com/mnews/article/011/0004566951
2025-12-13 22:22:00,"일론 머스크 제대로 일내나…""스페이스X 기업가치 8000억 달러"" 평가","[서울경제]  내년 상장 예정인 우주기업 스페이스X의 현재 기업 가치가 1200조원에 육박하는 수준으로 평가됐다.  13일(현시지간) 로이터 통신에 따르면 일론 머스크가 이끄는 스페이스X의 최고재무책임자(CFO) 브렛 존슨은 12일 주주들에게 보낸 서한에서 신규·기존 투자자와 회사 측이 내부 주주로부터 주당 421달러의 가격에 최대 25억6000만달러 규모 주식을 사는 방안을 승인했다고 밝혔다.  로이터 통신은 이를 토대로 현재 스페이스X의 기업 가치를 추산하면 8000억달러(1182조원)에 달하게 된다고 전했다.  존슨 CFO는 이번 주주 서한에서 내년 스페이스X가 상장을 추진하고 있다는 사실을 확인하면서 기업공개(IPO)를 통해 확보할 자금의 개략적인 활용 방향도 언급했다.  그는 ""2026년에 이뤄질 가능성이 있는 IPO를 준비하고 있다""며 ""(상장이) 실제 이뤄질지, 시기가 언제일지, 기업가치가 얼마나 될지는 여전히 매우 불확실하지만, 훌륭히 실행해내고 시장 여건도 맞는다면 상장을 통해 상당한 자금을 마련할 수 있을 것으로 판단한다""고 설명했다.  존슨 CFO는 상장을 통해 마련할 자금을 스타십 우주선 발사 확대, 우주 내 인공지능(AI) 데이터센터 구축, 달기지 '알파' 건설, 유무인 화성 탐사에 투입하게 될 것이라고 덧붙였다.  최근 블룸버그·로이터 통신 등 외신은 스페이스X가 내년 최대 1조5000억달러(약 2216조원)의 기업가치로 상장을 해 300억달러(약 44조3천억원) 이상의 자금을 조달할 계획이라고 보도한 바 있다.",https://n.news.naver.com/mnews/article/011/0004566950
2025-12-13 21:46:00,"일요일도 전국 눈·비 계속…기상청 ""최신 기상정보 참고"" 당부","[서울경제]  일요일인 14일에도 전국에 눈이나 비가 내리겠다. 눈비는 대부분 지역에서 오후에 그치겠으나 전라권 서부와 제주에서는 밤까지 이어지는 곳이 있겠다.  기상청은 비와 눈은 같은 시·군·구 내에서도 고도별 강수 형태가 달라지고 적설의 차이가 매우 크겠으니 최신 기상정보를 참고할 것을 당부했다.  예상 적설량은 서해 5도·충청권·전북 내륙 1∼5㎝, 제주 3∼8㎝ 등이다. 나머지 지역에는 1㎝ 안팎의 눈이 내리겠다. 비는 울릉도·독도와 제주 5∼10㎜, 전라권·서해 5도 5㎜ 안팎, 충북 중·남부 1㎜ 등이다.  아침 최저기온은 -6∼4도, 낮 최고기온은 1∼10도로 예보됐다.  바다에서는 충남 서해안, 전라 해안, 제주도 해안에서 바람이 시속 70㎞ 이상으로 강하게 불며 강풍 특보가 발표될 가능성이 있겠다. 미세먼지는 전 권역에서 '좋음'~'보통' 수준을 보일 것으로 예상된다.",https://n.news.naver.com/mnews/article/011/0004566948
2025-12-13 21:39:00,"대출 이자 0.2%P 낮아질까…은행, 대출금리 각종 비용 '반영 금지'","[서울경제]  내년 6월께부터 시중은행이 대출금리에 지급준비금, 예금자보험료 등 법적 비용 반영이 금지된다. 금융당국은 가산금리에서 출연금 등이 빠지면 금리가 0.2%포인트가량 낮아질 수 있다고 추정하고 있다.  13일 국회는 본회의를 열고 야당이 참석하지 않은 가운데 재석 171명 중 찬성 170명, 반대 1명으로 은행법 개정안을 가결했다.  현재 은행은 대출금리 산출 시 은행연합회 자율규제에 따라 가산금리에 신용보증기금·기술보증기금 등의 출연금을 법적 비용 항목으로 반영하고 있다.  이재명 대통령은 대선 후보 시절 가산금리 산정 시 법정 비용이 금융 소비자에게 전가되는 것은 부당하다며 은행법 개정을 약속했고 이날 은행법 개정안이 국회 본회의를 통과했다.  이번 은행법 개정으로 은행들은 지급준비금, 예금자보험료, 서민금융진흥원을 비롯한 각종 보증기금 출연금을 반영하는 것이 금지된다. 다만 출연금은 해당 법률에 따른 출연요율의 50% 이하의 범위에서 대통령령으로 정하는 비율 미만까지 대출금리에 반영할 수 있다.  각종 출연금 외에도 최근 국회를 통과한 ‘교육세법’ 개정안에 따라 금융·보험업자에 대한 교육세율 인상분도 대출금리 반영이 금지된다.  또 은행들은 법적 비용 반영금지 준수 여부를 연 2회 이상 점검해 기록·관리하고 해당 내용을 내부통제 기준에 반영해야 한다. 의무를 다하지 않을 경우 금융당국으로부터 영업정지·면직 등 행정제재를 받을 수 있다.  은행법 개정안은 공포 6개월 후 시행된다. 금융위원회는 “하위법령 마련, 은행권 전산 개발 등 법 시행에 차질이 없도록 준비할 계획”이라며 “법 시행 이후에는 금융감독원과 함께 은행권의 대출금리 법적 비용 반영금지 준수 여부를 지속 점검해 나가겠다”고 밝혔다.",https://n.news.naver.com/mnews/article/011/0004566947
2025-12-13 21:31:00,"""○동 ○호는 임대라네요""…강남 아파트 단톡방서 공유된 '배치표'의 민낯","[서울경제]  서울 강남권의 한 대단지 아파트 입주를 앞두고 입주민 단체 채팅방과 지역 커뮤니티에서 ‘임대 세대 좌표 찍기’가 무분별하게 퍼지고 있다. 서울시가 2021년부터 소셜믹스(분양·임대 혼합 배치)를 의무화했지만 임대 세대를 향한 편견이 좀처럼 사라지지 않는 분위기다.  13일 부동산 업계에 따르면 서울시는 2021년부터 단지 안에 임대주택을 골고루 섞어 배치하도록 규정하고 있다. 과거처럼 임대동을 따로 두거나 커뮤니티 시설 이용을 제한하는 방식이 차별을 조장한다는 지적이 이어지자 동·층별로 임대를 분산하는 방향으로 정책을 바꾼 것이다.  하지만 현실에서는 이를 무력화하려는 움직임이 적지 않다. 최근 송파구 신천동 ‘잠실르엘’ 단지의 동·호수 배치표가 온라인 커뮤니티와 카카오톡 단톡방 등을 중심으로 빠르게 회람되면서 논란이 커졌다. 해당 배치표에는 조합원·임대·분양·보류지 등이 색상으로 구분돼 있어 사실상 임대 세대를 특정할 수 있기 때문이다.  배치표 공개 자체는 불법이 아니지만 이를 근거로 ‘이 동은 임대가 많다’, ‘고층에 임대 넣은 건 분양가 주민을 우롱하는 것’ 같은 글이 잇따르고 있다. 입주도 시작되기 전에 임대 세대에 대한 조롱과 낙인이 찍히는 분위기가 형성된 셈이다.  내년 1월 입주 예정인 잠실르엘은 총 1865가구 중 198가구가 임대로 공급된다. 이 가운데 일부는 서울시 신혼부부용 공공임대 ‘미리내집’으로 배정돼 이달 입주자를 모집 중이다. 전용 59㎡ 전세금이 8억 4240만 원 수준으로 시세 대비 약 30% 싸지만 결코 쉽게 접근할 수 있는 금액은 아니다.  그럼에도 일부 단톡방에서는 “민도 떨어진다”, “프리미엄 단지의 품격이 무너진다”는 주장까지 나온다. 고가 단지일수록 생활 수준, 커뮤니티 정체성 등을 이유로 균질성을 강조하며 임대 세대 유입을 불편해하는 움직임이 강하게 나타난다는 지적도 나온다.  이런 인식은 재건축 현장에서도 반복되고 있다. 지난 5월 잠실주공5단지에서는 ‘한강뷰 임대주택’ 배치가 논란이 되며 정비사업 통합심의위원회가 “소셜믹스 원칙에 맞지 않는다”며 사업 심의를 보류하기도 했다. 조합이 저층·비선호 동에 임대를 몰아넣으려 하자 제동이 걸린 것이다. 이후 조합은 배치를 수정했으나 일부 조합원들은 “재산권을 과도하게 침해한다”며 반발을 이어갔다.  용산구 이촌동 ‘한강맨션’도 비슷한 갈등을 겪었다. 조합장이 ‘전 조합원 한강뷰’를 약속했지만 심의 과정에서 서울시로 기부채납되는 전용 59㎡ 16가구가 한강변 라인에 배치되면서 조합원 조정 배치가 뒤바뀌었고 결국 조합장이 해임되는 사태로 번졌다. 기부채납 물량은 향후 공공임대로 활용될 전망이다.",https://n.news.naver.com/mnews/article/011/0004566946
2025-12-13 20:53:00,"중국군, 일본군 '해골 목' 베는 포스터 공개 ""피바다 같은 원한""","[서울경제]  중국군이 13일 일본 군을 겨냥해 “더러운 머리를 단호히 잘라라”는 문구 등 강경한 표현이 담긴 포스터를 공개했다.  중국 인민해방군 동부전구는 이날 위챗 공식 계정에 큰 칼로 제사를 지낸다는 ‘대도제(大刀祭)’라는 제목의 포스터를 게시했다.  포스터는 일본군 모자를 쓴 해골의 머리를 큰 칼로 베어내는 장면이 그려졌다. 동시에 일본군의 난징대학살이 벌어졌던 1937년 12월 13일부터 다음해 1월까지 30만명이 희생된 사실을 추모하는 추모비도 삽입됐다.  동부전구는 게시물에서 “88년이 지났지만 영령들의 피는 아직 마르지 않았고, 군국주의 유령이 다시 고개를 들고 있다”며 “항상 피로 제사 지낸 큰 칼을 높이 들고, 더럽고 추악한 머리를 단호히 잘라 군국주의의 재등장을 절대 허용해서는 안 된다”고 말했다. 또 “역사의 비극이 되풀이되는 것을 절대 용납해서는 안 된다”고 적시했다.  포스터에는 '대도제;라는 제목의 칠언절구 시도 함께 올라왔다. 중국군은 “동쪽 왜(일본)가 화를 끼친 지 거의 1000년, 피바다 같은 깊은 원한이 지금도 눈앞에 선하다”며 “의리도 없고 힘만 숭배하는 사악한 마음으로 다투니, 긴 칼이 향하는 곳마다 전란의 연기를 평정하리라”는 내용이 담겼다.  한편 다카이치 사나에 일본 총리의 “대만 유사시 개입” 발언 이후 중국과 일본의 갈등은 악화일로로 치닫고 있다. 요미우리신문은 지난 9일 중국과 러시아 폭격기가 지난 9일 일본 오키나와현 섬들 사이를 지나 시코쿠 남쪽까지 비행했을 당시 이동 경로를 연장하면 도쿄까지 이어지는 것으로 확인됐다고 13일 보도했다.",https://n.news.naver.com/mnews/article/011/0004566945
