날짜,제목,본문,링크
2025-12-11 23:42:00,"디즈니, 오픈AI에 10억달러 투자...엔터·AI 결합 가속","【 파이낸셜뉴스 뉴욕=이병철 특파원】 월트디즈니가 오픈AI에 10억달러(약 1조 50000억원)를 투자하며 생성형 인공지능(AI) 분야 협력을 전격 확대한다. 디즈니는 오픈AI의 대표 서비스인 챗GPT와 영상 생성 모델 '소라(Sora)'에 마블·픽사·스타워즈 등 200개 이상의 캐릭터를 공식 제공하기로 했다.  11일(현지시간) 양사는 3년간의 전략적 제휴를 체결하고 디즈니가 오픈AI 지분을 확보하는 동시에 향후 추가 지분을 살 수 있는 권리도 부여받는다. 오픈AI는 현재 기업가치가 약 5000억 달러로 평가된다.  밥 아이거 디즈니 최고경영자(CEO)는 ""AI의 빠른 발전은 미디어 산업의 중요한 변곡점""이라며 ""이번 협업을 통해 디즈니의 스토리텔링을 책임감 있게 확장하겠다""고 말했다.  이번 계약은 AI 기업과 글로벌 미디어그룹 간 체결된 협력 중 최대 규모다. 오픈AI는 최근 뉴스, 콘텐츠 기업들의 저작권 데이터를 모델 학습에 사용했다는 이유로 소송에 직면해 있다. 다만 디즈니는 자사 지식재산권(IP)을 오픈AI 모델 학습에 사용하는 것은 이번 합의에서 명확히 제외했다.  발표 직후 프리마켓에서 디즈니 주가는 0.4% 상승했다. 올해 들어 디즈니 주가는 약 2.3% 하락한 상태로, 현재 시가총액은 약 1950억달러다.",https://n.news.naver.com/mnews/article/014/0005447943
2025-12-11 21:47:00,부산 개금동 '선명한의원' 사상구장애인복지관에 후원금 전달,"[파이낸셜뉴스] 부산 개금동에 있는 선명한의원(대표원장 하봉수)이 10일 독거노인과 장애인들을 위한 김장나눔 행사에 사용될 후원금 100만원을 사상구장애인복지관에 전달했다.  하봉수 대표원장은 후원금 전달식에서 ""저희의 작은 손길이 지역사회와 함께하는 마음으로 꾸준히 이어질 수 있도록 노력하겠다""며 ""어려운 이웃들이 따뜻하고 든든한 겨울을 보내는 데 조금이나마 도움이 되기를 바란다""고 말했다.  이어 ""앞으로도 환자 한분 한분의 건강을 살피는 진료 뿐 아니라 지역사회 건강과 행복 증진에도 지속적으로 기여하겠다""고 마음도 전했다.",https://n.news.naver.com/mnews/article/014/0005447942
2025-12-11 21:21:00,"메인비즈협회 부울경연합회, 해운대서 '경영혁신인의 밤' 행사","[파이낸셜뉴스] 한국경영혁신중소기업협회(메인비즈협회) 부산울산경남연합회(회장 김종호)는 올 한해를 마무리하고 새해를 힘차게 열기 위한 '경영혁신인의 밤' 행사를 11일 오후 5시 해운대 '웨스틴 조선 부산' 1층 그랜드볼룸에서 회원 기업인과 유관기관 관계자 등 200여명이 참석한 가운데 다채롭게 열었다고 밝혔다.  임현정 아나운서(마음스피치코칭센터 대표) 사회로 진행된 이날 행사는 김종호 부산울산경남연합회 회장 인사말과 정희주 신용보증기금 부산경남영업본부장 축사, 김명진 메인비즈협회 회장 격려사 등의 순으로 개최됐다.  경영혁신유공자 시상식에서는 서륭기계(주) 조형래 대표와 (주)코스코 최하영 대표가 경남도지사 표창을 받는 영예를 안았다. (주)보성기업 황종길 대표와 (주)엘씨씨 이창희 대표는 부산지방중소벤처기업청장 표창 주인공이 됐다.  (주)파나 김시영 대표와 (주)팀아이원 강경석 대표에게는 경남지방중소벤처기업청장 표창이 주어졌고, (주)KD엔지니어링 배종후 대표와 (주)제일종합상사 안장희 대표에게는 울산지방중소벤처기업청장 표창이 수여됐다.  김명진 메인비즈협회장이 수여한 표창은 1급세일정비공업사 김형길 대표에게 주어졌다. 김종호 메인비즈 부산울산경남연합회장 표창은 대연스틸(주) 이정대 대표와 (주)솔트조이 조영희 대표가 받았다. 신용보증기금 조성웅 김해지점장에게는 아름다운 동행상이 수여됐다.    이어진 2부 행사는 만찬과 함께 목관 5중주, 하모니 G공연 프로그램 등으로 다채롭게 펼쳐져 올 한해 혁신경영에 힘을 쏟아온 메인비즈협회 회원 기업인들에게 모처럼의 즐거움을 선사했다.",https://n.news.naver.com/mnews/article/014/0005447941
2025-12-11 21:20:00,현대차 R&D 수장에 만프레드 하러 부사장 유력,"현대자동차그룹이 정기 임원인사를 앞둔 가운데 현대차·기아 완성차 연구개발(R&D)본부장(사장)을 교체한다.  만프레드 하러 현대차 연구개발본부 차량개발담당 부사장(사진)이 내정된 것으로, 사장급인 송창현 전 첨단차플랫폼(AVP) 본부장에 이어 양희원 R&D 본부장까지 물러나게 되면서 현대차그룹의 R&D 리더십 쇄신 강도 또한 높아질 전망이다.  11일 업계에 따르면 현대차는 이르면 다음 주에 이 같은 내용을 포함한 정기 임원인사를 단행할 계획이다.  정기 임원인사 중 연구개발 조직의 변화가 크다는 전망이 우세하다.  송창현 전 사장의 사퇴와 별개로 양희원 현 연구개발본부장이 용퇴하고, 하러 부사장이 승진해 연구개발본부장으로 이동할 전망이다. 현대차 R&D본부장은 남양연구소 수장으로 신차 개발과 선행 기술 연구 등을 총괄하게 된다.  최근 들어 부각된 테슬라의 감독형 자율주행(FSD)기술로 현대차·기아의 자율주행 기술이 상대적으로 부진한 것으로 드러나면서, 이번 정기 임원인사에선 전반적으로 R&D 리더십 교체에 무게가 집중될 것이란 분석이다.  약 25년간 독일 아우디·BMW·포르쉐 등에서 섀시와 전장, 소프트웨어 개발 등을 이끈 하러 부사장은 현대차에 합류하기 전 애플에서 시니어 디렉터로 애플카 프로젝트를 총괄했다.  이번 승진 인사 이후 하러 부사장은 향후 전동화 외에도 소프트웨어 중심 자동차(SDV) 전환 등에 주력할 것으로 보인다. 하러 부사장이 사장으로 승진하면 루크 동커볼케 사장, 호세 무뇨스 대표이사 사장 등에 이어 현대차의 다섯번째 외국인 사장이 된다.",https://n.news.naver.com/mnews/article/014/0005447940
2025-12-11 20:59:00,광주대표도서관 붕괴사고 매몰자 추가 수습...사망 2명·실종 2명,[파이낸셜뉴스] 광주광역시 서구 광주대표도서관 건립 현장에서 발생한 붕괴 사고 인명피해가 사망 2명으로 늘었다.  11일 소방당국에 따르면 이날 오후 8시 13분께 사고 현장에서 이번 사고 매몰자 4명 중 두 번째로 발견된 남성을 구조했다.  이 남성은 소방대가 오후 2시 53분께 하반신을 발견했지만 생존 반응을 보이지 않아 현장에서 사망 판정을 받았다.  앞서 이날 오후 2시 52분께 첫 번째로 구조됐던 47세 남성은 병원으로 옮겨졌으나 사망했다.  이로써 이번 사고 인명 피해는 오후 8시 10분 기준 사망 2명·실종 2명으로 집계됐다.  소방당국은 수색 작업을 철야로 전환해 나머지 매몰자 2명의 위치를 파악할 예정이다.  한편 이날 오후 1시 58분께 광주 서구 치평동 옛 상무소각장 부지의 광주대표도서관 공사 현장에서 철제 구조물이 붕괴했다. 이로 인해 작업하고 있던 4명이 구조물 아래로 매몰됐다. 이들은 하청업체 소속 미장공·철근공·배관공으로 모두 내국인이다. 건축물 구조안전진단 분야 전문가들은 이번 사고가 철제 구조물 접합 시공 불량에 의해 발생한 것으로 추정하고 있다.,https://n.news.naver.com/mnews/article/014/0005447939
2025-12-11 20:36:00,"[속보] 소방당국 ""광주대표도서관 2번째 매몰자 구조…남은 인원 2명""",[파이낸셜뉴스],https://n.news.naver.com/mnews/article/014/0005447938
2025-12-11 20:36:00,"윤호중 행안부 장관 ""대표도서관 붕괴 사고 총력 대응""","[파이낸셜뉴스] 윤호중 행정안전부 장관은 11일 광주광역시 서구 대표도서관 건립 현장에서 발생한 붕괴 사고와 관련해 관계기관에 총력 대응을 지시했다.  윤 장관은 사고 직후 소방청, 경찰청, 광주광역시 등 관계기관에 가용인력과 장비를 총동원해 인명구조에 최선을 다해줄 것을 긴급 지시했다.  또한 윤 장관은 야간 수색과 구조 작업이 불가피한 만큼 야간 구조 인력의 안전 확보에 각별히 유의해 달라고 당부했다. 이에 조명·크레인·난방기구 등 필요한 장비를 최대한 신속히 투입하도록 했다.  행안부는 사회재난실장을 현장에 급파해 고용노동부, 소방청, 광주시 등과 협력해 사고 수습을 지원하고 있다.",https://n.news.naver.com/mnews/article/014/0005447937
2025-12-11 20:32:00,"현대차, R&D 수장 교체로 쇄신..만프레드 하러 유력","[파이낸셜뉴스] 현대차그룹이 정기 임원인사를 앞둔 가운데, 현대차·기아 완성차 연구개발(R&D) 본부장(사장)을 교체한다.  만프레드 하러 현대차 연구개발본부 차량개발담당 부사장이 내정된 것으로, 사장급인 송창현 전 첨단차플랫폼(AVP) 본부장에 이어 양희원 R&D 본부장까지 물러나게 되면서 현대차그룹의 R&D 리더십 쇄신 강도 또한 높아질 전망이다.  11일 업계에 따르면 현대차는 이르면 다음주에 이같은 내용을 포함한 정기 임원 인사를 단행할 계획이다.  정기 임원 인사 중 연구개발조직 변화가 크다는 전망이 우세하다.  송창현 전 사장의 사퇴와 별개로 양희원 현 연구개발본부장이 용퇴하고, 하러 부사장이 승진해 연구개발본부장으로 이동할 전망이다. 현대차 R&D본부장은 남양연구소 수장으로 신차 개발과 선행 기술 연구 등을 총괄하게 된다.  최근 들어 부각된 테슬라의 감독형 자율주행(FSD)기술로 현대차·기아의 자율주행 기술이 상대적으로 부진한 것으로 드러나면서, 이번 정기 임원인사에선 전반적으로 R&D 리더십 교체에 무게가 집중될 것이란 분석이다.  약 25년간 독일 아우디·BMW·포르쉐 등에서 섀시와 전장, 소프트웨어 개발 등을 이끈 하러 부사장은 현대차에 합류하기 전 애플에서 시니어 디렉터로 애플카 프로젝트를 총괄했다.  현대차에 합류한 뒤에는 제네시스 모든 차종을 비롯해 GV60 마그마 등 제네시스 고성능 라인업 개발을 총괄하고 현대 N브랜드 등 고성능 차량 개발을 이끌면서, 하러 부사장의 사장 승진은 일찌감치 예상됐었다.  이번 승진 인사 이후 하러 부사장은 향후 전동화 외에도 소프트웨어 중심 자동차(SDV) 전환 등에 주력할 것으로 보인다.  하러 부사장이 사장으로 승진하면 루크 동커볼케 사장, 호세 무뇨스 대표이사 사장 등에 이어 현대차의 다섯번째 외국인 사장이 된다.  송창현 전 사장의 사퇴로 공석인 AVP 본부장은 여전히 확정되지 않은 것으로 알려졌다. 현대차그룹은 오는 18일 전후로 사장단 인사를 단행할 것으로 알려졌다.",https://n.news.naver.com/mnews/article/014/0005447936
2025-12-11 20:30:00,"샤이니 온유, 박나래 '주사 이모' 의혹 입 열었다[공식]","[파이낸셜뉴스] 그룹 샤이니의 온유가 방송인 박나래와 함께 이른바 ‘주사 이모’로 불리는 인물에게 불법 의료 시술을 받았다는 의혹에 대해 공식 입장을 내놓았다.  소속사 그리핀엔터테인먼트는 11일 “소속 아티스트 온유와 A씨 사이의 연관성에 대한 사실관계를 명확히 밝히고자 한다”며 공식 입장을 발표했다.  소속사에 따르면 온유는 2022년 4월, 지인의 추천을 통해 A씨가 근무하던 서울 강남구 신사동의 한 병원을 처음 방문했다. 소속사는 “당시 병원의 규모와 상황을 고려할 때, 현재 온라인에서 제기되고 있는 의료 면허 관련 논란을 인지하기 어려운 환경이었다”며 “온유의 방문 목적은 피부 관리였고, 온라인에서 화제가 된 사인 CD 역시 단순히 진료에 대한 감사의 뜻으로 전달된 것일 뿐”이라고 설명했다.  앞서 정재형 또한 ""A씨와 일면식조차 없다""며 관련 의혹을 부인한 바 있다.  반면 ‘나 혼자 산다’에 출연 중인 샤이니 키도 A씨와의 연루설이 제기됐으나, 아직 공식 입장은 나오지 않았다. 이에 프로그램 일부 팬들은 이날 키에게 “가능하다면 연말 MBC 방송연예대상 무대에 오르기 전에, 시청자와 팬이 가장 먼저 들을 수 있는 방식으로 솔직한 입장을 밝혀달라”고 요청하기도 했다.  한편 김성근 대한의사협회 대변인은 이날 “‘주사 이모’ 사안과 관련해 정부에 강력한 제재와 재발 방지 대책을 마련해 달라는 공문을 발송했다”고 전했다.",https://n.news.naver.com/mnews/article/014/0005447935
2025-12-11 19:42:00,"산림청, ""내년엔 '국민안전·국민행복·산림산업 혁신' 주력""","[파이낸셜뉴스] 산림청이 산림재난으로부터 국민의 생명과 재산을 지키고, 산림을 국민 삶의 질 향상을 위한 핵심 자산으로 육성하는데 내년 산림정책의 초점을 맞춘다.  산림청은 11일 ‘사람을 살리는 숲, 숲을 살리는 국민’ 실현을 위한 내년 중점 추진과제를 11일 발표했다.  산림청이 밝힌 중점 추진 과제에 따르면 우선 선제적·압도적 산불 대응으로 ‘국민안전 수호’에 나선다. 산불이 발생하면 기관 구분 없이 군헬기 등 모든 국가 진화자원을 즉시 투입해 조속히 초동진화한다. 지방정부에 지휘권이 있는 산불 초기 단계에도 대형산불 확산이 우려될 경우에는 산림청장이 신속히 개입한다. 산림청에 책임과 권한을 부여해 국민안전을 위한 국가의 무한책임을 강화한다.  산불 발생을 원천 차단하기 위한 예방 정책도 확대한다. 농산촌 산불의 주요 원인인 영농부산물 소각 근절을 위해 농번기에 집중된 영농부산물 파쇄 지원 기간을 가을철 수확기 이후부터로 연장한다. 산불로 인한 인명과 재산 피해를 예방하기 위해 산림과 가까운 민가 주변에 올해보다 6배 증가한 120곳의 산불 안전공간을 조성한다. 산불 예방 문화가 자리잡도록 ‘산불조심 주간’을 운영하고 산불 예방 캠페인, 안전산행 챌린지, 부처 합동 산림 인접 인화물질 제거 등도 지속적으로 추진한다.  아울러 산림청은 산림의 사회적 역할 강화로 ‘국민행복 증진’에도 나선다.  자살 예방, 우울증 완화 등 국민 건강 증진과 사회문제 해결에 산림을 적극 활용한다. 자살 고위험군, 잠재적 위험군 등 대상별로 산림치유 프로그램을 제공한다. 범정부 자살예방추진본부와는 부처 협업형 산림치유 사업을 발굴해 확산할 계획이다.  국민 모두가 산림복지서비스의 혜택을 누릴 수 있도록 무장애 나눔길과 특수학급 맞춤형 숲교육 프로그램을 확대하는 등 사회적 약자를 위한 정책을 강화한다. 지역 불균형과 해소를 위해서 산림치유원과 자연휴양림 등도 확충한다.  지역소멸에 대응하기 위해 동서트레일, 국가정원 등 주요 산림복지 인프라와 농산촌 숙박,외식,체험 등을 연계한다. 국유림 명품숲을 활용한 지역 관광과 국유 임산물 무상양여 등 국유림과 지역주민 간 상생도 강화할 계획이다.  산림청은 이와 함께 과학과 소통에 기반한 ‘산림산업 혁신’도 추진한다.  산림사업의 효과와 재난 안전성을 과학적으로 검증하고, 주요 산림사업의 품질을 제고한다. 극한기상에 대비해 견고한 임도를 확충하고, 침엽수와 활엽수가 공존하는 혼합림 조성을 확대한다. 생활권 주변에서 목재를 수확할 때는 위험도 평가를 의무화하여 재난으로 인한 우려가 없도록 한다.  산림정책은 투명성을 높이고, 산림사업은 경쟁체계를 정착시킨다. 산림조합의 기능을 산림사업 시공에서 관리 중심으로 전환해 민간 산림사업법인들의 참여기회를 늘린다. 우수한 민간 사업체를 육성하기 위해 시공능력 평가제도 도입할 계획이다. 산림사업 비용 현실화와 사후관리 강화 등 사업 품질 제고를 위한 정책 또한 확대한다.  산림사업장의 안전관리도 강화한다. 안전 관련 법령 위반에는 효과적 제재수단을 마련하고, 현장 관리 거버넌스를 구축한다. 임업직불제 개선 등을 통해 임업 현장의 경영여건을 개선하고, 청년 임업인 육성을 위한 교육과 창업지원 등 맞춤형 정책도 확대할 계획이다.  중점 추진과제의 성공적 이행을 위한 정책적 기반 구축에도 힘쓴다. 현장 임업인, 국유림관리소, 지방정부 등 산림정책 최전선의 의견을 반영한 ‘지역기반의 보텀 업(Bottom-up) 산림관리 체계’를 구축하고 소통을 강화한다.  김인호 산림청장은 “산림재난 인명피해 제로화와 현장 임업 지원 확대, 산림사업 안전사고 최소화 및 산림활용 국민행복 극대화를 달성하겠다”며 “소통에 기반한 집단지성의 힘을 한데 모아 국민과 함께 ‘사람을 살리는 숲’을 만들어 가겠다”고 말했다.",https://n.news.naver.com/mnews/article/014/0005447934
2025-12-11 19:39:00,내년 K푸드 수출 150억달러 연다...식량자급률 2030년 '55.5%+α',"[파이낸셜뉴스]농림축산식품부가 내년부터는 식량안보 강화·유통구조 개혁·K-푸드+ 글로벌 전략·스마트농업 확산·청년농 인재 육성을 중심축으로 구조적 전환에 나선다는 계획을 내놨다.  이날 농식품부는 '국민과 함께하는 농업, 희망을 실현하는 농촌'을 비전으로 한 내년도 농정 중점과제 및 개혁 패키지를 공식 발표했다.  이재명 대통령 주재로 열린 '2025년 업무보고'에서 발표된 이번 계획은 5대 중점과제와 3대 개혁·쟁점과제로 구성됐다. 5대 중점과제는 △국민 먹거리를 지키는 국가전략산업으로 농업 육성 △K푸드+ 글로벌 진출 확대 및 농업·농촌의 스마트화 △국가 책임을 강화하는 농정 대전환과 청년 농업인재 양성 △국가균형성장에 기여하는 삶터, 일터, 쉼터로서 농촌 구현 △사람과 동물이 더불어 행복한 사회 조성 등이다. 3대 개혁은 △농협 개혁 △농지제도 개선 △농촌 재생에너지 확산 등이다.  식량안보 국가전략화…국민 먹거리 돌봄 확대 농식품부는 내년 '식량안보법' 제정을 검토하고 식량안보체계를 확립한다. 식량자급률 목표를 2030년 '55.5%+α'로 상향하고 목표 달성을 위한 식량안보 개념 재정립, 측정지표 개발, 실효적인 수단 등 세부 실천계획을 마련한다. 내년 8월 '양곡관리법' 시행에 맞춰 쌀 타작물 전환 인센티브 확대, 가공·밥쌀용 전환이 가능한 '수급조절용 벼' 신규 운영 등 쌀 수급 안정 프로그램이 본격 가동된다. 밀·콩 국산화는 제품 개발과 계약재배 확대를 통해 수요 기반을 강화한다.  정부는 K푸드 글로벌 전략을 'K이니셔티브'와 결합해 내년 수출 150억달러를 공식 목표로 제시했다. 이를 위해 연내 K푸드 수출기획단이 출범하고 해외 거점 재외공관 30개 지정, 수출바우처 720억원(2배) 확대, 스마트팜 수출지원센터 구축 등 원스톱 지원 체계를 강화한다. 또한 △K-미식벨트 조성 △해외 한식당 인증제 신설 △(가칭) '수라학교' 설립 △'치킨벨트' 콘텐츠 개발 등 관광·외식 기반의 확장 전략도 병행된다.  청년농 정책은 ‘양’에서 ‘질’ 중심으로 전환된다. 예비농업인 200명 대상 맞춤형 교육·멘토링을 신설하고, 청년농 비축농지를 4200㏊로 확대해 우선 임대한다. 기존 청년농에게는 팀 프로젝트, 정책자금, 교육·컨설팅 등을 통해 전문농 성장 경로를 제공하며, 온라인 플랫폼·해외진출·규모화 등 맞춤형 판로·경영 지원도 강화한다.  또한 10개 군을 대상으로 농어촌 기본소득 시범사업(월 15만원 지급)을 시행하고, 경제·인문사회연구회와 함께 성과평가 기반의 정책 설계를 병행한다. 관련 법 제정도 내년 마무리할 계획이다. 농촌을 삶터·일터·쉼터로 만들기 위해 139개 시·군 공간계획 지원, 빈집정비 특별법 제정, 치유의 숲·트레일·양조장 등 특화산업 육성을 추진한다.  3대 개혁과제…농협·농지·재생에너지 '난제'도 정면 돌파 정부는 농협이 조합원과 농업·농촌을 위한 건강한 협동조합으로 거듭날 수 있도록 근본적인 개선방안을 마련한다. 중앙회 자금·인사 투명성 제고, 조합장 임기 등 내부통제 강화 및 지배구조 개선 등을 추진한다. 또한 조합원에 의한 민주적 통제를 확립하고 농협 관리·감독 사각지대도 해소하기 위한 추가 제도개선도 추진할 계획이다.  단계별 제도개선도 추진할 계획이다. 개선이 시급한 농작업 편의시설(화장실 등) 허용, 영농형 태양광 등은 우선 신속하게 추진하되, 쟁점이 있는 과제는 농특위 '농지제도 자문단' 등을 통해 공론화하고 개편방향을 마련한다. 농촌 재생에너지 확산을 위해 영농형 태양광 제도화, 햇빛소득마을 조성, 가축분뇨 등 부존자원을 활용한 재생에너지 생산을 추진한다. 발전사업 임차농 참여·보호, 햇빛소득마을 전력계통 부족, 가축분뇨 발전연료화 규제 등 해결할 과제들은 관계부처 협력을 통해 해결할 계획이다.",https://n.news.naver.com/mnews/article/014/0005447933
