날짜,제목,본문,링크
2025-12-16 23:47:00,"의식 잃은 아기, 경찰관이 구했다…""슈퍼우먼 감사해요""","경찰관의 신속한 응급 처치로 기도가 막혀 의식을 잃었던 18개월 아기가 무사히 구조된 사연이 뒤늦게 전해졌다.  16일 강원 강릉경찰서에 따르면 지난달 24일 오전 9시 47분께 강릉시 교동 한 도로에서 생후 18개월 A양이 약과 함께 먹은 젤리가 기도에 걸려 의식을 잃었다.  A양의 할아버지와 할머니는 급히 차량을 세운 뒤 주변에 도움을 요청했고, 인근을 지나가던 강릉경찰서 여성청소년과 소속 한아름 경사가 이를 목격하고 즉시 차량을 정차했다.  A양 상태를 확인한 한 경사는 망설임 없이 하임리히법을 실시했다.  하임리히법은 이물질로 기도가 폐쇄됐을 때 실시하는 응급처치법으로, 영유아의 경우 얼굴이 아래를 향한 상태로 등을 두드리거나 가슴 압박을 실시해 이물질을 빼내는 방식이다.  약 30초간의 응급조치 끝에 기도에 걸려 있던 젤리가 나왔고, A양은 의식을 되찾았다.  그 사이 현장에 도착한 119구조대가 A양의 상태를 확인한 결과 건강에 별다른 이상이 없었다.  한 경사는 ""위급한 상황을 보고 아이를 구해야겠다는 마음뿐이었다""면서 ""같은 부모 입장에서 몸이 먼저 반응했고 미리 숙지해둔 응급처치법 덕분에 침착하게 대처할 수 있었다""고 당시 상황을 전했다.  A양 가족 측은 경찰의 신속한 대응에 감사를 표하며 국민신문고에 감사 글을 남기고, 자필 감사 편지를 전달했다고 경찰은 전했다.  이들은 국민신문고를 통해 ""슈퍼우먼의 등장으로 A양이 살 수 있었다""면서 ""그냥 지나칠 수 있음에도 불구하고 멈춰서 도와주신 따뜻한 마음에 무한한 감사를 표한다""고 말했다.  이보배 한경닷컴 객원기자 newsinfo@hankyung.com",https://n.news.naver.com/mnews/article/015/0005225387
2025-12-16 23:09:00,美 10월 자동차·휘발유 판매 감소로 정체,"이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다.    미국의 소매판매는 10월에 증가도, 감소도 없는 전월과 동일한 수준에 그쳤다. 0.1% 증가를 예상한 시장 예상치보다 부진했다.  16일(현지시간) 미상무부는 정부 셧다운으로 발표가 지연된 10월 소매판매는 자동차 판매 부진과 휘발유 판매 감소로 다른 부문의 소비 증가 효과가 상쇄되면서 변동이 없었다고 발표했다.  자동차 판매와 주유소를 제외한 소매 판매는 0.5% 증가했다. GDP 데이터에 반영되는 기준 수치인 '통제 집단' 수치는 10월에 0.8% 증가했다.  13개 소매 업종 중 8개 업종에서 매출 증가를 기록했으며, 백화점과 온라인 소매업체의 견조한 성장세가 두드러졌다. 자동차 판매는 전기차에 대한 연방 세액 공제 폐지의 영향으로 1.6% 감소했다. 또 휘발유 가격이 하락하면서 주유소 매출도 감소했다.  정부의 국내총생산(GDP) 상품 소비 계산에 포함되는 이른바 '통제 집단' 매출은 10월에 0.8% 증가해 4개월 만에 가장 큰 폭으로 상승했다. 이 수치에 음식점, 자동차 판매점, 건축 자재 매장, 주유소는 제외된다.  전자제품 및 가전제품 매장, 가구점, 스포츠 용품점의 매출은 증가했다. 소매 보고서에서 유일한 서비스 부문인 레스토랑과 바의 판매는 0.4% 줄었다.  통계에 따르면 많은 소비자들이 일자리에 대한 불안감과 높은 생활비에 대한 불만으로 할인 상품을 찾으면서 소비 지출을 신중하게 하고 있다. 최근 소비 증가세는 주로 부유층 가구가 이끌고 있다.",https://n.news.naver.com/mnews/article/015/0005225386
2025-12-16 23:08:00,美 11월 '비농업 고용' 반등했지만…'실업률' 팬데믹 이후 최고 수준,"이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다.   미국의 11월 비농업 고용이 시장 예상보다 소폭 늘어난 것으로 나타났다.  미 노동부 산하 노동통계국(BLS)은 16일(현지시간) 11월 비농업 고용이 전월 대비 6만4000명 증가했다고 밝혔다. 이는 다우존스가 집계한 시장 예상치(4만5000명 증가)를 웃도는 수준이다.  반면 실업률은 4.6%로 상승해 팬데믹 이후 최고 수준을 기록했다. 임금 상승세도 둔화됐다. 11월 시간당 평균 임금은 전월 대비 0.1% 오르는 데 그쳐 시장 예상치(0.3%)를 밑돌았다. 전년 대비 상승률은 3.5%로, 2021년 5월 이후 가장 낮은 연간 증가율이다.  이번 발표에는 정부 셧다운 여파로 발표가 지연됐던 10월 고용 통계 일부도 포함됐다. 10월 비농업 고용은 10만5000명 감소한 것으로 집계됐다.  정부 부문 고용의 급감이 전체 고용 감소를 주도했다. 올해 초 도입된 유예 해고 조치가 본격적으로 반영되면서 10월 정부 고용은 16만2000명 감소했고, 11월에도 6000명이 추가로 줄었다.  미 경제매체 CNBC는 ""현재 고용 시장은 채용도 해고도 많지 않은 상태가 이어지고 있다""며 ""도널드 트럼프 대통령 행정부의 강경한 국경 통제 정책으로 기존에 노동력을 보충해왔던 이민자 유입이 줄어든 점도 노동시장에 영향을 미치고 있다""고 전했다.",https://n.news.naver.com/mnews/article/015/0005225385
2025-12-16 22:51:00,"경찰, 전재수 전 장관 압수수색…'통일교 행사 축전' 확보 [종합]","경찰이 통일교 금품 수수 의혹과 관련 전재수 전 해양수산부 장관의 사무실과 자택 등을 압수수색한 가운데 통일교 행사 관련 축전을 확보한 것으로 전해졌다.  경찰청 특별전담수사팀은 지난 15일 전 전 장관의 의원실, 부산 지역구 사무실, 자택, 세종 장관 집무실 등을 압수수색했다.  16일 연합뉴스는 경찰이 이 과정에서 전 전 장관의 휴대전화 및 PC 파일을 비롯해 통일교 행사 관련 축전 등 문건들을 확보했다고 보도했다.  경찰은 통일교가 초청한 행사 전후에 접촉이 이뤄졌을 가능성이 높을 것으로 보고, 이 시기 전 전 장관의 일정과 통일교의 보고·회계 자료를 맞춰보고 있는 것으로 전해졌다.  전 전 장관은 2018년 무렵 통일교 측으로부터 현금 2000만원과 1000만원 상당의 불가리 시계 1점을 받은 혐의(뇌물수수 등)를 받는다. 다만, 전날 압수수색에서 시계는 발견되지 않았다.  그간 공개된 통일교 기록 등에 따르면 전 전 장관은 2018년부터 여러 차례 통일교 측 주최 행사에 참석하거나 축전을 보낸 것으로 파악됐다고 연합뉴스는 전했다.  보도에 따르면 통일교의 행사를 홍보하는 문화홍보국은 2018년 9월 9일 부산 롯데호텔에서 열린 '신한국지도자 초청 행사' 보도자료에 전 전 장관이 참석했다고 썼다.  이 행사 다음 날인 10일 윤영호 전 세계본부장이 한 총재에게 전 전 장관이 교단 현안 추진에 협력하기로 했다는 특별보고를 올린 것으로 전해졌다.  반면, 전 전 장관은 당시 고향인 경남 의령에서 벌초 중이었다며 행사에 참석하지 않았다는 입장이다.  전 전 장관은 또 그해 8월 부산 북구청사에서 열린 '피스로드 2018 통일대장정' 행사에도 참석해 축사한 것으로 알려졌다.  통일교 산하 단체 남북통일운동국민연합이 주관한 피스로드 프로젝트는 주요 사업 목표가 한일 해저터널 건설이다.  해당 조직의 부산지회장인 박모씨가 2020년 3월 전 전 장관에게 한 총재의 자서전을 직접 전달하는 등 여러 차례 접촉한 것으로 전해졌다.  앞서 윤 전 본부장은 2019년 1월 한 총재에게 전달되는 내부 보고서에 전 전 장관을 거명하며 그달 7일 오후 2시께 'TM(한 총재 지칭) 일정'이 있었다고 쓴 것으로 알려졌다.  이와 관련 전 전 장관은 ""통일교로부터 그 어떤 금품수수도 절대 없었다""고 일관되게 주장하고 있다. 통일교뿐 아니라 다양한 종교 행사에 국회의원으로서 참석했다는 입장이다.  금품의 '대가성' 여부 규명과 함께 실체가 확인되지 않은 불가리 시계의 가격도 향후 적용되는 혐의에 따라 공소시효에 변수가 될 것이라는 전망도 나온다.  먼저 대가성 여부 정황에 따라 정치자금법 위반 또는 뇌물수수 혐의 적용이 갈릴 수 있는데, 정치자금법 위반 혐의의 공소시효는 7년, 뇌물은 특정범죄 가중처벌 등에 관한 법률(특가법)이 적용되면 15년까지 가능하다.  다만, 뇌물죄는 수수 금액 가액이 3000만원 이상이어야 특가법 적용을 받는다. 3000만원 미만일 경우 뇌물죄 역시 공소시효가 7년이 된다.  불가리 시계 가액이 1000만원 미만으로 산정될 경우 의혹이 제기된 현금 2000만원과 더해도 3000만원 미만으로 책정돼 공소시효가 올해 완성될 수도 있다.  한편, 전 전 장관 외에 금품 수수 당사자로 지목된 임종성 전 더불어민주당 의원과 김규환 전 미래통합당(현 국민의힘) 의원에 대한 수사망도 좁혀들고 있다.  경찰은 이번 의혹을 촉발한 윤 전 본부장 등을 추가 수사해 의혹의 실체를 파악하는 데 주력할 전망이다.  이보배 한경닷컴 객원기자 newsinfo@hankyung.com",https://n.news.naver.com/mnews/article/015/0005225383
2025-12-16 22:46:00,"""국립중앙박물관, 세계 3대 박물관으로 키울 것""","정부가 K팝 진흥을 위해 5만 석 규모의 돔구장을 새로 짓기로 했다. 서울과 경기 고양 등 지방자치단체에 아레나를 건립하는 한편 지방에 있는 체육관을 문화공연장으로 활용해 K팝 저변 확대에 힘쓴다는 계획이다.  최휘영 문화체육관광부 장관은 16일 정부세종컨벤션센터에서 열린 대통령 업무보고에서 “K팝의 세계적 위상이 더 확고해질 수 있도록 힘을 쏟겠다”며 이 같은 뜻을 밝혔다.  문체부는 우선 K팝 공연장 부족 문제를 해결하기 위해 공연장 확충을 추진하기로 했다. 최 장관은 “단기적으로는 내년에 지방 체육시설을 (공연장으로) 활용할 계획”이라며 “체육시설의 음향과 조명시설을 조금만 보강하면 공연장으로 잘 사용할 수 있을 것”이라고 설명했다.  2~3년 뒤에는 지자체에서 건설하고 있는 아레나를 활용해 공연 인프라를 확충한다는 게 정부의 계획이다. 최 장관은 “중기적으로 서울 아레나, 고양 아레나 등 다양한 지자체에서 이미 아레나 건설을 시작하고 있다”며 “차질 없이 건설이 이뤄지면 2027년이나 2028년에 몇 개의 아레나가 만들어진다”고 말했다.  문체부는 또 5만 명 이상을 수용할 수 있는 돔구장을 짓겠다는 장기적 목표도 공개했다. 최 장관은 “우리도 5만 석 규모 돔구장을 갖출 필요가 있다”며 “스포츠용 돔구장을 공연장으로 쓰는 일본과 달리 우리는 미리 스포츠와 공연 양쪽을 다 반영해 계획하고 있다”고 말했다.  최 장관은 침체한 한국 영화산업을 활성화하기 위한 지원 정책도 대통령에게 보고했다. 최 장관은 “영화·영상산업이 산업적으로 결실을 맺을 수 있도록 다양한 전략을 구사하겠다”며 “‘극장 가치의 재발견 프로젝트’와 함께 ‘구독형 영화 패스 제도’를 도입해 극장 관객 수를 회복할 수 있도록 하겠다”고 강조했다.  문체부는 K컬처 진흥을 위해 문화유산도 활용하기로 했다. 최 장관은 “국립중앙박물관을 더 편안하게 관람할 수 있도록 증설 계획을 세워 세계 3대 박물관으로 키우겠다”며 “우리가 남기는 모든 디지털 자산을 후세에 안전하게 물려줄 수 있도록 ‘디지털 외규장각’을 세우는 프로젝트에도 착수하겠다”고 말했다.  문체부는 기초예술 진흥을 위해 복지금고 등 예술인 대상 생계 지원책을 강화하고, 문학 연극 미술 등 다양한 기초예술의 창작 지원을 확대하겠다는 방침도 밝혔다. 또 지역 간 문화 격차를 줄이기 위해 비수도권에서 K팝 아이돌 공연이나 ‘신라 금관전’ 같은 유명 전시회를 더 자주 열기로 했다.",https://n.news.naver.com/mnews/article/015/0005225382
2025-12-16 22:44:00,"美 11월 고용 증가 64,000명↑…실업률 4.6%로 상승","이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다.    미국의 11월 비농업 부문 고용이 64,000명 증가한 것으로 집계됐다. 경제학자들이 예상한 45,000명을 웃도는 수치다.  그러나 셧다운으로 지연발표된 10월 비농업 부문 고용은 105,000명이나 감소한 것으로 나타났다. 10월 고용은 당초 25,000명 감소했을 것으로 예상됐다.  16일(현지시간) 美노동통계국은 11월 비농업 부문 전미고용보고서에서 11월 고용인구가 64,000명 증가했다고 발표했다. 실업률은 4.6%로 4년만에 가장 높은 수준으로 나타났다. 예상했던 실업률은 4.5%였다.  10월의 비농업 부문 고용은 10만5천명 감소해 예상된 25,000명 감소보다 고용 감소폭이 훨씬 컸다. 이는 올해 초 시행한 연방 직원의 해고조치가 연기 발효되면서 정부의 고용이 급격히 감소한데 따른 것이다. 정부 고용은 10월에 16만2천명 감소했고 11월에는 추가로 6천 명 감소했다.  11월에 민간 부문에서는 의료 및 건설 부문이 일자리 증가를 이끌었다.  경제학자들은 연방 정부의 비용 절감으로 10월 비농업 부문 고용이 감소할 것으로 예상했지만 11월에는 이러한 감소세가 반등했을 가능성이 높다고 예측해왔다. 이는 노동 시장이 점진적으로 약화되고 있다는 기존 추세와 일치하는 것이다.  미국 노동통계국(BLS)은 실업률 산출에 사용되는 가계 조사가 정부 셧다운의 영향으로 향후 몇 달간 영향을 받을 것이라고 경고한 바 있다. 10월 수치 집계의 어려움으로 인해 고용 보고서와 주요 소비자물가지수 발표 또한 취소되었다.",https://n.news.naver.com/mnews/article/015/0005225381
2025-12-16 22:12:00,'시장 돌진 12명 사상' 70대 운전자…'치매 진단' 1년 만에 기소,"서울의 한 전통시장에 차를 몰고 돌진해 12명의 사상자를 낸 혐의를 받는 70대 운전자가 사건 발생 1년 만에 불구속 상태로 재판에 넘겨졌다.  16일 법조계에 따르면 서울남부지검 형사2부(최종필 부장검사)는 이날 교통사고처리특례법 위반(치사·치상) 혐의로 A씨(75)를 불구속기소 했다.  A씨는 작년 12월 31일 양천구 목동 깨비시장에서 승용차 돌진 사고로 1명을 숨지게 하고 11명을 다치게 한 혐의를 받는다.  당시 A씨는 앞서가던 버스를 추월하기 위해 가속했고, 시속 76.5㎞로 달리다가 시장 과일가게에 충돌하기 직전 브레이크를 밟았지만, 속도를 줄이지 못한 것으로 조사됐다.  사건 이후 올해 1월 서울의 한 병원에서 정밀검사를 받은 A씨는 초기 알츠하이머 치매 진단을 받았고, 이후 요양시설에 입소해 불구속 상태로 수사를 받아왔다.  A씨는 앞서 2023년 11월 같은 병원에서 알츠하이머 치매의 전구 증상인 경도인지장애를 진단받고 3개월여 동안 약물 치료를 받기도 했다. 다만, 처방받은 약을 다 복용한 뒤 스스로 치료를 중단했던 것으로 확인됐다.  이보배 한경닷컴 객원기자 newsinfo@hankyung.com",https://n.news.naver.com/mnews/article/015/0005225376
2025-12-16 22:01:00,나나·태연 추천한 '핫템' 뭐길래…주가 반등에 '환호' 터졌다 [종목+],"'승무원 미스트'로 유명한 화장품 기업 달바글로벌 주가가 이달 들어서만 20% 가까이 뛰며 반등세를 나타내고 있다. 보호예수 해제에 따른 오버행(잠재 매도 물량) 우려가 사그라든 가운데 주주환원 정책과 미국 블랙프라이데이에서의 양호한 판매 성과에 힘입은 실적 개선 기대가 반영된 결과로 풀이된다.  16일 한국거래소에 따르면 달바글로벌은 이날 3.47% 오른 15만8100원으로 거래를 마쳤다. 7거래일 연속 상승세다. 장중 7.33% 올라 16만4000원을 기록하기도 했다. 이날 코스피지수가 2.24% 급락한 것과 대조적인 모습이다. 이 회사 주가는 이달 들어 17.11% 뛰었다. 같은 기간 외국인과 기관투자가가 각각 202억원과 358억원 순매수해 주가 상승을 이끌었다.  2016년 설립된 달바글로벌은 '달바(d’Alba)' 브랜드 제품 등을 판매하는 기업으로 올해 5월 유가증권시장 상장했다. 주력 제품은 '한혜진 미스트' 혹은 '승무원 미스트'로 잘 알려진 '퍼스트 스프레이 세럼'과 톤업 선크림과 더블 크림 등이다. 달바글로벌은 광고모델을 역임한 모델 한혜진을 비롯해 그룹 소녀시대의 태연, 배우 나나 등 연예인뿐 아니라 구독자 100만명 이상을 보유한 뷰티 유튜버 '조효진' '레오제이' '회사원A' '포니' 등을 통해 직간접적으로 제품을 홍보하면서 입지를 넓혔다.  주가 반등은 오버행 우려가 일부 완화된 데 따른 영향으로 풀이된다. 달바글로벌은 지난 5월22일 유가증권시장 상장 후 약 6개월 동안 보호예수 물량이 세 차례에 걸쳐 해제됐다. 지난 6월22일 발행주식 총수의 19%에 달하는 물량이 시장에 풀린 후 8월22일(16.2%)과 지난달 22일(11.1%) 차례로 보호예수가 해제됐다. 마지막 보호예수 해제 이후에도 장내 매도 물량이 크지 않았다는 분석이 나온다.  고경범 유안타증권 연구원은 ""지난달 22일부터 상장 6개월 락업(보호예수) 지분의 보호예수가 해제됐으나 장내 매도 출회는 경미한 흐름을 보였다""며 ""지난 8월 말 3개월 락업 지분의 매도 출회도 제한적이었다""고 설명했다. 이어 ""블록딜 과정에서의 과도한 할인율 적용보다 배당 수취 등을 통해 DPI(투자금 대비 분배율 비율)를 보전하는 것으로 보인다""고 부연했다.  달바글로벌의 주주환원 정책도 투자심리를 개선한 요인으로 지목된다. 달바글로벌은 감액배당을 결정하면서 배당 기준일을 마지막 보호예수 해제일(22일) 직후인 지난달 26일로 설정했다. 배당을 받으려는 투자자들이 지난달 26일까지 주식을 매수하면서 보호예수 해제 물량을 받아낼 수 있게 했다.  이달 19일 달바글로벌의 파이낸셜타임스스톡익스체인지(FTSE) 스몰캡 지수 편입 효과를 노린 자금 유입 영향도 주가 상승 원인 중 하나로 지목된다. 고 연구원은 ""달바글로벌은 상장 당시 자본준비금 274억원을 이익잉여금으로 전환해 3분기 현금 배당을 실시했다""며 ""4분기 말 배당 수취를 위한 상장 전 투자 유치(Pre-IPO) 지분의 락인(Lock In) 가능성에서 보면, FTSE 리밸런싱일까지 편입 수요에 대한 인덱스 효과는 존재할 것""이라고 판단했다.  실적 개선 기대도 커지고 있다. 달바글로벌은 지난 3분기 시장의 눈높이를 충족하지 못하는 부진한 실적 성적표를 받아들었다. 달바글로벌의 3분기 매출과 영업이익은 각각 1173억원과 167억원으로 시장 컨센서스(증권사 추정치 평균)를 4%와 31% 밑돌았다. 계절적 비수기와 일본·러시아 등에서의 판매 부진 탓이다.  다만 올 4분기부터 실적 개선세가 나타날 것이란 관측이 나오고 있다. 미국 아마존 블랙프라이데이에서 달바글로벌의 '화이트 트러플 퍼스트 스프레이 세럼'은 행사 첫날인 지난달 24일 뷰티 카테고리 베스트셀러 상위 22위를 기록했다. 지난해 71위에서 순위가 크게 뛰었다.  아울러 달바글로벌이 해외 판매 채널을 확대하고 있는 점도 실적 개선 전망에 힘을 싣는 요인이다. 달바글로벌은 4분기부터 미국 코스트코·얼타뷰티 등 주요 글로벌 리테일 채널에 입점해 제품 판매를 시작한다.  허제나 DB증권 연구원은 ""팝업 및 브랜드 캠페인이 진행되며 시장 확대에 비례한 매출 증가가 예상된다""며 ""내년 예상 주가수익비율(PER) 14배로, 주가 수준은 낮아진 이익 가시성을 반영한 상태이며, 4분기 실적 회복 추이를 파악한 후 저점 매수에 나설 필요가 있다""고 강조했다.",https://n.news.naver.com/mnews/article/015/0005225375
2025-12-16 21:53:00,길이 24m '자유의 여신상' 쓰러졌다…브라질서 '아찔한 사고',"브라질에 설치된 '자유의 여신상' 모형이 무너지는 사고가 발생했다. 다행히 인명 피해는 없었다.  G1 등 현지 매체들에 따르면 15일(현지시각) 브라질 남부 리우그란지두술주 과이바시에 시속 90㎞ 이상의 돌풍을 동반한 강력한 폭풍이 불었다.  이로 인해 대형 유통업체 하반 매장 앞에 세워져 있던 길이 약 35m(기초 구조물 11m 포함)의 자유의 여신상 모형이 중심을 잃고 주차장 쪽으로 쓰러졌다. 다만 기초 구조물은 피해가 없었다.  현장 영상에는 거대한 구조물이 서서히 기울다 결국 주저앉는 장면이 담겼다. 붕괴 당시 주차장은 비어 있었고, 인근에 있던 행인과 매장 직원들이 재빨리 차량을 이동시킨 덕분에 인명 피해나 재산 피해도 없었다.  과이바 시장은 기자회견을 통해 ""당시 풍속은 시속 80~90㎞ 이상에 달했다""며 ""위험 상황에서 신속한 대응이 더 큰 사고를 막았다""고 밝혔다. 무너진 구조물은 2020년에 설치됐으며, 엔지니어의 안전 인증을 받은 구조물이다.  이번 폭풍은 고온의 공기와 한랭 전선이 충돌하면서 발생한 것으로 분석됐다.  리우그란지두술주 전역에서도 우박, 지붕 파손, 국지적 침수 등 피해가 잇따랐으나 대규모 정전이나 기반 시설 마비는 보고되지 않았다.",https://n.news.naver.com/mnews/article/015/0005225374
2025-12-16 21:26:00,교회·아파트 유리창 '쨍그랑'…쇠구슬 쏜 철없는 60대 결국,"인터넷 사이트에서 새총과 쇠구슬을 구매해 교회·아파트에 발사해 유리창을 부순 60대가 경찰에 붙잡혔다.  광주 북부경찰서는 16일 특수재물손괴 혐의로 60대 A씨를 불구속 입건했다고 밝혔다.  경찰에 따르면 일용직 노동자인 A씨는 지난달 23일 오후 9시께 광주 북구 삼각동 한 도로에서 새총으로 쇠구슬 3발을 발사해 유리로 된 교회 현관문과 인근 아파트 6층 유리창을 각각 파손한 혐의를 받는다.  피해자 신고로 수사에 나선 경찰은 일대 폐쇄회로(CC)TV 영상을 토대로 A씨를 용의자로 특정해 검거했다.  경찰 조사에서 A씨는 ""쇠구슬을 쏘는 게 재미있어서 그랬다""는 취지로 진술했다.  경찰은 A씨를 상대로 정확한 범행 경위와 여죄 유무 등을 조사 중이다. .  이보배 한경닷컴 객원기자 newsinfo@hankyung.com",https://n.news.naver.com/mnews/article/015/0005225373
