날짜,제목,본문,링크
2025-12-13 22:33:00,‘홍수·산사태’ 최악의 상황…인니 사망자만 1000명 넘어,"[이데일리 강소영 기자] 인도네시아 수마트라 섬에서 발생한 홍수·산사태로 인해 1000명 넘게 사망한 것으로 나타났다.  지난달 30일(현지시간) 인도네시아 수마트라 파당에서 발생한 폭우와 산사태로 인해 쓰러진 나무 잔해 속 한 여성이 서 있는 모습. (사진=로이터) 13일(현지 시간) 로이터 등 외신에 따르면 인도네시아 국가재난관리청은 수마트라섬 북부 3개 주에서 발생한 사망자가 1000명을 넘어섰다고 밝혔다. 실종자는 218명이며 부상자는 5400여 명으로, 최종 사상자 수는 더 늘어날 것으로 보인다.  또 공공시설 약 1200개와 의료 시설 219개, 교육 시설 581개, 종교 시설 434개, 사무실 건물 290개 등이 피해를 입었으며, 가장 피해가 심한 아체주에선 60%가량이 여전히 정전 상태다.  임시 대피소에도 의약품 및 구호품, 식수 등이 부족한 상태로 알려졌다.  프라보워 수비안토 인도네시아 대통령은 전날 아체 지역 피해 현장을 방문해 “함께 이 상황을 개선해 나가겠다. 정부가 나서서 모든 걸 지원하겠다”고 밝혔다.  앞서 지난 2주간 열대성 폭풍과 강한 몬순(장마) 강우가 강타하며 수마트라섬 열대우림 지역부터 스리랑카 농장 지대 등 동남아시아 곳곳에서 산사태와 홍수가 잇따랐다.  이에 따라 인도네시아, 스리랑카, 말레이시아, 태국, 베트남 등지에선 2000명에 가까운 사람들이 목숨을 잃었고, 특히 아체주와 북수마트라주는 도로가 파손되면서 모든 공급망이 끊긴 상태다. AFP 통신에 따르면 구조대가 여전히 진흙 속에서 시신을 수습하고 있는 상황이다.  이로써 사망자는 지속적으로 늘어날 것으로 보인다. 접근이 어려운 산간 등 외딴 마을에는 아직도 구조와 구호가 제때 이뤄지지 않고 있으며, 이로 인해 질병과 굶주림으로 인한 사망자 또한 늘 것으로 보이기 때문이다.  한편 이번 홍수는 지난 2004년 12월 아체주를 휩쓴 쓰나미에 이어 최악의 재해 중 하나로 꼽히고 있다. 인도네시아 정부는 재해 복구 비용이 51조 8200억 루피아(약 4조 6000억 원)에 달할 것으로 전망하고 있다.",https://n.news.naver.com/mnews/article/018/0006182975
2025-12-13 21:56:00,"“기억 상실”…딸 지키려 킥보드 향해 몸 던진 30대母, 현재는","[이데일리 강소영 기자] 2세 아이를 향해 달려든 전동 킥보드를 막으려다 중태에 빠진 30대 엄마가 기적적으로 의식을 되찾았으나 현재 ‘기억 상실’ 상태인 것으로 알려져 안타까움을 더하고 있다.  지난 10월 인천 연수구 송도 한 인도에서 딸을 향해 달리던 전동 킥보드에 치인 여성이 중태에 빠졌다가 의식을 찾았으나 현재 기억 상실 상태인 것으로 알려졌다. (사진=KBS 캡처) 13일 KBS에 따르면 2세 딸을 위해 몸을 던진 30대 A씨는 사고 뒤 지난 10월 24일 의식을 찾았으나 엿새 뒤 기억을 잃었다.  남편 B씨는 “(아내의) 뇌가 이미 손상이 돼서 흔히 말하는 드라마에서 보는 것처럼 그런 기억 상실이라고 해야 되나”라며 “아이들에 대한 감정도 없고”라고 현재 A씨의 상태를 전했다.  또 사고를 겪은 딸에 대해선 “엄마가 없어서 그런건지 트라우마 때문인지 몰라도 자다가도 엄청 심하게 발작하면서 운다”며 “공격적인 성향도 (보인다)”고 덧붙였다.  해당 사고는 지난 10월 18일 인천 연수구 송도동에서 발생했다. 무면허 중학생 2명이 탄 전동 킥보드가 인도에서 딸을 향해 돌진하는 것을 보고 A씨가 딸을 감싸며 보호했고, 딸은 무사했으나 A씨는 킥보드에 치여 머리를 바닥에 세게 부딪힌 뒤 중태에 빠졌다.  당시 상황에 대해 B씨는 한 매체와의 인터뷰에서 “아내와 아이는 조금 떨어져서 가고 있었는데 킥보드가 순식간에 피하려는 기색이라던가 속도를 줄이려는 기색 없이 돌진해오더라”고 말했다.  이 사고로 A씨는 다발성 두개골 골절 진단을 받고 중태에 빠진 바 있다.  사고를 낸 중학생들은 14세 미만 청소년이 아니어서 형사처벌 대상으로, 현재 교통사고처리 특례법상 치상과 도로교통법상 무면허운전 등의 혐의로 경찰에 입건돼 조사받고 있다. 다만 가해 학생들이 미성년자이고 무면허인데다 보험도 가입되지 않은 상태여서 피해자 가족이 보상을 받으려면 민사 소송을 제기해야 하는 상황이다.  무면허로 전동 킥보드를 몰다 30대 여성을 치어 중태에 빠트린 중학생들이 경찰에 입건됐다. 사진은 기사와 무관. (사진=뉴시스) 상황이 이렇다 보니 B씨 가족은 병원비 등의 부담으로 또 한 번 고통을 받고 있다.  B씨는 “한 달에 몇천만 원 정도 비용이 들어가고 있다”며 “현행법상 피해자가 할 수 있는 게 별로 없는 것 같더라”고 토로했다.  한편 경찰은 도로교통법 위반(무면허 운전 방조) 혐의로 킥보드 대여 업체 담당 책임자 C씨를 불구속 입건했다. C씨는 지난 10월 18일 면허가 없는 중학생에게 면허 소지 여부를 제대로 확인하지 않고 전동 킥보드를 빌려줘 무면허 운전을 방조한 혐의다. 행위자와 법인을 함께 처벌하는 양벌규정을 적용해 해당 업체 법인도 입건했다.  현행 도로교통법상 전동 킥보드 등 개인형 이동장치(PM)는 원동기 면허 이상을 소지한 만 16세 이상만 이용할 수 있으나 무면허 대여가 이뤄졌다.  이에 따라 경찰은 C씨에 대한 추가 조사를 한 뒤 가해 중학생 2명과 함께 검찰에 송치할 예정이다.",https://n.news.naver.com/mnews/article/018/0006182974
2025-12-13 21:03:00,1202회 로또 1등 14명…당첨금 각 19억 2041만원,"[이데일리 박기주 기자]제1202회 로또복권 추첨에서 1등 당첨자가 14명 나왔다. 당첨금은 한 사람당 19억 2041만원이다.  (자료= 동행복권 갈무리) 로또복권 운영사 동행복권은 제1202회 동행복권 로또 추첨 결과 ‘5, 12, 21, 33, 37, 40’이 1등 당첨 번호로 결정됐다고 13일 밝혔다. 보너스 번호는 ‘7’이다  당첨번호 6개를 모두 맞힌 1등은 14명으로 한 사람 당 당첨금 19억 2041만원이 돌아간다. 1등 당첨번호 5개와 보너스 번호가 일치한 2등은 109명으로 각각 4110만원을 받는다.  당첨번호 5개를 맞힌 3등은 3764명으로 당첨금은 1인당 119만원이다.  4개를 맞힌 4등은 18만 212명으로 고정 당첨금 5만원을 받는다. 숫자 3개가 일치한 5등 272만 3770명에게는 5000원씩 지급된다.  당첨금 지급 기한은 지급 개시일부터 1년 이내다. 당첨금 지급 마지막 날이 휴일이라면 다음 영업일까지 받을 수 있다.  지급기한이 만료된 당첨금은 ‘복권 및 복권기금법’에 따라 전액 복권기금으로 귀속되며 공익사업을 위해 쓰인다.",https://n.news.naver.com/mnews/article/018/0006182973
2025-12-13 20:42:00,"[속보]로또 1202회 당첨번호 ‘5, 12, 21, 33, 37, 40’…보너스 ‘7’","[이데일리 박기주 기자] 로또복권 운영사 동행복권은 제1202회 동행복권 로또 추첨 결과 ‘5, 12, 21, 33, 37, 40’이 1등 당첨 번호로 결정됐다고 13일 밝혔다. 보너스 번호는 ‘7’이다.",https://n.news.naver.com/mnews/article/018/0006182972
2025-12-13 19:46:00,"RSU 취소한 에코프로머티, SGC이앤씨 뒷바라지 바쁜 SGC에너지","이 기사는 2025년12월13일 13시45분에 마켓인 프리미엄 콘텐츠로 선공개 되었습니다.  [이데일리 마켓in 이건엄 기자] 기업들의 사업보고서에는 중요하지만 놓치기 쉬운 정보들이 많습니다. 한눈에 보이는 주요 재무지표나 경영성과 외에도 곳곳에 흥미로운 정보들이 숨어 있죠. 비중은 크지 않지만 그냥 지나치기엔 아까운 공시 속 이야기들을 모아, 간단하지만 맛깔나게 볶아봤습니다. <편집자주>  (사진=에코프로)   에코프로머티리얼즈, 잇단 스톡옵션·RSU 취소  에코프로머티(450080)리얼즈가 올해 하반기 들어 임직원에 대한 스톡옵션과 제한조건부주식(RSU) 부여를 잇달아 취소했습니다. 다년에 걸쳐 RSU와 스톡옵션 지급 과정에서 퇴사 등으로 인력 변동이 발생해 부여를 취소했는데요.  에코프로머티는 지난 9월 RSU 2차 지급분 취소를 결정한 데 이어, 최근 이사회에서는 임직원 대상 스톡옵션 부여 취소 안건도 처리했습니다. 앞서 에코프로는 지난 2023년 2월 임직원들과 RSU 지급 계약을 체결한 바 있습니다. 직급, 재직연수 등을 종합적으로 고려해 임직원 총 2706명에게 53만3515주 상당의 자사주를 배정했습니다.  SGC이앤씨 뒷바라지 하는 SGC에너지  SGC에너지(005090)가 SGC이앤씨의 프로젝트파이낸싱(PF) 대출 약정에 대해 대규모 자금보충 및 조건부 채무인수를 승인했습니다. SGC이앤씨의 원활한 사업 진행을 위해 신용보강에 나선 모습인데요.  SGC에너지는 지난달 11일 청라플러스가 케이아이에스리얼제삼십차와 체결한 1200억원 규모의 대출약정과 케이아이에스리얼제삼십이차와 맺은 200억원 대출약정에 대해 각각 자금보충 및 조건부 채무인수를 결정했습니다.  또 지난 10월 31일 SGC이앤씨가 에스지씨멀티파워제삼차와 맺은 추가 300억원의 대출약정에 대해서도 동일한 신용보강을 제공했습니다. 같은달 20일에는 SGC이앤씨가 에스에너지그린제이차와 체결한 300억원 규모의 대출약정에 대해서도 자금보충 및 조건부 채무인수를 확정했습니다.  심팩, 심팩홀딩스 흡수합병  심팩이 지주사 심팩홀딩스를 흡수합병하며 오랜 숙원 과제를 마무리했습니다. 전날 이사회결의를 통해 합병 종료 보고를 완료했는데요. 앞서 엠제이파트너스가 제기한 합병절차 중단 가처분이 기각되면서 기존 일정대로 합병이 진행됐습니다.  심팩은 지난해 6월에도 심팩홀딩스와의 합병을 발표했다가 2주 만에 철회한 바 있어 이번 재추진 결과에 시장의 관심이 쏠렸습니다. 이번에는 무리 없이 절차가 마무리되며 성공적으로 합병이 완료될 전망입니다. 합병 이후에도 심팩의 상호는 그대로 유지되며 기존 심팩홀딩스 소속 근로자들도 전원 승계될 예정입니다. 합병 등기일은 오는 19일로 잡혀 있습니다.  심팩은 “당사 주식 20주를 소유한 엠제이파트너스는 합병 무효의 소와 더불어 합병절차진행정지 가처분을 신청했으나 법원에서 전부 기각됐다”며 “추후 엠제이파트너스의 항고 여부에 따라 대응 방안을 결정할 예정”이라고 밝혔습니다.  녹십자, 혈액제제 생산법인 5년째 청산 중  녹십자(006280)가 혈액제제 생산법인 GC노스아메리카(Green Cross North America Inc.) 청산을 진행 중입니다. 이번 청산은 미국 혈액제제 사업 매각에 따른 절차의 일환인데요.  해당 법인은 지난 2020년 세계 1위 혈액제제 업체 스페인 그리폴스(Grifols)에 매각하기로 결정된 이후 흡수합병 절차에 따라 청산을 결정했습니다.  당시 녹십자는 미국 내 혈액제제 생산법인 GC바이오테라퓨틱스와 혈액원 사업회사 GC아메리카 지분 전량(약 4억6000만 달러)을 그리폴스에 매각한 바 있습니다.  인니에 힘 싣는 KCC글라스  KCC글라스(344820)가 인도네시아 법인(PT KCC GLASS INDONESIA)에 대한 지속적 지원을 이어가고 있습니다. 지난 10월 이사회를 통해 인도네시아 법인에 1600만 달러(한화 약 237억원)를 추가 대여하기로 결정한 것인데요.  KCC글라스는 이미 지난해 1분기 인도네시아 법인 유상증자에 단독 참여해 209억원을 출자한 바 있습니다. 또 같은 해 3월에는 시설·운영자금 1154억원 대여를 집행한 바 있습니다.  KCC글라스는 지난 2021년 약 3400억원을 투자해 중부 자바 바탕산업단지에 유리공장을 착공했습니다. 이를 통해 인도네시아 생산 유리를 동남아 시장에 우선 공급한 뒤 추가 설비투자를 통해 오세아니아·중동 등 글로벌 시장 진출도 계획하고 있습니다.  서연이화 중국 구조조정 속도  서연이화(200880)가 중국 법인 베이징 서연이화 지분을 현지 업체에 43억원에 매각했습니다. 이번 매각으로 서연이화의 지분율은 기존 50%에서 25%로 감소했는데요. 현대자동차그룹이 중국 사업 비중을 줄이는 흐름에 따라 서연이화도 구조조정에 나선 것으로 보입니다.  KT&G, 코크랩 사모펀드 유상감자로 회수  KT&G(033780)가 관계기업 코크렙 제36호위탁관리부동산투자회사 지분을 모두 정리하고 자금을 회수했습니다. 보유지분 전량을 유상감자 방식을 통해 정리했습니다.",https://n.news.naver.com/mnews/article/018/0006182971
2025-12-13 19:27:00,[포토] 관악S밸리 로봇 AI 경진대회,[이데일리 김태형 기자] 박준희(뒷줄 오른쪽 두번째) 관악구청장이 13일 관악구청 대강당에서 열린 ‘관악S밸리 로봇·인공지능(AI) 경진대회’에서 참가한 과학 꿈나무들과 함께 기념 촬영을 하고 있다.  이날 경진대회에는 관내 초등학생 32명이 참여해 로봇 축구를 조작하며 첨단 기술에 대한 높은 관심을 보였다.  관악중소벤처진흥원이 주관하고 서울대학교 창업지원단 협력으로 열린 이날 대회는 청소년의 첨단 기술 이해도를 높이고 로봇 조작 능력 및 문제해결력 강화를 위해 마련했다. (사진=관악구),https://n.news.naver.com/mnews/article/018/0006182970
2025-12-13 19:24:00,"[포토] 관악구, 관악S밸리 로봇·인공지능(AI) 경진대회",[이데일리 김태형 기자] 박준희(가운데) 관악구청장이 13일 관악구청 대강당에서 열린 ‘관악S밸리 로봇·인공지능(AI) 경진대회’에서 참가 학생들과 함께 힘찬 구호를 외치고 있다.  이날 경진대회에는 관내 초등학생 32명이 참여해 로봇 축구를 조작하며 첨단 기술에 대한 높은 관심을 보였다.  관악중소벤처진흥원이 주관하고 서울대학교 창업지원단 협력으로 열린 이날 대회는 청소년의 첨단 기술 이해도를 높이고 로봇 조작 능력 및 문제해결력 강화를 위해 마련했다. (사진=관악구),https://n.news.naver.com/mnews/article/018/0006182969
2025-12-13 19:22:00,[포토] 로봇축구 참가한 박준희 관악구청장,[이데일리 김태형 기자] 박준희(가운데) 관악구청장이 13일 관악구청 대강당에서 열린 ‘관악S밸리 로봇·인공지능(AI) 경진대회’에서 참가 학생들과 함께 로봇 축구를 하고 있다.  이날 경진대회에는 관내 초등학생 32명이 참여해 로봇 축구를 조작하며 첨단 기술에 대한 높은 관심을 보였다.  관악중소벤처진흥원이 주관하고 서울대학교 창업지원단 협력으로 열린 이날 대회는 청소년의 첨단 기술 이해도를 높이고 로봇 조작 능력 및 문제해결력 강화를 위해 마련했다. (사진=관악구),https://n.news.naver.com/mnews/article/018/0006182968
2025-12-13 19:20:00,“억울합니다” 모텔 흉기 난동에 숨진 중학생 ‘낙인’…왜,"[이데일리 강소영 기자] 지난 3일 경남 창원 한 모텔에서 20대 남성이 흉기 난동을 벌여 중학교 2학년 남학생 등 3명이 숨진 가운데 유족이 아들의 명예를 회복시켜 달라고 호소했다.  지난 3일 경남 창원 한 모텔서 20대 남성이 흉기를 휘둘러 중학생 2명이 사망하고 1명이 중상을 입었다. 위는 20대 남성이 흉기와 술을 구매한 뒤 CCTV에 찍힌 모습. (사진=JTBC 사건반장 캡처) 숨진 남학생의 어머니는 12일 JTBC ‘사건반장’을 통해 지난 3일 오후 6시 40분쯤 경찰로부터 “아들이 크게 다쳐 응급실에 있다”는 연락을 받았다고 했다. 남편과 급히 병원으로 갔을 때 아들은 이미 숨진 상태였다고.  유족은 “아들이 끔찍한 방법으로 살해당했다는 사실도 받아들이기 힘든데, 사건 이후 아들에게 ‘모텔에서 숨진 학생’이라는 낙인이 씌워졌다”며 “아들의 억울함을 밝히고 명예를 회복시키고 싶어 제보했다”고 밝혔다.  경찰 조사에 따르면 20대 남성 A씨는 사건 당일 오후 2시 43분쯤 모텔 근처 마트에서 술과 흉기를 구매하곤 14세 B·C양과 함께 모텔로 이동했다. 이후 A씨는 ‘B양과 할 말이 있다’며 C양을 객실 밖으로 내보낸 뒤 문을 잠갔다.  안쪽에서 ‘쿵’ 소리에 겁을 먹은 C양은 D·E군을 불렀고, 이들은 이날 4시 33분쯤 모텔에 도착해 객실로 들어갔다.  그리고 30분 뒤 여중생 2명이 각각 경찰에 신고 전화를 했고, 경찰이 오후 5시 11분쯤 현장에 도착해 객실문을 두드리자 A씨는 창문을 통해 뛰어내려 결국 사망했다.  사건 당일 모텔 건너편 식당 CCTV에는 여중생 4명이 모텔 앞에 있다가 근처에서 이들을 지켜보던 A씨가 이 중 2명을 데리고 모텔로 들어가는 모습이 찍혀 있었다. 잠시 뒤 여중생 1명이 모텔에서 나와 전화를 걸었고, 그 전화를 받은 남학생 2명이 모텔로 찾아온 것이었다.  이날 흉기 난동으로 학생 4명 중 2명이 숨지고 1명이 중상을 입었다.  유족과 생존 여학생에 따르면 당시 A씨는 학생들을 모텔안으로 유인한 뒤 흉기로 위협해 휴대전화를 빼앗아 창틀에 올려뒀다. 경찰에 신고할 수 없도록 사전에 차단한 것으로 보인다.  이후 학생들에 화를 내며 술을 마시게 하고 침대에 엎드리게 했다. A씨에게는 마트에서 산 흉기 외에 또 다른 흉기도 갖고 있었으며 자해를 하며 학생들을 위협했다. 그러다 감정이 격해진 A씨는 제보자의 아들을 흉기로 찔렀고 다른 남학생이 여학생을 데리고 도망치려 했지만 객실 내무 중문이 열리지 않아 도망치지 못했다.  실제 중문 주변에선 다량의 혈흔이 발견된 것으로 알려졌다.  (사진=JTBC 사건반장 캡처) A씨는 여학생들을 오픈 채팅으로 만나 알게 됐으며 여학생 중 한 명에 집착했던 것으로 보인다. 경찰은 생존 학생을 상대로 “(모텔에 함께 있던) 친구가 ‘남자친구가 있다’는 사실을 알고 범행을 저지른 것 같다”는 진술을 확보했다.  더군다나 A씨는 2016년 미성년자를 강제추행해 소년보호처분을 받은 이력이 있었다. 3년 뒤 2019년에는 미성년자를 성폭행해 징역 5년을 선고받았고, 올해 6월에 출소한 뒤 오픈 채팅방으로 사망한 여중생에 접근한 것이었다.  앞서 검찰은 법원에 A씨의 전자발찌 부착 명령을 청구한 바 있다. 일탈적 성적 환상 가능성과 정서적 불안정 등을 이유로 재범 위험이 높다고 판단했는데, 법원은 보호관찰만으로 교정 효과가 가능하다고 보고 부착 명령을 기각했다.  유족은 “A씨가 전자발찌만 차고 있었어도 여학생들이 A씨를 다시 만나러 갈 일은 없었을 것”이라며 “A씨는 학생들에게 자신을 고등학교 3학년이라고 속였다. 아이들은 모두 피해자”라고 목소리를 높였다.  이어 “온라인에서는 ‘모텔’에서 벌어진 사건이라는 점만 부각돼 마치 학생들이 비행 청소년이라는 등의 왜곡된 말이 떠돌고 있다”며 “절대 사실이 아니”라고 강조했다.  그러면서 “아들의 장례식장에는 전교생이 찾아와 마지막 인사를 할 정도로 아들은 성실한 학생이었다”며 “아들은 이 세상에 없지만, 아들에 대한 오해만은 꼭 풀고 싶다”며 억울함을 호소했다.",https://n.news.naver.com/mnews/article/018/0006182967
2025-12-13 19:05:00,벌써 닷새째…`대규모 정보 유출` 쿠팡 본사 5차 압색 종료 (종합),"[이데일리 박기주 기자] 경찰이 대규모 개인정보 유출 사태를 빚은 쿠팡에 대한 5차 압수수색도 마무리됐다. 지난 9일 이후 닷재째 고강도 강제수사다.  지난 9일 오후 압수수색이 진행중인 송파구 쿠팡 본사에서 경찰 관계자들이 상자를 들고 나서고 있다. (사진= 연합뉴스) 서울경찰청 사이버수사과는 13일 오후 6시쯤 송파구 신천동 쿠팡 본사 사무실에 대한 압수수색을 마쳤다고 밝혔다. 이날 오전 9시 30분쯤 시작한 압수수색엔 수사전담팀 인력 6명이 투입됐고, 약 9시간 가량 진행됐다.  쿠팡에 대한 고강도 압수수색은 닷새째 이어지고 있다. 경찰은 이 기간 매일 약 10시간 동안 압수수색을 벌이고 있다. 이같이 여러 차례에 걸친 압수수색이 불가피한 이유에 대해 경찰은 개인정보 유출이 발생한 기간이 길고, 쿠팡 서버 시스템이 방대하기 때문이라고 설명했다.  경찰 관계자는 지난 9일 1차 압수수색 당시 “이번 압수수색은 사건을 정확히 파악하기 위한 필수적인 조치로, 확보한 디지털 증거 등을 바탕으로 개인정보 유출자와 유출 경로 및 원인 등 사건의 전반적인 사실관계를 종합적으로 규명할 예정”이라고 설명한 바 있다. 경찰은 이와 함께 쿠팡 내부 시스템에 보안상 허점이나 취약점이 있었는지도 확인할 것으로 알려졌다.  압수수색 영장에는 중국 국적의 전 쿠팡 직원 A씨가 피의자로 명시됐다. A씨는 정보통신망법상 정보통신망 침입과 비밀누설 혐의를 받는다.  쿠팡은 앞서 지난달 25일 내부 직원이 고객 정보를 유출했다고 보고 서울청에 고소장을 접수했다. 지난 6월부터 3370만개 계정이 노출된 것으로 파악됐다.",https://n.news.naver.com/mnews/article/018/0006182966
