날짜,제목,본문,링크
2025-12-21 15:55:00,"'탈팡 동참' 조국 ""Bom Kim, 정신차려라""...쿠팡에 '1조 과징금’ 경고","대규모 개인정보 유출 사고를 일으킨 쿠팡이 사후 수습과 책임 규명에 미온적인 태도를 보이면서 거센 후폭풍에 직면했다. 정치권에서는 강력한 행정 처분을 예고하며 압박에 나섰고 문화예술계 인사들을 중심으로 '탈팡(쿠팡 탈퇴)' 운동이 확산되면서 기업 윤리 문제로 번지는 모양새다.  조국 조국혁신당 대표는 21일 자신의 페이스북을 통해 ""쿠팡이 계속 책임을 회피하고 피해 회복 조치를 미루면 전자상거래법상 임시중지명령을 내리거나 개인정보보호법상 최대 과징금을 부과해야 한다""고 밝혔다.  조 대표는 ""일시적으로 입점 기업과 택배 노동자, 소비자에게 불편이 초래될 수 있으나 우월적 지위를 즐기며 오만방자한 태도를 보이는 쿠팡에는 강한 경고가 필요하다""며 ""임시중지 기간 동안 다른 책임감 있는 전자상거래 업체가 성장할 기회도 생길 수 있다""고 강조했다.  이어 구체적인 압박 수단으로 매출액 기반 과징금 부과를 거론했다. 조 대표는 ""임시중지명령 발동이 어렵다면 개인정보보호법에 따라 전체 매출의 최대 3% 과징금을 부과할 수 있다""며 ""쿠팡의 지난해 매출 약 41조 원을 기준으로 할 때 약 1조 원 규모""라고 설명했다.  조 대표는 글 말미에 김 의장을 향해 ""검은 머리 외국인 Bom Kim(김 의장의 영문명), 정신차려라. I am warning you(당신에게 경고한다)""라고 일침을 가했다.  조 대표는 이후 자신의 쿠팡 계정 탈퇴 화면을 캡처해 공유하며 ""쿠팡이 책임을 인정하고 대책을 마련하면 재가입을 고려할 것""이라고 밝혔다.  ■ 문화예술계 인사들도 잇달아 탈퇴 선언  쿠팡의 미온적 대응에 불만을 느낀 문화예술계 인사들도 잇달아 탈퇴 선언에 나섰다.  배우 문성근은 SNS에 ""새벽 배송? 하루 이틀 미리 주문하면 그만이다. 성질나는데 그것도 못 하냐""며 불매 운동에 동참했다.  배우 김의성 역시 ""새벽 배송 없어도 살만하다. 탈퇴한 모 업체(쿠팡)는 정신 좀 차리는 게 보이면 다시 가입할 것""이라고 꼬집었다. 작곡가 윤일상은 ""직원을 소모품처럼 다루거나 경영자의 양심보다 이윤이 앞서는 기업이라면 기꺼이 불편을 감수할 것""이라며 기업의 사회적 책임을 매섭게 몰아세웠다.  ■ 김범석 의장, 국회 청문회 불출석…여야 ""국민 기만"" 맹비난  여론이 이토록 악화된 배경에는 쿠팡의 책임 회피 논란이 자리하고 있다.  김 의장은 '글로벌 비즈니스 일정' 등을 이유로 국회 과학기술정보방송통신위원회 청문회에 연이어 불출석했고 박대준·강한승 전 대표도 불참했다.  핵심 증인들이 줄줄이 빠진 자리에는 한국어를 하지 못하는 외국인 임원들만 대리 출석했다. 이를 두고 여야 의원들은 ""국가 기관과 국민을 기만하는 처사""라며 강하게 질타했다.  현재 정부는 범부처 태스크포스(TF)를 구성해 영업정지를 포함한 행정적 조치를 검토 중이다. 국회 과방위는 불출석 증인들에 대한 고발을 의결했으며 향후 국정조사 추진까지 예고하고 있다.",https://n.news.naver.com/mnews/article/123/0002374231
2025-12-21 14:39:00,“2억 투자했는데 계약은 1년”…대리점 20% '본사 갑질 경험',"대리점 창업에 평균 2억 원이 넘는 자금을 들이고도 계약 기간이 1년 남짓에 불과해 투자 회수에 어려움이 있다는 지적이 나왔다. 본사의 판매 목표 강제나 상품 구입 압박 등 고질적인 '갑질' 관행도 여전한 것으로 드러났다.  공정거래위원회는 21일 '2025년도 대리점거래 서면실태조사 결과'를 발표했다. 이번 조사는 식음료·의류·통신·제약·자동차판매·여행·스포츠·레저 등 21개 업종의 510개 공급업자와 5만 개 대리점을 대상으로 올해 5월부터 12월까지 진행됐다.  조사 결과, 대리점주들이 창업 시 투입하는 평균 비용은 2억1430만 원으로 집계됐다. 이는 전년(1억9606만 원) 대비 9.3%나 증가한 수치다. 특히 자동차판매와 석유유통 업종은 평균 5억 원 이상의 자본이 필요한 것으로 조사됐다.  점포 리뉴얼 등 추가 투자도 적지 않았다. 지난해 점포를 새로 단장한 대리점은 전체의 14.0%였으며 평균 소요비용은 5593만 원, 리뉴얼 주기는 평균 7.5년이었다. 이 가운데 28.7%는 공급업자의 요청으로, 71.3%는 대리점주의 자발적 결정으로 이뤄졌다.  하지만 투자비용에 비해 계약 구조는 불안정했다. 전체의 62.0%가 1년 단위로 계약을 체결했고, 계약기간을 아예 정하지 않은 경우도 17.5%에 달했다. 반면 실제 거래 관계를 5년 이상 유지한 대리점은 70.2%, 10년 이상 장기 지속한 곳도 46.1%에 이르렀다.  ■불공정행위 20.5%…자동차·보일러·레저 업종 '심각'  공급업자의 불공정행위를 경험한 대리점 비율은 20.5%로, 전년(16.6%)보다 3.9%포인트 상승했다. 업종별로는 자동차판매(58.6%), 보일러(39.3%), 스포츠·레저(32.3%)에서 피해가 심했다. 불공정행위 유형으로는 ▲판매 목표 미달 시 벌칙 부과(7.8%) ▲상품 구매 강요(4.6%) ▲경영정보 제공 요구(4.2%) 등이었다.  특히 자동차판매 대리점의 절반(50.2%)이 판매 목표 강제를 경험했으며 보일러(30.0%), 주류(20.0%) 업종도 높은 수준이었다. '밀어내기식 판매'라고 불리는 상품 구입 강제도 스포츠·레저(23.6%), 보일러(19.3%) 업종에서 빈번했다.  또 본사 측이 대리점의 영업정보 제공을 요구하는 행위는 자동차판매(9.3%), 기계(7.2%), 화장품(7.0%) 업종에서 많았다.  ■온라인 판매도 본사 통제…""브랜드 보호 명목, 실상은 제한""  온라인 판매를 둘러싼 갈등도 눈에 띈다. 공급업자(본사)가 동일 상품을 온라인으로 판매한다는 응답은 29.3%였으나, 대리점이 온라인 판매를 하는 비율은 11.6%에 그쳤다.  온라인 판매 경험이 있는 대리점의 23.6%는 본사로부터 '온라인 판매 금지 또는 제한 요구'를 받은 것으로 나타났다. 화장품(62.1%), 가구(70.0%), 스포츠·레저(67.7%), 의류(64.3%) 업종은 온라인 의존도가 높지만, 일부 브랜드는 ""이미지 훼손 우려""를 이유로 사실상 온라인 판매를 막는 것으로 나타났다.  ■ 만족도 높지만 체감 개선도 소폭 하락  대리점주들의 거래 만족도는 88.6%로 전년 대비 0.8%포인트 낮아졌다. '거래 관행이 개선됐다'고 느낀 체감도 역시 91.6%로 0.2%포인트 하락했다. 만족도가 높은 업종은 제약(97.5%), 주류(95.1%), 의료기기(95.8%)였고 자동차판매(73.2%), 화장품(72.9%), 스포츠·레저(74.1%) 업종은 낮았다.  공정위는 ""대리점주들은 구조적 불균형으로 인해 본사의 부당한 요구에 대응하기 어렵다""며 ""대리점법상 '단체구성권'을 보장하는 제도 개선을 추진해 점주들의 협상력을 강화할 방침""이라고 밝혔다.",https://n.news.naver.com/mnews/article/123/0002374230
2025-12-21 13:05:00,"보상액만 2.3조원?...소비자위 ""SKT, 해킹피해자에 10만원씩 보상""","지난 4월 발생한 SK텔레콤(SKT)의 대규모 개인정보 유출사고와 관련해 피해 소비자들이 1인당 총 10만원 상당의 보상을 받을 수 있는 길이 열렸다.  21일 한국소비자원에 따르면 소비자분쟁조정위원회는 지난 18일 집단분쟁조정회의를 열고 ""SKT가 사고 피해자들에게 1인당 통신요금 할인 5만원과 티플러스포인트(멤버십 포인트) 5만 포인트를 지급하라""고 결정했다.  앞서 소비자 58명은 지난 5월 SKT의 '홈가입자서버(HSS)' 해킹사고로 인해 개인정보가 유출됐다며 피해 보상과 재발 방지를 요구하는 집단분쟁조정을 신청했다. 이에 위원회는 9월 1일부터 3차례에 걸쳐 조정회의를 개최하고 논의를 이어왔다.  위원회는 민관합동조사단 조사와 개인정보보호위원회의 처분 결과 등을 토대로 SKT의 보상 책임을 인정했다.  아울러 SKT가 앞서 시행한 '고객감사패키지' 보상안에서 가입 요금제에 따라 보상액이 달라지는 것은 부당하다고 판단했다. 해당 패키지에는 통신요금 50% 할인, 데이터 매월 50GB 추가 제공, 멤버십 50% 이상 할인 등이 포함돼 있었다.  이에 따라 모든 피해자에게 동일하게 5만원 요금 할인을 적용하도록 결정했다.  이번 해킹 사고의 피해자가 약 2300만 명에 달하는 점을 고려하면 전체 피해자 보상 규모는 최대 2조3000억원에 이를 것으로 예상된다. 위원회는 과거 대규모 개인정보 유출 사례의 1인당 보상액(10만원)과 사업자의 수락 가능성 등을 종합적으로 검토해 이번 보상안을 도출했다.  한용호 위원장은 ""대규모 소비자 피해를 신속히 회복하면서도 사업자의 자발적 보상을 통한 신뢰 회복 노력을 참작해 이번 보상안을 도출했다""며 ""최근 연속된 개인정보 유출 사례를 감안할 때, 재발 방지를 위한 사업자의 기술적·제도적 노력이 더욱 중요하다""고 강조했다.  위원회 사무국은 SKT에 조정결정서를 조속히 통지할 예정이다. SKT는 결정서를 받은 날로부터 15일 이내에 조정 수락 여부를 위원회에 통보해야 하며, 수락 시 재판상 화해 효력이 발생한다. 별도의 의사표시가 없을 경우에는 자동으로 수락한 것으로 간주된다.  이번 결정과 관련해 SK텔레콤은 ""소비자원 조정안을 면밀히 검토한 뒤 신중히 결정하겠다""고 밝혔다. 회사 측은 보상 규모와 방식에 대한 내부 검토를 진행 중인 것으로 알려졌다.",https://n.news.naver.com/mnews/article/123/0002374229
2025-12-21 12:08:00,"이억원, 금융권 '주담대 편식' 제동…""부동산 넘어 성장산업으로""","금융당국의 강도 높은 가계대출 총량 관리로 연말 '대출 절벽' 우려가 커지는 가운데, 이억원 금융위원장이 당분간 현 기조 유지가 불가피하다는 입장을 재확인했다.  이 위원장은 21일 KBS 일요진단 라이브에 출연해 ""총량적 측면에서 가계부채 관리 기조는 불가피해 내년에도 일관되게 가져갈 수밖에 없다""고 밝혔다.  그는 ""현재 가계부채의 절대 수준이 워낙 높다""며 ""총량 증가율을 경상성장률보다 낮게 유지하면서 부채 규모를 서서히 줄여나가는 연착륙 정책이 필수적""이라고 강조했다.  다만, 연말 대출 중단사태 등 '대출 쏠림'으로 인한 실수요자 피해에 대해서는 ""특정 시기에 대출이 몰리는 문제를 완충할 해법을 살펴보겠다""며 보완 가능성을 시사했다.  금융권의 영업 관행에 대해서는 강도 높은 구조 전환을 주문했다. 이 위원장은 ""금융이 부동산 담보 대출에 의지해 편하게 장사하던 시절이 한국 경제 발전에 얼마나 기여했나""라고 반문하며 ""이제는 미래 산업과 기업 쪽으로 자금 흐름의 물꼬를 바꿔야 한다""고 꼬집었다.  이어 ""지금처럼 금융이 담보 위주의 장사에만 치중하면 결국 금융 산업 자체의 지속가능성도 위협받게 된다""고 경고했다.  최근 국회를 통과한 은행법 개정안과 관련해서는 금리 인하 여력을 넓히는 계기가 될 수 있다고 평가했다. 해당 개정안은 은행이 법정 출연금 등 비용을 대출 금리에 반영하지 못하도록 하는 내용을 담고 있다.  이 위원장은 ""경쟁이 촉진되면 자동으로 금리 하방 압력이 작동할 수 있도록 여러 방안을 고민하고 있다""며 ""은행들이 우대금리 축소 방식으로 대응하지 않도록 시장 감시와 압력, 금리 인하 요구권 등 다양한 장치가 작동하도록 만들겠다""고 말했다.  ■ 코스닥 '다산다사' 구조 개선 성과  코스닥 시장의 체질 개선 성과도 소개했다. 이 위원장은 ""부실기업은 신속히 퇴출하고 혁신기업은 빠르게 상장할 수 있도록 '다산다사' 구조를 만들고 있다""며 """"과거에는 연간 15개 안팎이 상장폐지됐다면 올해만 38개 기업이 상장폐지 결정을 받았다""고 설명했다. 연기금의 코스닥 참여 확대를 위해 지수 반영 비중을 조정하는 방안도 추진 중이라고 덧붙였다.  자본시장 신뢰 회복을 위한 강력한 사법 조치와 시장 정화 방안도 언급됐다. 이 위원장은 ""이재명 대통령의 지시로 구성된 합동대응단이 가동 두 달 만에 1·2호 사건을 적발했다""며 ""1호 사건에서는 75개 계좌, 약 1000억원을 지급정지해 자금을 묶었다""고 밝혔다.  이어 ""주가조작을 하면 패가망신한다는 신호를 실제 조치로 보여주는 것이 중요하다""고 역설했다.  ■ 서민금융 '크레딧 빌드업'으로 신용 사다리 구축  대출 규제 강화 속에서도 금융 취약 계층을 위한 보호 장치로는 '크레딧 빌드업' 정책을 제시했다. 그는 ""금융 취약계층이 성실 상환으로 신용을 쌓으면 제도권 금융으로 이동할 수 있는 신용 사다리를 만들겠다""며 ""이를 통해 기존 취약 계층이 정상적인 금융 생활로 이동하면, 비워진 공간에 새로운 취약 계층을 지원하는 선순환을 기대한다""고 말했다.",https://n.news.naver.com/mnews/article/123/0002374228
2025-12-21 11:03:00,“치즈가 치매 위험 낮춘다고?”…전문가들도 놀란 연구 결과,"지방 함량이 높은 치즈나 크림을 꾸준히 섭취한 사람들이 장기적으로 치매 발병 위험이 더 낮았다는 연구 결과가 나왔다.  19일(현지시간) 유로뉴스에 따르면 스웨덴 룬드대학교 에밀리 소네스테트 박사 연구팀은 최근 미국신경학회(AAN) 학술지 '신경학(Neurology)'에 게재한 논문에서 고지방 유제품 섭취가 치매 위험 감소와 연관될 수 있다는 결과를 발표했다.  연구팀은 평균 연령 58세인 성인 2만7670명을 대상으로 약 25년간 식단과 치매 발병률을 추적 관찰했다.  그 결과, 지방 함량 20% 이상인 고지방 치즈(체다·브리·고다 등)를 하루 50g 이상 섭취한 사람들은 하루 15g 미만 섭취한 사람들보다 치매 발병 위험이 13% 낮았다.  또 지방 함량 30~40% 수준의 고지방 크림을 하루 20g 이상(약 1~2큰술) 섭취한 사람들은 전혀 섭취하지 않은 사람들에 비해 치매 위험이 16% 낮은 것으로 나타났다.  특히 고지방 치즈를 자주 섭취한 그룹은 혈관성 치매 위험이 29% 감소했으며, 알츠하이머병의 경우에는 유전적 위험 인자인 APOE ε4 변이를 보유하지 않은 사람들에게서만 위험 감소 경향이 관찰됐다.  반면 저지방 치즈나 크림, 고·저지방 우유, 버터, 요거트, 버터밀크 등 다른 유제품에서는 치매 위험 감소 효과가 나타나지 않았다.  다만 연구팀은 이번 결과가 인과관계를 입증한 것은 아니라고 선을 그었다.  소네스테트 박사는 ""이번 연구는 관찰 연구이므로 이 결과를 근거로 고지방 유제품 섭취를 급격히 늘리는 것은 권장하지 않는다""면서도 ""고지방 유제품 섭취를 무조건 피해야 한다는 기존 인식에는 균형 잡힌 재평가가 필요하다""고 말했다.  타라 스파이어스-존스 영국 에든버러대 뇌과학연구센터 교수는 ""참가자들의 식단이 25년 전 한 번만 측정됐다는 점에서 한계가 있다""며 ""특정 음식 하나보다는 전반적인 생활 방식이 뇌 건강의 핵심""이라고 지적했다.",https://n.news.naver.com/mnews/article/123/0002374227
2025-12-21 10:36:00,의사 부족에 李 “원인 제거가 해법”… 복지부 수가·책임보험 구조개편,"대한민국 의료 체계의 최전선인 필수·지역의료가 붕괴 위기에 직면한 가운데, 이재명 대통령이 '단순 인력 보충'을 넘어선 '원인 해결' 중심의 강도 높은 구조 개혁을 주문했다. 정부는 이에 발맞춰 필수의료 기피의 구조적 원인을 겨냥한 구체적인 로드맵 이행에 속도를 내고 있다.  이 대통령은 지난 16일 보건복지부 업무보고에서 ""흉부외과나 신경외과 의사가 사라진다는 이야기는 10년 전부터 들었다""며 ""이제는 소아청소년과, 산부인과, 마취과까지 기피된다고 한다. 결국 그 분야는 의사가 없어질 것""이라고 우려했다.  이 대통령은 필수의료 기피의 핵심 원인으로 ▲노동·투자 대비 지나치게 낮은 수가 ▲의료사고에 따른 민·형사상 과도한 책임 ▲24시간 365일 대기해야 하는 근무 환경을 지목했다.  그러면서 ""문제가 생긴 뒤 인력을 채우는 방식이 아니라 원인을 제거하는 게 정상적인 해법""이라며 ""보상이 낮으면 보상을 올려야 하고, 위험을 떠안는 구조라면 그것부터 바꿔야 한다""고 강조했다.  ■ '저수가·사법 리스크' 정조준… 건보 재정 구조 개편  이에 복지부는 대통령의 문제 인식에 맞춰 보상 체계의 근본적인 개편에 착수했다.  우선 필수의료 분야에 대한 보상 체계를 개편한다. 소아청소년과·산부인과·외과 등 기피 진료과의 수가를 단계적으로 인상하되, 기존 검체·영상 검사나 경증 진료에 과도하게 쏠려 있던 건강보험 재원을 중증·필수 진료로 과감히 재배분한다는 방침이다.  특히 의료 취약지역 진료 시 보상을 높여주는 '지역수가'를 내년 하반기 도입하고, 2027년에는 1조 원 규모의 '필수의료 특별회계'를 신설해 국립대병원 등 거점 의료기관의 인력과 시설을 집중 지원한다.  의료사고에 따른 과도한 법적 부담을 완화하기 위한 제도 개선도 병행된다.  의가 없는 의료사고에 대해 기소와 처벌을 제한하는 특례를 마련하고, 책임보험 가입 의무화를 통해 개인이 천문학적인 배상 책임을 떠안는 구조를 개선하기로 했다.  ■ 지역의사제·공공의대 도입…인력 공급망 체질 개선  의료 인력의 지역 편중을 해결하기 위한 중장기 인력 양성 대책도 병행한다.  2007년부터 의대 신입생 중 일정 비율을 선발해 10년간 의무 복무를 조건으로 하는 '지역의사제'를 도입한다. 또한 국가가 선발부터 교육, 배치까지 관리하는 '공공의대'를 2029년 개교 목표로 추진해 지역·공공의료 인력 기반을 강화한다는 구상이다.  전문의에게 일정 수당과 정주 여건을 보장하는 '지역필수의사제' 는 내년 4개 시·도에서 6개 시·도로 확대된다.  복지부는 내년 1분기 중 '의료 혁신전략'의 세부 의제를 공개하고 각계 의견 수렴을 거쳐 대한민국 의료의 구조적 대전환을 완성해 나갈 방침이다.",https://n.news.naver.com/mnews/article/123/0002374226
2025-12-21 09:04:00,50대에게도 밀린 ‘경제 허리’…40대 취업 비중 30년 만 최저,"한국 경제의 고용·소비 중심축인 40대가 흔들리고 있다. 취업자 수 감소가 3년 넘게 이어지면서 내수 전반에 부담으로 작용할 수 있다는 우려가 나온다.  21일 국가데이터처(옛 통계청) 국가통계포털(KOSIS)에 따르면 지난달 40대 취업자는 615만4000명으로 전년 동월보다 9000명 감소했다. 2022년 7월 이후 41개월 연속 감소세다.  전체 취업자 가운데 40대가 차지하는 비중은 21.2%로, 1995년 이후 11월 기준 가장 낮은 수준이다. 특히 2019년 23.6%로 동률을 이뤘던 40대와 50대의 비중은 2020년부터 역전되기 시작해 그 격차가 점차 벌어지는 양상이다.  40대 고용 부진의 가장 큰 원인은 '인구 감소'다. 지난달 40대 인구는 1년 전보다 12만 9000명 급감했다. 취업자보다 인구가 더 빠르게 줄면서 고용률(80.7%)이 상승한 것으로 보이는 착시 현상까지 나타나고 있다.  제조업 부진 역시 40대 고용 위축의 주요 요인으로 꼽힌다. 40대 비중이 높은 제조업 취업자는 17개월 연속 감소세다. 인공지능(AI) 도입과 경영 효율화를 이유로 대기업들이 희망퇴직 연령을 40대까지 낮추면서 고용 안정성이 급격히 약화됐다는 진단도 나온다.  문제는 이러한 고용 위축이 소비 둔화로 번지고 있다는 점이다.  가계동향조사에 따르면 2인 이상 비농림어가 기준 가구주가 40대인 가구의 올해 3분기 소비지출 증가율은 1.4%에 그쳤다. 2023년 2분기 이후 9분기 만에 가장 낮은 수준이다.  주택 구입과 자녀 양육·교육, 내구재 소비가 집중되는 세대인 만큼 40대의 위축은 내수 전반에 직접적인 영향을 미칠 가능성이 크다는 분석이 나온다.  허준영 서강대 경제학부 교수는 연합뉴스에 ""40대는 생산성과 경험 면에서 가장 활발한 연령층으로, 앞으로 10~15년은 경제활동의 중심에 있어야 할 세대""라며 ""결국 해법은 일자리 확보""라고 강조했다.",https://n.news.naver.com/mnews/article/123/0002374225
2025-12-21 08:09:00,사법부 예규에도 ‘입법 쐐기’...민주 “내란재판부 설치법 연내 처리”,"대법원이 내란·외환 사건을 전담할 재판부 설치를 위한 예규 제정을 예고했지만, 더불어민주당은 이를 '면피용 조치'로 규정하며 연내 법안 처리를 강행하겠다는 방침을 고수하고 있다.  21일 정치권에 따르면 민주당은 오는 23일 본회의에 수정된 내란전담재판부 설치법안을 상정할 계획이다. 국민의힘이 필리버스터(무제한 토론)에 나설 경우, 민주당은 이를 종결한 뒤 이르면 24일 법안을 처리한다는 구상이다.  앞서 대법원은 지난 18일 '국가적 중요 사건에 대한 전담재판부 설치 및 심리절차에 관한 예규'를 제정하겠다고 밝혔다. 내란·외환죄와 군형법상 반란죄 등을 전담재판부에서 집중 심리하도록 하는 것이 골자다. 예규는 행정예고 절차를 거쳐 항소심이 본격 개시되기 전 시행될 전망이다.  그러나 민주당은 대법원의 자체 예규만으로는 사법 불신을 해결하기 어렵다는 입장이다. 예규는 사법부 내부 규범에 불과해 관련 제도를 법률로 명확히 규정해 안정성을 확보해야 한다는 논리다.  정청래 대표는 지난 19일 최고위원회의에서 ""예규는 바람 불면 꺼지는 촛불과도 같다""며 ""조희대 대법원장이 기분 내키면 예규를 마음대로 만들듯이 변심하면 언제든지 없앨 수 있는 불안정한 것""이라고 지적했다.  백승아 원내대변인도 전날 국회 브리핑에서 ""예규 하나로 내란재판 지연과 사법불신을 해결할 수 없다""며 ""사법부는 국회가 법을 통과시키면 그에 따라 즉시 시행하면 된다""고 말했다. 이어 ""신속한 내란 종식과 제2의 지귀연 같은 재판부를 원천 차단하기 위해 반드시 연내 처리하겠다""고 강조했다.  민주당은 입법 과정에서 제기된 위헌 논란을 해소하기 위해 판사 추천권을 법원 내부로 돌리는 수정안을 검토 중이다. 전국법관대표회의 6명, 각급 판사회의 3명 등 총 9명의 내부 위원으로 추천위를 구성해 외부 인사 개입 시비를 차단하겠다는 취지다.  조국혁신당도 ""위헌 요소가 해소된 만큼 즉각적인 법안 통과에 박차를 가하겠다""며 힘을 보탰다.  반면 국민의힘은 사법부가 스스로 대안을 제시한 만큼 입법은 불필요하다는 입장이다.  박성훈 수석대변인은 ""사법부가 효율적인 재판 운영을 위해 내놓은 합리적 결정에 민주당이 악법을 강행할 명분은 없다""며 ""특정 사건의 결과를 입맛대로 조정하기 위한 위험한 시도를 중단하라""고 촉구했다.  박 수석대변인은 특히 민주당의 추천위 구성 방식을 두고 ""결국 '코드 인사'를 통해 사법부를 장악하려는 의도""라고 비판하며 필리버스터를 통한 대국민 여론전을 예고했다.",https://n.news.naver.com/mnews/article/123/0002374224
2025-12-21 07:06:00,"젤렌스키 “미국, 3자 협상 제안”…푸틴에 “우크라 선거 간섭 말라”","볼로디미르 젤렌스키 우크라이나 대통령은 20일(현지시간) ""블라디미르 푸틴 러시아 대통령이 우크라이나 선거 문제에 개입할 권한이 없다""고 강하게 비판했다.  젤렌스키 대통령은 이날 키이우에서 열린 기자회견을 통해 ""우크라이나 선거의 시기나 형식은 오로지 우크라이나 국민이 결정할 문제다. 푸틴은 어떤 방식으로도 선거에 영향을 미칠 수 없다""고 일축했다.  이는 푸틴 대통령이 전날 모스크바에서 열린 연례 기자회견 겸 국민과의 대화에서 우크라이나가 대선을 실시할 경우 선거 당일 우크라이나 영토 깊숙한 지역에 대한 공격을 중단할 준비가 돼 있다고 밝힌 데 대한 반박이다. 그는 또 러시아에 거주하는 500만~1000만 명의 우크라이나인도 투표에 참여해야 한다고 주장했다.  이에 대해 젤렌스키 대통령은 ""투표는 우크라이나 정부가 통제하는 영토 내에서만 가능한 일""이라면서 ""러시아가 점령한 지역에서 선거를 치를 수는 없다. 그곳에서 어떤 결과가 나올지는 뻔하기 때문""이라고 지적했다.  그는 선거 실시의 전제 조건으로 '안전'과 '법적 기반'을 제시하며 ""특히 군인들이 안전하게 투표할 수 있도록 보장하는 것이 중요하다""고 강조했다. 이어 ""이미 미국 측과 이 문제를 논의했다. 안전한 선거를 보장하기 위한 방안에는 휴전, 전쟁 종식, 또는 최소한 선거 기간 동안의 휴전이 포함될 수 있다""고 설명했다.  젤렌스키 대통령은 우크라이나 외무부가 재외 국민 투표를 위한 인프라 구축에도 착수했다고 밝혔다. 앞서 그는 도널드 트럼프 미국 대통령이 우크라이나가 전쟁을 이유로 선거를 회피하고 있다고 비판하자 러시아의 공습으로부터 안전만 확보된다면 선거를 치를 준비가 돼 있다는 입장을 밝힌 바 있다.  한편 젤렌스키 대통령은 종전 협상과 관련해 ""미국이 우크라이나와 러시아 간 대면 회담을 제안했다""고 밝혔다. 그는 ""미국이 국가안보보좌관급 3자 회담 형식을 제시했으며 이 회담이 전쟁포로 교환이나 3자 정상회담 합의로 이어질 수 있다면 지지할 것""이라고 말했다.  젤렌스키 대통령은 휴전 조건에 대해 ""양측이 현 전선에서 멈추는 것이 타협안이 될 수 있다""며 도네츠크 지역 내 러시아 비점령 지역은 우크라이나가 통제해야 한다는 원칙을 재확인했다. 돈바스 지역을 자유경제구역으로 설정하는 방안에 대해서는 ""그 문제는 우크라이나 국민이 결정할 사안""이라고 선을 그었다.",https://n.news.naver.com/mnews/article/123/0002374223
2025-12-21 05:01:00,주담대 없는 70대 ‘최대 수혜’...日 금리 인상이 가른 세대별 명암,"일본은행(BOJ)의 기준금리 인상으로 일본 가계의 전체적인 이자 수입은 늘어나겠지만, 보유 자산과 부채 규모가 상이한 세대별로는 그 수혜와 타격의 명암이 극명하게 엇갈린다는 분석이 나왔다.  20일 요미우리신문에 따르면 일본 민간 싱크탱크 미즈호리서치&테크놀로지스는 지난 19일 BOJ의 기준금리 인상 결정에 따른 가계 파급 효과를 분석한 결과, 일본 전체 가계에는 연간 약 8000억엔(약 7조5000억원) 규모의 순이익이 발생할 것으로 추산했다.  이를 2인 이상 가구 기준으로 환산하면 가구당 연평균 약 1만5000엔(약 14만1000원)의 이익이 예상된다.  하지만 연령대별로는 명암이 뚜렷하게 갈린다. 예금 자산이 상대적으로 많은 50대 이상 고령층은 금리 인상으로 인한 이익을 누리는 반면 주택담보대출 부담이 큰 40대 이하 젊은 층은 오히려 부담이 커질 것으로 분석됐다.  가장 큰 수혜자는 70세 이상 고령층이다. 주택담보대출 상환을 거의 끝내고 금융자산을 축적한 이들은 예금 및 국채 이자 수입이 늘어나며 가구당 연간 4만1000엔(약 38만6000원)의 이득을 볼 전망이다. 이어 60대 3만3000엔(약 31만원), 50대 8000엔(약 7만5000원) 순으로 이익이 예상됐다.  반면 30대 가구는 연간 2만7000엔(약 25만4000원)의 추가 부담을 짊어지게 됐다. 주택을 구입한 지 얼마 되지 않아 대출 잔액은 정점에 달해 있는 반면 예금 자산은 상대적으로 적기 때문이다. 40대 역시 연간 1만 4000엔(약 13만2000원)의 손실이 예상돼 젊은 층일수록 금리 인상의 직격탄을 맞는 구조다.  한편, 금리 인상의 영향은 금융시장에서도 이미 나타나고 있다. 일본의 10년 만기 국채 수익률은 지난 19일 기준 2.02%를 기록하며 1999년 8월 이후 약 26년 4개월 만에 최고치를 경신했다.  시중은행들도 발 빠르게 대응에 나섰다. 미쓰비시UFJ은행, 미쓰이 스미토모은행, 미즈호은행 등 주요 은행은 내년 2월부터 보통예금 금리를 0.2%에서 0.3%로 인상한다고 발표했다. 이는 약 33년 만의 최고 수준이다.  또한 MUFG은행과 미즈호은행은 변동형 주택담보대출 금리에 영향을 미치는 단기 우대대출금리를 1.875%에서 2.125%로 올리기로 했다.  주택금융지원기구의 시뮬레이션에 따르면 4500만엔(약 4억2000만원)을 변동금리로 빌린 경우, 금리 인상 전 월 11만5000엔(약 108만1700원)이던 상환액은 약 12만9000엔(약 121만3000원)으로 늘어난다.",https://n.news.naver.com/mnews/article/123/0002374222
