날짜,제목,본문,링크
2025-12-09 23:43:00,한밤중 어선 침입해 300만원어치 물품 훔쳐 판 50대 검거,"늦은 밤 어선에 몰래 들어가 공구류, 낚시용품 등을 훔친 50대가 해양경찰에 붙잡혔다.  경남 사천해양경찰서는 50대 남성 A 씨를 야간 선박 침입 절도 혐의로 검거해 불구속 입건했다고 9일 밝혔다.  사천해경에 따르면 A 씨는 지난 11월 창원지역에서 버스를 타고 이동하며 사천시 삼천포 지역 항·포구에서 야간에 정박한 선박 여러 척에 들어가 공구류, 낚시용품 등 300만원 상당의 물품을 훔친 혐의를 받는다.  그는 훔친 물건을 중고물품 거래 앱에 판매해 현금을 챙겼다.    신고받은 해경은 폐쇄회로(CC)TV를 활용해 동선을 추적하고 관계자 탐문 수사를 통해 이동 경로를 파악해 A 씨가 전북 군산지역으로 갔다는 것을 확인했다.  이후 체포영장을 발부받아 군산에서 잠복수사를 펼쳤고 지난 4일 오후 5시께 A 씨를 검거했다.  해경은 A 씨를 상대로 구체적인 범행 경위와 공범 여부, 추가 범행 여부, 장물 유통 경로 등을 조사하고 압수한 피해 물품을 피해자에게 돌려줄 예정이다.  사천해경 관계자는 ""선박 절도는 지역 어민 생계와 직결되는 범죄""라며 ""어민 피해 예방을 위해 항구, 포구 지역 선박 대상 절도 및 침입 범죄를 집중적으로 단속하고 야간 순찰도 강화하겠다""고 말했다.",https://n.news.naver.com/mnews/article/277/0005691254
2025-12-09 23:27:00,"남해군민 ""농어촌 기본소득 도비 126억 전액 삭감 철회하라""","경남도의회 상임위원회가 남해군 기본소득 시범사업 도비 분담금을 전액 삭감하자, 남해군민이 예산 복원을 함께 촉구하고 나섰다.  농어촌기본소득운동경남연합과 남해군농어촌기본소득추진연대는 9일 오전 도의회 현관 앞에서 기자회견을 열고 ""도의회는 농어촌 기본소득 시범사업 도비 전액 삭감 결정을 철회하고 예산을 원안대로 복원하라""고 외쳤다.  단체는 ""도의회가 남해군 농어촌 기본소득 시범사업 도비 126억원 전액을 잘라낸 건 경남은 국가 시범사업에서 빠지겠다고 한 선언과 같다""며 ""도의회는 도비를 끊어 남해를 사업에서 탈락시킬 위기를 만들고 있고, 이는 농어촌 정책을 거꾸로 돌리는 결정""이라고 비판했다.  또 ""남해는 인구감소와 고령화가 심각한 소멸위험 지역""이라며 ""국가가 전국 10개 군을 대상으로 직접 효과를 검증하는 시범사업을 특정 지역 특혜라고 말하는 건 사실을 의도적으로 왜곡하는 주장이다""라고도 했다.  이어 ""남해군에서 지급되는 기본소득은 지역사랑상품권으로 지급되며 지역 상점과 소상공인 중심으로 쓰이도록 설계돼 있다""라며 ""농어촌 주민의 기본적 삶을 지키고 수도권과 대도시로 빨려 나가는 돈을 지역 안에서 돌려보내는 시도를 포퓰리즘이라 부르는 건 농어촌 현실을 전혀 모른다는 말과 같다""라고도 주장했다.    서봉석 농어촌기본소득운동 경남연합 위원장은 ""삭감된 재정을 복원하는 건 추가 금액을 부담하는 게 아니라 약속한 126억원을 그대로 통과시키는 것""이라며 ""이를 삭감해서 농민의 앞길을 막지 말아달라""고 말했다.  최경진 남해군농어촌기본소득추진연대 상임대표는 ""농어촌 기본소득은 벼농사 비룟값이 될 수도, 시금치 종잣값이 될 수도, 부모님 병원비이나 요양원비가 될 수도 있다""며 ""남해에서만 쓰고, 농민의 삶을 조금이라도 버티게 하고 지역경제를 돌게 하는 최소한의 안전망인 이 사업이 진행되게 도비 예산을 지켜달라""라고 했다.  '농어촌 기본소득 시범사업'은 인구감소와 초고령화로 인한 소멸 위기 군 지역을 대상으로 농림축산식품부가 추진하는 사업으로, 시범 기간인 2026년부터 2027년까지 2년간 매달 15만원, 연간 180만원의 지역사랑상품권이 기본소득으로 제공된다.  시범사업에 선정된 남해군의 농어촌 기본소득 사업 전체 예산은 702억이다.  앞서 경남도는 지난 7월 극한호우로 인한 수해 지역 복구비 지출, 내년 농어업인 수당 인상, 민생회복 소비쿠폰에 도비 투입 등으로 재정 부담이 커 시범사업에 도비를 지원하지 않기로 했다가 고심 끝에 60％ 지방비 부담금 전체에서 30％, 즉 18％를 부담하기로 했다.  이에 정부가 208억 8000만원(40％), 도가 126억 3600만원(18％), 남해군이 294억 8400만원(42％)씩 부담한다.  그러나 국회가 농어촌 기본소득 시범사업 예산 심사에서 부담 비율을 국비 40％, 도비 30％, 군비 30％로 해야 한다는 부대의견을 달며, 도비를 최소 30％ 이상 반영하지 않으면 국비 부담을 보류하겠다고 했다.    지난 3일 도의회 농해양수산위원회는 경남도가 제출한 내년도 예산안 농정국 예비 심사에서 지방비 대거 투입 부담, 위장전입 등 부작용, 특정 지역에만 혜택이 가는 선심성 정책 등의 이유로 이 사업 도비 부담분 전액을 삭감해 예산결산특별위원회로 넘겼다.  여기에 농림부가 국회 부대의견이 담긴 공문을 경남도 등 시·도에 통보한 점도 고려한 것으로 전해졌다.  이 상황에서 도가 반영한 예산이 예결특위에서 전부 삭감되면 남해군 기본소득 사업이 무산될 수 있다.  앞서 장충남 남해군수는 전날 도의회를 찾아 최학범 의장과 이경재 예결위원장, 예결위원 등을 잇달아 만나 농어촌 기본소득 경남도 예산 복원을 거듭 요청했다.  장 군수는 ""사업의 적정성과 재정 투입 현황 등을 면밀하게 살펴야 하는 농해양수산위원회의 입장과 우려 등을 충분히 이해한다""면서도 ""남해군이 사업 추진에 적극적으로 힘을 다해온 과정을 한 번 더 살펴, 국가 시범사업을 원활히 추진할 수 있도록 도의회의 협조를 간곡히 부탁드린다""라고 말했다.  오는 10일 도의회 예결특위는 이 사업 도비 분담금 복원 여부를 결정해 본회의에 넘길 예정이다.  넘겨진 예산안은 오는 16일 제428회 정례회 제6차 본회의에서 최종 확정된다.",https://n.news.naver.com/mnews/article/277/0005691252
2025-12-09 23:27:00,16년 전 '창원 택시기사 살인사건' 다시 살피나 … 재심 여부 첫 심리 열려,"이른바 '창원 택시기사 살인사건'의 재심 여부를 가릴 첫 재판이 9일 열렸다.  경남 창원지방법원 제2형사부(김성환 부장판사)는 우즈베키스탄 국적의 보조로브 아크말 씨 측이 제기한 재심 청구사건 첫 심문을 진행했다.  앞서 2009년 3월 창원시 의창구 명서동의 한 골목에 세워진 택시 안에서 50대 택시기사 A 씨가 숨진 채 발견됐다.  A 씨에게는 끈으로 목이 졸리고 흉기에 여러 차례 찔린 흔적이 확인됐고, 관할 경찰인 창원서부경찰서는 범인이 손님인 척 택시에 탔다가 A 씨를 살해하고 돈을 훔쳐 달아났을 거라고 보고 수사에 착수했다.  그러나 택시에서 범인을 특정할 수 있는 흔적이 발견되거나 전날 밤 운행하던 기사를 본 사람도 없어 사건은 미궁에 빠졌다.  그러다 같은 해 7월 택시 강도 사건을 벌인 아크말 씨 등 우즈베키스탄 국적 외국인 3명이 검거됐고, 아크말 씨의 자백을 받은 경찰로부터 사건을 넘겨받은 검찰이 아크말 씨를 법정에 세웠다.  19살이었던 아크말 씨는 19살이었던 택시 기사를 살해하고 금품을 훔친 혐의 등으로 무기징역을 선고받고 이듬해 대법원 상고가 기각돼 형이 확정됐다.  아크말 씨 측은 지난 1월 창원지방법원에 재심 청구서를 냈다.    이날 변호인은 ""자백이 사실상 유일한 증거인 사건에서 미성년 외국인이라는 취약한 지위의 피고인이 위법한 수사와 형식적인 국선변호, 부실한 재판 심리 속에 유죄 판결을 받았다""라며 재심 청구 이유를 밝혔다.  이어 ""강도살인죄의 법정형은 사형 또는 무기징역으로, 피고인은 당시 검사로부터 사형을 구형받았으나 피고인은 자신에게 구형된 형량이 생명을 박탈하는 것인지 제대로 인지하지 못했다""라며 ""검사 역시 당시 구형 의견에서 피고인 자백 외에 이 사건 범행이 피고인의 소행이란 사실을 입증할 명백하고 확실한 직접증거는 없다고 명시했다""라고 설명했다.  변호인은 사건 수사 당시 아크말 씨가 쓴 진술서에 대해 ""자발적으로 작성한 거라 보기 어렵고 작성 시점조차 명확하지 않은 내용을 통해서도 피고인의 한국어 능력에 한계가 있었음을 확인할 수 있다""라며 ""그런데도 당시 경찰 조사와 실황 조사, 재판 과정에는 통역, 번역이 충분하지 않았다""고 강조했다.  또 ""경찰과 검사는 피고인 자백과 모순되는 피해 택시 이동 경로 관련 폐쇄회로(CC)TV 기록, 국립과학수사연구원 감정 결과, 통화내역 및 기지국 수사자료, 진범 관련 제보, 창원서부서 수사 자료 등 피고인에 유리한 증거들을 송치 과정에서 의도적으로 누락하거나 법원에 제출하지 않았다""라고도 주장했다.  수사 과정에서 경찰관들이 아크말 씨를 폭행하고 자백을 유도했으며 국선 변호인들이 의견서와 변론요지서를 제대로 제출하지 않은 점, 변호인 접견이 충분하지 않았던 점 등도 말했다.  변호인은 ""이 사건 피해자 유족도 피고인의 재심과 재수사를 바란다""라며 ""내국인과 마찬가지로 모든 법적 권리와 방어권을 온전히 보장한 상태에서 공정하고 의심 없는 판단을 내려달라고 호소했다""고 전했다.  검찰 측은 사건 재심 청구에 대해 재판장에서 구술로 따로 말하지 않고, 이미 제출한 의견서로 갈음한다고 밝혔다.  재판부는 앞으로 재판에 필요한 자료와 증인 신청 관련 의견서 등을 제출 또는 검토해달라고 아크말 씨 측과 검찰 측에 요청했다.  다음 심리는 내년 2월 12일 오전 11시에 열릴 예정이다.",https://n.news.naver.com/mnews/article/277/0005691253
2025-12-09 23:22:00,"이재명, 與정청래·김병기 만나 ""개혁입법 국민 눈높이 맞게""","이재명 대통령이 더불어민주당 정청래 당대표·김병기 원내대표를 만나 ""개혁입법은 국민 눈높이에 맞게 합리적으로 처리됐으면 좋겠다""고 당부했다.    9일 박수현 민주당 수석대변인은 이 대통령과 정 대표, 김 원내대표의 만남 이후 서면브리핑을 통해 이 같은 내용을 전했다. 세 사람은 오후 6시30분부터 9시까지 2시간30분 동안 만찬 회동을 가졌다.  박 수석대변인은 ""이날 만남은 정기국회 폐회를 계기로 이뤄졌다""고 부연했다. 이날은 이재명 정부가 들어선 이후 첫 정기국회가 종료된 날이다.  이날 회동에선 개혁입법 중 하나인 내란전담재판부 설치법에 대한 논의가 있었던 것으로 알려졌다. 앞서 이날 오후 우상호 대통령실 정무수석은 유튜브 채널 '매불쇼'에서 ""내란전담재판부는 2심부터 하자는 것이 대통령의 생각""이라고 밝힌 바 있다.  이 대통령의 개혁 입법 관련 언급은 우 정무수석이 전한 내용을 중심으로 당정대(여당·정부·대통령실)가 내란전담재판부 설치법을 조율해나가자는 의미를 담은 것으로 해석된다. 다만 박 수석대변인은 아시아경제와의 통화에서 ""현재는 공론화 및 의견 수렴 과정이기 때문에 해석을 붙이는 것은 그 과정에 영향을 미칠 수가 있어 적절치 않다""고 선을 그었다.  또 박 수석대변인에 따르면 이 대통령은 해외순방 성과를 두 사람에게 설명하며 ""한국의 위상이 많이 높아졌다""고 했다. 이 대통령은 예산안이 여야 합의로 처리한 것에 대해 ""고생이 많았다""라고도 말한 것으로 전해졌다.  박 수석대변인은 ""국정 전반에 대해 특히 민생에 대한 많은 대화를 나눴다""며 ""아울러 앞으로 좀 더 자주 만남을 갖기로 했다""고 말했다. 추가 만남 예고는 최근 뚜렷해진 '명청대전(이 대통령과 정 대표의 대결 구도)' 분위기를 다소 완화하기 위한 의도로 풀이된다.",https://n.news.naver.com/mnews/article/277/0005691251
2025-12-09 23:00:00,"경찰, 약물운전으로 오토바이 들이받은 40대 긴급체포…구속은 면해","서울 강남 한복판에서 약물운전을 하다 오토바이를 들이받은 남성이 긴급체포됐으나 구속은 면했다.    9일 서울 강남경찰서는 특정범죄가중처벌법상 위험운전치상, 도로교통법상 약물운전 등 혐의를 받는 40대 A씨를 전날 긴급체포했다고 밝혔다. 경찰은 A씨에 대한 구속영장을 신청했으나 검찰에서 기각돼 A씨를 석방했다.  경찰에 따르면 A씨는 전날 오전 10시40분께 서울 강남구 논현역 인근에서 신호를 위반해 차를 몰다 오토바이를 들이받은 혐의를 받고 있다. 이 사고로 70대 오토바이 운전자는 국립중앙의료원으로 옮겨졌다.  A씨는 평소 우울증 약을 복용하고 있다고 진술했으며, 간이시약검사 결과 우울증 약 성분인 벤조디아제핀 양성 반응이 나타난 것으로 알려졌다.  경찰은 국립과학수사연구원 정밀검사 등 추가 조사 후 A씨를 불구속 송치할 예정이다.",https://n.news.naver.com/mnews/article/277/0005691250
2025-12-09 22:07:00,"박형덕 동두천시장 ""통일교 후원금 수수 의혹 사실과 전혀 달라""","박형덕 동두천시장이 최근 일부 언론에서 불거진 '통일교 후원금 수수' 의혹 보도에 대해 ""사실과 전혀 다르다""며 깊은 유감을 표하고 명백한 허위 주장이라고 일축했다. 박 시장은 9일 공식 입장을 통해 이같이 밝히며 강력 대응 방침을 시사했다.    박형덕 동두천시장은 최근 일부 언론이 전·현직 통일교 임원들의 재판에서 '2022년 3월 통일교 측이 박 시장에게 현금을 전달했다'는 취지로 언급된 법정 증언에 본인 이름이 언급된 것과 관련해 깊은 유감을 표하며 해당 내용은 명백한 허위 주장이라고 일축했다.  박 시장은 이날 자신의 사회관계망서비스(SNS)를 통해 ""2022년 3월 당시 나는 동두천시장 후보 신분이 아니었기 때문에 후원 계좌를 개설할 수 없는 상황이었다""며 ""따라서 후원금 수수 자체가 구조적으로 불가능하다""고 강조했다.  또한 박 시장은 ""보도에 등장한 통일교 관계자를 전혀 알지 못한다""며 ""검찰이 법정에서 제시했다는 '3월 12일 현금 전달' 역시 사실이 아니고 들은 적도 없다""고 말했다.  박 시장은 ""그동안 공직자로서 투명한 선거운동과 청렴한 행정을 원칙으로 지켜왔다""며 사실과 다른 허위 주장으로 시민께 심려를 끼친 점을 유감스럽게 생각한다고 전했다.  또한 박 시장은 ""확인되지 않은 내용에 흔들리지 말아 주시길 바란다""며 ""앞으로도 시민만을 바라보고 동두천 발전을 위해 흔들림 없이 나아가겠다""고 강조했다.  이어 그는 ""사실관계를 명확히 밝히기 위해 필요한 조치를 적극적으로 검토하겠다""며 근거 없는 허위 주장과 억측에 대해서는 단호하게 대응할 것임을 밝혔다.",https://n.news.naver.com/mnews/article/277/0005691249
2025-12-09 21:58:00,"임은정 ""추측, 사실과 구분해야…증거는 밀수범들 진술이 전부""","'세관 마약밀수 연루 의혹 합동수사단'을 이끄는 임은정 동부지검장이 백해룡 경정이 제기한 세관직원들의 마약밀수 방조 의혹과 관련해 ""느낌과 추측을 사실과 구분해 말해야 한다""고 9일 밝혔다.  이날 서울동부지검 '세관 마약밀수 연루 의혹 합동수사단'은 세관 직원 연루 및 경찰청·관세청의 외압 행사 의혹에 대해 모두 무혐의 처분했다. 그간 관련 의혹을 제기해 온 당사자였던 백 경정은 이날 검찰청과 관세청 등 6곳에 대한 압수수색 영장을 신청하면서 사실상 반기를 들었고, 임 지검장은 이에 대해 입장을 밝힌 것이다.  임 지검장은 이날 자신의 사회관계망서비스(SNS)를 통해 ""서울동부지검 파견 이후 사실과 다른 백 경정님의 여러 주장과 진술을 겪은 터라 백 경정님 진술의 신빙성을 판단함에 있어 조금은 홀가분하게 결정하게 됐다""고 말했다.    임 지검장은 ""서울동부지검에 부임해 관련 기록을 검토하고 많이 당황했다""며 ""백 경정님의 국회 증언에 따르더라도 세관 연루 의혹의 증거가 마약 밀수범들의 경찰 진술과 마약 밀수범들의 현장 검증에서의 진술이 전부였다""고 했다.  또 ""마약 밀수범들의 말은 경찰 조사 중 이미 오락가락했으며, 마약 밀수범들이 말레이시아어로 백 경정님 등 경찰 앞에서 거짓말을 거침없이 모의하는 게 영상으로 찍혀 있으니 당황할 (수)밖에 (없었다)""고 했다.  임 지검장은 ""마약 밀수범들의 거짓말에 속아 경찰 수사 타깃이 사실상 마약 밀수 조직에서 세관 직원들로 전환됐고, 마약 수사의 한 축인 세관 직원들은 마약 밀수 공범으로 몰려 2년이 넘도록 수사를 받느라 마약 수사에 전념하지 못했을 테니 세관 직원 개개인은 물론 국가적 차원에서 여러모로 피해가 큰 사건""이라고 짚었다.  특히 임 지검장은 ""지난 10월 제 사무실에서 제가 내부고발을 고민하는 분들에게 늘 해오는 충고를 백 경정님에게도 드렸다""며 ""느낌과 추측을 사실과 구분해 말씀하셔야 한다""고 말했다고 밝혔다.  그러면서 ""세관 연루 의혹 이외에도 백 경정님이 제기한 의혹이 많아 저 역시 다른 분들이 그러하듯 백 경정팀이 제대로 수사해 주기를 기대하고 있다""며 ""백 경정님이 2023년 인천공항 실황 조사 영상에서 확인되는 것과 같은 실수와 잘못을 더는 범하지 않도록 기록을 꼼꼼히 살펴보도록 하겠다""고 덧붙였다.",https://n.news.naver.com/mnews/article/277/0005691248
2025-12-09 21:50:00,"김주애와 볼뽀뽀 '주북 러시아대사' 사망…김정은 ""참으로 비통한 일""","김정은 북한 국무위원장이 알렉산드르 마체고라 주북한 러시아대사의 사망과 관련해 블라디미르 푸틴 대통령에게 조전을 보내 애도의 뜻을 전했다.  9일 조선중앙통신은 김 위원장이 조전에서 ""조선민주주의인민공화국정부를 대표하여 그리고 자신의 이름으로 푸틴 동지와 러시아연방 지도부, 유가족들에게 심심한 애도와 위문을 표했다""고 보도했다.  김 위원장은 마체고라 대사에 대해 ""지난 30여년간 조로친선관계 발전을 위해 한생을 바친 조선인민의 친근한 벗이며 동지""라고 평했다. 이어 ""조로(북러)관계가 오늘과 같은 굳건한 동맹관계로 강화 발전돼온 여정에는 두 나라 국가지도부의 뜻과 의지를 받들어 지칠 줄 모르는 정열을 깡그리 바쳐온 마체고라 동지의 헌신적인 노력이 역력히 깃들어있다""고 말했다.  그러면서 ""두 나라 관계 발전이 중대한 역사적 국면에 들어선 지금과 같은 시기에 마체고라 대사를 뜻밖에 잃은 것은 참으로 비통한 일""이라며 ""러시아 정부와 인민뿐 아니라 자신과 우리 인민에게 있어서 커다란 상실""이라고 애도했다.    최선희 북한 외무상도 같은 날 세르게이 라브로프 러시아 외무장관에 조전을 보냈다. 최 외무상은 조전에서 마체고라 대사를 ""조로(북러) 두 나라 수뇌분들의 숭고한 의도를 받들어 쌍무친선협조관계의 백 년, 천년 미래에로의 대로를 더욱 굳건히 다져나가기 위한 여정에서 특출한 공헌을 한 다재다능하고 노련한 외교관""이라고 회고했다. 이어 ""두 나라 친선의 역사와 더불어 새 세대 외교 일꾼들의 고귀한 귀감으로 길이 기억될 것""이라고 덧붙였다.  러시아 외무부는 8일(현지시간) 성명을 통해 마체고라 대사가 지난 6일 70세로 사망했다고 밝혔지만, 사인은 언급되지 않았다.  마체고라 대사는 1999년 주북한 러시아대사관 1등 서기관 근무를 시작으로 주북대사관 공사참사관 등을 거쳐 2014년 12월 주북러시아대사로 임명됐다. 2015년 1월부터 10년간 주북대사를 지낸 마체고라 대사는 최근 러시아와 북한의 밀착이 강화되면서 양국 간 연결 고리 역할을 했다.  특히 러시아 제2차 세계대전 전승절 80주년 행사가 열린 지난 5월에는 김 위원장의 딸 김주애와 볼뽀뽀를 하고 귓속말을 나누는 등의 친밀감을 드러내기도 했다.",https://n.news.naver.com/mnews/article/277/0005691247
2025-12-09 21:47:00,"경찰, 장경태 '성추행 의혹' 참고인 조사","경찰이 장경태 더불어민주당 의원의 성추행 혐의 사건과 관련해 참고인 조사를 진행했다.  9일 경찰에 따르면 서울경찰청 여성청소년버죄수사과는 이날 장 의원을 준강제추행 혐의로 고소한 A씨와 같은 의원실에서 근무했던 보좌진 B씨를 불러 조사했다.    경찰은 B씨를 통해 A씨의 고소 제기 경위와 그간의 상황 등을 확인한 것으로 전해졌다.  한편 경찰은 사건 당시 현장에 있던 다른 보좌진에 대해서도 참고인 조사 일정을 조율 중인 것으로 알려졌다.  앞서 A씨는 지난달 25일 서울 영등포경찰서에 고소장을 제출하며, 지난해 10월 서울 여의도 한 식당에서 장 의원이 술자리 도중 자신을 추행했다고 주장했다.  이 사건은 다음 날 서울경찰청으로 이관돼 여성청소년범죄수사과가 수사를 맡았으며, 경찰은 지난 3일 A씨를 소환해 사건 당시 정황에 대한 진술을 확보했다.  이에 대해 장 의원은 혐의를 전면 부인하고 있다. 그는 지난 2일 A씨를 무고 혐의로 맞고소하고, A씨의 당시 남자친구를 폭행과 통신비밀보호법 위반 등의 혐의로 고소·고발하며 법적 대응에 나섰다．",https://n.news.naver.com/mnews/article/277/0005691246
2025-12-09 21:45:00,"경찰, 쿠팡 압수수색영장에 '중국인 전직 직원' 피의자로 적시","경찰이 대규모 개인정보 유출 사태를 빚은 쿠팡에 대한 압수수색을 10시간 만에 마무리했다. 압수수색 영장엔 중국 국적 전직 직원이 피의자로 적시됐다.  9일 경찰에 따르면 경찰이 발부받은 압수수색영장에는 이 전직 직원이 정보통신망법상 정보통신망 침입·비밀누설 등 혐의를 받는 피의자로 적시됐다.    이번 대규모 정보 유출 사고는 해킹이 아닌 중국인 퇴사자 소행으로 알려졌는데, 경찰 또한 중국 국적 전직 직원을 이 사건 피의자로 특정한 것이다.  그는 쿠팡에서 인증 시스템 개발자였던 것으로 전해졌다. 박대준 쿠팡 대표는 지난 2일 국회 과학기술정보방송통신위원회 현안 질의에 출석해 이같이 설명한 바 있다.  경찰은 압수수색으로 확보한 자료 등을 토대로 개인정보 유출 경로와 원인 등을 종합적으로 규명할 예정이다.  서울경찰청 사이버수사과는 이날 오전 11시께부터 오후 9시까지 약 10시간 동안송파구 쿠팡 본사 사무실을 압수수색했다.  현장엔 쿠팡 개인정보유출사건 전담수사팀장인 사이버수사과장(총경 이병진) 등 17명이 투입됐으며, 이들은 개인정보 유출자와 유출 경로 및 원인 등의 확인을 위한 디지털 증거 등을 확보한 것으로 전해졌다.",https://n.news.naver.com/mnews/article/277/0005691245
