날짜,제목,본문,링크
2025-12-12 22:20:00,"프랑스 넘은 한국, 세계서 가장 영향력 있는 국가 ‘7위’","美 CEO 월드 매거진 조사·평가  미국 매체가 꼽은 ‘2025년 세계에서 가장 영향력 있는 국가’ 순위에서 한국이 프랑스를 제치고 7위에 올랐다.  미국 비즈니스 매체 CEO 월드 매거진은 지난 9일(현지 시각) 한국이 종합 점수 94.18점을 받아 ‘가장 영향력 있는 국가’ 7위를 기록했다고 밝혔다. CEO 월드 매거진은 전 세계 190개국을 대상으로 정치적 안정성과 경제적 영향력, 국방 예산, 글로벌 동맹, 문화적 영향력, 군사력 등을 종합적으로 평가해 순위를 매긴다.   1위는 95.36점을 기록한 미국이었다. 이 매체는 “세계 최대 선진 경제와 자본 시장, 글로벌 군사력 투사가 가능한 막대한 국방 예산을 갖추고 있다”며 “국제기구에서 주도적 역할을 하며 핵심 기술 분야에서도 지배적 지위를 유지하고 있다”고 했다. 또 “엔터테인먼트·디지털 플랫폼·고등 교육·문화 수출 등을 통해 전 세계 담론을 형성한다”며 “비공식적 영향력이 공식적 권력을 강화한다”고 분석했다.  중국(94.86점)과 러시아(94.81점)가 각각 2위와 3위를 차지했다. 이어 4위는 인도(94.76점), 5위는 영국(94.56점), 6위는 일본(94.31점)이었다. 7위 한국 다음으로 프랑스(93.55점), 이탈리아(93.3점), 터키(93.3점), 브라질(92.56점) 등이 이름을 올렸다. 이 매체는 “이들 국가가 각자의 산업 역량과 지역 내 영향력, 동맹 네트워크 등을 기반으로 국제 질서에 지속적 영향을 미치고 있다”고 했다.  매체는 이번 순위를 발표하기 위해 전화 및 온라인 등으로 총 29만6400건의 글로벌 설문조사를 실시했으며, 설문조사 결과와 함께 국제기구와 경제 연구 기관 등의 자료를 반영해 점수를 매겼다고 밝혔다.",https://n.news.naver.com/mnews/article/366/0001129855
2025-12-12 21:54:00,이재용·정의선과 러브샷한 젠슨황… FT 올해의 인물,"영국 파이낸셜타임스(FT)가 12일(현지 시각) 젠슨 황 엔비디아 최고경영자(CEO)를 ‘올해의 인물’로 선정했다.  FT는 황 CEO와 도널드 트럼프 미국 대통령이 45분간 전화 통화한 사례를 소개하며 황 CEO가 ‘권력의 중심부’로 이동했다고 평가했다. 최근 미국 정부로부터 엔비디아 첨단 칩의 대중국 판매를 허가받은 것을 ‘실질적인 성과’라는 취지다. FT는 황 CEO가 공개 석상에서 트럼프 대통령을 띄우고, 트럼프 대통령이 좋아하는 딜메이킹(합의 성사)에도 능해 ‘트럼프 백악관을 다루는 능력’을 보여줬다고 분석했다.   FT는 “디지털 세계에서 사랑받지 못하는 의붓자식 같던 칩이 올해 산업 및 금융계를 휩쓰는 AI 열풍의 동력으로 떠올랐다”며 “황 CEO가 이런 변화에 기여한 공로를 인정해 그를 올해의 인물로 선정했다”고 밝혔다. 이어 “그는 민간 부문 역사상 최대 규모의 투자 프로그램을 주도했고, 산업 전반을 재편할 잠재력을 지닌 기술을 도입한 핵심 인물”이라고 덧붙였다.  FT는 “엔비디아는 세계에서 가장 가치 있는 기업이며 한때 시가총액 5조달러(약 7380조원)를 돌파한 최초의 기업이 되기도 했다”며 “설령 현재 기업 가치가 과대평가돼 주가가 반 토막 나더라도 엔비디아의 가치는 2021년과 비교해 세 배 이상 높을 것”이라고 했다.  FT 보도에는 황 CEO의 발언도 담겨 있다. 황 CEO는 FT와 한 인터뷰에서 엔비디아를 “역사상 가장 중대한 기술 기업 중 하나”라고 자평하며 “우리가 30년 걸려 만든 이 기술이 모든 컴퓨팅을 근본적으로 바꾸고 있다. 우린 디지털 지능을 생산하는 완전히 새로운 산업을 조성하는 과정에 있다”고 말했다.  파이낸셜타임스는 그의 ‘스타 파워’를 짚으면서 스티브 잡스의 터틀넥 티셔츠처럼 젠슨 황의 ‘개인 브랜드’가 된 가죽 재킷, 온라인을 사로잡은 이재용 삼성전자 회장·정의선 현대차그룹 회장과 맥주 러브샷 등도 언급했다.",https://n.news.naver.com/mnews/article/366/0001129854
2025-12-12 20:39:00,최교진 교육부 장관 “AI 기반 대입 상담 내년 3월 도입”,"교육부가 12일 대입 진학 상담에 인공지능(AI)을 도입하는 등 AI 활용을 전방위적으로 확대하겠다고 밝혔다.  최교진 교육부 장관은 이날 세종시 정부세종컨벤션센터에서 진행된 대통령 업무 보고를 통해 2027년 하반기부터 학생부 교과, 수능 위주 전형 등에 대해 ‘AI 대학 진학 진단 서비스’를 제공한다는 계획을 전했다. 2028년부터는 ‘AI 학생부 컨설팅’도 도입한다는 방침이다. 최 장관은 “AI를 주도적이고 비판적으로 활용하는 교육을 만들겠다”고 설명했다.   최 장관은 “대입 정보 준비 과정에서 과도하게 긴장하는 학부모·학생이 있고, 이런 심리를 이용한 사교육이 번지는 상황”이라며 “보다 폭넓은 자료에 근거한 진로·진학 상담을 위해 AI 활용 방식을 논의·준비 중”이라고 전했다. 이어 “내년 3월부터 AI 기술을 활용한 대화형 정보 검색 서비스와 상담 교사단을 통한 학생부종합전형 상담을 새롭게 도입할 것”이라고 덧붙였다.  최 장관은 또 지역 거점 국립대의 예산 지원을 서울대의 70% 수준까지 늘리겠다고 했다. 9개 거점 국립대에 5년간 4조원 이상을 지원하고 대학 자체 수익 확충 등을 통해 서울대의 70% 수준까지 단계적으로 교육비 투자를 확대하겠다는 것이다. 교육부의 내년 거점 국립대 투자 예산은 8855억원으로 올해(4242억원)의 두 배 수준으로 늘었다.  아울러 교육부는 초등학생의 사교육 열기를 완화하기 위해 기존 초1·2에 더해 초3에게 연 50만원 수준의 방과 후 프로그램도 제공한다는 방침도 밝혔다. 내년부터는 초3까지 무료로 방과 후 강좌를 들을 수 있게 된 것이다. 헌법 가치를 실천하는 민주시민교육도 강화한다. 범부처 협력으로 헌법 교육·선거 교육을 비롯한 다양한 민주시민교육을 강화하고 민주시민교육 선도 학교 150곳을 운영한다.",https://n.news.naver.com/mnews/article/366/0001129853
2025-12-12 20:20:00,13일 전국 대부분 지역에 눈·비… 서울 최대 7㎝,"기상청은 12일 “13일 전국 대부분 지역에 비 또는 눈이 내리고 중부 내륙을 중심으로 많은 눈이 내릴 것”이라고 예보했다.   기상청에 따르면 13일 오전부터 밤사이 중부지방과 전라 동부 내륙, 경북권, 경남 서부 내륙, 제주도 산지에 비 또는 눈이 내릴 것으로 보인다. 특히 중부 내륙과 경북 북부 내륙을 중심으로 많은 눈이 예상돼 교통안전에 각별한 주의가 필요하다.  예상 적설량은 강원 내륙·산지 5~10㎝(많은 곳 15㎝ 이상), 충북 중·북부 3~8㎝(많은 곳 10㎝ 이상), 서울 2~7㎝, 경기 북부 내륙·남동부 3~10㎝ 등이다.  예상 강수량은 서울·인천·경기와 서해5도 5~10㎜, 대전·세종·충남과 충북 5~15㎜, 전북 5~10㎜, 대구·경북 5~10㎜ 등이다.  기온은 평년과 비슷하거나 조금 높겠다. 아침 최저기온은 -3∼7도, 낮 최고기온은 1∼14도로 예보됐다.  전국 대부분 지역에 바람이 강하게 불고 대부분 해상에서 물결이 매우 높겠으니 주의해야 한다. 바다의 물결은 동해 앞바다에서 0.5∼2.5m, 서해·남해 앞바다에서 0.5∼2.0m로 일겠다.  기상청 관계자는 “내리는 눈 또는 비는 대기 하층과 지상의 미세한 기온 차이로 인해 같은 시군구 내에서도 고도별 강수 형태가 달라지고 적설 차이가 있겠으니 최신 기상정보를 참고해야 한다”고 했다.",https://n.news.naver.com/mnews/article/366/0001129852
2025-12-12 18:59:00,"‘日 반도체 부활’ 노리는 라피더스, 자금난 해소할 듯… 기업 20곳과 출자 논의","자금난을 겪고 있는 라피더스가 대규모 투자금을 유치할 것으로 보인다. 라피더스는 일본 정부 주도로 2022년 설립된 기업이다. 일본 정부는 이 기업을 통해 ‘반도체 산업 부활’을 목표로 하고 있다.  12일 니혼게이자이신문(닛케이) 등 현지 언론에 따르면 혼다·후지쓰·캐논·교세라·후지필름 홀딩스·홋카이도전력 등 약 20곳의 기업이 자금 조달을 추진 중인 라피더스에 출자하는 방안을 검토하고 있다. 기업마다 적게는 5억엔(약 47억원)에서 많게는 200억엔(약 1897억원)을 투자할 것이란 전망이 나온다.  라피더스는 이르면 연내에 각 회사와 합의해 내년 3월 이전에 자금을 받을 예정이다. 라피더스는 도요타·키옥시아·소니·NTT 등 일본 대기업 8곳이 반도체 국산화를 위해 2022년 73억엔(약 693억원)을 출자해 설립한 회사다. 라피더스가 이번 투자 협의를 문제없이 마치면 출자 기업이 30곳으로 늘어날 전망이다.  아사히신문은 또 미쓰비시UFJ은행·미쓰이스미토모은행·미즈호은행 등 일본 3대 은행이 2027년 4월 이후 일정한 조건을 충족할 경우, 최대 2조엔(약 19조원)을 융자하겠다는 의향을 라피더스 측에 전했다고 보도했다.  라피더스는 홋카이도 지토세에 공장을 세웠으며 2028년 3월 이전에 2나노미터(㎚·10억분의 1m) 제품 양산을 시작한다. 지토세에 제2공장도 지어 2029년 이후 1.4나노 제품을 만드는 방안도 추진하는 것으로 알려졌다. 라피더스는 지난 7월 2나노 제작에 성공했다며 시제품을 공개한 바 있다.  일본 정부가 라피더스에 지원을 약속한 금액은 약 2조9000억엔(약 27조5000억원)에 이른다. 라피더스는 2032년 4월까지 총 7조엔(약 66조원)의 자금이 필요할 것으로 예상하고 있다. 그중 1조엔(약 9조5000억원)을 민간 출자로 확보할 방침이다. 다만 닛케이는 출자 기업이 증가해 라피더스 주주도 늘면 의사 결정 과정이 늦어질 우려가 있다고 짚었다.",https://n.news.naver.com/mnews/article/366/0001129851
2025-12-12 18:44:00,"IMM 장동우·지성배 부회장, 정일부·변재철 사장 승진","(주)IMM과 IMM인베스트먼트가 정기 임원 인사를 단행했다고 12일 밝혔다. (주)IMM은 그룹의 지주 역할을 하며 IMM인베스트먼트, IMM자산운용, IMM일본, IMM홍콩, IMM싱가포르를 계열사로 두고 있다.  이날 인사를 통해 장동우, 지성배 대표이사가 지주사인 (주)IMM 부회장으로 승진했다. 그룹의 장기적 성장 방향성과 의사 결정 전반을 총괄하는 역할을 맡는다.  IMM의 공동 창업자인 두 부회장은 IMM인베스트먼트 대표이사직에서 물러나 (주)IMM과 IMM인베스트먼트 이사회 공동의장을 겸임하며, 글로벌 성장을 이끌고 계열사 간 시너지 제고에 주력할 예정이다.  IMM인베스트먼트에서는 (주)IMM 대표이사를 맡고 있는 정일부 대표와 변재철 IMM인베스트먼트 대표이사가 사장으로 승진했다.  정일부 사장은 IMM인베스트먼트 대표이사로 자리를 옮겨 벤처투자 부문을 총괄한다. 변재철 사장은 그로쓰에쿼티·인프라 부문을 이끌게 된다. 두 사장은 IMM인베스트먼트의 각자대표이사로서 부문별 투자 역량을 제고할 예정이다.  그로쓰에쿼티투자본부의 나성민, 구재윤 전무, 벤처투자1본부의 윤원기 전무는 부사장으로 승진했다. 각 본부의 책임경영을 보다 공고히 하고 사업부문별 밸류업 전략 실행을 주도할 계획이다.",https://n.news.naver.com/mnews/article/366/0001129850
2025-12-12 18:20:00,‘포항제철 창립 멤버’ 황경노 前 포스코 회장 별세,"황경노 전 포항제철 회장(사진)이 12일 별세했다. 향년 96세.  황 전 회장은 포항제철소 창립 멤버로, 초대 기획관리부장을 맡아 회사 경영 관리 전반에 관한 기틀을 마련했다. 1977년에는 회사를 떠나 동부산업 회장과 제철엔지니어링 회장을 맡았다.   1990년 다시 포항제철 상임고문으로 복귀해 부회장을 거쳐 1992년 고(故) 박태준 초대 회장에 이어 제2대 회장에 취임했다.  그는 포항제철 창립 초기 자금을 확보하기 위해 정부와 국회를 수차례 설득하고, 철강공업육성법 제정에 기여하는 등 포스코의 기틀을 닦았다.  경영철학은 ‘최소 비용으로 최고의 회사’와 ‘선공후사’ 정신이었으며 포스코의 성공을 국가 경제 기여와 후배들의 발전으로 연결하는 데 평생을 바쳤다고 포스코 측은 설명했다.  황 전 회장은 철탑산업훈장, 동탑산업훈장, 금탑산업훈장, 충무무공훈장, 화랑무공훈장 등을 받았다. 고인의 장례는 포스코 회사장으로 치러질 예정이다.",https://n.news.naver.com/mnews/article/366/0001129849
2025-12-12 18:20:00,[부음] 김중원(한화생명 경영지원부문장 부사장) 씨 모친상,"▲ 이중분 씨 별세, 김중원(한화생명 경영지원부문장 부사장) 씨 모친상  -일시 : 2025년 12월 11일  -빈소 : 서울성모병원 장례식장 12호실  -발인 : 2025년 12월 14일 오전 9시  -연락처 : 02-2258-5940",https://n.news.naver.com/mnews/article/366/0001129848
2025-12-12 17:59:00,‘강등’ 정유미 “명백한 불법 인사… 차라리 징계 절차 진행해 달라”,"정유미 법무연수원 연구위원(대검검사급)이 대전고검 검사(고검검사급)로 전보된 것과 관련해 “법령을 위반한 인사”라며 법적 대응에 나섰다.  정 연구위원은 12일 서울행정법원에 인사명령 처분 취소 청구 소송과 집행정지 신청을 냈다. 집행정지는 본안 판단이 나오기 전까지 처분의 효력을 잠정 정지해 달라는 절차다.  정 연구위원은 이날 오후 법원 앞에서 기자들과 만나 “차라리 제가 잘못한 게 있으면 징계 절차를 진행해 줬으면 한다”며 “인사권의 형식을 갖추고 사실상 중징계 처분에 준하는 전보를 한 것”이라는 취지로 말했다. 정 연구위원은 전보 배경과 관련해 “민주당이 시행하는 각종 검찰·형사사법 정책, 소위 ‘개혁’ 법안·제도에 대해 다른 결의 이야기를 많이 했기 때문이라고 생각한다”며 “법무부 인사 보도자료에도 그런 취지가 들어 있다”고 말했다.  정 연구위원은 “20년 동안 인사 명령에 대해 불평한 적이 없다”며 “이번 전보는 명백히 법령을 위반한 위법한 처분이라 받아들이고 넘어가면 좋지 않은 선례가 남는다고 생각했다”고 말했다. 이어 “법으로 판단받아 이런 처분이 반복되지 않도록 해야 한다는 취지”라고 덧붙였다.  정 연구위원은 전날 검찰 내부망 ‘이프로스’에도 글을 올려 “인사는 조직 구성원을 적재적소에 쓰기 위한 작업이어야 한다”며 “법무부를 상대로 법령 준수 여부에 관한 법적 다툼을 해볼까 한다”고 밝혔다.  정 연구위원은 이번 전보가 대통령령인 ‘대검찰청 검사급 이상 검사의 보직 범위에 관한 규정’에 어긋난다는 취지로 다툴 것으로 알려졌다. 해당 규정은 대검검사급 검사가 맡을 수 있는 보직을 열거하고 있는데, 여기에 고검 검사 보직은 포함되지 않는다는 주장이다.  정 연구위원 측은 또 법무부가 별도의 감찰·징계 절차 없이 전보로 사실상 징계에 준하는 불이익을 줬다는 취지의 주장도 법원에서 다툴 것으로 보인다.  법무부는 전날 인사와 관련해 “업무 수행 과정에서 검찰의 정치적 중립성과 공정성에 대한 오해를 불러일으키고, 부적절한 표현으로 내부 구성원을 비난해 조직의 명예와 신뢰를 실추시킨 대검검사급 검사를 고검 검사로 발령했다”고 밝혔다. 법무부는 검찰청법상 검사의 직급이 검찰총장과 검사로만 나뉘는 만큼, 이번 조치는 ‘강등’이 아니라 보직 변경 성격의 적법한 전보라는 입장이다.  이전까지 검사장급 인사가 고검 검사로 전보된 사례로는 2007년 권태호 전 검사장 사례가 유일했다.",https://n.news.naver.com/mnews/article/366/0001129847
2025-12-12 17:59:00,[인사] 두산그룹,<승진>  ◇상무  ▲㈜두산 양정근 ▲ 왕매록 ▲ 전우석 ▲두산에너빌리티 김군수 ▲ 김기범 ▲김성권 ▲ 김태원 ▲ 김택전 ▲ 김호정 ▲ 박진호 ▲ 서영빈 ▲ 원일준 ▲ 이병진 ▲ 차정훈 ▲두산밥캣 장원 ▲두산테스나 조훈 ▲두산큐벡스 정윤환,https://n.news.naver.com/mnews/article/366/0001129846
