날짜,제목,본문,링크
2025-12-11 17:45:00,"뷰텔, '바늘 없는' 혈당관리기 상용화…글로벌 노린다","바늘로 손가락을 찌르지 않는 비침습 혈당관리기가 국내에서 상용화 문턱을 넘었다. 글로벌 시장에서도 실제 상용화된 비침습 혈당관리 기기가 드문 만큼, 국내 기술 기반으로 세계 시장 공략에 나설지 주목된다.  국내 헬스케어 기업 뷰텔(VIEWTEL)은 비침습 방식 혈당관리 의료기기 '해피존(HAPPYZONE)'이 식품의약품안전처로부터 3등급 의료기기 품목허가를 획득했다고 11일 밝혔다.  이번에 허가된 비침습 혈당관리기는 기존 침습식 혈당계가 안고 있던 △반복 채혈에 따른 통증 △소모품 비용 및 관리 부담 △측정 과정의 번거로움 △위생 문제 등 구조적 한계를 개선한 제품이라는 설명이다.  기존 혈당측정기는 혈당을 재기 위해 매번 피부를 찌르는 번거로움과 통증을 감수해야 했고, 일상생활은 물론 직장이나 외부 활동 환경에서는 위생·편의성 측면에서 제약이 많았다.  뷰텔의 해피존은 이를 극복하기 위해 광투과(광학) 기술을 적용한 비침습 방식으로 혈당을 측정한다. 특정 파장의 LED 광원을 손가락에 조사해 체내 조직을 투과·반사하는 미세한 광 검출량 변화를 감지하고, 여기에 기구 설계와 온도·압력 센서 등을 더해 잡음을 최소화했다.   이후 보정 알고리즘과 광학 신호 처리 기술을 적용해 혈당 관련 지표를 분석하는 방식으로 관련 핵심 기술에 대해서는 국내외 특허를 확보하거나 출원한 상태다.  해피존은 혈당관리기 성능 지표인 MARD(mean absolute relative difference)에서 약 9.0% 수준의 정확도를 확보했다. 이는 상용 연속혈당측정기와 비교해도 경쟁력 있는 성능이라는 게 회사 측 설명이다.  전용 앱(APP)과 연동해 혈당 데이터를 체계적으로 관리할 수 있고, 휴대가 쉬운 크기로 설계돼 언제 어디서나 간편하게 측정할 수 있다는 점도 강점이다.  뷰텔은 이번 품목허가를 발판 삼아 글로벌 시장 공략에 속도를 낸다는 계획이다. 비침습 혈당관리 시장 규모는 연간 100조원(약 700억 달러) 이상으로 추산된다.   회사는 조만간 미국 식품의약국(FDA)과 접촉해 인증 절차에 본격 착수할 예정이며, 미국을 시작으로 유럽·중동·동남아 등 주요 국가 인허가 확보를 최우선 과제로 삼고 있다.   윤지현 뷰텔 대표는 ""비침습 혈당관리기 상용화와 품목허가 데이터는 차세대 비침습 연속혈당측정(CGM) 기술 상용화의 발판이 될 것""이라며 ""차기 비침습 CGM 모델을 개발 중이며, 곧 식약처 품목허가 절차도 진행할 예정""이라고 말했다.  그는 ""단일 제품이 아닌 포트폴리오로 성장하는 의료기기 테크기업을 지향한다""며 ""내년 기업공개(IPO)를 통해 상장에 나서 글로벌 헬스케어 유니콘으로 도약하겠다""고 덧붙였다.",https://n.news.naver.com/mnews/article/648/0000042593
2025-12-11 17:11:00,우리은행 126년 역사 담은 '우리1899' 정식 개관,"우리은행 126년 역사를 담은 전시 공간 '우리1899'가 개관했다. 단순한 은행 역사뿐 아니라 우리나라 금융·문화와 관련된 전시물들도 자리해 그 의미를 더했다.  우리은행은 11일 서울 중구 본점 지하 1층에 126년 금융 역사를 현대적으로 재해석한 전시 공간 우리1899를 공개했다. 지난 2004년 국내 최초의 은행사 전문박물관으로 문을 연 지 21년 만에 진행된 전면 리뉴얼이다.  우리1899라는 명칭은 임직원 투표를 통해 우리은행의 '우리'와 대한천일은행 창립 연도 '1899년'을 결합해 선정됐다. 이번 재단장에서는 내부 벽을 과감히 허문 개방형 전시 동선을 도입해 관람 몰입도를 극대화했다. 전시장 중앙에는 360도 LED 조형물 '우리타임스피어'를 설치해 이색적인 볼거리도 더했다.  역사관 내부에는 서울시 지정문화재인 '대한천일은행 창립청원서'와 현존 최고(最古) 은행 건물인 '광통관(현 우리은행 종로금융센터)' 재현 조형물 등이 전시된다.  특히 소설 '토지'의 박경리 작가가 1954년 옛 상업은행(현 우리은행)에서 근무했던 인사 기록과 당시 기고한 사보 글 등 특별한 사료도 만나볼 수 있다. 또한 전세계 저금통 전시 코너와 금융·역사·문화 서적을 갖춘 '오픈형 라이브러리'를 마련해 부모와 아이가 함께 휴식할 수 있는 공간으로 조성했다.  이날 진행된 개관식에는 임종룡 우리금융그룹 회장, 정진완 우리은행장과 함께 박경리 작가의 후손인 토지문화재단 김세희 이사장이 참석해 자리를 빛냈다. 장기간 치료로 문화생활을 즐기기 어려운 소아암 어린이 15명을 1호 방문객으로 초청해 그 의미를 더했다.  우리은행은 '위비산타의 따뜻한 크리스마스 선물' 전달 행사도 함께 진행했다. 김세희 이사장이 박경리 작가의 동화책을 어린이에게 직접 전달하며 따뜻한 마음을 나눴다.  임종룡 회장은 ""우리1899가 대중에게 사랑받는 열린 문화공간이 되길 바란다""며 ""오늘이 아이들에게 따뜻한 기억이자 금융의 가치를 새롭게 접하는 계기가 됐으면 한다""고 말했다.  우리1899는 일요일을 제외한 월~토요일 오전 10시부터 오후 6시까지 누구나 무료로 관람 가능하다. 기획전시실에서는 첫번째 기획으로 '제28회 우리은행 미술대회 우리아트콘' 동상 이상 수상작 62점을 오는 12일부터 20일까지 전시할 예정이다.",https://n.news.naver.com/mnews/article/648/0000042592
2025-12-11 17:11:00,'차우철 매직' 롯데마트에도 통할까…핵심은 '본업·해외',"롯데그룹이 실적 부진에 시달리고 있는 롯데마트·슈퍼의 구원투수로 차우철 신임 대표를 투입시켰다. 차 대표는 롯데GRS의 실적을 큰 폭으로 개선시킨 능력을 인정 받아 마트·슈퍼의 신임 수장을 맡게 됐다. 이에 따라 차 대표는 롯데마트·슈퍼의 본업인 '그로서리 사업'을 강화하고 해외 사업을 확대하는 데 주력할 것으로 보인다. 특히 롯데쇼핑이 지난 2022년부터 준비해온 오카도 기반의 온라인 그로서리 사업을 안착시켜야 하는 중책도 맡았다.  성과 보여줬다  롯데그룹은 지난달 정기 임원 인사에서 차우철 롯데GRS 대표를 사장으로 승진시키며 롯데마트·슈퍼 신임 대표로 선임했다. 차 대표는 1992년 롯데제과(현 롯데웰푸드)에 입사한 뒤 30년 넘게 롯데그룹에서 근무해온 '롯데맨'이다. 롯데그룹 컨트롤타워였던 정책본부의 개선실(2004년) 등을 거쳐 2012년 롯데쇼핑 감사위원, 2017년 롯데지주 경영개선1팀장 등 주로 그룹 감사 업무를 담당했다.  유통 현장 경험이 많지 않음에도 차 대표가 롯데마트·슈퍼 대표로 선임될 수 있었던 건 롯데GRS에서의 경영 능력을 인정받았기 때문이다. 차 대표는 2020년 말 롯데GRS 신임 대표이사로 선임되며 처음으로 계열사를 이끌게 됐다. 당시 롯데GRS는 코로나19 직격탄을 맞으면서 매출액이 전년(8399억원)보다 크게 줄어든 6831억원에 그쳤다. 여기에 영업손실 196억원을 기록하며 적자 전환한 상태였다.  차 대표는 취임 직후 강도 높은 구조조정에 나섰다. 롯데리아와 엔제리너스 저효율 매장을 폐점하는 한편 2021년에는 패밀리 레스토랑 TGIF도 매각했다. 이어 롯데리아를 '가장 한국적인 버거'를 선보이는 브랜드로 전환하고 품질을 개선하는 등 제품군을 재정비했다.  신사업 확대에도 집중했다. 함박 스테이크, 커피, 우동 등 신규 브랜드를 연이어 선보였고 인천국제공항 등에서의 컨세션 사업 확대도 추진했다. 특히 해외 진출에 공을 들였다. 롯데리아는 지난 8월 '버거의 본고장' 미국에 1호점을 오픈했고 지난 5일에는 말레이시아 1호점도 열었다. 오너 3세 신유열 롯데지주 부사장이 지난 7월 말레이시아 진출 계약식에 참석하는 등 그룹 차원에서도 롯데리아의 해외 확장에 주목했다.  그 결과 롯데GRS는 큰 폭의 실적 개선에 성공했다. 롯데GRS의 매출액은 2022년 7815억원, 2023년 9242억원, 2024년 9954억원으로 급증했다. 영업이익 역시 2022년 17억원을 기록하며 흑자 전환에 성공한 뒤 2023년 208억원, 2024년 391억원으로 급증했다.  롯데GRS는 올 1~3분기 매출 8221억원, 영업이익 536억원을 기록하며 전년 대비 각각 10.3%, 49.0% 성장했다. 이런 성과를 바탕으로 차 대표 역시 빠른 승진 가도를 달렸다. 2020년 전무로 롯데GRS 대표에 선임된 후 3년만인 2023년 말 부사장으로, 다시 2년 후인 올해 사장까지 올랐다.  역성장에 적자까지  차 대표가 새로 맡은 롯데마트와 롯데슈퍼의 상황도 녹록지만은 않다. 국내 대형마트 시장이 수년째 어려움을 겪고 있기 때문이다. 이커머스 시장이 성장하면서 전통적인 오프라인 유통 시장이 위축되고 있는 데다 내수 부진까지 겹쳤다.  롯데마트와 롯데슈퍼 역시 상황이 어렵다. 롯데쇼핑 그로서리 사업(국내 마트·슈퍼) 매출액은 2022년 5조8574억원에서 2024년 5조3756억원으로 감소했다. 영업이익은 2022년 157억원에서 이듬해 729억원으로 성장했지만 지난해에는 다시 465억원까지 쪼그라들었다.  이 때문에 롯데마트와 롯데슈퍼는 저효율 점포를 매각하거나 폐점할 수밖에 없었다. 롯데마트의 국내 점포는 2021년 112개에서 2024년 110개로, 롯데슈퍼는 같은 기간 400개에서 352개로 줄었다. 체질 개선에도 나섰다. 2022년 12월 마트와 슈퍼를 단일 대표 체제로 전환하고 공동 소싱에 나섰다. 지난해 초에는 온·오프라인 그로서리 사업도 통합했다.  하지만 이런 노력에도 불구하고 롯데마트와 롯데슈퍼의 실적은 개선되지 않고 있다. 올해 1~3분기 롯데쇼핑 그로서리 사업의 매출은 3조8812억원으로 전년 대비 5.6% 줄었고 영업손실 283억원을 기록하며 적자로 돌아섰다. 롯데그룹이 차우철 대표를 새로운 구원투수로 투입한 이유다.  마트·슈퍼도 가능할까  차 대표는 우선 롯데마트와 롯데슈퍼의 본업인 '그로서리' 경쟁력 강화에 집중할 것으로 보인다. 롯데마트는 지난해 말부터 그로서리 전문매장 '그랑그로서리'를 선보이는 등 그로서리 강화 작업을 지속하고 있다.  특히 롯데쇼핑이 약 1조원을 투자해 준비해온 오카도 기반 온라인 그로서리 사업의 성공적 안착이 중요하다. 롯데쇼핑은 온라인 그로서리 시장 경쟁력 강화를 위해 2022년 11월 영국 리테일테크 기업 오카도와 파트너십을 체결했다. 내년 상반기 부산에 오카도의 스마트 플랫폼을 적용한 '제타 스마트센터'를 가동하고 온라인 그로서리 사업을 본격화 할 예정이다.  해외 사업 확대도 차 대표가 추진해야 할 주요 과제 중 하나다. 롯데쇼핑 해외 할인점은 국내와 달리 선전하고 있다. 롯데마트 해외 매출은 2022년 1조3901억원에서 2024년 1조4970억원으로 늘었다. 영업이익도 2022년 272억원에서 2024년 478억원으로 증가했다. 올해 1~3분기에도 매출과 영업이익이 각각 전년 대비 3.2%, 6.3% 증가하며 안정적인 성장세를 보이고 있다.   실제로 차 대표는 지난 10일 취임 후 첫 공식 행사인 '2026 롯데마트&롯데슈퍼 파트너스 데이'에서 ""앞으로 국내 본업 경쟁력을 강화하고 성장 잠재력이 높은 해외 사업을 확대해 동반 성장의 기회를 넓혀 나가겠다""고 강조했다.  업계 관계자는 ""차우철 대표가 롯데GRS에서 본업 회복과 신사업 확대로 턴어라운드를 이뤄낸 경험이 있지만, 대형마트와 슈퍼는 프랜차이즈와 완전히 다른 사업 구조""라며 ""내년 상반기 오카도 센터 가동과 함께 국내 마트·슈퍼 실적을 어떻게 개선해나갈지가 시험대가 될 것""이라고 말했다.",https://n.news.naver.com/mnews/article/648/0000042591
2025-12-11 16:45:00,"한화금융, 한-UAE '금융 가교' 역할…""글로벌 확장 속도""","한화생명·한화손해보험·한화자산운용·한화투자증권 등 한화 금융 계열사가 '아부다비 금융주간(Abu Dhabi Finance Week·ADFW) 2025'에서 주요 세션과 프로그램을 성황리에 마쳤다고 11일 밝혔다.  지난 8일부터 11일까지 아랍에미리트(UAE) 아부다비에서 열린 이번 행사에서 한화금융은 전통과 디지털 금융 융합 전략 및 글로벌 확장 전략을 핵심 의제로 삼았다.  ADFW는 아부다비 왕세자 후원 아래 아부다비 글로벌 마켓(ADGM)이 주최하는 중동 최대 금융 행사로 4회째를 맞았다.  이번 행사에서는 한화금융의 주요 임원과 관계자들이 주요 세션에 핵심 연사로 참석했다.   김동원 한화생명 최고글로벌책임자(CGO) 사장이 글로벌 마켓 서밋 개회사를 맡았고 둘째 날인 지난 9일에는 김종호 한화자산운용 대표가 애셋 아부다비 포럼(Asset Abu Dhabi Forum)에서 PLUS ETF로 증명된 K방산의 성과와 대체투자(PE·VC) 전략을 접목한 글로벌 확장성에 대해 발표했다.  셋째 날에는 김동욱 한화생명 부사장이 핀테크 아부다비 포럼(Fintech Abu Dhabi Forum)에서 미래 보험·금융 운영체계의 방향을 제시했다.  같은 날 저녁에는 UAE 현지 한인 학생과 직장인을 격려하기 위한 프로그램이 열렸다. 박종경 주UAE 대사대리를 비롯해 UAE 거주 한인 100여명이 참여해 교류의 시간을 가졌다.  한화금융 주요 임원들은 행사 기간 운영된 한화 보드룸·라운지에서 해외 파트너들과 미팅을 진행하며 글로벌 자본 네트워크를 확대하고 중동 내 금융 협력 기반을 한층 공고히 했다.  ADFW 주간에는 글로벌 금융·기술 기업과의 업무협약(MoU)도 이뤄졌다. 한화자산운용은 8일 미국 투자사 마시펜(MarcyPen)과 K-컬처·라이프스타일 산업 글로벌 성장을 위한 업무협약(MOU)을 체결했다. 한화투자증권은 10일 디지털 지갑 플랫폼 기업 크리서스(Kresus)와 MOU를 맺고 디지털자산 전문 증권사 전환 전략에 동력을 확보했다.  행사 기간 참석자들은 AI 기반 혁신, 자본 흐름 변화와 규제 환경, 지속가능한 금융 시스템 등 다양한 의제를 놓고 활발히 토론했다. 한화금융은 전통 금융의 신뢰성과 디지털 금융의 개방성을 결합해 고객의 자산과 금융 생활을 하나의 온체인 여정으로 연결하겠다는 전략을 밝혔다.  한화금융은 이번 ADFW 2025 참가를 계기로 아부다비를 전략적 지역 거점 중 하나로 설정하고 글로벌 금융 시장에서의 활동을 더욱 확대한다. 아울러 한화금융의 기술력을 적극 활용해 '한-UAE 금융 가교' 역할을 강화하고 한국 금융의 글로벌 확장 속도를 높인다는 계획이다.  한화금융은 앞으로도 글로벌 금융 파트너십 확대와 혁신 금융 모델 실현을 위한 다양한 프로젝트를 지속적으로 전개할 예정이다.",https://n.news.naver.com/mnews/article/648/0000042590
2025-12-11 16:31:00,"개인정보위, 쿠팡 '엄정 제재' 가능할까","개인정보보호위원회가 쿠팡의 개인정보유출사고를 다루는 전체회의를 연이어 열고 시정 조치를 요구하고 엄정 제재를 예고하고 있으나, 과징금과 같은 처벌은 현행법 수준에서 부과할 수밖에 없을 것으로 관측된다.  개인정보위는 지난 10일 오후 전체회의를 열어 쿠팡에 이용약관·회원탈퇴 절차 개선, 통지 및 2차 피해 대책 보완을 요구하는 내용을 의결했다.  개인정보위는 이용약관의 경우 개인정보보호법과 상충하고, 이용자의 혼란을 초래한다는 이유에서 개선을 요구했다. 쿠팡은 지난해 이용약관을 개정하면서 서버에 대한 제3자의 모든 불법적인 접속 등으로부터 발생하는 손해에 관해 책임지지 않는다는 내용의 면책 규정을 추가한 바 있다.  또 쿠팡의 회원 탈퇴 절차가 복잡하고 탈퇴 메뉴를 찾기 어렵게 구성·운영하고 있어 이를 간소화할 것을 촉구했다. 아울러 개인정보유출 사실의 통지를 점검하고 쿠팡 계정정보의 다크웹 유통 의심정황 등 2차 피해와 관련한 대책 보완을 요구했다.  이번 쿠팡 관련 전체회의는 지난 3일 긴급 개최한 전체회의에 이어 재차 열린 것이다. 3370만명에 달하는 대규모 개인정보유출 사고라는 점에서 신속한 대응에 나서고 있는 셈이다. 김민석 국무총리도 지난 10일 정부서울청사에서 주재한 국가정책조정회의에서 쿠팡 사고를 주요 안건으로 다룬 바 있다.   정부는 쿠팡과 유사한 사고의 재발방지를 위해 징벌적 과징금 도입뿐 아니라 손해배상 실질화 등 제도 개선을 추진할 방침이다. 특히 주무부처인 개인정보위는 이번 사건과 관련 쿠팡의 개인정보보호법 위반사항을 면밀히 조사해 엄정 제재할 계획이라고 밝히기도 했다.   그러나 개정안의 소급 적용은 되지 않아 처벌 수위는 현행법 수준일 것으로 전망된다. 정부 관계자도 ""제도를 바꾸는 방안이 추진되고 있으나, 법 개정 이전에 발생한 사안에 대해 소급 적용하는 것은 법리적으로 어렵다""고 했다.  현재 개인정보보호법상 과징금은 보호법 위반행위에 대해 전체 매출의 3% 이내에서 부과하고 있는데, 다양한 감경 요소를 반영해 최종 결정하게 된다. 올해 8월 말 SK텔레콤에 부과한 과징금은 1347억9100만원으로, 기존에 제시된 최대 과징금 산정액 2759억2000만원에서 51.1% 감소한 수준이었다.  현재 시점에서 손해배상 규모를 산정하는 것은 개인정보위가 직접 할 수 있는 일도 아니다. 정부 관계자는 ""개인정보보호법상 현재도 징벌적 손해배상 제도가 있으나, 손해액의 5배를 넘지 않는 법위에서 배상액을 정하도록 하고 있다""며 ""이는 개인정보위가 내리는 행정처분인 과징금과 달리 법원이 결정하는 민사상 판결에 해당한다""고 했다.",https://n.news.naver.com/mnews/article/648/0000042589
2025-12-11 16:28:00,'유료 경매장' 도입하려던 넥슨…청불 우려에 화들짝,"넥슨이 '마비노기 모바일'에 도입된 '웨카' 경매장을 재검토하기로 했다. 웨카는 현금으로 획득할 수 있는 유료 재화로, 지나친 과금을 유도한다며 업데이트 전부터 이용자들의 원성을 샀다. 등급분류 규정을 위반하고 사행성을 유도한다는 논란까지 벌어지면서 한발 물러선 것으로 보인다.  11일 넥슨에 따르면 이진훈 마비노기 모바일 디렉터는 지난 9일 공지를 통해 ""웨카 경매장은 베타 종료 후 원점으로 돌아가 다시 검토할 계획""이라고 밝혔다.  이번 베타 서비스로 습득하거나 구매한 잔여 '웨카(재화)'의 경우 경매장 종료 이후에도 아이템숍에서 사용할 수 있다. 등급별 특별 패키지와 '신비한 직물', '웨카 상품권'은 오는 18일 오전 5시 59분까지만 구매할 수 있다.  넥슨은 지난달 26일 마비노기 모바일 업데이트 공지를 통해 '웨카 경매장' 베타 서비스를 출시한다고 밝혔다. 웨카 경매장은 이용자 간 웨카를 사용해 아이템을 거래할 수 있으며, 가장 높은 가격을 제시한 이용자가 낙찰받는 구조다. 획득이 중단된 전설 희귀도 패션 장비를 거래할 수 있다.   문제는 웨카가 '데카'나 '골드'처럼 인게임 플레이만으로 확보할 수 있는 재화가 아닌, 현금으로 획득할 수 있는 유료 재화라는 데 있다. 이용자는 '미가공 웨카 원석'을 현금으로 구매해 웨카를 획득하거나, 데카 거래소에서 상품권을 구매하는 방식으로만 웨카를 얻을 수 있다.   업데이트 소식이 알려지면서 입찰 경쟁을 유도하면서 현금으로만 이용할 수 있는 재화를 활용해, 과도한 과금을 유도하는 게 아니냐는 이용자들의 불만이 터져나왔다. 그간 마비노기 모바일이 무·소과금 이용자들도 즐길 수 있는 '착한 과금'을 내세웠던 만큼 더욱 반발이 컸다.  이에 넥슨은 웨카 경매장에 물품을 등록하기 위해 필요한 '포장지' 아이템의 가격이나 경매 수수료를 낮추겠다고 밝혔으나 반응은 싸늘했다.  한국게임이용자협회는 마비노기 모바일이 게임산업법 및 등급분류규정을 위반했다며 게임물관리위원회에 신고하기도 했다. 협회 측은 지난 3일 게임물관리위원회로부터 유료 재화 경매장 기능의 경우 청소년 이용불가 등급에 해당한다는 유권 해석을 받았다고 설명했다.  유료 재화를 이용해 이용자 간 아이템을 거래할 수 있는 시스템이 도입되면 청소년이용불가 등급으로 분류할 수 있다. 유료 재화 기반 거래소가 도입된 넷마블의 '리니지2 레볼루션'도 등급을 재조정한 바 있고, 엔씨소프트의 '리니지M' 또한 유료 재화 거래소가 도입된 버전은 청소년 이용불가 등급으로 서비스한다.  마비노기 모바일 이용자 연령등급은 구글 플레이스토어 기준 12세 이상, 애플 앱스토어 기준 15세 이상이다. 다중접속역할수행게임(MMORPG)이면서도 10대 이용자 비율이 높은 마비노기 모바일 특성상, 청소년 이용불가 등급으로 재조정되면 타격이 클 수밖에 없었다.   이 디렉터는 ""모험가님들께서 보내주신 많은 의견들을 확인했고, 준비 과정에서 저희의 부족한 점으로 인해 심려를 끼쳐드리게 되어 죄송하다""면서 ""심려를 끼쳐드린 점 진심으로 사과드린다""고 말했다.",https://n.news.naver.com/mnews/article/648/0000042588
2025-12-11 16:26:00,'박현주·서정진 회장 참여' 150조 국민성장펀드 닻올려,"5년 동안 150조원의 자금을 첨단전략산업 등에 투자하는 국민성장펀드가 출범했다.  금융위원회는 11일 오후 서울 여의도 산업은행 본관에서 '국민성장펀드 출범식 및 제1차 전략위원회'를 개최했다. 국민성장펀드는 첨단전략산업에 대한 종합적인 금융지원프로그램으로 5년간 150조원을 지원하는게 골자다. 이 위원장은 이 자리에서 국민성장펀드의 의사결정 체계와 운용계획을 밝혔다.  전략위원회는 민관 합동으로 꾸려졌으며, 박현주 미래에셋그룹 회장과 서정진 셀트리온그룹 회장이 공동위원장을 맡아 펀드 운용 방향과 산업별 전략을 자문한다. 두 민간 공동위원장은 ""국민성장펀드는 산업의 성장 속도를 높이는 것을 넘어 성장 구조 자체를 바꾸는 국가 프로젝트""라며 글로벌 네트워크와 민간 데이터의 적극적 활용을 강조했다.  국민성장펀드 자금의 40% 이상은 지역에 투입할 예정이다. 정부는 직접지분투자, 간접지분투자, 인프라투융자, 초저리대출 등 다양한 방식으로 종합적 금융지원을 제공할 계획이다.  펀드는 첨단전략산업을 직접 영위하는 기업뿐 아니라 지분투자 펀드 등을 통해 중소·기술 기업 전반을 지원한다. 여기에는 반도체·이차전지·백신·디스플레이·수소·미래차·바이오·인공지능·방산·로봇·콘텐츠·핵심광물 등 12개 산업 및 생태계가 포함되며, 장기공급·설비구축, 에너지 인프라 등도 포함된다.  이미 투자수요도 충분한 것으로 나타났다. 현재 지방정부와 산업계·관계부처에서 153조원(100여건)이 넘는 투자수요가 접수된 상황이다.  이억원 금융위원장은 ""30여차례의 산업계, 금융권 간담회 등을 통해 첨단전략산업에 대한 자금수요가 매우 많다는 것을 확인할 수 있었다""라며 ""적어도 자금의 40% 이상을 지역에 투입해 우리경제의 지속가능한 성장을 위한 국가균형발전에 기여하겠다""고 말했다.",https://n.news.naver.com/mnews/article/648/0000042587
2025-12-11 16:25:00,"카카오, AI 기반 광고 운영 도우미 '모먼트AI' 출시","카카오가 인공지능(AI) 기반 광고 운영 지원 서비스 '카카오모먼트 AI(이하 모먼트AI)'를 정식 출시했다고 11일 밝혔다.  모먼트 AI는 자영업자와 중소상공인의 광고 집행 효율을 높이기 위한 서비스다. 광고주별 캠페인 데이터를 분석해 18점부터 100점까지 최적화 점수를 제공한다. 모먼트 AI는 최근 성과 변화, 경쟁 상황, 소재 피로도 등을 종합해 최적화 점수를 산출하며, 점수 상승에 영향을 줄 수 있는 실행 제안을 함께 제시한다. 광고주는 제안된 조치를 북마크하거나 설정 화면으로 바로 이동해 반영할 수 있다.  또한 예산, 클릭률(CTR), 전환율(CVR) 등 주요 지표를 기준으로 경쟁 광고주 대비 성과를 비교할 수 있으며, 업종 내 평균 대비 현재 위치를 분위 단위로 제공한다. 광고 경험이 적은 사업자도 성과 수준을 객관적으로 파악하고 예산 배분과 소재 전략 설정에 참고할 수 있다.  모먼트 AI는 고객 행동 분석 기능도 제공한다. 이용자가 광고 인지 후 방문, 고려, 전환에 이르는 과정을 4단계 퍼널(깔대기, 잠재 고객을 유입시켜 구매하도록 만드는 모델)로 분석해 이탈 시점을 확인할 수 있다. 광고주는 각 단계별 연령대, 관심사, 선물하기·톡딜 이용 패턴 등 행동 데이터를 함께 볼 수 있다.  모든 퍼널 분석 데이터는 개인정보 보호를 위해 K-익명성 기준을 적용해 제공한다. K-익명성 모델은 글로벌에서 사용되고 있는 프라이버시 보호 모델 중 하나로, 공개된 데이터 집합에서 적어도 같은 값의 K개 이상 존재하도록 하는 모델이다.   카카오는 모먼트 AI를 광고 운영 전 과정에서 의사결정을 지원하는 서비스로 확장할 계획이다. 향후 목표 설정, 예산 배분, 타겟 정의, 소재 실험 등 전략 수립 기능을 추가하고, 소재 자동 생성과 시뮬레이터 기반 테스트 기능도 제공할 예정이다. 광고 리포트 분석부터 전략 수립과 집행에 이르는 전 과정을 AI가 단계적으로 지원하는 모델을 목표로 한다.  카카오 관계자는 ""광고를 직접 운영하는 사업자가 데이터를 해석하는 데 어려움을 겪지 않도록, 실행 가능한 개선 방안을 바로 확인할 수 있도록 설계했다""면서 ""앞으로 광고 운영 전 과정에서 AI가 의사결정을 지원할 수 있도록 기능을 확대해 나갈 계획""이라고 말했다.",https://n.news.naver.com/mnews/article/648/0000042586
2025-12-11 16:01:00,"신한투자증권, 신년 앞두고 내부통제 교육…""지점장 책임 강화""","신한투자증권이 2026년을 앞두고 내부통제와 리스크 관리 체계를 강화하기 위해 자산관리총괄 직원 대상 내부통제 교육을 12월부터 조기 시행했다고 11일 밝혔다.   사전 리스크 차단을 위한 조치라는 설명이다. 지난 4일 본부장·지점장 교육에 이어 5~10일까지 자산관리총괄 직원 대상 교육이 이어졌다. 과정은 금융소비자보호, 컴플라이언스, 정보보안 등 내부통제를 실무·사례 중심으로 구성했다. 교육 종료 즉시 이해도 테스트를 실시해 개인 평가에 반영했다.  지점 운영 책임을 명확히 하기 위한 절차도 강화했다. 정기 인사발령 전에 지점장에게 업무 인수·인계서와 내부통제 서약서 제출을 의무화하고, 인사이동시 발생할 수 있는 관리 공백을 최소화하는 방향으로 절차를 정비했다.  내부통제 평가 항목은 임직원 인사평가 지표에 확대 반영했다. 내부통제 미비 지점에 대해서는 지점 평가 감점 및 포상 제외를 적용하고 있다. 올해 3분기까지 내부통제 미흡을 이유로 포상 대상에서 제외된 지점은 15곳이다.  정용욱 신한투자증권 자산관리총괄사장은 ""이번 조기 교육은 '발생 후 대응'이 아닌 '발생 전 예방' 관점의 리스크 관리 정책""이라며 ""내부통제가 일상적으로 작동하는 조직을 만들겠다""고 밝혔다.",https://n.news.naver.com/mnews/article/648/0000042585
2025-12-11 15:45:00,"스포츠 헬스케어 '르피랩', SNS 마케팅 강화","헬스앤라이프 스타트업 피랩이 운영하는 스포츠 헬스케어 브랜드 '르피랩(Le P:LAB)'이 11일 카카오톡 선물하기에 공식 입점했다.   이에 따라 피랩이 대한배드민턴협회 공식 파트너로 국가대표 선수단에 공급해 온 컨디션 관리제품인 '르피랩 메이신' 시리즈를 일반 소비자도 온라인 플랫폼을 통해 구매할 수 있게 됐다.  피랩의 첫 헬스케어 제품인 '르피랩 메이신 레드'와 '르피랩 메이신 스포츠'는 한국원자력연구원이 개발한 천연 플라보노이드 성분 '메이신'을 주성분으로 한다. 메이신은 센티페드그라스에서 추출된 성분으로, 관련 연구에서 항염 및 항산화 가능성이 보고된 바 있다.  한국원자력연구원은 원자력 및 바이오 융합기술 등 다양한 분야에서 연구를 수행하는 정부출연 연구기관이다. 피랩은 원자력연구원의 패밀리 기업이자 벤처 인증기업으로, 연구원이 보유한 기술을 이전받아 메이신 기반 성분을 스포츠 현장에 적용하는 역할을 맡고 있다.  피랩에 따르면 '르피랩 메이신 시리즈'는 국제대회에 출전하는 선수들의 피로 회복과 근육 뭉침 완화 등을 위한 컨디션 관리 용도로 활용되고 있다. 메이신 외에도 6가지 허브 추출물 복합체인 '오리엔탈 허브바이오'를 함께 배합해, 운동 전후 긴장 완화와 회복 관리에 쓰이도록 설계했다는 설명이다.  이상윤 피랩 대표는 ""카카오톡 선물하기 입점으로 국가대표 선수단을 중심으로 사용되던 제품을 일반 소비자와도 공유할 수 있는 채널이 생겼다""며 ""배드민턴을 비롯한 다양한 생활·생활체육 종목과 연계해 국내 스포츠 헬스케어 시장에서 피랩과 르피랩 브랜드 인지도를 단계적으로 키워 나가겠다"" 말했다.  한편 피랩은 올해 7월 대한배드민턴협회와 공식 후원계약을 체결하고, 국가대표 선수단의 경기 및 훈련 환경에 맞춘 제품 개발과 공급을 이어가고 있다.",https://n.news.naver.com/mnews/article/648/0000042584
