날짜,제목,본문,링크
2025-12-05 22:00:00,"""욕 많이 먹는데 대책 없다""... 李대통령, 수도권 집값 '구조적 문제' 토로","충남 천안을 찾은 이재명 대통령이 5일 서울·수도권 집값 급등에 대한 정책적 고충을 토로하며 지역 균형발전이 국가 생존의 유일한 대안임을 역설했다.  이 대통령은 이날 충남 천안시 한국기술교육대학교에서 열린 타운홀미팅에서 ""서울·수도권 집값 때문에 요새 욕을 많이 먹지만 근본적인 대책이 보이지 않는다""고 털어놨다.  이어 서울 집값 상승을 '구조적 요인'으로 규정하며 ""땅은 한정돼 있는데 인구와 자원이 수도권으로 집중되는 구조적 문제가 이미 국가 성장에 부정적 영향을 주고 있다""고 진단했다.  그러면서 ""있는 지혜, 없는 지혜 다 짜내고 주변의 모든 정책 역량을 동원해도 쉽게 해결되지 않는다""고 토로했다.  이 대통령은 해법으로 수도권 집중 완화와 지방 육성을 제시하며 ""과거에는 지방에 미안하니 도와주자, 배려해주자는 차원이었는데 이제 지방 균형 발전은 더 이상 선택이 아니라 생존 전략""이라고 강조했다.  이어 ""수도권 집중이 계속된다면 대한민국의 경제적 지속 가능성 자체가 흔들릴 수 있다""고 우려했다.  ■ 지역 균형 발전 위한 '5극 3특' 전략 검토  대안으로는 국정과제로 추진 중인 '5극(수도권·동남권·대구경북권·중부권·호남권) 3특(제주·전북·강원)' 전략을 다시 꺼내 들었다.  이 대통령은 ""세계적인 추세를 보더라도 광역화가 일반적 경로""라며 ""우리도 이에 맞춰 성장 거점을 중심으로 한 광역 연합체계, 이른바 '5극3특 체제'를 적극 검토하고 있다""고 설명했다.  다만 현실적인 난관도 인정했다. 그는 ""이론적으로 모두 통합이 바람직하다는 데 동의하지만 실제로는 이해관계 충돌과 정치적 계산이 큰 장애요인으로 작용한다""며 추진 과정의 어려움을 피력했다.",https://n.news.naver.com/mnews/article/123/0002373339
2025-12-05 21:48:00,음식으로 좋은 콜레스테롤 높이는 법?,"좋은 콜레스테롤로 불리는 HDL은 심장 건강을 지키는 핵심 요소다. 반면 LDL은 나쁜 콜레스테롤로 알려져 있으며 수치가 높을수록 심혈관 질환의 위험이 커진다. 전문가들은 HDL은 높이고 LDL은 낮추는 것이 이상적이라고 말한다.  5일 미국 클리브리닉 클리닉의 심장 전문의 아시시 사라주 박사는 HDL을 높이는 음식과 식습관 변화의 중요성을 강조했다. 그는 HDL 수치를 인위적으로 끌어올리는 데 집중하기보다는 전반적인 심장 건강을 개선하는 데 초점을 맞춰야 한다고 말했다. 사라주 박사는 남성의 경우 HDL 40 이상, 여성의 경우 50 이상을 유지하고 LDL은 100 미만으로 낮추는 것이 좋다고 덧붙였다.  HDL을 높이려면 건강한 지방 섭취가 중요하다. 단일불포화지방과 다불포화지방, 그리고 오메가3 지방산이 그 예다. 단일불포화지방은 식물성 식품에서, 다불포화지방은 기름진 생선과 씨앗류에서 얻을 수 있다.  오메가3 지방산은 혈중 지방을 낮추고 혈관 기능을 돕는다. 사라주 박사는 이런 지방이 단순히 HDL을 올리기보다 장기적인 심장 건강을 개선한다고 설명했다.  기름진 생선은 대표적인 오메가3 공급원이다. 연어와 청어, 화이트피시, 멸치, 고등어는 오메가3 함량이 높고 수은 함량은 낮아 추천된다. 다만 효과를 보려면 주 2회 이상 꾸준히 섭취해야 한다.  생선을 선호하지 않는다면 아마씨가 좋은 대안이 된다. 아마씨는 오메가3와 식이섬유가 풍부해 LDL을 줄이고 HDL의 균형을 유지하는 데 도움을 준다. 또한 심장을 보호하는 폴리페놀도 포함돼 있다. 아마씨는 통째보다 분쇄된 형태로 섭취해야 체내 흡수율이 높다. 오트밀이나 요거트 스무디에 넣어 먹기 좋다.  견과류 역시 좋은 선택이다. 직접적으로 HDL 수치를 높이지는 않지만 HDL의 기능을 강화해 혈액 내 LDL을 간으로 운반하는 능력을 개선한다. 이는 결과적으로 혈중 LDL 농도를 낮춘다. 호두 아몬드 피스타치오 등이 대표적이다.  엑스트라 버진 올리브 오일은 올레산과 폴리페놀을 함유해 LDL을 낮추고 심장을 보호한다. 샐러드 드레싱이나 파스타 소스로 활용하기 좋다.  채소와 과일은 식이섬유가 풍부해 LDL을 줄인다. 특히 파프리카 자몽 고구마처럼 색이 진한 식품은 카로티노이드를 함유해 염증을 완화하고 심장 질환 위험을 낮춘다.  반면 피해야 할 것도 있다. 술은 일시적으로 HDL을 높일 수 있지만 장기적으로는 체중 증가와 중성지방 상승 심부전 위험을 키운다. 사라주 박사는 HDL 수치를 높이기 위해 술을 마시는 것은 절대 권장하지 않는다고 말했다.  달걀은 단백질이 풍부하지만 식이 콜레스테롤이 높아 일부 사람은 LDL이 상승할 수 있다. 사라주 박사는 달걀을 HDL 개선 수단으로 보기 어렵다고 말했다. 사람마다 콜레스테롤 흡수율이 다르기 때문에 의료진과 상담해 섭취량을 조절하는 것이 좋다.  HDL 수치가 낮다는 것은 단순한 수치 문제가 아니라 생활습관 전반을 점검해야 한다는 신호다. 흡연이나 운동 부족은 HDL을 떨어뜨리고 심장 질환의 위험을 높인다. 사라주 박사는 지중해식 또는 DASH 식단을 따르고 유산소 운동을 꾸준히 하는 것이 도움이 된다고 조언했다.  한편 HDL 수치가 낮게 나왔다면 스스로 식단을 바꾸기보다 전문의와 상담하는 것이 필요하다. 개인의 건강 상태를 고려해 맞춤형 관리 계획을 세우는 것이 중요하다. 꾸준한 실천과 의사의 조언이 장기적인 심장 건강을 지키는 가장 확실한 방법이다.",https://n.news.naver.com/mnews/article/123/0002373338
2025-12-05 20:56:00,"“미군 단독 방어 한계”...美, 안보전략서 韓·日 국방비 증액 요구","도널드 트럼프 미국 2기 행정부가 5일(현지시간) 공개한 2025년 국가안보전략(NSS) 보고서에서 한국과 일본 등 동맹국들의 역할 강화와 방위비 지출 확대를 강조했다.  백악관이 이날 홈페이지에 공개한 2025년 NSS 보고서는 트럼프 대통령의 '미국 우선주의' 기조를 명확히 하며 동맹국들이 막대한 안보 비용 불균형을 해소할 것을 강력히 촉구하는 내용을 담고 있다.  보고서는 ""트럼프 대통령의 외교정책은 무엇보다도 미국 우선주의에 기반한다""며 ""군사동맹에서부터 무역관계에 이르기까지 미국은 다른 나라들에 공정한 대우를 강조할 것""이라고 밝혔다. 이어 ""미국이 '아틀라스'처럼 전 세계 질서를 떠받치던 시대는 끝났다""며 동맹국들이 방위 예산을 늘릴 것을 요구했다.  특히 아시아 지역에서는 한국과 일본을 명시적으로 지목하며 이들 국가가 적을 억제하고 제1도련선(일본 규슈~오키나와~타이완~필리핀~보르네오 북부) 방어에 필요한 역량에 초점을 맞춰 국방비를 증액하도록 촉구했다.  보고서는 ""제1도련선 어디에서든 침략을 저지할 수 있는 군대를 구축하겠지만 이는 미군 단독으로 수행할 수 없으며 동맹국들의 집단 방위 참여가 필요하다""고 밝혔다.  이와 함께 타이완에 대해서는 ""반도체 시장에서 중요한 국가이자 동북아시아와 동남아시아 사이의 전략적 요충지""라며 ""타이완을 둘러싼 충돌 억제가 미국의 최우선 과제""라고 설명했다.  또한 ""어떠한 일방적 현상 변경도 지지하지 않는다""며 ""타이완을 점령하려는 어떤 시도도 불가능하게 만들 정도로 미국과 동맹국의 군사적 역량을 강화할 것""이라고 덧붙였다. 사실상 중국의 군사적 압박을 동맹과 함께 견제하겠다는 의지를 드러낸 셈이다.  아울러 중국을 대규모 군사력 증강과 약탈적인 산업모델을 가진 명확한 군사적·경제적 위협으로 규정했다. 보고서는 ""인도·태평양 지역에서 중국이 대규모 군사력을 증강하고 있다""고 적시했다.  다만 중국과의 무역 협상 현실을 감안해 ""중국이 일부 합의 조항을 이행하고 있다""는 평가도 병기하며 협상 여지를 남겼다.  한편 이번 국가안보전략에서는 지난 트럼프 1기 행정부 때와 달리 북한이 단 한 번도 언급되지 않아 이례적이라는 평가가 나온다. 이는 미국 행정부의 안보 전략 초점이 인도-태평양 지역의 패권 경쟁 및 대중국 견제에 압도적으로 집중되고 있음을 보여주는 대목이다.",https://n.news.naver.com/mnews/article/123/0002373337
2025-12-05 20:55:00,"현대차, 30만원 돌파…AI 중심 재편과 지배구조 개편 기대에 ‘불꽃 상승’","현대자동차 주가가 장중 30만원을 돌파하며 11% 넘게 급등했다. 미국의 자동차 관세 인하와 그룹 임원 인사, 지배구조 개편 기대감이 복합적으로 작용하며 투자심리를 자극했다.  5일 한국거래소에 따르면 현대차는 전날보다 3만1500원(11.11%) 오른 31만5000원에 거래를 마쳤다. 미국의 관세 불확실성이 완전히 해소된 데다 현대차그룹의 올해 인사 방향이 긍정적으로 평가받으며 주가 상승세를 견인했다.  앞서 미국 연방정부는 지난 3일 한국산 자동차에 부과되던 25%의 관세를 15%로 인하한다고 발표했다. 이번 조치는 지난 4월부터 이어져 온 한미 간 협상의 불확실성을 해소한 것으로 완성차뿐 아니라 주요 부품에도 소급 적용된다.  현대차는 4일 김승찬 국내판매사업부장을 부사장으로 승진시켜 신임 국내사업본부장으로 임명했다. 이시혁 북미권역상품실장은 제네시스사업본부장으로 승진했다.  이에 따라 국내사업은 판매 중심의 단일 체제로, 제네시스는 상품과 판매 중심 구조로 전환될 전망이다. 인도 조직의 분리 역시 글로벌 3위 시장으로 성장한 인도에 대한 대응 강화를 위한 조치로 해석된다.  또한 송창현 포티투닷 대표가 자리에서 물러나며 AI와 소프트웨어(SW) 사업 재편 가능성도 부각됐다. 시장에서는 현대차가 미래 모빌리티 분야에서 AI 기반 기술 경쟁력을 강화할 것이라는 기대가 커지고 있다.  이 같은 주가 상승세에는 지배구조 개편에 대한 전망도 영향을 미쳤다. DS투자증권 최태용 연구원은 ""현대차는 글로벌 시장에서 가장 빠른 점유율 확대를 보이고 있지만 밸류에이션은 여전히 역사적 하단에 있다""며 ""AI 기반 SW 경쟁력이 현대모비스, 현대오토에버, 포티투닷, 보스턴다이내믹스 등 계열사에 분산돼 있어 구조적 한계가 존재한다""고 분석했다.  최 연구원은 이어 ""지배구조가 개편되면 SW 시너지가 본격화될 것""이라며 ""다만 AI 소프트웨어 자회사를 단일 법인으로 통합할 경우 순환출자에 따른 일감 몰아주기 논란을 해소해야 한다""고 덧붙였다. DS투자증권은 현대모비스가 그룹 내 SW와 미래차 기술의 구심점이 될 것으로 전망하며 현대차 목표주가를 33만원에서 43만원으로 상향 조정했다.  최 연구원은 또한 ""신차 효과가 집중되면서 내년 1분기 미국 하이브리드 점유율과 유럽 전기차 점유율이 확대될 것""이라며 ""CES 2026과 로보틱스 관련 사업이 다시 주목받을 것""이라고 내다봤다.  한편, 같은 날 기아는 12만3600원(2.74% 상승)에, 현대모비스는 36만2500원(4.32% 상승)에 거래를 마쳤다. 자동차 업종 전반이 강세를 보이며 시장을 견인했다.",https://n.news.naver.com/mnews/article/123/0002373336
2025-12-05 20:38:00,국방과학연구소 찾은 李대통령…“첨단 국방기술 확보가 핵심”,"이재명 대통령이 5일 충남 타운홀미팅 일정을 마친 뒤 국방과학연구소(ADD)를 찾아 국방 R&D 역량을 직접 점검하며 첨단 국방기술 강화 의지를 재확인했다.  전은수 대통령실 부대변인은 서면 브리핑을 통해 ""이 대통령이 국방과학연구소에 도착한 뒤 연구소 현황을 보고받고 연구원들을 격려했다""고 밝혔다.  이 대통령은 ADD의 미사일 연구시설 등 핵심 연구시설을 직접 점검하며 연구개발(R&D) 진행 상황과 주요 성과를 보고받았다. 그는 ""국방비 증액을 통해 첨단 과학기술 확보와 미래 자산 확충, 방위산업 강화가 가능해질 것""이라며 ""이러한 정세 속에서 국방과학연구소의 역할이 더욱 중요하다""고 강조했다.  이어 ""국방 분야 전략 연구개발 기관으로서 ADD가 앞으로도 중추적인 책임을 수행해달라""며 연구진에게 지속적인 역할을 당부했다.  이날 이 대통령의 ADD 현장 방문에는 안규백 국방부 장관, 이용철 방위사업청장, 이건완 국방과학연구소장 등이 동행했다.",https://n.news.naver.com/mnews/article/123/0002373335
2025-12-05 19:55:00,"넷플릭스, 워너브라더스 품나…단독협상 돌입에 파라마운트 ‘반발’","넷플릭스가 워너브라더스 디스커버리 인수 협상에서 가장 유력한 후보로 떠올랐다. 경쟁자인 파라마운트는 인수 절차가 넷플릭스에 유리하게 진행되고 있다며 강하게 반발하고 있다.  4일(현지 시각) 블룸버그통신에 따르면 워너브라더스 디스커버리는 영화·TV 스튜디오와 스트리밍 서비스 HBO 맥스 등 주요 자산을 넷플릭스에 매각하기 위한 단독 협상에 돌입했다. 논의가 순조롭게 이어질 경우 양측은 조만간 거래 성사 소식을 발표할 가능성이 있다.  보도에 따르면 넷플릭스는 만약 규제 당국이 인수를 승인하지 않을 경우를 대비해 50억달러(약7조3500억원)의 위약금을 지불하겠다는 조건을 제시했다. 또한 합병이 완료되면 결합 상품을 통해 스트리밍 구독료를 낮출 수 있다고 주장했다.  이번 인수가 성사될 경우 넷플릭스는 102년 역사의 워너브라더스와 함께 슈퍼맨, 해리포터 등 세계적 인기 지식재산권(IP)을 확보하게 된다. 이에 따라 강력한 IP를 보유한 디즈니와의 경쟁 구도는 한층 더 치열해질 것으로 보인다.  앞서 지난 1일 넷플릭스와 파라마운트, 컴캐스트는 각자 인수 제안서를 워너브라더스 측에 제출했다. 소식통은 넷플릭스가 가장 높은 금액을 제시했으며 인수 대금을 대부분 현금으로 지불할 의사를 보였다고 전했다.  그러나 파라마운트는 인수 절차가 공정하지 않다고 주장했다. 파라마운트 측 변호사들은 데이비드 자슬라브 워너브러더스 디스커버리 최고경영자(CEO)에게 보낸 서한에서 ""공정한 인수 절차가 이미 포기됐다""며 ""특정 입찰자, 즉 넷플릭스에 유리하게 진행되고 있다""고 비판했다. 또한 파라마운트는 독과점 문제로 인해 규제 당국이 넷플릭스와 워너브라더스 디스커버리의 합병을 승인하지 않을 것이라고 주장했다.  워너브러더스 디스커버리는 2022년 워너미디어와 디스커버리의 합병으로 탄생했다. 현재 HBO 맥스, CNN, TNT, 디스커버리 등 다양한 채널을 보유하고 있으며 내년까지 스트리밍·스튜디오 부문과 케이블 방송 부문을 분할하는 계획을 세운 상태다.",https://n.news.naver.com/mnews/article/123/0002373334
2025-12-05 19:39:00,비트코인 폭락장에 하버드 기금 ‘흔들’...국부펀드는 더 담았다,"최근 비트코인 가격이 급락하면서 개인 투자자들이 '패닉 셀(공포 매도)'에 나섰지만 하버드대학교와 주요 국부펀드(SWF)는 오히려 저점 매수에 뛰어들며 보유 규모를 크게 늘린 것으로 나타났다. 다만 공격적인 매수를 단행한 하버드대학교 기금이 최근 하락세 여파로 단기 손실을 기록한 정황이 드러나면서 '고점 추격' 논란이 나오고 있다.  4일(현지시간) 코인데스크에 따르면 하버드대학교 산하 기금 운용사인 하버드 매니지먼트 컴퍼니는 올해 3분기 기준 블랙록의 비트코인 현물 ETF(IBIT)를 680만주 보유한 것으로 파악됐다. 이는 약 4억 4300만 달러(약 6534억 원) 규모로 지난 2분기 보유량 190만주에서 3배 이상 증가한 수치다.  하지만 하버드의 과감한 베팅은 최근 급락장에서 단기 손실을 초래한 것으로 분석된다. 월스트리트저널(WSJ)은 비트코인이 이번 분기에만 20% 넘게 하락하면서 하버드의 투자 성과에 빨간불이 켜졌다고 지적했다.  심지어 7월 초 최저점에서 ETF를 매입했다고 가정한 '시나리오'에서도 약 14%의 평가손실이 예상돼 결과적으로 하락 직전의 '고점 매수'에 노출됐다는 우려가 제기된다.  하버드 외에도 브라운대(약 1400만 달러), 에모리대(약 5200만 달러) 등도 비트코인 ETF를 포트폴리오에 편입하고 있지만 규모가 상대적으로 작아 단기 충격은 제한적이라는 평가다.  ■ 변동성 vs 헤지 수단...엇갈리는 장기 전망  비트코인의 장기 투자 전망에 대해서는 전문가들 사이에서도 의견이 엇갈린다.  제이 해트필드 인프라스트럭처 캐피털 어드바이저스 최고경영자(CEO)는 ""도박을 할 때는 보유(Hold)하는 것이 아니라 매도해야 한다""며 ""가상자산은 본질적 변동성이 지나치게 큰 자산""이라고 짚었다.  반면 래리 핑크 블랙록 CEO는 최근 뉴욕타임스 '딜북 서밋'에서 ""점점 더 많은 장기 투자자들이 비트코인을 저가에서 매집하고 있다""며 ""여러 국부펀드들이 12만 달러와 10만 달러대에서 비트코인의 비중을 늘리고 있고 8만 달러대까지 밀릴 때도 추가 매수에 나선 것으로 알고 있다""고 밝혔다.  국부펀드(SWF)는 국가 자산을 장기적으로 관리하는 초대형 투자기관으로 단기 수익보다 안정적 장기 수익률을 중시한다. 아부다비의 무바달라 투자회사, 룩셈부르크 국부펀드 등은 이미 현물 비트코인 ETF 투자 사실을 공개한 바 있다.  핑크 CEO는 ""비트코인은 정부 부채 증가와 인플레이션 위험에 대비할 수 있는 강력한 헤지 수단""이라며 ""실질적인 사용 사례를 가진 자산이라고 믿는다""고 강조했다.",https://n.news.naver.com/mnews/article/123/0002373333
2025-12-05 18:45:00,"야권, 인사청탁 파문에 “최순실-김건희 답습""...특별감찰관 임명 촉구","최근 문진석 더불어민주당 원내운영수석부대표와 김남국 전 대통령실 디지털소통비서관 사이에서 오간 인사 청탁 문자 메시지가 공개되면서 이재명 대통령﻿이 비선 실세 논란을 해소하기 위해 특별감찰관을 조속히 임명해야 한다는 야권의 목소리가 거세지고 있다.  논란은 문 수석부대표가 김 전 비서관﻿에게 민간단체 인사추천을 부탁하는 메시지를 보내고, 김 전 비서관이 ""현지 누나﻿(김현지 제1부속실장)에게 전달하겠다""고 답한 사실이 언론을 통해 알려지면서 촉발됐다.  김현지 제1부속실장은 이재명 대통령의 경기 성남시 활동가 시절부터 27년간 근거리에서 보좌해 온 측근이다. 대통령실 내부에서는 그의 영향력을 두고 '만사현통'이라는 표현이 나올 정도로 실세 논란이 지속돼 왔다.  이번 문자 메시지에서 김 실장이 인사 청탁의 최종 경로로 언급되자 야권은 대통령실 내 권력 집중과 비선 실세 문제를 정리해야 한다고 주장했다.  한동훈 전 국민의힘 대표는 이를 윤석열 정부 당시 김건희 여사 관련 의혹과 비교하며 특별감찰관 임명과 김 실장 사퇴를 동시에 요구했다. 그는 페이스북에서 ""'V0 김현지'를 버리고 즉시 특별감찰관을 임명하라""며 ""이재명 정권이 김현지 실세 문제를 해결하지 않으면 끝까지 못 간다""고 주장했다.  박성훈 국민의힘 수석대변인 논평을 통해 ""대통령실이 언제부터 '인사청탁 창구'가 됐는지 명명백백히 밝혀야 한다. 이재명 대통령이 스스로 약속했던 특별감찰관을 즉각 임명해야 한다""며 ""썩은 고름을 도려내지 않는다면 대통령실 전체가 병든다는 사실을 잊지 말아야 한다""고 말했다.  주진우 의원도 ""문진석 수석부대표의 세 줄 사과와 김남국 전 비서관의 사퇴만으로 끝날 문제가 아니다""며 ""이 대통령이 공약한 특별감찰관을 즉시 임명하고, 국회 청문회 등 모든 수단을 동원해 인사농단을 규명해야 한다""고 지적했다.  최형두 의원 역시 BBS 라디오에서 ""특별감찰관 제도를 통해 단호한 의지를 보여야 한다""고 강조했다.  이준석 개혁신당 대표는 전날 자신의 SNS에서 ""감시받지 않는 권력에 도취되었던 비선 실세들은 정권을 무너뜨렸다. 바로 최순실과 김건희""라며 ""대통령이 불편해하고 김현지 부속실장이 두려워할 만한 인물로 특별감찰관을 지명하라""고 제언했다.  특별감찰관 제도는 대통령의 배우자, 친인척, 대통령실 수석비서관급 이상 공무원의 비위를 감찰하는 역할을 수행하며 2014년 도입됐다. 그러나 2016년 초대 특별감찰관인 이석수 감찰관이 사임한 이후 ""9년 넘게 공석이 이어지며 사실상 유명무실한 상태다.  윤석열 정부﻿ 당시에도 김건희 여사﻿ 관련 의혹이 불거질 때마다 임명 필요성이 제기됐지만 실현되지 못했다. 이재명 대통령 또한 대선 후보 시절 ""취임 직후 특별감찰관을 임명하겠다""고 공언했으며 지난 7월 기자회견에서도 ""특별감찰관 지시를 이미 내렸다""고 밝힌 바 있다.  대통령실 관계자는 이날 한겨레에 ""대통령은 이미 특별감찰관 추천을 요청했으며, 국회에서 여야가 합의해 후보를 추천하면 바로 임명할 것""이라고 원론적 입장을 밝혔다. 그러나 국회에서는 여야 간 이견으로 후보 추천 절차가 진전되지 않아 제도가 장기간 표류하고 있는 실정이다.",https://n.news.naver.com/mnews/article/123/0002373332
2025-12-05 17:54:00,"정청래, '1인1표제' 부결에 ""당원들께 사과...공천룰은 수정해 재부의""","정청래 더불어민주당 대표는 자신의 공약인 '대의원·권리당원 1인1표제'가 5일 중앙위원회에서 부결된 것에 대해 ""당원 여러분들께 진심으로 사과드린다""고 밝혔다.  정 대표는 이날 오후 국회에서 기자간담회를 갖고 ""전당대회 때 약속한 공약을 지키기 위해 노력했으나, 중앙위원회에서 부결됨으로써 저의 약속을 지킬 수 없게 됐다""며 ""그 공약을 실천하라고 저를 당대표로 선출해 주신 당원들의 꿈을 이루기 어렵게 돼 저를 뽑아주신 당원들께 송구한 마음 금할 길 없다""고 사과했다.  그러면서 ""1인1표 당헌 개정안은 지금 즉시 재부의하기에는 많은 어려움이 있어 보인다""고 토로했다. 사실상 1인1표 당헌 개정 논의를 당분간 중단하겠다는 뜻으로 풀이된다.  그는 ""중요한 것은 꺾이지 않는 마음이라고 생각한다""며 ""강물이 바다를 포기하지 않듯이 1인1표 당원주권정당의 꿈도 여기서 포기할 수는 없다. 조금 더 시간을 갖고 당원들에게 길을 묻겠다""고 다짐했다.  다만 ""(내년) 지방선거를 치러야 하기 때문에 지방선거 룰과 관련된 당헌 개정안은 수정안을 내서 빠른 시간 안에 재부의해 다시 중앙위 의결 절차를 밟겠다""고 밝혔다.  앞서 민주당은 이날 오후 당 중앙위원 596명을 대상으로 1인1표제 및 지방선거 공천 룰 변경에 대한 당헌 개정안 2건을 상정했지만 모두 부결됐다. 중앙위는 당 소속 국회의원과 기초자치단체장, 지역위원 등으로 구성돼 있다.  1인1표제 관련 당헌 개정안은 총 596명 중 373명(62.58%)이 투표에 참여, 271명만 찬성해 재적 위원 과반(299명) 확보에 실패해 부결됐다.  내년 지방선거 기초·광역의원 비례대표 선출 시 권리당원에 후보 선출권을 주고, 예비경선제를 도입하는 내용의 당헌 개정안 역시 찬성표(297명)가 재적 과반에 단 2명 부족해 부결됐다.  '대의원·권리당원 1인1표제'는 그동안 당 대표 선거 등의 투표에서 대의원에게 부여됐던 가중치를 없애고 대의원과 일반 당원의 표 가치를 동일하게 하는 내용이다.  민주당은 그간 영남·강원 등 취약 지역 당원을 배려하는 차원에서 당직 선거에서 대의원 한 표를 일반 권리당원 20표로 계산해 왔다.  그러나 정 대표 측은 이러한 방식이 평등선거 원칙에 위배한다며 '1인1표제'로 당내 민주주의를 강화하겠다고 공약했다. 이는 이재명 대통령이 민주당 대표였던 때부터 추진됐던 사안이라고 강조했다.  반면 반대하는 측에서는 취약 지역 당심을 배려할 보완책이 미비해 민주당을 권리당원이 많은 '호남당'으로 축소시킬 것이라는 우려가 나왔다.  여기에 대의원 표심이 약한 정 대표가 강성 권리당원을 앞세워 내년 8월 대표직 연임을 염두에 두고 졸속 강행하려는 것 아니냐는 의심의 눈초리도 많았다.",https://n.news.naver.com/mnews/article/123/0002373331
2025-12-05 17:49:00,"강훈식 비서실장, ""글로벌 방산 4강 도약 위해 정부·산업계 함께 나서야""","강훈식 비서실장(전략경제협력 대통령특사)은 국내 방위산업 분야의 대기업, 중견·중소기업, 스타트업 등 15개 주요 기업을 초청해 대한민국이 '글로벌 방산 4대 강국'으로 도약하기 위한 업계 의견을 청취하는 간담회를 개최했다.  대통령실 안귀령 부대변인은 5일 서면 브리핑을 통해 ""강 비서실장은 최근 이재명 대통령의 해외 순방과 전략경제협력 대통령특사 활동을 통해 많은 국가들이 K-방산과 협력을 희망하고 있다""며 정부와 산업계의 협력을 당부했다고 밝혔다.  강 비서실장은 특히 '혁신이 지속되고 대-중소기업이 상생 협력하는 산업 생태계 조성', '방산협력국과 동반 성장하는 수출 전략 마련', '정부 차원의 체계적 지원을 통한 방산 수출 이익의 국민경제 환원 방안 마련' 등을 함께 고민하고 만들어가자고 강조했다.  방산업계는 각 기업의 방산 수출 경험과 대-중소기업 상생 협력 사례 등을 소개하면서 '방산 수출 허가제도 간소화', '방산수출국과 무기체계 품질 상호인증', '중소기업의 방산수출시장 진출 지원 확대', 'EU 등 선진국 방산시장 개척을 위한 기술·제도적 장벽 해소 지원 등' 현장의 어려움을 토로하며 정부의 적극적 지원을 건의했다.  강 비서실장은 ""방위산업 지원에 있어 신속한 정부 대응이 무엇보다 중요하다""며 기업들과의 직접 소통 의지를 재확인했다.  또한 ""방산수출시장 개척 과정에서 대통령특사로서 지원이 필요한 부분이 있다면 적극적으로 전달해 달라""고 당부했다.  정부는 이번 간담회를 계기로 방산기업과의 협력 체계를 강화하고, K-방산의 글로벌 경쟁력 제고를 위한 방안을 지속적으로 마련해 나갈 계획이다.",https://n.news.naver.com/mnews/article/123/0002373330
