날짜,제목,본문,링크
2025-12-10 22:33:00,"'남해군 농어촌 기본소득' 도비 예산, 예결특위서 살아나","경남도의회 농해양수산위원회에서 전액 삭감됐던 남해군 농어촌 기본소득 시범사업 도비 분담금이 예산결산특별위원회에서 살아났다.  도의회 도청 소관 예결특위는 10일 오후 제428회 정례회 제4차 회의에서 2026년도 경남도 예산안을 의결했다.  정회를 거듭하던 예결특위는 이날 저녁 예산안을 원안대로 가결하기로 했다.  통과된 예산안에는 농해수위에서 삭감됐던 농어촌 기본소득 시범사업 도비 분담금인 126억 3600만원도 포함됐다.  예결특위는 농어촌 기본소득 시범사업 도비 분담금은 모두 복원했으나, 국비 부담률을 상향해 사업을 추진하라는 부대의견을 달았다.  또 시범사업 대상이 아닌 다른 시·군을 위한 재정지원 방안을 마련하라고도 했다.    '농어촌 기본소득 시범사업'은 인구감소와 초고령화로 인한 소멸 위기 군 지역을 대상으로 농림축산식품부가 추진하는 사업으로, 2026년부터 2027년까지 2년간 매달 15만원, 연간 180만원의 지역사랑상품권이 시범사업 지역민 모두에게 기본소득으로 제공된다.  시범사업에 선정된 남해군의 농어촌 기본소득 사업 전체 예산은 702억이다.  앞서 경남도는 지난 7월 극한호우로 인한 수해 지역 복구비 지출, 내년 농어업인 수당 인상, 민생회복 소비쿠폰에 도비 투입 등으로 재정 부담이 커 시범사업에 도비를 지원하지 않기로 했다가 고심 끝에 60％ 지방비 부담금 전체에서 30％, 즉 18％를 부담하기로 했다.  이에 정부가 208억 8000만원(40％), 경남도가 126억 3600만원(18％), 남해군이 294억 8400만원(42％)씩 부담한다.  그러나 국회가 예산 심사에서 부담 비율을 국비 40％, 도비 30％, 군비 30％로 해야 한다는 부대 의견을 달며, 도비를 최소 30％ 이상 반영하지 않으면 국비 부담을 보류하겠다고 했다.  이후 도의회 농해수위는 경남도가 제출한 내년도 예산안 농정국 예비 심사에서 지방비 대거 투입 부담, 위장전입 등 부작용, 특정 지역에만 혜택이 가는 선심성 정책 등의 이유로 농어촌 기본소득 시범사업 도비 부담분 전액을 삭감해 예결특위로 넘겼다.  예결특위에서도 도가 반영한 예산이 살아나지 않으면 사업 자체가 무산될 가능성이 보이자, 앞서 장충남 남해군수, 남해군민 등이 예산 복구를 촉구했고, 남해군이 지역구인 류경완 도의원은 도의회 앞에서 삭발을 강행하며 예산 복원을 호소했다.  이날 예결특위를 통과한 2026년 경남도 예산안은 오는 16일 제428회 정례회 제6차 본회의에서 최종 확정된다.",https://n.news.naver.com/mnews/article/277/0005691835
2025-12-10 21:47:00,"나주시, 노인 일자리 2년 새 35% 확대…역대 최대 규모","전남 나주시는 10일부터 19일까지 지역 어르신의 활기찬 노후를 위한 '2026년 노인 일자리 및 사회활동 지원사업'으로 66개 사업단에서 참여자 4,710명을 모집한다고 밝혔다.  2년 새 1,625명이 늘어난 최대 모집 규모로 오는 19일까지 각 읍면동과 사업 수행기관에서 4개 분야 노인 일자리 사업 참여 신청을 받는다.  내년도 일자리는 전년 대비 사업량 685명 증가, 사업비 36억 8,000만 원이 늘어 총 4,710명에 207억 원(국비 50%·도비 15%·시비 35%)이 투입된다.  사업은 읍면동, 동부노인복지관, 중부노인복지관 주관의 직접 수행 16개 사업단과 나주시니어클럽, 나주시노인복지관, (사)대한노인회 나주시지회, (사)도울인복지회에서 50개 사업단을 운영할 계획이다.  모집 유형은 지역사회 환경개선, 공공시설 및 관리지원 등 노인공익활동형(3,560명), 취약계층 서비스, 보육시설 지원 등 노인역량활용사업(823명), 카페, 반찬·두부 제조 등 공동체 사업단(212명), 경비관리원, 카페 연계 등 취업 지원(115명)으로 총 4개 유형이다.  유형별로 공익 활동은 월 30시간 근무에 활동비 29만 원을 지원받으며 나주시에 거주하는 65세 이상 기초연금 지원 대상자가 신청할 수 있다.  노인역량활용형은 참여자의 숙련된 기술, 전문성을 토대로 월 60시간 근무에 주휴수당을 포함하여 활동비 76만 1천 원을 지급하며 65세 이상(일부 60세 이상) 나주 시민이 참여 대상이다.  공동체 사업단은 근로 보수 외 제작 및 판매를 통한 수익 분배로 인기 있는 사업 유형 중 하나이다.  취업 지원은 근로계약 체결 내용에 따라 내년 최저임금 시급(1만 320원)을 적용한 활동비를 받게 되며 60세 이상 나주시 민이 참여할 수 있다.  특히 나주시는 신규 사업으로 노인공익활동 6개 사업(시니어예술단, 시니어안심순찰대, 우리동네 자원순환지킴이, 목사골 전통지킴이, 보행약자 안전지도 만들기 사업, 파크골프장 러닝메이트)과 노인역량활용형 3개 사업(인엔아웃(in&out)케어 서포터즈, 유아 언어 발달사업, 시니어금융지원단), 공동체사업으로 '엄마의 청춘 1호점'(반찬 제조 및 판매)을 확대한 2호점을 내년부터 운영할 계획이다.  참여 희망자는 신분증과 주민등록등본을 지참해 읍면동 행정복지센터, 중부노인복지관, 동부노인복지관, 나주시니어클럽, 사)대한노인회나주시지회, 사)도울인복지회, 나주시노인복지관에서 방문 신청이 가능하다.  참여자 선발은 보건복지부 노인 일자리 사업 선발 기준표의 소득수준과 활동 역량, 경력 등의 기준에 따라 고득점자순으로 내년 16일까지 최종 선발할 계획이다.  최종 선발된 참여자는 내년 1월 19일부터 상해보험 및 배상책임보험 가입, 안전·직무교육 등을 수료하고 본격적인 일자리 사업에 참여하게 된다.",https://n.news.naver.com/mnews/article/277/0005691834
2025-12-10 21:44:00,KTX·SRT 단계적 통합…호남선·전라선 좌석난 요금부담 완화 기대,"KTX와 SRT의 단계적 통합 추진으로 호남선·전라선의 좌석 부족과 요금부담 문제 해소에 물꼬가 트였다.  국토교통부가 지난 8일 KTX·SRT 통합 운영 추진을 공식 발표하며, 그동안 분리 운영한 고속철도 이원화 구조를 단계적으로 개선하겠다고 밝혔다.  이번 발표에는 이용객이 많은 수서발 좌석 공급을 확대하기 위해 서울역에 SRT를, 수서역에 KTX를 교차 투입하는 내용이 포함됐다. 이는 전남도가 전라선·호남선 좌석 부족 해소를 위해 국토부와 코레일에 꾸준히 요구한 핵심 건의 사항이다.  전남도는 특히 평택~오송 병목 구간 해소가 2028년 이후에나 가능하다는 점을 고려해, 개통 이전까지의 좌석 공급 개선 방안으로 KTX·SRT 병합 운영을 통한 열차 회전율 제고를 현실적 대안으로 제시했다. 이러한 전남도의 지속적 개선 요구가 국토부의 '고속철도(KTX·SRT) 통합 운영 추진' 정책으로 이어진 것이다.  KTX·SRT 통합운영 체계가 적용되면, 주말 1일 기준 호남선은 4,684석, 전라선은 191석이 각각 늘어난다. 이는 KTX-산천(379석/회) 기준으로 호남선 12회, 전라선 1회 증편 효과와 같다. 이에 따라 전남에서 수도권으로의 접근성이 향상되면서 의료·교육·문화 등 다양한 생활 편의도 함께 높아질 전망이다.  또 국토부 발표에 따라 2026년 말 예매·발매 시스템이 통합되면, SRT에도 일반열차 환승할인 30%와 지역사랑 철도여행 할인 50% 등 코레일 주요 할인 제도가 적용돼 지난 9월 개통한 목포-보성선 연계 이용도 크게 편리해질 전망이다.  김영록 전남도지사는 ""호남선·전라선 좌석 부족과 요금 부담 문제는 도민 이동권과 직결된 사안으로, 민선 7기부터 지속적으로 개선을 요구했다""며 ""이번 정부 발표는 전남도의 건의가 실제 정책 변화로 이어진 의미 있는 성과""라고 말했다.  전남도는 앞으로도 20년 전 오송역 분기에 따른 노선 우회 추가요금 문제 해결을 위한 요금체계 개선, 호남선·전라선 좌석 부족 해소를 위한 열차 편성 확대(10량 → 20량) 등을 정부 정책에 반영되도록 지속 건의할 계획이다.",https://n.news.naver.com/mnews/article/277/0005691833
2025-12-10 21:40:00,"""담배 꺼주세요"" 직원 말 무시하자…물속에서 튀어나와 응징","중국 랴오닝성의 한 수족관에서 벨루가 고래가 금연 구역에서 담배를 피우던 남성에게 물을 뿌려 담배를 끄는 장면이 포착돼 화제다.  해당 장면이 담긴 영상은 최근 중국 사회관계망서비스(SNS) 바이두 실시간 인기 검색어를 차지하며 누리꾼들의 관심을 끌었다.    랴오닝성 다롄 선아시아 오션월드 수족관에서 촬영된 영상에는 한 남성이 담배를 피우는 모습이 담겼다. 남성은 금연 표지판을 무시하고 수족관 직원의 경고에도 불구하고 담뱃불을 붙였다. 그 순간, 벨루가 고래 한 마리가 갑자기 물에서 뛰어올라 남성의 머리에 정확히 물을 뿌렸다.  이로 인해 담배는 꺼졌고, 남성은 온몸이 젖은 채 흐트러진 모습으로 자리를 떠났다. 불이 꺼지자 벨루가 고래는 당당하게 수면 위로 올라와 기쁨의 울음소리를 냈다.    영상을 접한 누리꾼들은 ""정말 똑똑하다"" ""속시원하다"" ""사람보다 낫네"" 등 뜨거운 반응을 보였다. 일각에서는 ""AI로 만든 영상 아니냐"" ""연출된 상황이 분명하다""며 진위 여부에 대한 의혹을 제기하기도 했다.  실제로 해당 영상은 화재 안전 홍보 목적으로 연출된 것으로 전해졌다. 지난 8일 베이징뉴스에 따르면 영상 속 벨루가 '석류'는 해당 수족관에서 8년간 지내왔으며, 이미 화재 훈련 경험이 있는 것으로 확인됐다. 당시에도 보호복을 입은 소방관이 불을 지피자 석류가 지체 없이 물을 뿜어 불길을 잡았다고 한다.",https://n.news.naver.com/mnews/article/277/0005691832
2025-12-10 21:36:00,"광주, 국가대표 반도체 첨단패키징 거점으로 도약","광주가 국가대표 반도체 첨단패키징 거점으로 공식 지정됐다. 정부가 광주를 남부권 반도체 혁신벨트의 핵심지로 선정하면서, 지역 산업 기반이 AI와 반도체 중심으로 재편되는 분기점이 열렸다.    광주시는 10일 이재명 대통령 주재 'AI 시대의 K-반도체 비전과 육성전략 보고회'에서 광주 첨단패키징 거점 육성 계획이 정부 전략으로 발표됐다고 밝혔다. 정부 전략에는 세계 최대 규모 클러스터 조성, NPU 개발 집중투자, 상생 파운드리 설립, 국방반도체 기술 자립, 반도체대학원대학 설립, 남부권 반도체 혁신벨트 구축 등이 포함됐다.  남부권 혁신벨트는 광주-부산-구미를 잇는 구조로 추진되며, 이 가운데 광주는 첨단패키징 분야를 담당한다. 정부는 ▲2030년까지 첨단패키징 실증센터 구축 ▲재생에너지 자립도시 지정 ▲칩 제조·패키징 합작 팹 건설 지원 ▲반도체 연합공대 구성 등을 추진한다.    광주과학기술원(GIST)에는 글로벌 기업의 연구조직인 'Arm스쿨'이 설치돼 2030년까지 반도체설계 전문인력 1,400명을 양성할 예정이다.  첨단패키징 기술은 AI 등 고성능 반도체 제조의 핵심 기술로, 여러 칩을 하나의 패키지에 통합해 속도·전력·소형화를 모두 끌어올리는 기술이다. 광주는 글로벌 선도기업 앰코가 자리하고, AI 데이터센터 구축으로 패키징 수요가 예상되는 등 관련 산업 집적의 장점이 있다. RE100 대응이 가능한 재생에너지 기반과 연구기관 인프라도 강점으로 꼽힌다.  광주시와 정부는 첨단지구에 2030년까지 420억원을 투입해 첨단패키징 실증센터를 구축하고, 이후 약 5,000억원 규모로 센터를 확장한다. 시는 내년도 국비 60억 원을 확보해 기업·대학·연구기관이 개발한 신기술을 실제 공정에 적용해 성능을 검증할 수 있는 기반 마련에 나선다.  광주는 지난해 국가첨단전략산업 특화단지 공모에서 탈락했지만, 이후 반도체 산업 기반 확충에 속도를 냈다. ▲팹리스 기업 26개 유치 ▲전남대 반도체특성화대학 및 GIST 삼성전자 계약학과 운영 ▲AI반도체 실증 기업 지원 ▲차세대 반도체 공정 팹(GIST) 구축 ▲광주전남반도체공동연구소(전남대) 설립 등이 이어졌다.  강기정 시장은 ""광주는 AI·반도체 중심 첨단산업의 핵심 거점도시로 도약하고 있다""며 ""기업 유치, 인재 육성, 기반시설 확충을 적극 지원하겠다""고 말했다.",https://n.news.naver.com/mnews/article/277/0005691831
2025-12-10 21:24:00,"경찰, '개인정보 유출' 쿠팡 2차 압수수색 종료","경찰이 쿠팡의 대규모 정보 유출 사태에 대한 2차 압수수색을 종료했다.    서울경찰청 사이버수사과는 10일 오후 9시께 쿠팡 본사에 대한 압수수색을 집행 중지한다고 밝혔다. 경찰은 이날 오전 11시 15분께부터 서울 송파구 쿠팡 본사 사무실에 대한 압수수색을 진행했다. 쿠팡의 보유 자료를 확보하기 위해 전날 마무리되지 않은 압수수색을 이어간 것이다.  경찰은 전날에도 약 10시간 동안 쿠팡을 압수수색한 바 있다. 쿠팡의 보유 자료가 방대한 만큼 전산 기록 등 자료 확보에 오랜 시간이 소요될 것이라는 게 경찰 안팎의 관측이다.  압수수색 영장에는 쿠팡의 중국 국적 전직 직원이 정보통신망법상 정보통신망 침입·비밀누설 등 혐의를 받는 피의자로 적시됐다. 경찰은 개인정보 유출 범행에 사용된 IP를 확보해 유출자를 쫓는 한편, 쿠팡의 내부 고객정보 관리시스템의 기술적 취약성도 따져보고 있다. 아울러 압수수색으로 확보한 자료 등을 토대로 개인정보 유출 경로와 원인 등을 종합적으로 규명할 예정이다.",https://n.news.naver.com/mnews/article/277/0005691830
2025-12-10 21:02:00,"'계엄 연루' 조지호 경찰총장, 직무 정지에도 1년간 억대 연봉","12·3 비상계엄에 가담했다는 이유로 지난해 12월 탄핵 소추된 조지호 경찰청장이 1년째 억대 연봉을 수령하고 있는 것으로 나타났다.    10일 연합뉴스는 조 청장이 비상계엄 직후인 지난해 12월 1435만원, 올해 1∼11월에는 1354만원 상당의 월급을 받아 지난 1년간 총 1억6329만원(세전 기준)을 수령했다고 보도했다.  조 청장은 지난해 12월 11일 경찰 조사 도중 긴급 체포됐고, 올해 1월 계엄 당일 국회 출입 통제를 지시한 혐의(내란 중요임무 종사)로 기소됐다. 그러나 기소에 앞서 조 청장은 지난해 12월 12일 탄핵소추안이 국회 본회의를 통과하면서 '직무 정지' 상태가 됐다.  통상 경찰 공무원이 재판에 넘겨지면 직위 해제돼 월급 40%가 깎이고, 그 외 수당도 50% 줄어든다. 그러나 헌법 제65조 제3항에 따라 탄핵 소추가 되면 직무는 정지되지만, 신분은 '현직 청장'으로 유지돼 탄핵 심판 결과가 나오기 전까지 월급이 정상 지급된다.  이 때문에 헌법재판소의 결론이 나오지 않은 조 청장은 1년째 일을 하지 않으면서도 경찰청장 보수는 그대로 받게 됐다. 탄핵 심판이 장기화하면서 제도적 공백이 발생했다는 지적이 나오는 이유다.  조 청장과 함께 내란 중요임무 종사 혐의로 기소 된 김봉식 전 서울경찰청장은 직위 해제 후 월급이 삭감돼 올해 5∼11월 세전 기준 227만원을 받았다. 계엄 직전 월급은 1291만원이었다.    경찰 수뇌부 지시를 받고 국회 출입 차단을 지휘하거나 체포조 운영에 가담한 혐의로 재판에 넘겨진 목현태 전 국회경비대장과 윤승영 전 경찰청 국가수사본부 수사기획조정관도 직위 해제 후 최근까지 각각 178만원, 209만원의 월급을 수령한 것으로 알려졌다.  조 청장 탄핵이 지연되면서 경찰은 1년째 '차장 직무대행' 체제로 운영되고 있다. 조 청장에 대한 탄핵 심판은 지난 11월 10일 변론이 종결돼 이르면 연내 선고가 내려질 전망이다. 다만 탄핵과 별개로 형사 재판이 진행 중인 만큼 경찰청장 업무 복귀는 사실상 어려울 것이라는 게 대체적인 전망이다.  혈액암을 앓고 있는 조 청장은 당초 구속 상태로 수사를 받다가, 지난 1월 법원의 보석이 허가되면서 불구속 상태로 1심 재판을 받고 있다.",https://n.news.naver.com/mnews/article/277/0005691829
2025-12-10 20:58:00,"IMF, 올해 中 경제 성장률 전망치 5%로 상향",국제통화기금(IMF)이 올해 중국의 경제 성장률 전망치를 5.0%로 상향했다.    IMF는 10일(현지시간) 홈페이지를 통해 올해 중국의 성장률 전망치를 10월 발표한 수준보다 0.2%포인트 높은 5.0%로 내놨다. 중국 정부가 설정한 올해 성장률 목표치 '5% 안팎'을 달성할 수 있다는 의미다.  IMF는 중국의 내년 성장률 전망치도 10월보다 0.3%포인트 높은 4.5%로 제시했다. IMF는 거시 경제 부양책과 함께 미·중 휴전에 따른 예상보다 낮은 대중국 관세를 전망치 수정의 근거로 들었다. 그러면서도 내수 부진과 디플레이션(물가 하락) 압력 등 불균형 문제는 여전하다고 지적했다.,https://n.news.naver.com/mnews/article/277/0005691828
2025-12-10 20:28:00,"""초코파이 아니네""…올해 578억이나 팔린 한국인 '최애 과자'는 '이것'","올해 상반기 소비자들이 가장 많이 찾은 과자는 농심의 '새우깡'으로 나타났다. 사회관계망서비스(SNS)를 중심으로 레트로 감성과 '추억 과자' 열풍이 사회관계망서비스(SNS)를 중심으로 확산하면서 새우깡·초코파이·빼빼로 같은 오랜 스테디셀러들이 다시 존재감을 키우는 모습이다.    10일 식품산업통계정보에 따르면 올해 상반기 소매점 기준 새우깡 매출은 578억원으로 지난해에 이어 1위에 올랐다. 소매점 기준은 백화점, 대형할인마트, 체인슈퍼, 편의점, 독립슈퍼, 일반식품점 등 주요 유통 채널 매출을 합산한 수치다.  새우깡, '마케팅' 힘입어 1위 수성  새우깡 매출은 전년 대비 1% 소폭 감소했지만, 스낵과 초콜릿, 비스킷 등 모든 과자 카테고리를 포함한 전체 순위에서 여전히 1위 자리를 굳건히 지켰다. 최근 협업 마케팅을 강화한 농심의 전략이 젊은 소비층의 선택을 받은 것으로 분석된다. 특히 넷플릭스 시리즈 '케이팝 데몬 헌터스' 속 캐릭터를 활용한 한정판 패키지가 SNS에서 높은 화제성을 이끌었다.  또한 농심은 지난해 서울 성수동에서 '새우깡 어드벤처 in 고래섬' 팝업스토어를 열어 젊은 세대를 집중 공략하기도 했다. 팝업에서 진행된 '이색 새우깡 투표'에서 1위를 차지한 와사비 맛 새우깡은 올해 8월 정식 출시돼 출시 2주 만에 180만 봉 판매를 돌파하며 빠르게 시장에 안착했다.   '감자 스낵 강자' 포카칩 2위  2위는 오리온 포카칩으로, 매출 544억원을 기록했다. 전년 동기 대비 매출이 8.1% 늘며 상위 10개 제품 가운데 가장 높은 성장률을 보였다. 올 4월 출시된 '포카칩 트리플페퍼'와 제철 햇감자를 사용한 한정 생산 제품이 SNS에서 입소문을 타면서 매출 확대를 이끌었다.    그다음으로는 오리온 초코파이(478억원)와 롯데웰푸드 빼빼로(426억원), 농심켈로그 프링글스(418억원), 롯데웰푸드 꼬깔콘(412억원), 해태제과 홈런볼(396억원), 페레로 로쉐(365억원), 롯데웰푸드 가나(338억원), 오리온 오징어땅콩(315억원) 등이 한국인의 입맛을 사로잡았다.  한편 국내 과자 시장은 꾸준한 성장세다. 2022년 과자류는 2조7370억원으로 전년 대비 3373억원 증가했다. 과자류 중 스낵류 시장 규모는 1조4460억원으로 집계됐다.",https://n.news.naver.com/mnews/article/277/0005691827
2025-12-10 20:25:00,"콘진원, 17일 콘텐츠산업 결산·전망 행사","문화체육관광부와 한국콘텐츠진흥원이 올해 콘텐츠 산업 성과와 내년 전망을 공유하는 자리를 마련한다.  두 기관은 17일 서울 코엑스에서 '넥스트 K 2026: 지원사업 설명회 및 콘텐츠 산업 2025 결산·2026 전망'을 연다고 10일 밝혔다. 올해 주요 성과와 내년 지원 정책 방향을 상세히 소개할 예정이다.  콘진원은 올해 콘텐츠 산업을 결산하며 제작 현장의 생성형 인공지능(AI) 활용률과 이용 의향 등 주요 수치를 공개한다.  AI 분석으로 올해 K콘텐츠를 비교·분석한 결과도 내놓는다. 지식재산 트렌드, 소비 행태 변화, 플랫폼 간 경쟁 및 공존 전략 등 산업 내 주요 변화를 짚는다.  올해 대표 지원작도 전시한다. 드라마 '폭군의 셰프', 게임 '쉐이프 오브 드림즈', 애니메이션 '마루는 강쥐', 웹툰 '마론후작' 등이다.  참가 신청은 16일까지 온라인 행사 안내 페이지에서 하면 된다.",https://n.news.naver.com/mnews/article/277/0005691826
